<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20171208,3264.4800,3297.1299,3258.7600,3289.9900,133200
AAA,20171208,20.4126,20.6088,20.3144,20.4126,1098980
AAM,20171208,6.7737,6.8069,6.7737,6.8069,7210
ABC,20171208,12.8424,12.9247,12.8424,12.9247,6400
ABI,20171208,24.3405,24.3405,24.3405,24.3405,200
ABT,20171208,22.2123,22.2892,22.2123,22.2892,1030
AC4,20171208,4.1526,4.1526,4.1526,4.1526,0
ACB,20171208,13.5463,13.5463,13.3592,13.4715,1018775
ACC,20171208,11.6673,11.6673,11.6673,11.6673,200
ACE,20171208,18.1681,18.1681,18.1681,18.1681,100
ACL,20171208,3.3539,3.3539,3.3539,3.3539,40
ACM,20171208,1.6000,1.7000,1.5000,1.5000,350150
ACS,20171208,11.4208,11.4208,11.4208,11.4208,100
ACV,20171208,88.0087,88.0087,84.8795,87.3242,116870
ADC,20171208,11.6339,11.6339,11.6339,11.6339,58
ADP,20171208,13.2865,13.2865,13.2865,13.2865,0
ADS,20171208,12.3150,12.3150,12.0450,12.1463,9920
AFX,20171208,3.5563,3.5563,3.4696,3.4696,12600
AGF,20171208,9.3800,9.3800,9.3800,9.3800,5920
AGM,20171208,7.0607,7.0607,7.0607,7.0607,10
AGP,20171208,14.4934,14.4934,14.4934,14.4934,0
AGR,20171208,5.6000,5.6400,5.5000,5.5000,242940
AGX,20171208,14.7612,14.7612,14.7612,14.7612,0
ALT,20171208,12.7049,12.7049,12.7049,12.7049,5000
ALV,20171208,17.6000,18.5000,16.9000,18.4000,101218
AMC,20171208,18.2856,18.2856,18.2856,18.2856,0
AMD,20171208,9.8000,10.1000,9.1000,9.1700,2466910
AME,20171208,3.0614,3.0614,3.0614,3.0614,0
AMP,20171208,15.0000,15.0000,15.0000,15.0000,0
AMS,20171208,6.3926,6.5565,6.3106,6.5565,1200
AMV,20171208,6.9868,6.9868,6.9868,6.9868,1900
ANT,20171208,9.2000,9.2000,9.2000,9.2000,0
ANV,20171208,8.4465,8.5269,8.2856,8.2856,513590
APC,20171208,77.0000,78.5000,77.0000,78.0000,9830
APF,20171208,22.3145,22.3145,21.8447,21.8447,1650
APG,20171208,4.4910,4.5146,4.2940,4.4910,327150
API,20171208,29.5256,29.5256,29.5256,29.5257,300
APL,20171208,13.1658,13.1658,13.1658,13.1658,0
APP,20171208,7.5668,7.5668,7.5668,7.5668,0
APS,20171208,3.3000,3.4000,3.3000,3.3000,97600
ARM,20171208,16.9897,16.9897,16.9897,16.9897,15
ART,20171208,12.3932,12.5641,12.3077,12.3932,214940
ASA,20171208,2.4000,2.4000,2.3000,2.4000,5100
ASD,20171208,0.5000,0.5000,0.5000,0.5000,0
ASM,20171208,9.8932,10.1559,9.7619,9.7619,4285040
ASP,20171208,4.9547,5.1041,4.9547,5.1041,60
ATA,20171208,0.8000,1.0000,0.8000,1.0000,32210
ATB,20171208,1.6000,1.7000,1.6000,1.7000,102100
ATG,20171208,3.0200,3.0200,2.9200,3.0000,122710
ATS,20171208,39.0000,39.0000,38.8000,38.9000,20200
AUD-X,20171208,1.3312,1.3312,1.3312,1.3312,0
AUM,20171208,10.4867,10.4867,10.4867,10.4867,0
AVF,20171208,0.4000,0.4000,0.3000,0.3000,455407
B82,20171208,2.3000,2.3000,2.3000,2.3000,0
BAX,20171208,12.4034,12.4034,12.4034,12.4034,0
BBC,20171208,96.9479,96.9479,92.9583,92.9583,130
BBS,20171208,9.9469,9.9469,9.9469,9.9469,0
BCC,20171208,6.8750,6.9643,6.7857,6.7857,54042
BCE,20171208,3.6615,3.7138,3.6615,3.7138,1670
BCG,20171208,4.4269,4.4723,4.4269,4.4647,151630
BCP,20171208,4.2520,4.2520,4.2520,4.2520,0
BDB,20171208,6.8885,6.8885,6.8885,6.8885,0
BDG,20171208,16.3468,16.3468,16.3468,16.3468,0
BDT,20171208,8.2229,8.2229,8.2229,8.2229,0
BDW,20171208,8.8816,8.8816,8.8816,8.8816,0
BED,20171208,27.0050,27.0050,27.0050,27.0050,0
BEL,20171208,6.1826,6.1826,6.1826,6.1826,0
BFC,20171208,25.7276,26.1432,25.6898,25.8409,146970
BGW,20171208,9.4011,9.4011,9.4011,9.4011,0
BHA,20171208,17.3062,17.3062,17.3062,17.3062,100
BHC,20171208,2.7000,2.7000,2.1000,2.1000,31402
BHN,20171208,123.6296,123.6296,116.4104,118.9371,34570
BHP,20171208,9.1957,9.1957,9.1957,9.1957,0
BHT,20171208,3.6000,3.6000,3.6000,3.6000,0
BIC,20171208,29.8046,29.8046,29.7591,29.7591,140
BID,20171208,24.2243,24.3693,23.8374,24.1759,853010
BII,20171208,1.9000,2.0000,1.9000,2.0000,134200
BKC,20171208,7.3000,7.4000,7.3000,7.4000,862
BLF,20171208,3.8000,3.8000,3.8000,3.8000,1000
BLI,20171208,5.4061,5.4061,5.4061,5.4060,820
BLN,20171208,6.8212,6.8212,6.8212,6.8212,0
BLT,20171208,25.2790,25.2790,25.2790,25.2790,0
BMC,20171208,12.3880,12.6810,12.3043,12.5136,16510
BMD,20171208,5.2233,5.2233,5.2233,5.2233,0
BMI,20171208,28.7321,28.7321,28.0772,28.7321,55580
BMJ,20171208,3.6597,3.6597,3.6597,3.6597,0
BMN,20171208,5.5751,5.5751,5.5751,5.5751,0
BMP,20171208,65.4499,65.8063,63.4536,63.4535,678960
BMV,20171208,9.9522,9.9522,9.9522,9.9522,0
BPC,20171208,14.0966,14.4881,14.0966,14.4881,9800
BRC,20171208,7.9287,7.9287,7.9287,7.9287,140
BRL-X,20171208,3.2872,3.2872,3.2872,3.2872,0
BRR,20171208,8.2665,8.2665,8.2665,8.2665,0
BRS,20171208,4.8505,4.8505,4.8505,4.8505,0
BSC,20171208,13.9255,13.9255,13.9255,13.9255,0
