<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20201208,3417.6899,3428.6599,3403.0300,3410.1799,226900
A32,20201208,29.2167,29.2167,29.2167,29.2167,200
AAA,20201208,12.9500,13.0000,12.6000,12.9000,2433940
AAM,20201208,10.9000,10.9000,10.9000,10.9000,1620
AAS,20201208,6.1000,6.1000,5.3000,5.8000,4921470
AAV,20201208,9.9000,10.1000,9.4000,9.7000,1074171
ABC,20201208,17.6000,17.9000,17.4000,17.4000,32310
ABI,20201208,35.3781,35.6754,34.9817,35.6754,30660
ABR,20201208,28.0000,28.0000,28.0000,28.0000,0
ABS,20201208,16.6000,16.6000,15.4000,16.0000,210860
ABT,20201208,29.5456,29.5456,29.5456,29.5457,90
AC4,20201208,3.0000,3.0000,3.0000,3.0000,0
ACB,20201208,21.1200,21.1200,21.1200,21.1200,0
ACC,20201208,13.9500,14.1000,13.9000,14.1000,106210
ACE,20201208,27.1371,27.1371,27.1371,27.1370,117
ACL,20201208,12.8000,12.8000,12.6500,12.6500,35850
ACM,20201208,0.7000,0.8000,0.7000,0.7000,217810
ACS,20201208,12.0000,12.0000,12.0000,12.0000,0
ACV,20201208,73.0000,73.5000,72.9000,73.3000,188836
ADC,20201208,17.0600,17.8182,17.0600,17.0600,19500
ADG,20201208,59.7000,59.9000,59.3000,59.5000,73900
ADP,20201208,17.7365,17.7365,17.7365,17.7365,2000
ADS,20201208,9.5517,9.5517,9.5037,9.5517,10790
AFX,20201208,12.8000,12.9000,12.3000,12.5000,175170
AG1,20201208,9.6000,9.6000,9.6000,9.6000,200
AGF,20201208,5.6000,5.6000,5.6000,5.6000,0
AGG,20201208,30.5000,30.6000,29.8000,30.3000,1322980
AGM,20201208,12.3000,12.6000,12.3000,12.5000,13470
AGP,20201208,14.5000,14.6000,14.4000,14.6000,7100
AGR,20201208,6.7900,6.9700,6.6000,6.9700,2089990
AGX,20201208,31.5000,31.5000,31.5000,31.5000,0
ALT,20201208,11.0000,11.0000,11.0000,11.0000,0
ALV,20201208,1.7000,1.7000,1.7000,1.7000,0
AMC,20201208,16.4880,16.4880,16.4880,16.4880,0
AMD,20201208,2.6900,2.7200,2.6800,2.6900,1564460
AME,20201208,6.5000,7.3000,6.5000,7.3000,3000
AMP,20201208,10.2000,10.2000,10.2000,10.2000,0
AMS,20201208,8.2727,8.2727,8.1818,8.1818,48300
AMV,20201208,11.4794,11.8870,11.4794,11.8190,645134
ANT,20201208,10.0000,10.0000,10.0000,10.0000,900
ANV,20201208,21.1000,21.8000,21.1000,21.5000,429950
APC,20201208,22.9000,22.9000,21.7000,22.4000,105780
APF,20201208,30.6185,31.2770,30.6185,31.2769,700
APG,20201208,8.4906,8.5678,8.4391,8.4906,1110830
APH,20201208,68.2214,68.6000,67.7671,68.0700,603600
API,20201208,9.5000,9.5000,9.2000,9.2000,907
APL,20201208,11.0000,11.0000,11.0000,11.0000,0
APP,20201208,3.6000,3.6000,3.6000,3.6000,0
APS,20201208,3.2000,3.3000,3.2000,3.3000,84209
APT,20201208,3.2000,3.2000,3.2000,3.2000,0
AQN,20201208,7.5000,7.5000,7.5000,7.5000,0
ARM,20201208,52.0000,52.0000,52.0000,52.0000,0
ART,20201208,2.6000,2.7000,2.5000,2.6000,3786931
ASA,20201208,1.3000,1.3000,1.3000,1.3000,0
ASD,20201208,3.1000,3.1000,3.1000,3.1000,0
ASG,20201208,38.5000,39.5000,37.8000,37.8000,6820
ASM,20201208,12.8500,13.0000,12.6000,12.7500,3498620
ASP,20201208,5.7000,5.8300,5.6800,5.7500,58880
AST,20201208,55.0000,56.5000,54.9000,55.3000,141930
ATA,20201208,0.2000,0.2000,0.2000,0.2000,0
ATB,20201208,0.6000,0.7000,0.6000,0.7000,200
ATD,20201208,9.6000,9.6000,9.6000,9.6000,0
ATG,20201208,0.6100,0.6100,0.6100,0.6100,0
ATS,20201208,26.4000,26.4000,26.4000,26.4000,0
AUD-X,20201208,1.3482,1.3482,1.3482,1.3482,0
AUM,20201208,10.5000,10.5000,10.5000,10.5000,0
AVC,20201208,23.4179,23.4179,23.4179,23.4179,0
AVF,20201208,0.3000,0.3000,0.3000,0.3000,0
B82,20201208,0.5000,0.5000,0.5000,0.5000,0
BAB,20201208,17.8000,17.8000,17.8000,17.8000,0
BAL,20201208,7.7000,7.7000,7.7000,7.7000,0
BAX,20201208,60.2941,60.5536,59.6886,59.6886,25000
BBC,20201208,50.4000,53.9000,50.1000,53.9000,24900
BBH,20201208,16.0000,16.0000,16.0000,16.0000,0
BBM,20201208,12.5235,12.5235,12.5235,12.5235,0
BBS,20201208,10.0000,10.0000,10.0000,10.0000,0
BBT,20201208,18.0000,18.0000,18.0000,18.0000,2830
BCB,20201208,6.6000,6.6000,6.6000,6.6000,0
BCC,20201208,7.9000,7.9000,7.6000,7.7000,572492
BCE,20201208,8.3500,8.6600,8.2000,8.6500,287750
BCF,20201208,37.8817,37.8817,37.8817,37.8817,0
BCG,20201208,7.9330,7.9330,7.6445,7.8906,2707530
BCM,20201208,40.7000,40.7000,40.0000,40.0000,70830
BCP,20201208,9.8000,9.8000,9.8000,9.8000,0
BDB,20201208,10.1247,10.1247,10.1247,10.1247,0
BDG,20201208,38.0489,38.9658,37.8656,38.6907,21600
BDT,20201208,17.9907,17.9907,17.6119,17.6120,12600
BDW,20201208,9.2000,9.2000,9.2000,9.2000,100
BED,20201208,30.3644,30.3644,30.3644,30.3644,0
BEL,20201208,10.9775,10.9775,10.9775,10.9775,0
BFC,20201208,16.3000,16.9000,16.1000,16.5000,818830
BGW,20201208,26.4265,26.4265,26.4265,26.4265,0
BHA,20201208,9.0000,9.0000,9.0000,9.0000,200
BHC,20201208,2.9000,2.9000,2.9000,2.9000,0
BHG,20201208,12.0278,12.0278,12.0278,12.0278,0
BHK,20201208,12.2000,12.2000,12.2000,12.2000,200
BHN,20201208,73.6160,75.3828,72.6345,74.1068,6240
BHP,20201208,5.6000,5.6000,5.6000,5.6000,0
BHT,20201208,6.1000,6.1000,6.1000,6.1000,0
BIC,20201208,20.1000,20.1000,19.8000,19.8000,88920
BID,20201208,42.5804,42.5804,41.7445,41.9904,2151740
BII,20201208,1.5000,1.6000,1.4000,1.5000,549950
BIO,20201208,9.4509,9.4509,9.4509,9.4509,0
BKC,20201208,4.9000,4.9000,4.9000,4.9000,722
BKH,20201208,25.3914,25.3914,25.3914,25.3914,0
BLF,20201208,3.4000,3.4000,3.4000,3.4000,0
BLI,20201208,7.1668,7.4461,7.1668,7.3529,3500
BLN,20201208,1.6000,1.6000,1.6000,1.6000,0
BLT,20201208,18.9000,18.9000,18.9000,18.9000,0
BLU,20201208,10.0000,10.0000,10.0000,10.0000,0
BLW,20201208,17.0493,17.0493,17.0493,17.0493,0
BMC,20201208,11.1500,11.1500,10.9500,10.9500,27690
BMD,20201208,8.0000,8.0000,8.0000,8.0000,0
BMF,20201208,21.8000,21.8000,21.8000,21.8000,2100
BMG,20201208,26.5001,26.5001,26.5001,26.5001,0
BMI,20201208,27.4736,28.2760,27.0487,28.0400,975800
BMJ,20201208,12.0002,12.0002,12.0002,12.0002,0
BMN,20201208,5.0000,5.0000,5.0000,5.0000,0
BMP,20201208,58.7758,61.3231,58.5871,61.3231,578110
BMS,20201208,7.0000,7.0000,7.0000,7.0000,100
BMV,20201208,10.0000,10.0000,10.0000,10.0000,0
BNA,20201208,32.8999,32.9984,32.6044,32.6044,90310
BNW,20201208,8.9416,8.9416,8.9416,8.9416,0
BOT,20201208,52.4000,52.7000,50.0000,52.7000,19200
BPC,20201208,10.1000,10.1000,10.1000,10.1000,0
BPW,20201208,26.4000,26.4000,26.4000,26.4000,0
BQB,20201208,5.4000,5.4000,5.4000,5.4000,0
BRC,20201208,11.4500,11.5000,11.0000,11.0000,130
BRL-X,20201208,5.0983,5.0983,5.0983,5.0983,0
BRR,20201208,10.7906,10.7906,10.7906,10.7907,10500
BRS,20201208,13.1175,13.1175,13.1175,13.1175,0
BSA,20201208,12.9000,13.1000,12.9000,13.0000,21079
BSC,20201208,11.7000,11.7000,11.7000,11.7000,0
BSD,20201208,26.2493,26.2493,26.2493,26.2493,0
BSG,20201208,7.8000,7.8000,7.8000,7.8000,0
BSH,20201208,21.5201,21.5201,21.5201,21.5201,0
BSI,20201208,10.5000,10.6500,10.3000,10.6500,331080
BSL,20201208,9.4375,9.4375,9.1515,9.1516,10100
BSP,20201208,16.4278,16.4278,16.4278,16.4278,0
BSQ,20201208,19.6000,19.6000,19.6000,19.6000,0
BSR,20201208,7.8000,8.8000,6.6000,7.8000,8878659
BST,20201208,14.0266,14.1201,14.0266,14.1201,1700
BT1,20201208,10.7507,10.7507,10.7507,10.7507,0
BT6,20201208,1.2000,1.2000,1.2000,1.2000,0
BTB,20201208,5.8000,5.8000,5.8000,5.8000,0
BTCUSD-X,20201208,19191.5293,19283.4805,18269.9492,18321.1406,31692288756
BTD,20201208,21.2000,21.2000,21.0000,21.1000,8200
BTG,20201208,5.5000,5.5000,5.5000,5.5000,0
BTH,20201208,4.9000,4.9000,4.9000,4.9000,0
BTN,20201208,2.7000,2.7000,2.7000,2.7000,0
BTP,20201208,14.0000,14.0000,13.8500,13.8500,9310
BTR,20201208,2.5417,2.5417,2.5417,2.5417,0
BTS,20201208,4.4000,4.5000,4.3000,4.3000,3250
BTT,20201208,38.5000,38.6000,38.5000,38.5000,450
BTU,20201208,6.0815,6.0815,6.0815,6.0815,0
BTV,20201208,10.6004,10.6004,10.6004,10.6004,0
BTW,20201208,24.4886,24.4886,24.4886,24.4886,0
BUD,20201208,5.7255,5.7255,5.6374,5.6374,900
BVB,20201208,12.7907,12.7907,12.3062,12.5969,1430093
BVG,20201208,2.0000,2.0000,1.8000,1.8000,45600
BVH,20201208,56.5000,58.2000,56.4000,57.6000,1601980
BVN,20201208,7.1000,7.1000,7.1000,7.1000,0
BVS,20201208,12.0000,12.8000,11.9000,12.8000,1245288
BWA,20201208,4.8911,4.8911,4.8911,4.8911,0
BWE,20201208,30.0984,30.6290,29.9537,30.0984,549070
BWS,20201208,34.8032,34.8032,32.6280,34.8032,2200
BXH,20201208,12.0000,12.0000,12.0000,12.0000,0
BXT,20201208,10.6000,10.6000,10.6000,10.6000,0
C12,20201208,2.9000,2.9000,2.9000,2.9000,0
C21,20201208,15.0000,15.0000,15.0000,15.0000,17
C22,20201208,12.1473,12.1473,12.1473,12.1473,0
C32,20201208,23.4912,23.5867,23.2525,23.3002,129070
C36,20201208,9.1000,9.1000,9.1000,9.1000,0
C47,20201208,8.8447,8.9224,8.8350,8.8738,132320
C4G,20201208,9.0566,9.5283,9.0566,9.2453,2515126
C69,20201208,7.6000,7.9000,7.6000,7.7000,59918
C71,20201208,6.2000,6.2000,6.2000,6.2000,0
C92,20201208,3.3000,3.5000,3.3000,3.5000,5110
CAB,20201208,140.9000,140.9000,140.9000,140.9000,0
CAD,20201208,0.3000,0.3000,0.3000,0.3000,0
CAD-X,20201208,1.2802,1.2802,1.2802,1.2802,0
CAG,20201208,84.4169,84.4169,84.4169,84.4169,0
CAM,20201208,15.7000,15.7000,15.7000,15.7000,0
CAN,20201208,25.5000,25.5000,25.5000,25.5000,100
CAP,20201208,35.1156,35.2093,34.1792,34.5538,18918
CAT,20201208,12.7323,12.7323,12.7323,12.7323,1400
CAV,20201208,64.3142,65.1654,64.3142,64.4088,170
CBC,20201208,9.7000,9.7000,9.7000,9.7000,0
CBI,20201208,6.2000,6.2000,6.2000,6.2000,100
CBS,20201208,7.3000,7.3000,7.3000,7.3000,0
CC1,20201208,22.0000,22.0000,22.0000,22.0000,0
CC4,20201208,7.8000,7.8000,7.8000,7.8000,0
CCA,20201208,9.2000,9.2000,9.2000,9.2000,0
CCH,20201208,3.9000,3.9000,3.9000,3.9000,0
CCI,20201208,13.3087,13.8632,13.3087,13.8632,2520
CCL,20201208,7.8000,7.8000,7.6200,7.7000,420390
CCM,20201208,44.6890,44.6890,44.6890,44.6890,103
CCP,20201208,8.3000,8.3000,8.3000,8.3000,0
CCR,20201208,12.7503,12.7503,12.7503,12.7503,1000
CCT,20201208,10.0000,10.0000,10.0000,10.0000,0
