<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20210329,3429.6299,3449.8301,3409.8899,3435.3000,284800
A32,20210329,30.5000,30.5000,30.2000,30.2000,1000
AAA,20210329,15.9500,16.4000,15.8500,16.2500,4219700
AAM,20210329,11.0000,11.2000,11.0000,11.1000,5300
AAS,20210329,8.4000,8.7000,8.3000,8.7000,787063
AAV,20210329,16.1000,16.2000,15.8000,16.0000,300260
ABB,20210329,14.0000,14.4000,13.9000,14.3000,1616109
ABC,20210329,18.0000,18.0000,17.1000,17.4000,14519
ABI,20210329,45.9000,46.7000,45.1000,45.1000,14504
ABR,20210329,27.2000,27.2000,27.2000,27.2000,0
ABS,20210329,43.9000,44.2000,43.0000,44.2000,148600
ABT,20210329,30.4000,30.4000,30.4000,30.4000,0
AC4,20210329,4.2000,4.2000,4.2000,4.2000,0
ACB,20210329,26.3200,26.4800,25.9200,26.4000,6981300
ACC,20210329,17.3000,17.3000,17.0000,17.2500,18500
ACE,20210329,30.9000,30.9000,30.9000,30.9000,0
ACL,20210329,13.2000,13.9000,13.2000,13.5500,32100
ACM,20210329,1.8000,1.8000,1.7000,1.8000,3436303
ACS,20210329,15.4000,15.4000,15.4000,15.4000,0
ACV,20210329,74.0000,74.2000,73.1000,73.9000,85504
ADC,20210329,24.6422,24.6422,24.6422,24.6422,0
ADG,20210329,59.4000,59.4000,58.0000,58.5000,134200
ADP,20210329,20.3802,20.3802,20.3802,20.3802,200
ADS,20210329,15.8395,15.9355,15.4555,15.8395,107800
AFX,20210329,13.5000,13.6000,13.3000,13.5000,92310
AG1,20210329,8.1000,8.4000,8.0000,8.4000,15300
AGF,20210329,4.0000,4.0000,4.0000,4.0000,0
AGG,20210329,40.0000,40.2000,39.6000,40.2000,1567600
AGM,20210329,13.6500,13.9500,13.4500,13.9500,24500
AGP,20210329,16.9000,17.2000,16.9000,17.2000,6600
AGR,20210329,11.3000,11.7500,11.3000,11.7500,841800
AGX,20210329,31.7000,31.7000,31.7000,31.7000,2100
AIC,20210329,15.5000,16.0000,15.5000,16.0000,11606
ALT,20210329,13.3000,13.3000,13.3000,13.3000,0
ALV,20210329,3.3000,3.3000,3.3000,3.3000,0
AMC,20210329,21.0681,21.0681,21.0681,21.0681,0
AMD,20210329,3.6000,3.7700,3.5600,3.7700,8082900
AME,20210329,8.2000,8.2000,7.8000,8.1000,2616
AMP,20210329,10.2000,10.2000,10.2000,10.2000,0
AMS,20210329,13.0000,13.0000,11.8000,11.9000,37200
AMV,20210329,12.1000,12.3000,11.9000,12.1000,629370
ANT,20210329,10.0000,10.0000,10.0000,10.0000,0
ANV,20210329,22.6000,22.7000,22.3000,22.7000,138500
APC,20210329,23.3000,23.7000,23.1000,23.5000,18300
APF,20210329,54.4135,55.4418,53.9850,54.8419,78677
APG,20210329,7.6501,7.9760,7.6415,7.9674,1009500
APH,20210329,48.6000,48.9000,48.1000,48.7500,614100
API,20210329,23.3000,23.8000,23.3000,23.7000,36130
APL,20210329,11.0000,11.0000,11.0000,11.0000,0
APP,20210329,7.5000,8.0000,7.5000,7.8000,20423
APS,20210329,8.9000,9.1000,8.8000,8.9000,1053953
APT,20210329,3.6000,3.6000,3.6000,3.6000,0
AQN,20210329,7.5000,7.5000,7.5000,7.5000,0
ARM,20210329,30.0000,30.0000,30.0000,30.0000,0
ART,20210329,7.6000,8.2000,7.5000,8.2000,7141704
ASA,20210329,1.8000,1.8000,1.8000,1.8000,0
ASD,20210329,8.0000,8.0000,8.0000,8.0000,0
ASG,20210329,37.2500,37.2500,35.8000,36.5000,17300
ASM,20210329,15.1000,15.3000,14.9500,15.2000,2092100
ASP,20210329,7.3000,7.4100,7.2500,7.4000,171700
AST,20210329,59.5000,60.5000,59.5000,60.0000,37600
ATA,20210329,0.5000,0.5000,0.5000,0.5000,0
ATB,20210329,1.8000,2.0000,1.8000,2.0000,1612318
ATD,20210329,9.6000,9.6000,9.6000,9.6000,0
ATG,20210329,0.6100,0.6100,0.6100,0.6100,0
ATS,20210329,34.0000,34.0000,34.0000,34.0000,0
AUD-X,20210329,1.3094,1.3094,1.3094,1.3094,0
AUM,20210329,10.5000,10.5000,10.5000,10.5000,0
AVC,20210329,26.1903,27.5933,26.1903,27.5933,3700
AVF,20210329,0.4000,0.4000,0.4000,0.4000,0
B82,20210329,1.1000,1.1000,1.1000,1.1000,0
BAB,20210329,29.2000,30.5000,29.2000,29.3000,37600
BAL,20210329,8.9000,9.0000,8.9000,9.0000,1500
BAX,20210329,70.5882,73.9619,70.5882,72.7509,33744
BBC,20210329,69.2000,69.2000,62.4000,69.0000,1672
BBH,20210329,16.0000,16.0000,16.0000,16.0000,0
BBM,20210329,12.6177,12.6177,12.6177,12.6177,0
BBS,20210329,12.0000,12.0000,12.0000,12.0000,5000
BBT,20210329,18.0000,18.5000,18.0000,18.5000,3100
BCB,20210329,6.6000,6.6000,6.6000,6.6000,0
BCC,20210329,12.1000,12.2000,11.6000,11.9000,980794
BCE,20210329,12.8500,13.1500,12.7500,13.1500,136600
BCF,20210329,40.5000,40.5000,40.5000,40.5000,0
BCG,20210329,13.4123,13.7823,13.4123,13.7823,1079100
BCM,20210329,58.0000,58.0000,56.0000,57.5000,9000
BCP,20210329,12.2000,12.2000,12.2000,12.2000,100
BDB,20210329,12.0000,12.0000,12.0000,12.0000,0
BDG,20210329,41.8000,44.0000,41.8000,44.0000,2800
BDT,20210329,21.7783,22.7251,21.7783,22.2517,19903
BDW,20210329,19.5000,19.5000,19.5000,19.5000,0
BED,20210329,26.6838,26.6838,26.6838,26.6838,0
BEL,20210329,10.0229,10.0229,10.0229,10.0229,0
BFC,20210329,21.6000,21.6000,21.2000,21.4500,238600
BGW,20210329,19.5752,19.5752,19.5752,19.5752,0
BHA,20210329,10.9000,10.9000,10.9000,10.9000,6
BHC,20210329,2.6000,2.6000,2.6000,2.6000,0
BHG,20210329,10.2386,10.2386,10.2386,10.2386,0
BHK,20210329,12.3000,12.3000,12.3000,12.3000,100
BHN,20210329,71.0000,71.8000,71.0000,71.1000,900
BHP,20210329,7.5000,7.5000,7.4000,7.4000,9900
BHT,20210329,9.0000,9.0000,9.0000,9.0000,0
BIC,20210329,21.3000,22.2000,21.1000,22.2000,78700
BID,20210329,42.5000,42.6500,42.1500,42.5500,1347900
BII,20210329,8.2000,8.5000,8.2000,8.3000,1008109
BIO,20210329,9.4509,9.4509,9.4509,9.4509,0
BKC,20210329,5.4000,5.4000,5.4000,5.4000,0
BKG,20210329,11.0000,11.2000,10.9000,11.1000,221200
BKH,20210329,31.5006,31.5006,31.5006,31.5006,0
BLF,20210329,3.3000,3.3000,3.3000,3.3000,0
BLI,20210329,13.4959,13.8682,13.4959,13.8682,2109
BLN,20210329,1.6000,1.6000,1.6000,1.6000,0
BLT,20210329,20.0000,20.0000,20.0000,20.0000,2000
BLU,20210329,10.0000,10.0000,10.0000,10.0000,0
BLW,20210329,17.1000,17.1000,17.1000,17.1000,0
BMC,20210329,18.3500,19.0000,18.0000,18.8000,142300
BMD,20210329,7.5000,7.5000,7.5000,7.5000,0
BMF,20210329,23.9000,23.9000,23.9000,23.9000,102
BMG,20210329,26.5001,26.5001,26.5001,26.5001,0
BMI,20210329,23.7915,24.3108,23.7915,24.2636,174400
BMJ,20210329,17.1000,17.1000,17.1000,17.1000,5
BMN,20210329,5.0000,5.0000,5.0000,5.0000,0
BMP,20210329,56.9312,57.5161,56.9312,57.2236,320400
BMS,20210329,7.7000,7.7000,7.4000,7.6000,4900
BMV,20210329,9.0000,9.0000,9.0000,9.0000,0
BNA,20210329,38.1000,39.5000,38.1000,38.5000,105400
BNW,20210329,8.9416,8.9416,8.9416,8.9416,0
BOT,20210329,57.4000,58.5000,57.4000,58.5000,1000
BPC,20210329,12.5000,12.5000,12.5000,12.5000,0
BPW,20210329,22.5000,22.5000,22.5000,22.5000,0
BQB,20210329,6.8000,6.8000,6.8000,6.8000,0
BRC,20210329,14.0000,14.4500,13.8000,13.9500,10600
BRL-X,20210329,5.7524,5.7524,5.7524,5.7524,0
BRR,20210329,13.7000,15.0000,13.1000,13.1000,300
BRS,20210329,13.1175,13.1175,13.1175,13.1175,0
BSA,20210329,13.7000,14.2000,13.7000,13.8000,23231
BSC,20210329,15.0000,15.0000,15.0000,15.0000,0
BSD,20210329,25.7632,25.7632,25.7632,25.7632,0
BSG,20210329,7.0000,7.0000,7.0000,7.0000,1100
BSH,20210329,21.0999,21.0999,21.0999,21.0999,0
BSI,20210329,14.2500,14.5000,14.1000,14.5000,794700
BSL,20210329,10.0095,10.0095,10.0095,10.0095,400
BSP,20210329,16.4601,16.5547,16.4601,16.5547,5000
BSQ,20210329,21.0000,21.0000,21.0000,21.0000,0
BSR,20210329,16.6000,17.2000,16.4000,16.6000,13492479
BST,20210329,16.2000,16.2000,16.2000,16.2000,0
BT1,20210329,14.5773,14.5773,14.5773,14.5773,0
BT6,20210329,2.0000,2.0000,2.0000,2.0000,0
BTB,20210329,5.8000,5.8000,5.8000,5.8000,0
BTCUSD-X,20210329,55947.8984,58342.1016,55139.3398,57750.1992,57625587027
BTD,20210329,28.6000,32.2000,28.6000,32.2000,69703
BTG,20210329,5.8000,5.8000,5.8000,5.8000,0
BTH,20210329,3.6000,3.6000,3.6000,3.6000,0
BTN,20210329,3.5000,3.5000,3.5000,3.5000,4100
BTP,20210329,14.8000,14.9000,14.7000,14.9000,22600
BTR,20210329,2.5417,2.5417,2.5417,2.5417,0
BTS,20210329,6.2000,6.5000,6.1000,6.4000,91422
BTT,20210329,53.0000,53.0000,53.0000,53.0000,0
BTU,20210329,11.7999,11.7999,11.7999,11.7999,0
BTV,20210329,26.7000,26.7000,26.0000,26.0000,300
BTW,20210329,30.7308,30.7308,30.7308,30.7308,0
BUD,20210329,19.4460,19.4460,18.9717,19.0666,8600
BVB,20210329,13.0000,13.3000,12.9000,13.2000,673811
BVG,20210329,4.1000,4.6000,4.1000,4.6000,263718
BVH,20210329,59.0000,59.3000,58.5000,59.2000,522800
BVN,20210329,6.1000,6.1000,6.1000,6.1000,0
BVS,20210329,22.1000,22.3000,21.9000,22.2000,354970
BWA,20210329,9.5904,9.5904,9.1109,9.1110,500
