<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20210525,3502.5400,3584.5801,3502.4399,3581.3401,341200
A32,20210525,32.0000,32.0000,32.0000,32.0000,0
AAA,20210525,15.8000,16.0500,15.6500,15.7500,3640500
AAM,20210525,10.4000,10.4000,10.2500,10.2500,1300
AAS,20210525,9.1000,9.8000,9.0000,9.5000,2542100
AAT,20210525,20.6500,20.9000,20.1500,20.6500,404300
AAV,20210525,15.0000,16.4000,14.8000,15.7000,476030
ABB,20210525,19.4000,19.8000,19.2000,19.6000,4301400
ABC,20210525,13.3000,13.3000,12.4000,12.7000,17800
ABI,20210525,42.4000,44.0000,42.4000,43.5000,43800
ABR,20210525,22.6000,22.6000,22.6000,22.6000,100
ABS,20210525,33.1500,35.4500,34.5000,35.4500,114000
ABT,20210525,29.4000,29.4000,29.4000,29.4000,109
AC4,20210525,4.2000,4.2000,4.2000,4.2000,0
ACB,20210525,30.0000,30.6000,29.8400,30.4000,8757400
ACC,20210525,14.6000,15.0000,14.6000,15.0000,22100
ACE,20210525,30.9000,31.8000,30.9000,31.8000,5200
ACL,20210525,12.2500,12.3000,12.0000,12.0000,37500
ACM,20210525,3.2000,3.4000,3.2000,3.2000,1301779
ACS,20210525,13.0000,13.0000,13.0000,13.0000,0
ACV,20210525,70.0000,70.2000,69.5000,70.0000,328100
ADC,20210525,27.2012,27.2012,27.2012,27.2012,0
ADG,20210525,52.5000,52.7000,51.8000,52.0000,88500
ADP,20210525,23.5156,23.5156,23.5156,23.5156,100
ADS,20210525,20.1594,20.4474,19.6794,19.6794,324500
AFX,20210525,13.1000,13.1000,12.9000,13.1000,72100
AG1,20210525,7.9000,7.9000,7.7000,7.9000,8300
AGF,20210525,3.3000,3.3000,3.3000,3.3000,0
AGG,20210525,48.6000,49.1500,48.3000,48.7000,2949100
AGM,20210525,26.9500,30.9500,26.9500,27.7000,261700
AGP,20210525,18.5000,19.1000,18.5000,19.0000,1200
AGR,20210525,11.2000,11.8000,11.1500,11.5500,2530400
AGX,20210525,33.0000,33.0000,33.0000,33.0000,100
AIC,20210525,12.5000,12.5000,12.3000,12.4000,2100
ALT,20210525,15.9000,15.9000,15.9000,15.9000,100
ALV,20210525,2.9000,2.9000,2.9000,2.9000,0
AMC,20210525,16.9460,16.9460,16.9460,16.9460,0
AMD,20210525,6.3000,6.4400,5.8500,6.1000,19054900
AME,20210525,8.8000,8.8000,8.4000,8.6000,1906
AMP,20210525,10.2000,10.2000,10.2000,10.2000,0
AMS,20210525,10.8000,11.2000,10.7000,10.8000,40500
AMV,20210525,9.5000,9.6000,9.4000,9.4000,559039
ANT,20210525,9.7000,9.7000,9.7000,9.7000,0
ANV,20210525,24.7000,25.7000,24.5500,25.0000,570300
APC,20210525,21.9500,21.9500,21.6000,21.6000,10200
APF,20210525,52.3569,53.1281,51.9285,52.9568,34000
APG,20210525,7.7273,8.0275,7.7101,7.8902,1269600
APH,20210525,61.7000,63.8000,61.7000,62.9000,2717700
API,20210525,23.1000,23.3000,22.9000,23.3000,10700
APL,20210525,20.9000,20.9000,20.9000,20.9000,0
APP,20210525,6.7000,6.7000,6.5000,6.5000,4025
APS,20210525,11.0000,11.0000,10.7000,10.7000,1147075
APT,20210525,3.6000,3.6000,3.6000,3.6000,0
AQN,20210525,9.5000,9.5000,9.5000,9.5000,0
ARM,20210525,40.0000,40.0000,40.0000,40.0000,0
ART,20210525,10.0000,10.1000,9.6000,10.0000,6507440
ASA,20210525,4.2000,4.2000,4.2000,4.2000,0
ASD,20210525,8.0000,8.0000,8.0000,8.0000,0
ASG,20210525,38.0000,38.3000,37.0000,38.0000,34570
ASM,20210525,14.0500,14.0500,13.5000,13.6500,4657500
ASP,20210525,6.7500,6.8700,6.7500,6.8100,64800
AST,20210525,50.0000,50.0000,48.6000,48.6000,34200
ATA,20210525,1.1000,1.1000,1.1000,1.1000,0
ATB,20210525,2.0000,2.0000,2.0000,2.0000,0
ATD,20210525,9.6000,9.6000,9.6000,9.6000,0
ATG,20210525,0.9000,0.9000,0.9000,0.9000,0
ATS,20210525,30.6000,30.6000,30.6000,30.6000,0
AUD-X,20210525,1.2902,1.2902,1.2902,1.2902,0
AUM,20210525,10.5000,10.5000,10.5000,10.5000,0
AVC,20210525,24.8807,24.8807,24.8807,24.8807,0
AVF,20210525,1.0000,1.0000,1.0000,1.0000,0
B82,20210525,1.2000,1.2000,1.2000,1.2000,0
BAB,20210525,25.7000,25.8000,25.5000,25.5000,83800
BAL,20210525,12.0000,12.0000,12.0000,12.0000,0
BAX,20210525,67.5000,68.2000,67.5000,68.2000,3300
BBC,20210525,66.5000,66.5000,66.5000,66.5000,50
BBH,20210525,16.0000,16.0000,16.0000,16.0000,0
BBM,20210525,12.9000,12.9000,12.9000,12.9000,0
BBS,20210525,11.5000,11.5000,11.5000,11.5000,1000
BBT,20210525,21.8000,23.0000,21.8000,23.0000,5300
BCB,20210525,3.6000,3.6000,3.6000,3.6000,0
BCC,20210525,10.5000,10.6000,10.2000,10.3000,384737
BCE,20210525,11.7500,11.7500,11.4000,11.5500,96700
BCF,20210525,41.0000,41.0000,41.0000,41.0000,500
BCG,20210525,11.8398,11.8860,11.5623,11.6548,978300
BCM,20210525,55.0000,55.9000,54.5000,55.4000,21000
BCP,20210525,12.0000,12.0000,12.0000,12.0000,0
BCV,20210525,21.5000,21.5000,21.5000,21.5000,0
BDB,20210525,10.8000,10.8000,10.8000,10.8000,0
BDG,20210525,42.3000,42.4000,42.3000,42.4000,3200
BDT,20210525,24.9000,25.2000,24.9000,25.1000,11000
BDW,20210525,16.0000,16.0000,16.0000,16.0000,0
BED,20210525,29.0000,29.0000,29.0000,29.0000,100
BEL,20210525,10.0229,10.0229,10.0229,10.0229,0
BFC,20210525,26.3000,26.8000,25.2000,26.7500,489300
BGW,20210525,19.6000,19.6000,19.6000,19.6000,0
BHA,20210525,10.5000,10.7000,10.7000,10.7000,100
BHC,20210525,2.9000,2.9000,2.9000,2.9000,0
BHG,20210525,10.2000,10.2000,10.2000,10.2000,0
BHK,20210525,12.5000,12.5000,12.5000,12.5000,0
BHN,20210525,61.9000,61.9000,61.9000,61.9000,600
BHP,20210525,6.6000,6.6000,6.6000,6.6000,100
BHT,20210525,7.9000,7.9000,7.9000,7.9000,0
BIC,20210525,20.2000,20.5000,20.2000,20.4000,56000
BID,20210525,46.7000,46.8500,45.4500,46.7000,6329600
BII,20210525,8.7000,8.7000,8.5000,8.5000,833753
BIO,20210525,121.2694,121.2694,121.2694,121.2694,1300
BKC,20210525,5.5000,5.5000,5.5000,5.5000,600
BKG,20210525,10.7500,10.8000,10.4500,10.7500,211700
BKH,20210525,27.0000,27.0000,27.0000,27.0000,500
BLF,20210525,3.5000,3.5000,3.5000,3.5000,0
BLI,20210525,13.3000,13.5000,13.5000,13.5000,100
BLN,20210525,2.2000,2.2000,2.2000,2.2000,0
BLT,20210525,23.0000,23.5000,23.0000,23.0000,5600
BLU,20210525,10.0000,10.0000,10.0000,10.0000,0
