<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20200810,3341.5300,3399.9299,3335.0400,3379.2500,381400
A32,20200810,24.9880,24.9880,24.9880,24.9880,500
AAA,20200810,10.4246,10.6989,10.4703,10.5617,1367450
AAM,20200810,11.7000,11.7000,10.5500,10.5500,3870
AAS,20200810,31.7000,31.7000,27.2000,27.2000,75200
AAV,20200810,5.4000,5.5000,5.0000,5.1000,618800
ABC,20200810,10.4000,11.6000,10.2000,10.6000,40808
ABI,20200810,30.7204,31.0177,30.6213,30.7204,31039
ABR,20200810,18.9000,24.6000,18.9000,24.6000,300
ABS,20200810,8.9231,8.9231,8.4616,8.6923,154920
ABT,20200810,30.9987,30.9987,30.9987,30.9987,0
AC4,20200810,3.0000,3.0000,3.0000,3.0000,0
ACB,20200810,14.5846,14.8308,14.5846,14.6462,2576760
ACC,20200810,10.8152,10.9816,10.7819,10.8485,4280
ACE,20200810,30.1285,30.1285,28.5622,30.1285,4751
ACL,20200810,17.2500,17.2500,17.2500,17.2500,171090
ACM,20200810,0.7000,0.7000,0.6000,0.6000,351288
ACS,20200810,11.6000,11.6000,11.6000,11.6000,0
ACV,20200810,54.0000,54.1000,53.2000,53.8000,102855
ADC,20200810,11.6577,11.6577,11.6577,11.6577,0
ADG,20200810,49.3000,50.5000,49.3000,49.8000,24060
ADP,20200810,10.6760,10.6760,10.6760,10.6760,0
ADS,20200810,8.0288,8.0288,7.9415,8.0288,1880
AFX,20200810,6.0000,7.0000,6.0000,7.0000,378749
AG1,20200810,8.3000,8.3000,8.3000,8.3000,0
AGF,20200810,2.9000,2.9000,2.9000,2.9000,0
AGG,20200810,24.5477,24.5477,24.0931,24.0931,404640
AGM,20200810,11.0000,11.7500,11.0000,11.7000,43560
AGP,20200810,16.9891,16.9891,16.9891,16.9891,100
AGR,20200810,3.5000,3.5500,3.4600,3.4600,188920
AGX,20200810,26.2000,26.2000,26.2000,26.2000,0
ALT,20200810,10.7647,10.7647,10.7647,10.7647,0
ALV,20200810,2.8000,2.8000,2.8000,2.8000,0
AMC,20200810,15.8468,15.8468,15.8468,15.8468,0
AMD,20200810,2.5400,2.7000,2.5400,2.6400,2249990
AME,20200810,6.9000,6.9000,6.9000,6.9000,0
AMP,20200810,10.2000,10.2000,10.2000,10.2000,0
AMS,20200810,7.3636,7.4545,7.3636,7.4545,1700
AMV,20200810,10.1889,10.1889,9.8492,10.0530,463384
ANT,20200810,10.0000,10.0000,10.0000,10.0000,200
ANV,20200810,15.0081,15.1515,14.9125,15.1037,209470
APC,20200810,18.3000,18.6000,18.3000,18.3500,8070
APF,20200810,24.2808,24.2808,24.2808,24.2808,500
APG,20200810,10.2487,10.3773,10.2058,10.3774,1402150
APH,20200810,51.8664,51.8664,48.4591,48.8377,413640
API,20200810,7.8412,7.8412,7.8412,7.8412,0
APL,20200810,13.2000,13.2000,13.2000,13.2000,0
APP,20200810,3.4000,3.4000,3.4000,3.4000,0
APS,20200810,2.3000,2.4000,2.3000,2.4000,1700
APT,20200810,3.5000,3.5000,3.5000,3.5000,0
AQN,20200810,7.5000,7.5000,7.5000,7.5000,0
ARM,20200810,15.4167,15.4167,15.4167,15.4167,0
