<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20190606,2862.3301,2862.3301,2822.1899,2827.8000,177100
A32,20190606,22.8273,22.8273,22.8273,22.8273,0
AAA,20190606,15.4540,15.5873,15.2320,15.3652,1902790
AAM,20190606,12.2080,12.2080,11.4899,11.4899,2560
AAV,20190606,9.0001,9.0901,8.9101,9.0001,32510
ABC,20190606,8.1500,8.1500,7.9030,7.9030,11610
ABI,20190606,22.2424,22.2424,22.2424,22.2424,0
ABR,20190606,6.6000,6.6000,6.6000,6.6000,9
ABT,20190606,35.6280,35.6280,33.8466,33.8466,200
AC4,20190606,3.0000,3.0000,3.0000,3.0000,0
ACB,20190606,13.6805,13.6805,13.4438,13.4911,912088
ACC,20190606,12.2148,12.2148,11.6071,11.6071,4120
ACE,20190606,19.2188,19.2188,19.2188,19.2188,0
ACL,20190606,15.9867,16.1156,15.9652,15.9867,9860
ACM,20190606,0.5000,0.6000,0.5000,0.6000,90000
ACS,20190606,12.8523,12.8523,12.8523,12.8523,0
ACV,20190606,79.0748,79.0748,78.6794,79.0748,51400
ADC,20190606,12.6267,12.6267,12.6267,12.6267,20
ADP,20190606,7.4181,7.4181,7.4181,7.4181,100
ADS,20190606,12.0869,12.1306,11.9124,11.9560,12360
AFX,20190606,2.7000,2.7000,2.7000,2.7000,2900
AG1,20190606,8.9566,8.9566,8.9566,8.9566,0
AGF,20190606,4.1800,4.1800,3.9100,4.0000,6180
AGM,20190606,8.7391,8.7391,8.5677,8.5677,1860
AGP,20190606,21.4562,21.4562,21.4562,21.4562,0
AGR,20190606,3.5400,3.6000,3.5400,3.5900,35840
AGX,20190606,24.1833,24.1833,24.1833,24.1833,0
ALT,20190606,8.9619,8.9619,8.9619,8.9619,0
ALV,20190606,2.3000,2.3000,2.3000,2.3000,0
AMC,20190606,15.3570,15.3570,15.3570,15.3570,0
AMD,20190606,1.6500,1.6800,1.6500,1.6700,571590
AME,20190606,8.1000,8.1000,8.1000,8.1000,0
AMP,20190606,16.2000,16.2000,16.2000,16.2000,0
AMS,20190606,6.8122,6.8122,6.8122,6.8122,209
AMV,20190606,13.1623,13.2074,12.9820,13.2074,48500
ANT,20190606,5.5000,5.5000,5.5000,5.5000,0
ANV,20190606,25.2076,25.4748,24.6286,24.7177,661950
APC,20190606,27.0000,27.0000,26.5000,26.8000,7000
APF,20190606,18.1139,18.1139,18.1139,18.1139,800
APG,20190606,6.6038,6.9297,6.6038,6.8182,758730
API,20190606,21.0068,21.7812,21.0068,21.7812,200
APL,20190606,12.7994,12.7994,12.7994,12.7994,0
APP,20190606,5.0000,5.0000,5.0000,5.0000,0
APS,20190606,2.9000,2.9000,2.8000,2.9000,23200
AQN,20190606,12.4138,12.4138,12.4138,12.4138,0
ARM,20190606,40.1709,40.1709,40.1709,40.1709,0
ART,20190606,2.6000,2.6000,2.5000,2.5000,589080
ASA,20190606,0.7000,0.7000,0.7000,0.7000,0
ASD,20190606,9.9000,9.9000,9.9000,9.9000,0
ASM,20190606,6.2161,6.2599,6.1285,6.2073,1406280
ASP,20190606,5.5721,5.5807,5.5721,5.5807,130
AST,20190606,59.9544,59.9544,59.5743,59.9544,90190
ATA,20190606,0.3000,0.3000,0.3000,0.3000,0
ATB,20190606,0.9000,0.9000,0.9000,0.9000,33704
ATG,20190606,1.2400,1.2900,1.2200,1.2500,67200
ATS,20190606,27.4000,27.4000,27.4000,27.4000,0
AUD-X,20190606,1.4345,1.4345,1.4345,1.4345,0
AUDUSD,20190606,0.0000,0.0000,0.0000,0.7000,119466
AUM,20190606,10.5000,10.5000,10.5000,10.5000,0
AVC,20190606,19.9731,19.9731,19.9731,19.9731,0
AVF,20190606,0.3000,0.3000,0.3000,0.3000,0
B82,20190606,1.1000,1.1000,1.1000,1.1000,0
BAB,20190606,18.8073,18.8073,18.8073,18.8073,5300
BAL,20190606,6.4000,6.4000,6.4000,6.4000,0
BAX,20190606,37.6227,44.5629,37.6227,44.4898,24400
BBC,20190606,63.1000,64.5000,63.0000,64.5000,390
BBM,20190606,10.6453,10.6453,10.6453,10.6453,0
BBS,20190606,9.0133,9.0133,9.0133,9.0133,0
BBT,20190606,17.5000,17.5000,17.5000,17.5000,0
BCB,20190606,6.5964,6.5964,6.5964,6.5964,0
BCC,20190606,6.9643,7.0536,6.8750,6.8750,130380
BCE,20190606,5.4063,5.4063,5.3387,5.3537,36730
BCG,20190606,4.3892,4.4043,4.3212,4.3892,794210
BCM,20190606,21.6308,21.7273,21.4376,21.4376,5501
BCP,20190606,11.2000,11.2000,11.2000,11.2000,100
BDB,20190606,8.6795,8.6795,8.6795,8.6795,0
BDG,20190606,26.6525,26.6525,26.6525,26.6525,100
BDT,20190606,8.6247,8.6247,8.6247,8.6247,0
BDW,20190606,9.7528,9.7528,9.7528,9.7528,200
BED,20190606,44.2455,44.2455,44.2455,44.2455,0
BEL,20190606,2.8736,2.8736,2.8736,2.8736,0
BFC,20190606,17.2834,17.5401,17.1123,17.2835,19080
BGW,20190606,9.4941,9.4941,9.4941,9.4941,0
BHA,20190606,12.8560,12.8560,12.8560,12.8560,0
BHC,20190606,2.5000,2.5000,2.5000,2.5000,0
BHG,20190606,11.9284,11.9284,11.9284,11.9284,0
BHK,20190606,11.8795,11.8795,11.8795,11.8795,0
BHN,20190606,89.4284,92.9478,89.4284,92.9478,5110
BHP,20190606,11.9944,11.9944,11.9944,11.9944,0
BHT,20190606,2.7000,2.7000,2.7000,2.7000,0
BIC,20190606,20.1488,20.1488,20.0555,20.0555,1220
BID,20190606,30.3650,30.6551,29.8815,30.2683,329600
BII,20190606,0.9000,1.0000,0.9000,1.0000,157100
BIO,20190606,9.4507,9.4507,9.4507,9.4507,0
BKC,20190606,5.8000,5.8000,5.8000,5.8000,0
BLF,20190606,2.5000,2.5000,2.5000,2.5000,0
BLI,20190606,5.0981,5.0981,5.0981,5.0981,0
BLN,20190606,6.8500,6.8500,6.8500,6.8500,0
BLT,20190606,15.8671,15.8671,15.8671,15.8671,0
BLU,20190606,10.0000,10.0000,10.0000,10.0000,0
BLW,20190606,11.1146,11.1146,11.1146,11.1146,0
BMC,20190606,15.7443,15.7443,15.0922,15.7444,76090
BMD,20190606,4.0727,4.0727,4.0727,4.0727,0
BMF,20190606,40.3000,40.3000,40.3000,40.3000,0
BMG,20190606,21.0697,21.0697,21.0697,21.0697,0
BMI,20190606,20.6287,20.6287,20.0393,20.1235,296120
BMJ,20190606,6.3908,6.3908,6.3908,6.3908,0
BMN,20190606,4.9657,4.9657,4.9657,4.9657,0
BMP,20190606,33.7022,34.5143,33.2961,34.5143,96700
BMS,20190606,5.5000,5.5000,5.5000,5.5000,0
BMV,20190606,9.9522,9.9522,9.9522,9.9522,0
BNW,20190606,8.0474,8.0474,8.0474,8.0474,0
BOT,20190606,53.0000,53.5000,53.0000,53.5000,3100
BPC,20190606,14.1819,14.1819,14.1819,14.1819,0
BPW,20190606,9.9890,9.9890,9.9890,9.9890,0
BQB,20190606,5.0000,5.0000,5.0000,5.0000,0
BRC,20190606,8.6082,8.6082,8.6082,8.6082,30
BRL-X,20190606,3.8794,3.8794,3.8794,3.8794,0
BRR,20190606,8.5147,8.5147,8.5147,8.5147,0
BRS,20190606,10.5499,10.5499,10.5499,10.5499,0
BSA,20190606,12.9169,14.4901,12.9169,13.0825,3000
BSC,20190606,15.2005,15.2005,15.2005,15.2005,0
BSD,20190606,31.0619,31.0619,31.0619,31.0619,0
BSG,20190606,8.1000,8.1000,8.1000,8.1000,0
BSH,20190606,19.2042,19.2042,19.2042,19.2042,0
BSI,20190606,7.5999,7.5999,7.4041,7.4126,4310
BSL,20190606,8.8062,8.8062,8.8062,8.8062,0
BSP,20190606,14.7754,14.7754,14.7754,14.7754,0
BSQ,20190606,26.9291,26.9291,26.9291,26.9291,0
BSR,20190606,13.0000,13.2000,12.9000,13.2000,1251713
BST,20190606,45.8178,45.8178,45.8178,45.8178,0
BT1,20190606,16.1764,16.1764,16.1764,16.1764,0
BT6,20190606,1.5000,1.5000,1.5000,1.5000,0
BTB,20190606,6.8000,6.8000,6.8000,6.8000,0
BTCUSD,20190606,0.0000,0.0000,0.0000,7665.0000,64912
BTCUSD-X,20190606,7822.0205,7822.0205,7822.0205,7822.0205,0
BTD,20190606,12.4689,12.4689,12.0071,12.3920,23500
BTG,20190606,5.5000,5.5000,5.5000,5.5000,0
BTH,20190606,8.0000,8.0000,8.0000,8.0000,0
BTN,20190606,4.7000,4.7000,4.7000,4.7000,0
BTP,20190606,11.0820,11.0820,10.9033,11.0820,8050
BTR,20190606,4.2717,4.2717,4.2717,4.2717,0
BTS,20190606,4.2718,4.2718,4.2718,4.2718,100
BTT,20190606,35.4906,35.4906,35.4906,35.4906,110
BTU,20190606,7.6786,7.6786,7.6786,7.6786,200
BTV,20190606,19.9301,24.2009,19.9301,24.2009,200
BTW,20190606,18.6338,18.6338,18.6338,18.6338,0
BUD,20190606,6.6386,7.0385,6.3986,7.0385,3000
BVG,20190606,2.1000,2.1000,2.0000,2.0000,9820
BVH,20190606,74.9562,75.6367,74.9562,75.6367,163610
BVN,20190606,13.0000,13.0000,13.0000,13.0000,0
BVS,20190606,10.5697,10.5697,10.5697,10.5697,2000
BWA,20190606,9.5241,9.5241,9.5241,9.5241,100
BWE,20190606,23.1186,23.3960,23.1186,23.2111,70300
BWS,20190606,25.0204,25.0204,25.0204,25.0204,0
BXH,20190606,11.9275,11.9275,11.9275,11.9275,0
C12,20190606,4.4000,4.4000,4.4000,4.4000,500
C21,20190606,19.4777,19.5541,19.4777,19.4777,20100
C22,20190606,17.3891,17.3891,17.3891,17.3891,0
C32,20190606,22.2338,22.2338,21.9886,22.2338,40340
C36,20190606,11.1150,11.1150,11.1150,11.1150,0
C47,20190606,12.1359,12.5728,12.1359,12.1359,58810
C4G,20190606,7.5593,7.5593,7.2341,7.3154,174020
C69,20190606,8.6647,8.7435,8.1133,8.1133,58910
C71,20190606,5.7778,5.7778,5.7778,5.7778,0
C92,20190606,8.2000,8.2000,8.2000,8.2000,0
CAD,20190606,0.4000,0.4000,0.4000,0.4000,0
CAD-X,20190606,1.3420,1.3420,1.3420,1.3420,0
CAG,20190606,115.5389,115.5389,115.5389,115.5389,0
CAN,20190606,39.5521,39.5521,39.5521,39.5521,0
CAP,20190606,26.4620,27.7646,26.3935,27.7645,600
CAT,20190606,6.1637,6.1637,6.1637,6.1637,0
CAV,20190606,45.1067,46.3211,45.1067,46.3211,100
CBI,20190606,3.6000,3.6000,3.6000,3.6000,0
CBS,20190606,9.0000,9.0000,9.0000,9.0000,0
CC1,20190606,10.7927,10.7927,10.7927,10.7927,0
CC4,20190606,10.5000,10.5000,10.5000,10.5000,0
CCH,20190606,9.5003,9.5003,9.5003,9.5003,0
CCI,20190606,11.9828,13.1220,11.8140,11.8140,10720
CCL,20190606,3.4559,3.5779,3.4315,3.4478,292950
CCM,20190606,23.1693,23.1693,23.1693,23.1693,0
CCP,20190606,14.3000,14.3000,14.3000,14.3000,0
CCR,20190606,13.9352,13.9352,13.9352,13.9352,0
CCT,20190606,10.0000,10.0000,10.0000,10.0000,0
CCV,20190606,24.9570,24.9570,24.9570,24.9570,0
CDC,20190606,9.0453,9.0453,9.0453,9.0453,0
CDG,20190606,5.6753,5.6753,5.6753,5.6753,0
CDH,20190606,2.5486,2.5486,2.5486,2.5486,0
CDN,20190606,17.7396,17.7396,17.7396,17.7396,0
CDO,20190606,1.1000,1.1000,1.0000,1.0000,24500
CDP,20190606,8.0964,8.0964,8.0964,8.0964,0
CDR,20190606,5.3490,5.3490,5.3490,5.3490,0
CE1,20190606,8.0000,8.0000,8.0000,8.0000,0
CEC,20190606,15.0000,15.0000,15.0000,15.0000,0
CEE,20190606,16.5000,16.9000,16.5000,16.7000,29200
CEG,20190606,9.0981,9.0981,9.0981,9.0981,0
CEN,20190606,16.0000,16.8000,14.7000,16.8000,36920
CEO,20190606,10.3009,10.3009,10.0298,10.0298,596510
CET,20190606,4.0000,4.0000,4.0000,4.0000,1700
CFC,20190606,14.8031,14.8031,14.8031,14.8031,0
CFV,20190606,21.3000,21.3000,21.3000,21.3000,0
CGV,20190606,2.7000,2.7000,2.6000,2.7000,1100
CH5,20190606,6.7325,6.7325,6.7325,6.7325,0
CHC,20190606,0.8485,0.8485,0.8485,0.8485,0
CHP,20190606,19.1280,19.1280,19.0449,19.0449,8040
CHS,20190606,7.9267,7.9267,7.9267,7.9267,100
CI5,20190606,6.5000,6.5000,6.5000,6.5000,100
CIA,20190606,13.4232,13.4232,13.4232,13.4232,2045
CID,20190606,6.7000,6.7000,6.7000,6.7000,0
CIG,20190606,3.7800,3.7800,3.7000,3.7400,30
CII,20190606,21.4738,21.6630,21.4265,21.4738,91920
CIP,20190606,34.3000,34.3000,34.3000,34.3000,0
CJC,20190606,21.0000,21.0000,21.0000,21.0000,0
CKA,20190606,11.4880,11.4880,11.4880,11.4879,100
CKD,20190606,15.3913,15.3913,15.3913,15.3913,0
CKH,20190606,1.4143,1.4143,1.4143,1.4143,0
CKV,20190606,12.9519,12.9519,12.9519,12.9519,0
CL-F,20190606,51.6600,53.3000,51.1700,52.5900,943186
CLC,20190606,27.9474,28.0301,27.9474,28.0301,10010
CLG,20190606,2.1300,2.1300,2.0500,2.1300,930
CLH,20190606,9.3700,9.3700,9.3700,9.3700,0
CLL,20190606,22.8831,22.8831,22.8831,22.8831,0
CLM,20190606,11.0688,11.0688,11.0688,11.0688,0
CLW,20190606,14.7950,14.7950,14.7950,14.7950,10
CLX,20190606,9.7019,9.7019,9.7019,9.7019,10358
CMC,20190606,3.5000,3.5000,3.5000,3.5000,0
CMF,20190606,117.0849,117.0849,117.0849,117.0849,0
CMG,20190606,32.4571,32.4571,31.6319,32.3195,69130
CMI,20190606,0.6000,0.6000,0.6000,0.6000,0
CMK,20190606,7.4997,7.4997,7.4997,7.4997,0
CMN,20190606,45.8329,45.8329,45.8329,45.8329,0
CMP,20190606,8.2414,8.2414,8.2414,8.2414,0
CMS,20190606,5.8000,5.8000,5.8000,5.8000,0
CMT,20190606,9.9001,11.0701,9.9001,10.8901,61430
CMV,20190606,15.1036,15.1036,15.1036,15.1036,220
CMW,20190606,9.3509,9.3509,9.3509,9.3509,0
CMX,20190606,16.6493,17.0185,16.6493,16.9815,8030
CNC,20190606,15.9215,15.9215,15.9215,15.9214,110
CNG,20190606,20.2507,20.2507,19.8939,20.0277,15120
CNN,20190606,22.8456,22.8456,22.8456,22.8456,0
CNT,20190606,5.3000,5.3000,5.3000,5.3000,0
CNY-X,20190606,6.9081,6.9081,6.9081,6.9081,0
COM,20190606,51.7877,51.7877,51.7877,51.7877,20
CPC,20190606,25.0251,25.7155,23.2993,24.2488,1400
CPH,20190606,1.8387,1.8387,1.8387,1.8387,0
CPI,20190606,2.0000,2.0000,2.0000,2.0000,0
CQT,20190606,3.0000,3.0000,3.0000,3.0000,0
CRC,20190606,14.5444,14.5444,14.4481,14.5444,81690
CRE,20190606,19.4889,19.6480,19.4889,19.5685,346520
CSC,20190606,14.8248,15.3639,14.4654,14.4654,109723
CSI,20190606,23.5000,23.5000,23.5000,23.5000,200
CSM,20190606,14.3619,14.5966,14.1742,14.4557,46140
CSV,20190606,23.5685,23.8696,23.4395,23.8265,15870
CT3,20190606,8.2613,8.2613,8.2613,8.2614,2
CT6,20190606,4.1000,4.1000,4.1000,4.1000,0
CTA,20190606,0.5000,0.5000,0.5000,0.5000,0
CTB,20190606,29.2470,29.2470,29.2470,29.2470,0
CTC,20190606,3.8000,3.8000,3.8000,3.8000,0
CTD,20190606,100.7817,100.7817,97.9822,99.8485,41540
CTF,20190606,16.1737,16.1737,16.1737,16.1737,810
CTG,20190606,19.8166,20.0631,19.6687,20.0138,1981740
CTI,20190606,19.8779,19.9643,19.8779,19.9643,238920
CTN,20190606,0.3000,0.3000,0.3000,0.3000,0
CTP,20190606,3.4000,3.5000,3.4000,3.5000,3000
CTR,20190606,14.3241,14.4318,14.1625,14.3780,105790
CTS,20190606,8.2216,8.2663,8.0876,8.2663,30130
CTT,20190606,6.2683,6.2683,6.2683,6.2683,0
CTW,20190606,4.8141,4.8141,4.8141,4.8141,0
CTX,20190606,7.3475,7.3475,7.3475,7.3475,0
CVH,20190606,10.6997,10.6997,10.6997,10.6997,0
CVN,20190606,8.6114,9.3131,8.6114,9.3130,200
CVT,20190606,16.4716,16.6037,16.2073,16.3835,15070
CX8,20190606,8.9443,8.9443,8.9443,8.9443,0
CXH,20190606,6.9565,6.9565,6.9565,6.9565,0
CYC,20190606,0.8000,0.8000,0.8000,0.8000,0
D11,20190606,10.7113,10.7113,10.7113,10.7113,0
D2D,20190606,42.5242,42.5242,41.9034,42.0586,17720
DAC,20190606,13.0000,13.0000,13.0000,13.0000,0
DAD,20190606,14.4835,14.4835,14.4835,14.4835,0
DAE,20190606,14.8938,14.8938,14.8938,14.8938,100
DAG,20190606,5.6609,5.6870,5.6522,5.6609,103260
DAH,20190606,8.4300,8.4600,8.3500,8.3800,287430
DAP,20190606,63.3712,63.3712,63.3712,63.3712,0
DAR,20190606,5.4775,5.4775,5.4775,5.4775,0
DAS,20190606,8.8963,8.8963,8.8963,8.8963,0
DAT,20190606,16.0952,16.0952,16.0952,16.0952,0
DBC,20190606,15.2233,16.4919,14.9994,16.4172,282260
DBD,20190606,37.4616,37.4616,36.9923,37.3763,37910
DBH,20190606,8.9399,8.9399,8.9399,8.9399,0
DBM,20190606,46.5365,46.5365,46.5365,46.5365,0
DBT,20190606,9.1661,9.1661,9.0010,9.0010,500
DBW,20190606,10.0000,10.0000,10.0000,10.0000,0
DC1,20190606,8.5604,8.5604,8.5604,8.5604,0
DC2,20190606,5.3000,5.3000,4.5000,4.5000,200
DC4,20190606,8.2412,8.2412,7.3047,7.3047,6128
DCF,20190606,5.2000,5.2000,5.2000,5.2000,3068
DCG,20190606,16.0465,16.0465,16.0465,16.0465,0
DCH,20190606,4.9961,4.9961,4.9961,4.9961,0
DCI,20190606,1.3000,1.3000,1.3000,1.3000,0
DCL,20190606,17.8500,18.5000,17.8500,18.5000,2640
DCM,20190606,7.1397,7.1397,7.0547,7.0547,171930
DCR,20190606,9.6000,9.6000,9.6000,9.6000,0
DCS,20190606,0.5000,0.5000,0.5000,0.5000,0
DCT,20190606,0.6000,0.6000,0.6000,0.6000,0
DDG,20190606,19.5868,19.5868,19.4215,19.5868,19200
DDH,20190606,5.3492,5.3492,5.3492,5.3492,0
DDM,20190606,1.0000,1.0000,1.0000,1.0000,0
DDN,20190606,12.6043,12.6043,12.6043,12.6043,0
DDV,20190606,8.1000,8.1000,8.1000,8.1000,100
DFC,20190606,51.2071,51.2071,51.2071,51.2071,0
DGC,20190606,20.8987,20.9684,20.7594,20.8987,20935
DGT,20190606,25.0000,25.0000,25.0000,25.0000,0
DGW,20190606,20.7260,20.7260,20.5345,20.6781,104250
DHA,20190606,29.1962,29.1962,27.8289,29.1962,3500
DHB,20190606,6.5000,6.5000,6.5000,6.5000,0
DHC,20190606,30.9968,31.3776,30.9968,31.3015,120990
DHD,20190606,21.1922,21.1922,21.1922,21.1922,0
DHG,20190606,105.3138,105.7721,103.1141,105.3138,9850
DHM,20190606,4.9600,4.9600,4.6200,4.9000,15280
DHN,20190606,10.5198,10.5198,10.5198,10.5198,0
DHP,20190606,8.4183,8.4183,8.4183,8.4183,0
DHT,20190606,29.3058,29.3058,28.5800,28.5800,7700
DIC,20190606,2.9800,2.9900,2.9300,2.9800,7220
DID,20190606,4.9000,4.9000,4.9000,4.9000,0
DIG,20190606,10.2757,10.4236,10.0170,10.2388,800170
DIH,20190606,18.2748,18.2748,18.2748,18.2748,0
DL1,20190606,33.3000,33.3000,33.3000,33.3000,0
DLD,20190606,9.0000,9.0000,9.0000,9.0000,0
DLG,20190606,1.3500,1.3600,1.3400,1.3400,578420
DLR,20190606,9.0000,9.0000,9.0000,9.0000,0
DLT,20190606,15.7210,15.7210,15.7210,15.7210,100
DM7,20190606,7.9442,7.9442,7.9442,7.9442,0
DMC,20190606,65.0371,66.4288,64.9443,66.4288,1690
DNA,20190606,15.0065,15.0065,15.0065,15.0065,0
DNC,20190606,16.8015,16.8015,16.8015,16.8015,0
DND,20190606,36.7992,36.7992,36.7992,36.7992,0
DNE,20190606,6.0313,6.0313,6.0313,6.0313,0
DNH,20190606,21.9281,21.9281,21.9281,21.9281,1000
DNL,20190606,10.9052,10.9052,10.9052,10.9052,200
DNM,20190606,11.0000,11.0000,11.0000,11.0000,0
DNN,20190606,0.2055,0.2055,0.2055,0.2055,0
DNP,20190606,15.2000,15.4000,15.1000,15.1000,25200
DNR,20190606,4.9641,4.9641,4.9641,4.9641,0
DNS,20190606,11.0497,11.0497,11.0497,11.0497,0
DNW,20190606,14.0068,14.3505,14.0068,14.1787,1600
DNY,20190606,3.0000,3.0000,3.0000,3.0000,0
DOC,20190606,7.7980,7.7980,7.7980,7.7980,0
DOGE-USD,20190606,0.0031,0.0031,0.0030,0.0031,71608123
DOP,20190606,14.4175,14.4175,14.4175,14.4175,0
DP1,20190606,11.4230,11.4230,11.4230,11.4230,100
DP2,20190606,7.4000,7.4000,7.4000,7.4000,0
DP3,20190606,52.7438,54.0408,52.7438,53.1761,7240
DPC,20190606,44.7413,44.7413,44.7413,44.7413,0
DPG,20190606,36.9444,37.3292,36.9444,37.2330,58360
DPH,20190606,19.0167,19.1052,19.0167,19.1052,200
DPM,20190606,15.6661,15.7522,15.2357,15.4939,191910
DPP,20190606,12.6827,12.6827,12.6827,12.6827,0
DPR,20190606,34.3433,35.4881,34.3433,35.4880,159930
DPS,20190606,0.6000,0.6000,0.5000,0.6000,45740
DQC,20190606,17.2913,17.4782,17.1978,17.4783,14140
DRC,20190606,16.7630,17.2868,16.5884,17.1122,301190
DRH,20190606,6.0500,6.3000,6.0500,6.2600,123810
DRI,20190606,6.0890,6.4182,6.0890,6.4181,309410
DRL,20190606,43.8670,43.8670,43.8670,43.8670,370
DS3,20190606,3.4427,3.4427,3.3567,3.4427,48100
DSC,20190606,10.0000,10.0000,9.8000,9.8000,20900
DSG,20190606,16.1000,16.1000,16.1000,16.1000,0
DSN,20190606,50.2501,50.3357,50.0789,50.0789,1530
DSP,20190606,10.3748,10.8298,10.3748,10.8298,3100
DSS,20190606,4.3438,4.3438,4.3438,4.3438,0
DST,20190606,1.2000,1.3000,1.1000,1.2000,68732
DSV,20190606,5.2841,5.2841,5.2841,5.2841,0
DT4,20190606,8.1492,8.1492,8.1492,8.1492,0
DTA,20190606,5.9048,5.9048,5.8096,5.9048,210
DTC,20190606,17.0000,17.0000,17.0000,17.0000,0
DTD,20190606,10.4521,10.5325,10.0501,10.1305,99535
DTG,20190606,13.9924,13.9924,13.9924,13.9924,0
DTI,20190606,13.4875,13.4875,13.4875,13.4875,0
DTK,20190606,10.1883,10.1883,10.1883,10.1883,0
DTL,20190606,32.4500,32.4500,32.4500,32.4500,0
DTT,20190606,11.0795,11.0795,11.0795,11.0796,10
DTV,20190606,17.4421,17.4421,17.4421,17.4421,0
DVC,20190606,7.3126,7.3126,7.3126,7.3126,0
DVN,20190606,14.1551,14.2494,13.8720,13.8719,42900
DVP,20190606,32.2795,32.2795,31.9042,32.0293,12420
DVW,20190606,19.6245,19.6245,19.6245,19.6245,0
DWS,20190606,10.1910,10.1910,10.1910,10.1910,0
DX2,20190606,10.2000,10.2000,10.2000,10.2000,0
DXG,20190606,14.1521,14.3880,14.0342,14.0734,541430
DXL,20190606,3.1000,3.1000,3.1000,3.1000,0
DXP,20190606,11.7000,11.7000,11.7000,11.7000,1036
DXV,20190606,3.2700,3.2700,3.2700,3.2700,10
DZM,20190606,4.6000,4.6000,4.6000,4.6000,0
E1VFVN30,20190606,14.3700,14.3700,14.1800,14.2100,1227250
EAD,20190606,14.7242,14.7242,14.7242,14.7242,0
EBS,20190606,7.2454,7.2454,7.2454,7.2454,0
ECI,20190606,11.4823,11.4823,11.4823,11.4823,0
EFI,20190606,2.9000,2.9000,2.9000,2.9000,0
EIB,20190606,17.8000,18.5000,17.7000,18.3500,309790
EIC,20190606,10.5446,10.5446,10.5446,10.5446,0
EID,20190606,10.5842,10.5842,10.5842,10.5842,210
EIN,20190606,2.9000,2.9000,2.9000,2.9000,1400
ELC,20190606,6.9500,6.9600,6.9500,6.9600,17450
EMC,20190606,12.5000,12.5000,12.5000,12.5000,39000
EME,20190606,29.9852,29.9852,29.9852,29.9852,0
EMG,20190606,22.8477,22.8477,22.8477,22.8477,0
EMS,20190606,23.6771,23.6771,23.0418,23.0996,1510
EPC,20190606,10.2000,10.2000,10.2000,10.2000,0
EPH,20190606,6.0595,6.0595,6.0595,6.0595,4000
ETHUSD-X,20190606,249.4743,249.4743,249.4743,249.4743,0
EUR-X,20190606,0.8906,0.8906,0.8906,0.8906,0
EURUSD,20190606,0.0000,0.0000,0.0000,1.1300,102063
EVE,20190606,12.0836,12.7692,12.0836,12.5977,28520
EVF,20190606,5.3778,5.3778,5.1892,5.3779,14370
EVG,20190606,2.5676,2.5859,2.4942,2.4943,192220
