<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20180919,2694.8000,2746.0801,2690.9900,2730.8501,141600
AAA,20180919,15.0988,15.5428,15.1876,15.3652,2153040
AAM,20180919,7.6541,7.7933,7.6541,7.7933,1960
AAV,20180919,9.8610,10.0958,9.3132,9.6262,101210
ABC,20180919,8.3146,8.3970,7.9030,8.3970,68700
ABI,20180919,22.7158,22.7158,22.7158,22.7157,100
ABR,20180919,5.5000,5.5000,5.5000,5.5000,0
ABT,20180919,29.3637,29.3637,29.3637,29.3637,500
AC4,20180919,3.0001,3.0001,3.0001,3.0001,0
ACB,20180919,15.9053,16.0473,15.8107,15.8580,2798730
ACC,20180919,11.5463,11.5463,11.5463,11.5463,1200
ACE,20180919,17.6655,18.5103,17.6655,18.5103,400
ACL,20180919,5.8947,6.0370,5.5288,5.6915,30450
ACM,20180919,0.9000,1.0000,0.9000,0.9000,291292
ACS,20180919,6.5060,6.5060,6.5060,6.5060,0
ACV,20180919,83.1193,83.1193,81.1636,82.1414,100097
ADC,20180919,14.7375,14.7375,14.7375,14.7375,500
ADP,20180919,9.0381,9.0381,9.0381,9.0381,0
ADS,20180919,11.2807,12.1513,11.2807,12.1513,60190
AFX,20180919,2.8450,2.8450,2.8450,2.8450,2100
AG1,20180919,7.8323,7.8323,7.8323,7.8323,0
AGF,20180919,4.6700,4.6700,4.6700,4.6700,12450
AGM,20180919,7.7109,7.7109,7.7109,7.7109,8910
AGP,20180919,22.3790,22.3790,22.3790,22.3790,0
AGR,20180919,3.5800,3.6500,3.5600,3.5800,222300
AGX,20180919,23.7597,23.7597,23.7597,23.7597,0
ALT,20180919,10.9439,10.9439,10.9439,10.9439,0
ALV,20180919,3.1000,3.1000,3.1000,3.1000,5900
AMC,20180919,16.0312,16.0312,14.6079,14.6079,1600
AMD,20180919,3.7600,3.8700,3.7100,3.7700,1498100
AME,20180919,10.8215,10.8215,10.8215,10.8216,100
AMP,20180919,18.5000,18.5000,18.5000,18.5000,0
AMS,20180919,6.0648,6.0648,6.0648,6.0648,0
AMV,20180919,12.2608,12.3059,11.9453,12.2157,242410
ANT,20180919,9.9000,9.9000,9.9000,9.9000,0
ANV,20180919,18.7504,19.0061,18.1538,18.2390,721190
APC,20180919,31.8000,31.8000,31.0500,31.5000,41750
APF,20180919,20.2531,20.2531,20.2531,20.2531,0
APG,20180919,5.2316,5.2316,5.0000,5.2230,211170
API,20180919,21.7812,21.7812,20.1355,20.1355,250
APL,20180919,13.1655,13.1655,13.1655,13.1655,0
APP,20180919,6.8627,7.6471,6.8627,7.6471,350
APS,20180919,3.1000,3.2000,3.1000,3.2000,109900
ARM,20180919,49.3714,49.3714,49.3714,49.3714,0
ART,20180919,9.8000,10.2000,9.4000,9.8000,1150357
ASA,20180919,0.7000,0.7000,0.7000,0.7000,0
ASD,20180919,4.1000,4.1000,4.1000,4.1000,0
ASM,20180919,11.0313,11.2502,10.9876,11.1189,5205450
ASP,20180919,5.6666,5.8383,5.6151,5.8211,150
AST,20180919,45.2381,46.1309,45.0149,45.6845,52700
ATA,20180919,0.7000,0.7000,0.7000,0.7000,0
ATB,20180919,1.0000,1.0000,0.9000,1.0000,139400
ATG,20180919,1.5000,1.5000,1.5000,1.5000,137000
ATS,20180919,37.2000,37.2000,37.0000,37.1000,5100
AUD-X,20180919,1.3839,1.3839,1.3839,1.3839,0
AUDUSD,20180919,0.0000,0.0000,0.0000,0.7300,86824
AUM,20180919,10.5000,10.5000,10.5000,10.5000,0
AVC,20180919,23.4824,23.4824,23.4824,23.4824,0
AVF,20180919,0.4000,0.4000,0.4000,0.4000,0
B82,20180919,1.2000,1.2000,1.2000,1.2000,0
BAB,20180919,18.8991,18.8991,18.8991,18.8991,11900
BAL,20180919,33.6675,33.6675,33.6675,33.6675,0
BAX,20180919,17.0794,17.0794,17.0794,17.0794,0
BBC,20180919,76.8003,79.6928,76.7006,78.8949,1610
BBM,20180919,8.9691,8.9691,8.9691,8.9691,0
BBS,20180919,11.2221,11.2221,11.2221,11.2221,0
BBT,20180919,14.5000,16.9000,14.3000,14.5000,14430
BCC,20180919,5.8036,5.9822,5.8036,5.9821,37159
BCE,20180919,4.0396,4.0697,4.0396,4.0547,13880
BCG,20180919,5.2882,5.5904,5.2353,5.5904,538630
BCM,20180919,14.2917,14.9677,13.8089,14.9677,7000
BCP,20180919,10.0891,10.0891,10.0891,10.0891,0
BDB,20180919,5.6210,5.6210,5.6210,5.6210,0
BDG,20180919,23.6301,23.6994,23.6301,23.6995,300
BDT,20180919,7.6802,7.6802,7.6802,7.6802,0
BDW,20180919,8.1738,8.1738,8.1738,8.1738,0
BED,20180919,28.3326,28.3326,28.3326,28.3326,100
BEL,20180919,6.0955,6.0955,6.0955,6.0955,0
BFC,20180919,21.9970,21.9970,21.4004,21.4004,30670
BGW,20180919,9.4719,9.4719,9.4719,9.4719,0
BHA,20180919,14.6361,14.6361,14.6361,14.6361,0
BHC,20180919,2.0000,2.0000,2.0000,2.0000,0
BHK,20180919,11.1522,11.1522,11.1522,11.1522,0
BHN,20180919,76.1631,76.1631,74.8997,74.8997,2850
BHP,20180919,7.8156,7.8156,7.8156,7.8156,0
BHT,20180919,4.5000,4.5000,4.5000,4.5000,100
BIC,20180919,24.2532,24.9061,24.2532,24.3465,12790
BID,20180919,34.3299,34.7650,34.0397,34.1364,2943070
BII,20180919,1.4000,1.4000,1.2000,1.4000,2265648
BIO,20180919,9.4507,9.4507,9.4507,9.4507,0
BKC,20180919,8.4000,8.4000,8.4000,8.4000,200
BLF,20180919,2.7000,2.9000,2.7000,2.9000,1800
BLI,20180919,5.0268,5.1041,5.0268,5.1042,2324
BLN,20180919,6.8212,6.8212,6.8212,6.8212,0
BLT,20180919,16.9253,16.9253,16.9253,16.9253,100
BMC,20180919,12.1366,12.1366,11.4330,11.9607,15740
BMD,20180919,7.9858,7.9858,7.9858,7.9858,0
BMF,20180919,30.5333,30.5333,30.5333,30.5333,0
BMI,20180919,20.2077,20.3761,19.7867,20.0393,299200
BMJ,20180919,4.5112,4.5112,4.5112,4.5112,600
BMN,20180919,5.5676,5.5676,5.5676,5.5676,0
BMP,20180919,43.8643,44.7625,43.8643,44.0140,275830
BMS,20180919,6.2169,6.3083,6.2169,6.3083,7800
BMV,20180919,9.9522,9.9522,9.9522,9.9522,0
BPC,20180919,13.6693,13.6693,13.6693,13.6693,0
BPW,20180919,9.9890,9.9890,9.9890,9.9890,0
