<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20171229,3295.2500,3308.2300,3292.7700,3307.1699,141600
AAA,20171229,21.4267,21.7865,21.4267,21.6556,1562720
AAM,20171229,6.9397,6.9397,6.5744,6.8733,70
ABC,20171229,12.3485,12.3485,12.1839,12.1838,1900
ABI,20171229,23.9209,23.9209,22.7458,23.4172,1000
ABT,20171229,22.2892,23.3652,22.0586,23.0578,4950
AC4,20171229,4.1526,4.1526,4.1526,4.1526,0
ACB,20171229,13.8456,14.0327,13.6960,13.8083,4466849
ACC,20171229,11.4451,11.4451,11.2229,11.2228,600
ACE,20171229,17.9677,17.9677,17.9677,17.9677,100
ACL,20171229,3.4759,3.4759,3.2930,3.2929,5440
ACM,20171229,1.7000,1.7000,1.6000,1.7000,38405
ACS,20171229,10.5943,10.6695,10.5943,10.6694,500
ACV,20171229,107.7618,109.5219,100.7211,106.0994,220219
ADC,20171229,11.6339,11.6339,11.6339,11.6339,9
ADP,20171229,13.4660,13.4660,13.0172,13.0172,200
ADS,20171229,11.7414,11.7751,11.7414,11.7414,14330
AFX,20171229,3.5563,3.5563,3.4696,3.4696,600
AGF,20171229,8.5000,9.5000,8.5000,9.5000,130
AGM,20171229,7.2147,7.2147,7.2147,7.2147,0
AGP,20171229,14.4934,14.4934,14.4934,14.4934,0
AGR,20171229,5.8000,6.0600,5.7900,6.0600,2107910
AGX,20171229,14.7612,14.7612,14.7612,14.7612,0
ALT,20171229,12.2951,12.2951,12.2951,12.2951,0
ALV,20171229,12.9000,13.2000,12.4000,13.1000,101219
AMC,20171229,18.2856,18.2856,18.2856,18.2856,0
AMD,20171229,9.2900,9.3200,9.0800,9.0800,709370
AME,20171229,3.0614,3.0614,3.0614,3.0614,0
AMP,20171229,19.0000,19.0000,19.0000,19.0000,0
AMS,20171229,6.5565,6.5565,5.6550,5.6550,17100
AMV,20171229,7.2573,8.2489,7.2122,8.2490,17600
ANT,20171229,9.0000,9.0000,9.0000,9.0000,0
ANV,20171229,8.8488,8.9694,8.6879,8.8889,541470
APC,20171229,83.0000,84.0000,82.0000,82.5000,56990
APF,20171229,22.3146,22.3146,20.2005,20.2005,1100
APG,20171229,4.1758,4.3965,4.1128,4.1129,529550
API,20171229,29.2352,29.9129,29.2352,29.9129,1100
APL,20171229,13.1658,13.1658,13.1658,13.1658,0
APP,20171229,6.8101,6.8101,6.8101,6.8101,6
APS,20171229,3.2000,3.5000,3.1000,3.3000,424610
ARM,20171229,18.0741,18.0741,18.0741,18.0741,5
ART,20171229,10.4274,11.1966,10.4274,11.1111,1054843
ASA,20171229,3.0000,3.0000,2.9000,3.0000,681825
ASD,20171229,0.7000,0.7000,0.7000,0.7000,0
ASM,20171229,9.2803,9.3679,9.1928,9.2803,5151900
ASP,20171229,5.7254,5.7254,5.3322,5.6310,34290
ATA,20171229,1.0000,1.0000,0.9000,0.9000,49199
ATB,20171229,1.4000,1.5000,1.4000,1.4000,118700
ATG,20171229,2.9200,2.9200,2.8000,2.9000,61890
ATS,20171229,61.7000,61.8000,61.7000,61.7000,4800
AUD-X,20171229,1.2830,1.2830,1.2830,1.2830,0
AUM,20171229,10.4867,10.4867,10.4867,10.4867,0
AVF,20171229,0.3000,0.4000,0.3000,0.4000,81900
B82,20171229,2.0000,2.0000,2.0000,2.0000,0
BAB,20171229,22.9358,22.9358,22.9358,22.9358,30000
BAX,20171229,12.7134,12.7134,12.7134,12.7134,0
BBC,20171229,89.7666,89.7666,88.7692,88.7692,560
BBS,20171229,10.7120,10.7120,10.7120,10.7120,0
BCC,20171229,6.7857,6.7857,6.6964,6.7857,10900
BCE,20171229,3.6615,3.6680,3.6157,3.6615,11140
BCG,20171229,4.6612,4.6612,4.5328,4.6612,226040
BCP,20171229,4.0394,4.0394,4.0394,4.0394,0
BDB,20171229,6.8885,6.8885,6.8885,6.8885,0
BDG,20171229,16.9522,16.9522,16.9522,16.9522,0
BDT,20171229,10.1964,10.1964,10.1964,10.1964,0
BDW,20171229,8.8816,8.8816,8.8816,8.8816,0
BED,20171229,24.5500,24.5500,24.5500,24.5500,0
BEL,20171229,6.1826,6.1826,6.1826,6.1826,0
BFC,20171229,25.4632,25.5009,25.3120,25.4254,109810
BGW,20171229,9.4011,9.4011,9.4011,9.4011,0
BHA,20171229,16.3172,16.3172,16.3172,16.3172,0
BHC,20171229,2.7000,2.7000,2.6000,2.6000,6443
BHN,20171229,114.5153,116.5006,111.8983,115.1470,37830
BHP,20171229,9.1957,9.1957,9.1957,9.1957,3000
BHT,20171229,3.6000,3.6000,3.6000,3.6000,0
BIC,20171229,32.2617,33.6723,32.2617,33.5813,7400
BID,20171229,24.2243,24.6595,23.9342,24.6595,2593290
BII,20171229,2.0000,2.1000,1.9000,2.1000,59500
BKC,20171229,8.3000,8.3000,8.3000,8.3000,0
BLF,20171229,3.9000,3.9000,3.9000,3.9000,0
BLI,20171229,5.1839,5.1839,5.1839,5.1839,0
BLN,20171229,6.8212,6.8212,6.8212,6.8212,0
BLT,20171229,25.2790,25.2790,25.2790,25.2790,0
BMC,20171229,12.5554,12.5554,12.4717,12.5554,4420
BMD,20171229,5.2233,5.2233,5.2233,5.2233,0
BMI,20171229,29.0486,29.8906,29.0486,29.8906,29350
BMJ,20171229,3.3301,3.3301,3.3301,3.3300,100
BMN,20171229,5.5751,5.5751,5.5751,5.5751,0
BMP,20171229,60.6017,61.4572,60.6017,61.0295,598150
BMV,20171229,9.9522,9.9522,9.9522,9.9522,0
BPC,20171229,14.0965,14.0965,14.0965,14.0965,0
BPW,20171229,9.9890,9.9890,9.9890,9.9890,0
BRC,20171229,7.7776,7.7776,7.2566,7.2566,20
BRL-X,20171229,3.3111,3.3111,3.3111,3.3111,0
BRR,20171229,12.6173,12.6173,12.6173,12.6173,0
BRS,20171229,4.8505,4.8505,4.8505,4.8505,0
BSC,20171229,13.9255,13.9255,13.9255,13.9255,0
BSD,20171229,31.0628,31.0628,31.0628,31.0628,0
BSG,20171229,10.0721,10.0721,10.0721,10.0721,0
BSI,20171229,10.7625,10.8762,10.3836,10.5352,417830
BSL,20171229,12.2999,12.2999,12.2999,12.2999,0
BSP,20171229,16.7966,16.7966,16.6731,16.6731,1100
BSQ,20171229,18.5014,18.8950,18.5014,18.8950,5000
BST,20171229,9.8695,9.8695,9.8695,9.8695,2500
BT1,20171229,11.6392,11.6392,11.6392,11.6392,0
BT6,20171229,5.6000,5.6000,5.6000,5.6000,4200
BTB,20171229,7.7000,7.7000,7.7000,7.7000,0
BTCUSD-X,20171229,14656.2012,14656.2012,14656.2012,14656.2012,0
BTD,20171229,11.7816,11.9972,11.7816,11.9972,4220
BTG,20171229,5.4503,5.4503,5.4503,5.4503,0
BTH,20171229,10.0000,10.0000,10.0000,10.0000,0
BTP,20171229,8.1768,8.6430,8.1768,8.6071,19850
BTR,20171229,4.4256,4.4256,4.4256,4.4256,0
BTS,20171229,4.3689,4.3689,4.3689,4.3689,100
BTT,20171229,30.0487,33.2861,30.0487,30.3679,3130
BTU,20171229,4.1841,4.1841,4.1841,4.1841,0
BTV,20171229,30.9535,32.5337,30.9535,32.5337,3800
BTW,20171229,14.2594,14.2594,14.2594,14.2594,0
BVG,20171229,1.2000,1.2000,1.2000,1.2000,0
BVH,20171229,65.0688,65.0688,62.6695,62.6696,742300
BVN,20171229,7.5430,7.5430,7.5430,7.5430,0
BVS,20171229,17.0693,17.4757,16.5003,17.3943,23540
BWA,20171229,6.9712,6.9712,6.9712,6.9712,0
BWE,20171229,19.6119,20.0536,19.6119,20.0536,117160
BWS,20171229,18.4699,20.0600,18.4699,20.0600,6000
BXH,20171229,9.1152,9.1152,9.1152,9.1153,1000
C12,20171229,16.0000,16.0000,16.0000,16.0000,0
C21,20171229,14.4963,14.4963,14.3608,14.4962,26042
C32,20171229,25.1345,25.3313,24.9704,25.1345,227710
C36,20171229,11.1154,11.1154,11.1154,11.1154,0
C47,20171229,12.6134,12.9389,12.2879,12.9389,227330
C69,20171229,4.5403,4.5403,4.3307,4.4704,27953
C71,20171229,8.9267,8.9267,8.9267,8.9267,0
C92,20171229,7.2000,7.2000,7.2000,7.2000,0
CAD,20171229,0.6000,0.6000,0.6000,0.6000,1305
CAD-X,20171229,1.2566,1.2566,1.2566,1.2566,0
CAG,20171229,15.5668,15.5668,15.5668,15.5668,0
CAN,20171229,26.5579,26.5579,26.5579,26.5579,0
CAP,20171229,21.7654,21.7654,20.9189,21.1003,6480
CAV,20171229,40.0311,40.1082,39.7225,40.1082,50230
CBI,20171229,5.9000,5.9000,5.9000,5.9000,0
CBS,20171229,16.5000,16.5000,16.5000,16.5000,0
CC1,20171229,18.3006,18.3006,18.3006,18.3006,530
CC4,20171229,12.9000,12.9000,12.9000,12.9000,0
CCH,20171229,6.9352,6.9352,6.9352,6.9352,0
CCI,20171229,10.2745,10.8961,10.2745,10.8961,60
CCL,20171229,3.4153,3.4153,3.1388,3.2607,119570
CCM,20171229,28.0612,28.0612,28.0612,28.0611,2100
CCP,20171229,19.0337,19.0337,19.0337,19.0337,100
CCR,20171229,15.4597,15.4597,15.4597,15.4597,0
CCT,20171229,10.0000,10.0000,10.0000,10.0000,0
CCV,20171229,18.8085,18.8085,18.8085,18.8085,100
CDC,20171229,8.9941,8.9941,8.9941,8.9941,1200
CDG,20171229,5.7161,5.7161,5.7161,5.7161,0
CDH,20171229,6.4241,6.4241,6.4241,6.4241,0
CDN,20171229,17.2159,18.4756,15.6203,17.5518,12000
CDO,20171229,2.2200,2.2400,2.1700,2.1800,579000
CDR,20171229,8.9151,8.9151,8.9151,8.9151,0
CE1,20171229,10.7856,10.7856,10.7856,10.7856,0
CEC,20171229,12.5000,12.5000,12.5000,12.5000,0
CEE,20171229,24.1000,24.6000,23.8000,24.6000,3120
CEG,20171229,10.1355,10.1355,10.1355,10.1355,0
CEO,20171229,8.5300,8.7834,8.4455,8.7834,864020
CET,20171229,4.1000,4.2000,4.0000,4.1000,24700
CFC,20171229,19.3650,19.3650,19.3650,19.3650,0
CGV,20171229,2.0000,2.0000,2.0000,2.0000,0
CH5,20171229,19.1878,19.1878,19.1878,19.1878,0
CHC,20171229,1.3817,1.3817,1.3817,1.3817,0
CHP,20171229,19.0391,19.0746,18.7905,18.7905,87080
CHS,20171229,8.5801,9.3523,8.5801,9.3523,600
CI5,20171229,8.6789,8.6789,8.6789,8.6789,0
CIA,20171229,39.1567,39.2785,37.1471,37.1471,70800
CID,20171229,2.8000,2.8000,2.8000,2.8000,0
CIG,20171229,2.4500,2.4900,2.4200,2.4300,52650
CII,20171229,32.9676,33.8190,32.7784,33.2040,849410
