<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20170217,3227.7100,3238.3999,3199.4299,3202.0801,226200
AAA,20170217,15.5578,16.1156,15.5578,16.1156,1180830
AAM,20170217,6.6741,6.9729,6.6741,6.9729,20
ABC,20170217,17.3480,17.3480,17.3480,17.3480,0
ABI,20170217,20.3953,20.3953,19.8354,19.8354,500
ABT,20170217,31.0732,31.9342,30.6988,31.6722,490
AC4,20170217,5.1005,5.1005,5.1005,5.1005,0
ACB,20170217,8.4197,8.6068,8.4197,8.4945,886909
ACC,20170217,15.5685,15.5685,15.4128,15.4128,20
ACE,20170217,17.1516,17.7492,17.0919,17.7493,4600
ACL,20170217,3.6182,3.6182,3.6182,3.6182,20
ACM,20170217,1.8000,1.9000,1.8000,1.8000,485000
ACV,20170217,49.7569,50.2419,49.4659,50.2419,284679
ADC,20170217,11.3717,11.3717,11.3717,11.3717,7361
ADP,20170217,15.5644,15.5644,15.5644,15.5645,5000
ADS,20170217,13.5604,13.7408,13.3199,13.4702,291900
AFX,20170217,3.5563,3.5563,3.5563,3.5563,200
AGF,20170217,8.3300,8.6500,8.3000,8.6000,21990
AGM,20170217,7.9443,8.1064,7.9362,7.9524,5690
AGP,20170217,18.6238,18.6238,18.6238,18.6238,0
AGR,20170217,3.5200,3.6500,3.3400,3.4000,1063660
AGX,20170217,17.0434,17.0434,17.0434,17.0434,0
ALT,20170217,9.8474,9.8474,9.8474,9.8473,100
ALV,20170217,2.9771,2.9771,2.8810,2.9770,37700
AMC,20170217,18.7847,18.7847,18.7847,18.7847,0
AMD,20170217,14.4000,14.4500,14.1000,14.2500,264210
AME,20170217,2.7766,2.7766,2.7766,2.7766,0
AMP,20170217,17.3455,17.3455,17.3455,17.3455,0
AMS,20170217,6.3430,6.3430,6.3430,6.3430,1000
AMV,20170217,3.2005,3.8315,3.2005,3.8315,11200
ANT,20170217,12.8047,12.8047,12.8047,12.8047,200
ANV,20170217,2.6000,2.9391,2.6000,2.8261,63800
APC,20170217,22.5512,22.5512,21.5707,21.9629,63810
APG,20170217,3.9001,3.9395,3.6637,3.6638,166220
API,20170217,12.9719,13.8432,12.6815,13.8432,83800
APL,20170217,13.1662,13.1662,13.1662,13.1662,0
APP,20170217,7.1888,7.1888,7.1888,7.1888,8372
APS,20170217,2.3000,2.4000,2.3000,2.4000,79100
ARM,20170217,22.5417,22.5417,22.5417,22.5417,36
ASA,20170217,2.1000,2.2000,2.1000,2.2000,405400
ASD,20170217,0.5000,0.5000,0.5000,0.5000,0
ASM,20170217,12.0581,12.1377,11.9785,12.0581,1318050
ASP,20170217,3.1184,3.1184,2.9506,3.0498,2030
ATA,20170217,0.7000,0.9000,0.6000,0.8000,195800
ATG,20170217,3.5000,3.5000,3.0600,3.5000,2394200
ATS,20170217,12.5000,12.5000,12.2000,12.4000,62200
AUD-X,20170217,1.2990,1.2990,1.2990,1.2990,0
AUM,20170217,10.5184,10.5184,10.5184,10.5184,0
AVF,20170217,0.3000,0.4000,0.3000,0.4000,645135
B82,20170217,3.7000,3.9000,3.7000,3.9000,200
BBC,20170217,109.7471,115.0574,107.9769,115.0574,2470
BBS,20170217,10.2629,10.4998,10.2629,10.2629,1200
BCC,20170217,14.2027,14.3623,13.9633,14.2825,405081
BCE,20170217,3.6141,3.6141,3.6083,3.6083,4610
BCG,20170217,3.6639,3.7773,3.6262,3.7773,1044070
BCP,20170217,7.0132,7.0132,7.0132,7.0132,0
BDB,20170217,6.3372,6.3372,6.3372,6.3372,200
BDG,20170217,18.8435,18.8435,18.8435,18.8435,2900
BDW,20170217,6.2169,6.2169,6.2169,6.2169,0
BED,20170217,25.4295,25.4295,25.4295,25.4295,0
BEL,20170217,7.2276,7.2276,7.2276,7.2276,0
BFC,20170217,24.0046,24.4931,23.6557,24.4233,290730
BHC,20170217,3.2000,3.2000,3.2000,3.2000,0
BHN,20170217,98.5152,99.1353,97.8951,97.8950,5480
BHP,20170217,9.8378,9.9185,9.8378,9.9184,910
BHT,20170217,8.9724,8.9724,8.9724,8.9724,0
BIC,20170217,36.1200,37.2823,35.1366,37.2823,26590
BID,20170217,15.8362,15.9768,15.6956,15.8362,2315410
BII,20170217,3.2000,3.4000,3.2000,3.4000,1267737
BKC,20170217,6.9000,6.9000,6.9000,6.9000,0
BLF,20170217,5.2000,5.2000,4.8000,5.0000,8000
BLI,20170217,6.4553,6.4553,5.4399,5.4399,2300
BLN,20170217,9.0172,9.0172,9.0172,9.0172,0
BMC,20170217,11.5731,11.8109,11.2561,11.8109,25080
BMI,20170217,21.3151,21.3940,20.9204,21.0782,149340
BMJ,20170217,3.9658,3.9658,3.9658,3.9658,0
BMN,20170217,5.5955,5.5955,5.5955,5.5955,0
BMP,20170217,74.3496,74.7349,73.2325,73.7717,41820
BPC,20170217,15.0521,15.0521,14.6220,14.9805,17200
BRC,20170217,7.6505,7.6505,7.6505,7.6506,240
BRL-X,20170217,3.0875,3.0875,3.0875,3.0875,0
BRS,20170217,6.9389,6.9389,6.9389,6.9389,0
BSC,20170217,34.0400,34.0400,34.0400,34.0400,0
BSG,20170217,10.1709,10.1709,10.1709,10.1708,2500
BSI,20170217,8.1939,8.1939,8.1939,8.1939,20
BSP,20170217,16.0446,16.0446,16.0446,16.0447,2400
BST,20170217,10.5627,10.5627,10.5627,10.5627,0
BT1,20170217,11.5336,11.5336,11.5336,11.5336,16
BTB,20170217,15.0000,15.0000,15.0000,15.0000,0
BTCUSD-X,20170217,1026.1200,1025.6399,1053.1700,1046.2100,13647400000
BTG,20170217,3.2430,3.2430,3.2430,3.2430,0
BTP,20170217,8.9126,8.9791,8.7796,8.9791,20230
BTR,20170217,4.7964,4.7964,4.7964,4.7964,60
BTS,20170217,8.3495,8.6408,8.2525,8.6408,5400
BTT,20170217,23.7616,23.7616,23.7616,23.7616,10
BTU,20170217,7.5862,7.5862,7.5862,7.5862,0
BTW,20170217,12.7417,12.7417,12.7417,12.7417,0
BVG,20170217,0.8000,0.9000,0.8000,0.9000,14800
BVH,20170217,59.8114,59.8114,58.7737,59.4340,299950
BVN,20170217,7.0000,7.0000,7.0000,7.0000,0
BVS,20170217,12.9238,13.0864,12.7612,13.0864,38280
BWA,20170217,3.4582,3.4582,3.4582,3.4582,0
BXH,20170217,28.3535,28.3535,28.3535,28.3535,0
C12,20170217,18.6047,18.6047,18.6047,18.6047,0
C21,20170217,10.6235,10.6828,10.6235,10.6829,2400
C32,20170217,26.2285,26.8481,26.0736,26.5383,570840
C47,20170217,6.6975,6.9161,6.6975,6.7365,38140
C71,20170217,10.4752,10.5474,10.2585,10.5474,26200
C92,20170217,25.0000,25.0000,25.0000,25.0000,100
CAD,20170217,0.5000,0.5000,0.5000,0.5000,3100
CAD-X,20170217,1.3075,1.3075,1.3075,1.3075,0
CAN,20170217,18.7243,18.7243,18.7243,18.7243,10
CAP,20170217,18.8918,18.9464,18.8372,18.9464,6300
CAV,20170217,40.3168,40.3168,39.2651,39.8260,48230
CCI,20170217,8.2684,8.2684,8.2684,8.2683,100
CCL,20170217,2.3500,2.3663,2.2768,2.3256,134840
CCM,20170217,10.6015,10.6015,10.6015,10.6015,0
CCR,20170217,12.8063,12.8063,12.8063,12.8063,0
CCV,20170217,10.6612,10.6612,10.6612,10.6612,0
CDC,20170217,6.6862,6.6862,6.6862,6.6862,11760
CDH,20170217,6.4469,6.4469,6.4469,6.4469,0
CDN,20170217,16.6684,16.6684,16.4723,16.4723,2000
CDO,20170217,7.0000,7.0000,6.5100,6.5100,3441540
CEC,20170217,15.9259,15.9259,15.9259,15.9259,0
CEO,20170217,9.6754,9.8231,9.6015,9.6754,846660
CFC,20170217,5.8896,5.8896,5.8896,5.8896,0
CHC,20170217,1.7132,1.7132,1.7132,1.7132,0
CHP,20170217,15.1039,15.1039,15.0377,15.0377,3310
