<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20160708,3000.3301,3001.5500,2983.8799,2988.0901,169000
AAA,20160708,18.8921,19.1312,18.2344,18.3540,351800
AAM,20160708,6.3337,6.7137,6.1437,6.7137,2070
ABI,20160708,16.3162,16.3162,16.3162,16.3162,0
ABT,20160708,33.5404,33.5404,32.9293,33.4046,240
ACB,20160708,6.3615,6.3615,6.2935,6.3615,213318
ACC,20160708,16.3469,16.3469,15.6204,15.6722,13700
ACE,20160708,17.8386,17.8931,17.1839,17.4021,22700
ACL,20160708,3.6588,3.7808,3.6588,3.6588,40
ACM,20160708,3.4000,3.4000,3.2000,3.2000,765300
ADC,20160708,11.0372,11.0372,11.0372,11.0372,100
ADP,20160708,13.0878,13.0878,12.8817,12.8816,2850
ADS,20160708,7.2735,7.5598,6.9871,7.1589,1100
AGF,20160708,9.7000,9.7000,9.2000,9.5000,5840
AGM,20160708,8.9981,9.0792,8.9170,8.9171,6730
AGP,20160708,10.9331,10.9331,9.8192,9.8192,200
AGR,20160708,2.8000,2.8000,2.7000,2.8000,96240
AGX,20160708,17.8145,17.8145,17.8145,17.8145,0
ALT,20160708,9.7692,9.7692,9.7692,9.7692,0
ALV,20160708,3.9374,3.9374,3.9374,3.9374,0
AMC,20160708,19.7124,19.8284,19.7124,19.7124,5000
AMD,20160708,12.5383,12.9332,12.5383,12.9332,678910
AME,20160708,2.8478,2.8478,2.8478,2.8478,900
AMV,20160708,1.5326,1.5326,1.5326,1.5326,300
ANV,20160708,2.6000,2.6000,2.5623,2.6000,6040
APC,20160708,20.5903,20.8844,20.0020,20.1981,28170
APG,20160708,6.6184,7.0123,6.5396,7.0123,50100
API,20160708,6.8732,7.1636,6.6796,6.9700,16700
APP,20160708,8.2204,8.2204,8.2204,8.2204,0
APS,20160708,2.8000,2.8000,2.7000,2.7000,8700
ARM,20160708,20.4631,20.4631,20.4631,20.4631,0
