<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20170209,3164.6899,3186.8401,3162.5701,3183.1799,191600
AAA,20170209,14.6280,14.6590,14.4731,14.5351,449470
AAM,20170209,6.7738,7.1058,6.7738,7.1058,20
ABC,20170209,16.4102,16.4102,16.4102,16.4102,0
ABI,20170209,20.3953,22.4748,19.5955,19.5955,7600
ABT,20170209,32.8706,33.6193,32.8706,32.8702,390
AC4,20170209,5.1005,5.1005,5.1005,5.1005,0
ACB,20170209,8.8687,8.8687,8.7939,8.8687,480866
ACC,20170209,15.7760,15.7760,15.7760,15.7760,10
ACE,20170209,18.1676,18.5262,18.1079,18.3469,6900
ACL,20170209,3.5775,3.5775,3.5775,3.5775,0
ACM,20170209,1.7000,1.8000,1.7000,1.7000,548400
ACV,20170209,48.4960,49.3689,48.4960,48.6900,353410
ADC,20170209,10.0338,10.0338,10.0338,10.0338,0
ADP,20170209,14.7231,14.7231,14.7231,14.7231,0
ADS,20170209,12.7185,12.8087,12.6283,12.8087,212900
AFX,20170209,3.0359,3.0359,3.0359,3.0359,0
AGF,20170209,7.7000,7.7000,7.7000,7.7000,7010
AGM,20170209,7.9038,7.9443,7.9038,7.9038,5130
AGP,20170209,18.6238,18.6238,18.6238,18.6238,0
AGR,20170209,3.2000,3.3900,3.0000,3.3900,757090
AGX,20170209,17.0434,17.0434,17.0434,17.0434,0
ALT,20170209,11.8011,11.8011,11.8011,11.8012,130
ALV,20170209,2.8810,2.8810,2.8810,2.8810,12000
AMC,20170209,18.0310,18.0310,18.0310,18.0310,1100
AMD,20170209,14.4500,14.4500,14.2000,14.3000,305080
AME,20170209,2.7766,2.7766,2.7766,2.7766,0
AMP,20170209,20.5079,23.9579,20.5079,23.9578,1100
AMS,20170209,7.3486,7.3486,7.1165,7.1166,500
AMV,20170209,3.9667,3.9667,3.6061,3.6061,300
ANT,20170209,13.2790,13.2790,13.2790,13.2790,0
ANV,20170209,2.1554,2.3061,2.1554,2.3061,32520
APC,20170209,22.0610,22.5512,21.8649,21.8649,65270
APG,20170209,4.1838,4.3335,4.0813,4.0813,7050
API,20170209,12.1007,13.1656,12.1007,13.1655,20600
APL,20170209,13.1662,13.1662,13.1662,13.1662,0
APP,20170209,7.1888,7.1888,7.1888,7.1888,0
APS,20170209,2.2000,2.3000,2.2000,2.3000,29400
ARM,20170209,22.6080,22.6080,22.6080,22.6080,0
ASA,20170209,1.9000,1.9000,1.9000,1.9000,57500
ASD,20170209,0.5000,0.5000,0.5000,0.5000,0
ASM,20170209,12.1377,12.2173,12.0183,12.1377,1569120
ASP,20170209,2.7905,2.9354,2.7600,2.9354,10770
ATA,20170209,0.6700,0.6700,0.6700,0.6700,0
ATG,20170209,2.3600,2.3600,2.3600,2.3600,43100
ATS,20170209,10.7000,11.1000,9.9000,11.0000,32800
AUD-X,20170209,1.3103,1.3103,1.3103,1.3103,0
AUM,20170209,10.5184,10.5184,10.5184,10.5184,0
AVF,20170209,0.2000,0.2000,0.2000,0.2000,0
B82,20170209,3.8000,4.5000,3.8000,4.5000,24100
BBC,20170209,100.3065,106.2069,96.3729,105.7151,14100
BBS,20170209,10.2629,12.2365,10.2629,12.2365,3000
BCC,20170209,12.4473,13.0856,12.4473,12.7665,500081
BCE,20170209,3.6199,3.6430,3.5968,3.6373,31250
BCG,20170209,3.7169,3.7773,3.7018,3.7395,741500
BCP,20170209,7.0132,7.0132,7.0132,7.0132,0
BDB,20170209,6.5273,6.5273,6.5273,6.5273,0
BDG,20170209,22.1625,22.1625,22.1625,22.1625,0
BDW,20170209,6.2169,6.2169,6.2169,6.2169,0
BED,20170209,23.4448,23.4448,23.4448,23.4448,0
BEL,20170209,7.2276,7.2276,7.2276,7.2276,0
BFC,20170209,23.8651,24.7025,23.8651,24.5978,280150
BHC,20170209,3.2000,3.2000,3.2000,3.2000,0
BHN,20170209,100.9071,103.5649,100.9071,100.9958,10950
BHP,20170209,10.6441,10.6441,10.4022,10.4829,1800
BHT,20170209,8.3113,8.3113,8.3113,8.3113,100
BIC,20170209,37.5505,37.5505,35.3154,36.6564,12050
BID,20170209,15.9299,16.0705,15.7893,15.7893,3894230
BII,20170209,2.1000,2.4000,2.1000,2.4000,263000
BKC,20170209,7.1000,7.1000,7.1000,7.1000,5
BLF,20170209,7.5000,7.5000,7.5000,7.5000,0
BLI,20170209,6.0202,6.3104,6.0202,6.3103,1700
BLN,20170209,9.0172,9.0172,9.0172,9.0172,0
BMC,20170209,11.6524,11.6524,11.6524,11.6524,10090
BMI,20170209,21.5914,21.5914,20.8414,21.4730,29910
BMJ,20170209,3.9959,3.9959,3.9959,3.9959,0
BMN,20170209,5.5955,5.5955,5.5955,5.5955,0
BMP,20170209,75.4668,75.4668,74.4267,75.0815,28480
BPC,20170209,14.6938,14.7655,14.4787,14.4787,6700
BRC,20170209,7.7549,7.7549,7.7549,7.7549,0
BRL-X,20170209,3.1159,3.1159,3.1159,3.1159,0
BRS,20170209,6.9389,6.9389,6.9389,6.9389,0
BSC,20170209,34.0400,34.0400,34.0400,34.0400,0
BSG,20170209,10.5658,10.5658,10.5658,10.5658,7000
BSI,20170209,7.9138,7.9838,7.5636,7.6337,48980
BSP,20170209,16.3261,16.3261,16.3261,16.3261,4110
BST,20170209,9.8585,9.8585,9.8585,9.8585,0
BT1,20170209,11.5336,11.5336,11.5336,11.5336,0
BTB,20170209,13.5000,13.5000,13.5000,13.5000,0
BTCUSD-X,20170209,1064.7000,953.3440,1088.9900,994.3830,40722000000
BTG,20170209,3.2430,3.2430,3.2430,3.2430,0
BTP,20170209,8.9126,9.1454,8.9126,9.1121,6410
BTR,20170209,4.7964,4.7964,4.7964,4.7964,0
BTS,20170209,8.3495,9.1262,8.3495,8.7379,15500
BTT,20170209,19.5145,19.5145,19.5145,19.5145,10
BTU,20170209,7.5862,7.5862,7.5862,7.5862,0
BTW,20170209,10.8986,11.6198,10.8986,11.2191,2900
BVG,20170209,1.0000,1.0000,1.0000,1.0000,0
BVH,20170209,59.6227,59.6227,59.2453,59.2453,256980
BVN,20170209,6.1139,6.1139,6.1139,6.1139,0
