<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20170718,3159.7300,3187.6699,3150.1299,3187.5701,190600
AAA,20170718,21.0617,21.0617,20.2888,20.2888,1360980
AAM,20170718,7.1390,7.1722,7.0394,7.1722,5210
ABC,20170718,15.9707,15.9707,14.9828,15.2298,38417
ABI,20170718,28.5371,28.5371,28.5371,28.5371,100
ABT,20170718,27.6694,28.3227,27.2851,27.2851,1420
AC4,20170718,6.6104,6.6104,6.6104,6.6103,100
ACB,20170718,9.3178,9.4675,9.2804,9.3926,2229835
ACC,20170718,14.5008,14.9452,14.4452,14.4452,560
ACE,20170718,17.6623,17.6623,17.6623,17.6623,0
ACL,20170718,3.4353,3.4353,3.4149,3.4352,210
ACM,20170718,2.1000,2.1000,1.9000,2.0000,259230
ACS,20170718,15.2528,15.2528,15.2528,15.2528,0
ACV,20170718,48.0111,48.0111,46.0713,46.8472,94122
ADC,20170718,10.9068,10.9068,10.9068,10.9068,15
ADP,20170718,16.2188,16.2188,16.2188,16.2188,0
ADS,20170718,12.8459,12.9780,12.7469,12.9780,189400
AFX,20170718,4.2502,4.2502,4.2502,4.2502,300
AGF,20170718,10.0000,10.0000,9.5000,9.5000,50
AGM,20170718,7.7011,7.7011,7.4741,7.6200,13980
AGP,20170718,14.7892,14.7892,14.7892,14.7892,0
AGR,20170718,4.0200,4.1200,4.0000,4.1000,906310
AGX,20170718,21.5166,21.5166,21.5166,21.5166,0
ALT,20170718,10.5507,10.5507,10.5507,10.5507,47
ALV,20170718,9.5074,9.5074,8.7391,9.5073,21131
AMC,20170718,17.6326,17.6326,17.5020,17.6326,3900
AMD,20170718,9.6200,9.6500,9.3400,9.3500,1083380
AME,20170718,3.2038,3.2038,3.2038,3.2038,300
AMP,20170718,22.9995,22.9995,22.9995,22.9995,0
AMS,20170718,6.8072,6.8845,6.8072,6.8845,1320
AMV,20170718,6.9868,7.1220,6.9868,6.9868,5300
ANT,20170718,11.5000,11.5000,11.5000,11.5000,100
ANV,20170718,5.2923,5.2923,5.0806,5.0806,6810
APC,20170718,32.0000,32.0000,31.1000,32.0000,469400
APF,20170718,26.2360,26.3683,26.2360,26.3683,7000
APG,20170718,4.4516,4.4910,4.1759,4.3729,203050
API,20170718,30.0097,30.3969,30.0097,30.3969,729
APL,20170718,13.1658,13.1658,13.1658,13.1658,0
APP,20170718,8.8279,8.8279,8.8279,8.8279,79
APS,20170718,3.5000,3.6000,3.5000,3.5000,199130
ARM,20170718,21.3391,21.3391,21.3391,21.3391,0
ASA,20170718,2.2000,2.4000,2.2000,2.3000,74210
ASD,20170718,0.5000,0.5000,0.5000,0.5000,0
ASM,20170718,10.3469,10.3867,10.2275,10.2275,1429010
ASP,20170718,3.7360,3.7817,3.6597,3.7817,2420
ATA,20170718,0.9000,0.9000,0.9000,0.9000,0
ATG,20170718,3.2600,3.5300,3.2500,3.5300,619910
ATS,20170718,20.2000,20.2000,20.2000,20.2000,0
AUD-X,20170718,1.2835,1.2835,1.2835,1.2835,0
AUM,20170718,10.5184,10.5184,10.5184,10.5184,0
AVF,20170718,0.6000,0.6000,0.6000,0.6000,0
B82,20170718,2.7000,2.7000,2.7000,2.7000,2598
BAX,20170718,11.7832,11.7832,11.7832,11.7832,1000
BBC,20170718,105.8694,105.8694,105.8694,105.8694,1000
BBS,20170718,11.3681,11.3681,11.3681,11.3681,297
BCC,20170718,11.8090,11.8090,11.6494,11.7292,183324
BCE,20170718,3.8642,4.1781,3.8642,3.9230,14790
BCG,20170718,5.8019,5.8472,5.6659,5.8170,249140
BCP,20170718,4.9607,4.9607,4.9607,4.9607,0
BDB,20170718,6.1997,6.1997,6.1997,6.1997,0
BDG,20170718,17.2064,17.2064,17.2064,17.2064,0
BDW,20170718,6.2171,6.2171,6.2171,6.2171,0
BED,20170718,26.9369,26.9369,26.9369,26.9369,0
BEL,20170718,6.1826,6.1826,6.1826,6.1826,0
BFC,20170718,27.8813,29.9187,27.8813,28.8822,285530
BHC,20170718,3.2000,3.2000,3.2000,3.2000,0
BHN,20170718,78.2274,78.2274,78.2274,78.2274,143120
BHP,20170718,10.2824,11.5364,10.1152,10.1152,400
BHT,20170718,4.8000,4.8000,4.8000,4.8000,0
BIC,20170718,34.9009,35.9475,33.7633,35.9475,10700
BID,20170718,17.6634,17.8977,17.5229,17.7571,1988430
