<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AUD-X,20210626,1.3162,1.3162,1.3162,1.3162,0
BRL-X,20210626,4.9333,4.9333,4.9333,4.9333,0
BTCUSD-X,20210626,31594.6602,32637.5898,30184.5000,32186.2793,38585385521
CAD-X,20210626,1.2296,1.2296,1.2296,1.2296,0
CNY-X,20210626,6.4545,6.4545,6.4545,6.4545,0
DOGE-USD,20210626,0.2377,0.2551,0.2310,0.2448,2649457301
ETHUSD-X,20210626,1810.8800,1850.1801,1719.5601,1829.2400,20637542360
EUR-X,20210626,0.8376,0.8376,0.8376,0.8376,0
GBP-X,20210626,0.7203,0.7203,0.7203,0.7203,0
HKD-X,20210626,7.7615,7.7615,7.7615,7.7615,0
INR-X,20210626,74.1450,74.1450,74.1450,74.1450,0
JPY-X,20210626,110.7600,110.7600,110.7600,110.7600,0
KRW-X,20210626,1126.8700,1126.8700,1126.8700,1126.8700,0
LINK-USD,20210626,16.9000,17.4900,15.9600,16.9600,956999857
RUB-X,20210626,72.2250,72.2250,72.2250,72.2250,0
SAR-X,20210626,3.7500,3.7500,3.7500,3.7500,0
VND-X,20210626,23020.0000,23020.0000,23020.0000,23020.0000,0
XRP-USD,20210626,0.6116,0.6317,0.5824,0.6154,2458620798
ZAR-X,20210626,14.1362,14.1362,14.1362,14.1362,0
