<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20180104,3371.0000,3392.8301,3365.2900,3385.7100,207000
AAA,20180104,21.5575,21.6884,21.2958,21.4594,1533230
AAM,20180104,6.6409,7.0061,6.6409,6.6409,260
ABC,20180104,12.0192,12.1015,11.9369,12.0192,19410
ABI,20180104,23.0815,23.0815,22.9136,22.9136,400
ABT,20180104,23.0579,24.5951,22.1740,24.2107,780
AC4,20180104,4.1526,4.1526,4.1526,4.1526,0
ACB,20180104,14.4818,14.5566,14.3695,14.5193,6365641
ACC,20180104,11.2229,11.3896,11.1118,11.3895,1840
ACE,20180104,19.1032,19.1032,19.1032,19.1032,0
ACL,20180104,3.3133,3.4515,3.3011,3.4149,17030
ACM,20180104,1.5000,1.6000,1.5000,1.6000,141001
ACS,20180104,10.5943,10.5943,10.5943,10.5943,0
ACV,20180104,115.2914,116.3670,108.5440,116.3670,189522
ADC,20180104,11.7066,11.7066,11.7066,11.7066,0
ADP,20180104,11.6706,11.6706,11.6706,11.6706,0
ADS,20180104,11.8089,11.8089,11.7414,11.8089,9600
AFX,20180104,3.3828,3.3828,2.8624,2.8624,1400
AGF,20180104,9.0300,9.0300,9.0000,9.0000,3400
AGM,20180104,6.7364,6.7364,6.7364,6.7364,10
AGP,20180104,14.4934,14.4934,14.4934,14.4934,0
AGR,20180104,5.9000,6.1500,5.8900,5.9900,1067860
AGX,20180104,14.7612,14.7612,14.7612,14.7612,0
ALT,20180104,11.0656,11.0656,11.0656,11.0656,100
ALV,20180104,10.9000,12.0000,10.9000,11.8000,75975
AMC,20180104,18.2856,18.2856,18.2856,18.2856,0
AMD,20180104,9.0000,9.1900,8.9600,8.9600,698720
AME,20180104,3.3462,3.3462,3.3462,3.3461,100
AMP,20180104,19.0000,19.0000,19.0000,19.0000,0
AMS,20180104,5.9009,5.9009,5.9009,5.9009,0
AMV,20180104,7.1671,7.1671,6.7163,6.8065,4200
ANT,20180104,9.0000,9.0000,9.0000,9.0000,1000
ANV,20180104,8.6074,8.8487,8.6074,8.7683,503500
APC,20180104,80.3000,83.8000,80.3000,83.0000,48790
APF,20180104,22.0796,22.0796,21.6098,21.6099,400
APG,20180104,4.4517,4.7275,4.4517,4.5226,360780
API,20180104,29.0416,29.0416,29.0416,29.0416,1100
APL,20180104,13.1658,13.1658,13.1658,13.1658,0
APP,20180104,6.8101,6.8101,6.8101,6.8101,0
APS,20180104,3.2000,3.3000,3.1000,3.3000,150600
ARM,20180104,19.8815,19.8815,19.8815,19.8815,0
ART,20180104,10.6838,10.8547,10.4274,10.5128,670215
ASA,20180104,3.0000,3.2000,3.0000,3.1000,275410
ASD,20180104,0.7000,0.7000,0.7000,0.7000,0
ASM,20180104,9.4554,9.7181,9.4554,9.6743,6287380
ASP,20180104,5.6231,5.6231,5.4265,5.4266,25500
AST,20180104,38.9781,38.9781,38.9781,38.9781,12000
ATA,20180104,1.0000,1.0000,1.0000,1.0000,0
ATB,20180104,1.4000,1.6000,1.4000,1.6000,599000
ATG,20180104,2.8400,2.9000,2.8300,2.8900,91920
ATS,20180104,57.5000,57.5000,51.7000,51.7000,27500
AUD-X,20180104,1.2774,1.2774,1.2774,1.2774,0
AUM,20180104,10.4867,10.4867,10.4867,10.4867,0
AVF,20180104,0.3000,0.3000,0.3000,0.3000,0
B82,20180104,2.1000,2.1000,2.1000,2.1000,0
BAB,20180104,23.3945,23.3945,23.3945,23.3945,50000
BAX,20180104,13.3336,13.3336,13.3336,13.3336,0
BBC,20180104,83.0840,88.7692,83.0840,84.7796,440
BBS,20180104,11.6472,11.6472,11.6472,11.6472,100
BCC,20180104,6.4286,6.5179,6.2500,6.4286,213265
BCE,20180104,3.6549,3.6680,3.6549,3.6615,14490
