<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20210702,3569.8899,3569.8899,3514.3401,3518.7600,291900
A32,20210702,31.2989,31.2989,31.2989,31.2989,0
AAA,20210702,19.3000,19.3000,18.5500,18.6500,17217000
AAM,20210702,11.1000,11.1000,10.7000,10.7000,1400
AAS,20210702,17.0000,17.5000,16.6000,17.0000,1647695
AAT,20210702,19.5000,19.8500,19.3500,19.8000,374700
AAV,20210702,13.6522,13.6522,13.4783,13.6522,244340
ABB,20210702,23.4000,23.8000,23.4000,23.6000,3225907
ABC,20210702,12.4000,12.4000,12.3000,12.3000,9710
ABI,20210702,58.4000,58.4000,57.0000,57.3000,83201
ABR,20210702,23.4000,23.4000,23.4000,23.4000,0
ABS,20210702,28.3000,29.7000,27.7000,28.3000,270500
ABT,20210702,28.1000,28.2000,28.0000,28.2000,600
AC4,20210702,4.2000,4.2000,4.2000,4.2000,0
ACB,20210702,36.3000,36.4000,36.0000,36.1000,6407100
ACC,20210702,15.5000,16.5000,15.4500,16.5000,315200
ACE,20210702,36.9000,36.9000,36.9000,36.9000,900
ACL,20210702,12.6000,12.9000,12.6000,12.7000,59900
ACM,20210702,3.3000,3.3000,3.1000,3.1000,1713836
ACS,20210702,11.5000,12.0000,11.5000,12.0000,1600
ACV,20210702,77.6000,78.7000,77.6000,78.3000,266073
ADC,20210702,21.5385,21.5385,21.5385,21.5385,0
ADG,20210702,47.8000,48.0000,47.4000,47.9000,83600
ADP,20210702,28.1000,28.6000,28.1000,28.5000,1200
ADS,20210702,26.0000,26.4000,25.7500,25.9000,307600
AFX,20210702,13.3000,13.3000,13.1000,13.2000,258800
AG1,20210702,7.1000,7.2000,7.1000,7.2000,3500
AGF,20210702,3.5000,3.7000,3.4000,3.5000,21417
AGG,20210702,51.8000,52.2000,51.5000,51.6000,2718300
AGM,20210702,30.0000,31.6000,29.6000,31.0000,28500
AGP,20210702,18.2000,18.8000,18.0000,18.6000,5600
AGR,20210702,15.5000,15.7500,15.2000,15.7500,7293400
AGX,20210702,32.5000,32.5000,32.5000,32.5000,0
AIC,20210702,13.6000,14.0000,13.5000,13.7000,2110
ALT,20210702,11.5000,11.5000,11.5000,11.5000,0
ALV,20210702,3.3000,3.3000,2.9000,2.9000,16010
AMC,20210702,19.2000,19.5000,19.2000,19.2000,700
AMD,20210702,5.2900,5.2900,5.1000,5.1000,3763400
AME,20210702,9.0000,9.0000,8.9000,8.9000,1314
AMP,20210702,14.5000,14.5000,14.5000,14.5000,0
AMS,20210702,12.0000,12.0000,10.6000,10.6000,34020
AMV,20210702,9.8000,9.9000,9.6000,9.7000,696819
ANT,20210702,10.0000,10.0000,9.8000,9.8000,3300
ANV,20210702,33.0000,33.1000,32.2500,32.3500,1768300
APC,20210702,23.0000,23.0000,22.4000,22.8000,6400
APF,20210702,53.3000,53.3000,53.0000,53.2000,21079
APG,20210702,11.4000,11.4000,11.0000,11.2000,2379500
APH,20210702,58.3000,58.5000,56.9000,57.0000,480800
API,20210702,19.9000,20.2000,19.7000,20.0000,106800
APL,20210702,17.6000,17.6000,17.6000,17.6000,0
APP,20210702,7.6000,7.6000,7.5000,7.6000,8176
APS,20210702,15.8272,15.8272,15.1755,15.4548,2424967
APT,20210702,3.6000,3.6000,3.6000,3.6000,0
AQN,20210702,9.5000,9.5000,9.5000,9.5000,0
ARM,20210702,48.0000,48.0000,48.0000,48.0000,0
ART,20210702,10.5000,10.6000,10.3000,10.4000,5450729
ASA,20210702,4.0000,4.1000,4.0000,4.0000,108640
ASD,20210702,8.0000,8.0000,8.0000,8.0000,0
ASG,20210702,39.0000,39.0000,38.1000,38.8000,30430
ASM,20210702,14.1000,14.1000,13.8000,13.8500,1700700
ASP,20210702,8.0000,8.0000,7.5500,7.6500,90900
AST,20210702,51.8000,51.9000,51.3000,51.4000,26400
ATA,20210702,2.0000,2.0000,2.0000,2.0000,855600
ATB,20210702,1.7000,1.9000,1.6000,1.8000,497136
ATD,20210702,9.6000,9.6000,9.6000,9.6000,0
ATG,20210702,1.6000,1.6000,1.6000,1.6000,1341300
ATS,20210702,33.6000,33.6000,33.6000,33.6000,0
AUD-X,20210702,1.3394,1.3394,1.3394,1.3394,0
AUM,20210702,10.5000,10.5000,10.5000,10.5000,0
AVC,20210702,27.0000,27.0000,27.0000,27.0000,500
AVF,20210702,0.6000,0.7000,0.5000,0.7000,5364579
B82,20210702,1.1000,1.3000,1.1000,1.3000,1820
BAB,20210702,26.4000,26.7000,26.1000,26.3000,129822
BAL,20210702,9.3000,9.3000,9.3000,9.3000,0
BAX,20210702,67.0000,67.5000,66.5000,67.0000,13000
BBC,20210702,64.2000,64.2000,64.0000,64.0000,505
BBH,20210702,14.9995,14.9995,14.9995,14.9995,0
BBM,20210702,11.0000,11.0000,11.0000,11.0000,0
BBS,20210702,11.0000,11.5000,11.0000,11.5000,800
BBT,20210702,22.0000,23.0000,21.7000,22.0000,3700
BCB,20210702,3.6000,3.6000,3.6000,3.6000,0
BCC,20210702,10.8000,11.8000,10.7000,11.8000,1671556
BCE,20210702,11.5389,11.5389,11.3081,11.4465,199000
BCF,20210702,36.2500,36.2500,36.2500,36.2500,800
BCG,20210702,12.8000,13.0000,12.7500,12.8500,1244300
BCM,20210702,52.8556,53.5484,52.6576,53.4495,18800
BCP,20210702,9.5000,9.5000,9.4000,9.4000,5300
BCV,20210702,21.5000,21.5000,21.5000,21.5000,0
BDB,20210702,11.0000,11.0000,11.0000,11.0000,0
BDG,20210702,45.0000,46.0000,44.3000,44.3000,2200
BDT,20210702,27.6000,27.6000,25.6000,25.6000,339
BDW,20210702,16.4000,16.4000,16.4000,16.4000,0
BED,20210702,26.1000,26.1000,26.1000,26.1000,0
BEL,20210702,12.7000,12.7000,12.6000,12.6000,1100
BFC,20210702,28.8000,29.4500,28.3500,28.7000,525900
BGW,20210702,19.6000,19.6000,19.6000,19.6000,0
BHA,20210702,10.4000,10.4000,10.4000,10.4000,2000
BHC,20210702,2.5000,2.5000,2.5000,2.5000,2100
BHG,20210702,10.2000,10.2000,10.2000,10.2000,0
BHK,20210702,12.6000,12.6000,12.6000,12.6000,1000
BHN,20210702,62.5000,63.5000,62.0000,62.0000,16000
