<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20160107,3309.6599,3309.6599,3115.8899,3125.0000,70600
AAA,20160107,7.5723,7.7444,7.4002,7.5723,334090
AAM,20160107,6.3970,6.3970,6.2703,6.2704,590
ABI,20160107,9.2679,9.2679,9.2679,9.2679,0
ABT,20160107,32.3758,32.3758,31.7738,32.3089,10930
ACB,20160107,6.5657,6.5997,6.4636,6.4976,94027
ACC,20160107,10.5539,10.5539,10.5539,10.5539,520
ACE,20160107,9.1649,9.1649,9.1649,9.1649,0
ACL,20160107,3.6563,3.6563,3.6563,3.6563,0
ACM,20160107,3.8672,3.8672,3.5843,3.6786,396900
ADC,20160107,14.7249,14.7249,14.7249,14.7249,0
ADP,20160107,5.6640,5.6640,5.6640,5.6640,1200
AGF,20160107,13.9000,13.9000,13.5000,13.7000,3510
AGM,20160107,6.5132,6.5132,6.4432,6.4431,2280
AGP,20160107,11.8851,11.8851,11.8851,11.8851,0
AGR,20160107,3.3000,3.3000,3.1000,3.2000,203090
AGX,20160107,21.0472,21.0472,21.0472,21.0472,0
ALT,20160107,10.2677,10.2677,10.2677,10.2677,0
ALV,20160107,4.8977,4.8977,4.8977,4.8977,20
AMC,20160107,15.2227,15.2227,15.2227,15.2227,0
AMD,20160107,9.0499,9.0499,8.8671,8.9585,261320
AME,20160107,2.8478,2.8478,2.8478,2.8478,0
AMV,20160107,1.5777,1.5777,1.5777,1.5777,0
ANV,20160107,3.0145,3.0522,2.9391,2.9768,5730
APC,20160107,17.3285,17.3285,16.8525,16.8524,28220
APG,20160107,3.8607,3.9395,3.8607,3.9395,46200
API,20160107,10.3582,10.3582,9.9710,10.3582,512200
APP,20160107,7.6703,7.6703,7.6703,7.6703,0
APS,20160107,2.9000,2.9000,2.8000,2.9000,185500
ARM,20160107,16.4187,18.6277,16.4187,17.0755,4100
ASA,20160107,2.8983,2.9949,2.8017,2.8017,69600
ASD,20160107,0.6500,0.6500,0.6500,0.6500,0
ASM,20160107,14.2468,14.2468,13.8489,14.0081,1316800
ASP,20160107,2.8973,2.9735,2.8210,2.9735,63230
ATA,20160107,2.7000,2.8000,2.7000,2.8000,15010
AUD-X,20160107,1.4124,1.4124,1.4124,1.4124,0
AVF,20160107,0.6000,0.7000,0.6000,0.7000,230130
B82,20160107,5.9000,5.9000,5.9000,5.9000,300
BBC,20160107,51.3269,52.2863,50.8472,52.2863,300
BBS,20160107,11.0799,11.0799,11.0799,11.0799,0
BCC,20160107,9.0198,9.2279,8.8810,8.9504,60100
BCE,20160107,3.7641,3.7641,3.7641,3.7641,10
BCG,20160107,13.5702,13.6401,13.4303,13.5003,243430
BCP,20160107,4.6322,4.6322,4.6322,4.6322,0
BDB,20160107,3.4221,3.4221,3.4221,3.4221,0
BDW,20160107,8.3888,8.3888,8.3888,8.3888,0
BED,20160107,15.6346,15.6346,15.6346,15.6346,100
BFC,20160107,13.5224,13.5224,13.3710,13.5224,48300
BHC,20160107,1.1000,1.1000,1.1000,1.1000,0
BHP,20160107,9.8281,9.8281,9.8281,9.8281,0
BHT,20160107,3.3056,3.4945,3.3056,3.4945,40300
BIC,20160107,15.9172,15.9172,15.4823,15.4823,38580
BID,20160107,17.8850,17.9740,16.9062,17.1732,2583350
BII,20160107,9.8000,9.8000,9.4000,9.7000,333820
BKC,20160107,12.1000,12.1000,12.1000,12.1000,11900
