<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20180312,3319.2100,3333.5601,3313.5500,3326.7000,206500
AAA,20180312,18.3346,18.4030,17.9241,17.9583,961730
AAM,20180312,6.9583,7.3758,6.9583,7.2715,1630
ABC,20180312,13.1717,13.1717,12.7601,12.9247,4200
ABI,20180312,20.2278,21.9904,19.8081,21.9904,4111
ABT,20180312,27.2856,27.2856,26.5332,26.9292,12190
AC4,20180312,5.7629,5.7629,5.7629,5.7629,0
ACB,20180312,17.5877,18.1865,17.5877,18.1865,4944538
ACC,20180312,11.7784,11.8340,11.1117,11.1117,8820
ACE,20180312,16.6987,18.5689,16.6987,18.3685,2100
ACL,20180312,3.2929,3.2929,3.2523,3.2929,35430
ACM,20180312,1.4000,1.4000,1.2000,1.3000,503600
ACS,20180312,10.5943,10.5943,10.5943,10.5943,0
ACV,20180312,97.6896,99.7432,96.5162,97.2007,196683
ADC,20180312,12.3605,12.3605,12.3605,12.3605,0
ADP,20180312,10.3240,10.3240,10.3240,10.3240,0
ADS,20180312,12.2573,12.3307,12.1839,12.2206,19660
AFX,20180312,4.2502,4.2502,4.2502,4.2502,0
AG1,20180312,8.6709,8.6709,8.6709,8.6709,0
AGF,20180312,6.8500,6.8500,6.4200,6.5600,1070
AGM,20180312,7.2147,7.2958,6.9878,6.9877,6370
AGP,20180312,15.6766,15.6766,15.6766,15.6766,0
AGR,20180312,5.7400,5.7500,5.6200,5.6200,185230
AGX,20180312,20.6347,20.6347,20.6347,20.6347,0
ALT,20180312,10.6557,10.8197,10.0820,10.2459,5856
ALV,20180312,9.2000,9.4000,8.6000,9.2000,127200
AMC,20180312,15.4122,15.4122,15.4122,15.4122,1000
AMD,20180312,4.9300,5.0000,4.8700,4.9000,1883060
AME,20180312,10.8216,10.8216,10.8216,10.8216,100
AMP,20180312,16.2000,16.2000,16.2000,16.2000,0
AMS,20180312,6.4746,6.4746,6.4746,6.4746,200
AMV,20180312,7.2573,7.2573,7.2122,7.2573,7600
ANT,20180312,10.3000,10.3000,10.3000,10.3000,0
ANV,20180312,16.8126,18.0192,16.8126,18.0192,1041590
APC,20180312,57.9000,57.9000,57.9000,57.9000,46180
APF,20180312,21.1401,21.1401,21.1401,21.1401,0
APG,20180312,4.7432,4.7590,4.5856,4.7511,353390
API,20180312,28.2672,28.2672,28.2672,28.2672,300
APL,20180312,13.1658,13.1658,13.1658,13.1658,0
APP,20180312,8.3235,8.3235,8.3235,8.3235,0
APS,20180312,3.0000,3.1000,3.0000,3.0000,121510
ARM,20180312,37.0881,37.0881,37.0881,37.0881,0
ART,20180312,8.1197,8.5471,7.8633,7.9487,1623389
ASA,20180312,3.1000,3.2000,3.1000,3.1000,61600
ASD,20180312,0.9000,0.9000,0.9000,0.9000,0
ASM,20180312,8.8426,8.9302,8.7550,8.8426,1800440
ASP,20180312,6.0557,6.0557,5.9063,6.0007,14690
AST,20180312,61.8597,62.0762,60.0551,60.0551,125910
ATA,20180312,1.3000,1.3000,1.3000,1.3000,0
ATB,20180312,1.7000,1.8000,1.6000,1.7000,191300
ATG,20180312,2.4000,2.5400,2.3100,2.4800,234910
ATS,20180312,40.8000,41.2000,40.8000,41.1000,12200
AUD-X,20180312,1.2718,1.2718,1.2718,1.2718,0
AUDUSD,20180312,0.0000,0.0000,0.0000,0.7900,105785
AUM,20180312,10.4867,10.4867,10.4867,10.4867,0
AVC,20180312,22.5424,22.5424,22.5424,22.5424,0
AVF,20180312,0.4000,0.4000,0.4000,0.4000,0
B82,20180312,2.8000,2.8000,2.8000,2.8000,0
BAB,20180312,20.9175,21.1009,20.9175,21.1009,36000
BAL,20180312,20.3939,20.3939,20.3939,20.3939,0
BAX,20180312,15.5042,15.5042,14.8840,14.8840,6600
BBC,20180312,86.2757,86.2757,86.2757,86.2757,0
BBM,20180312,8.5789,8.5789,8.5789,8.5789,0
BBS,20180312,8.2466,8.2466,8.2466,8.2466,0
BCC,20180312,6.0714,6.2500,6.0714,6.1607,93130
BCE,20180312,3.9100,3.9100,3.7923,3.8576,12710
BCG,20180312,4.7292,4.7443,4.5328,4.5327,1023520
BCM,20180312,19.3132,20.1823,18.8304,19.7960,7000
BCP,20180312,3.6142,3.6142,3.6142,3.6142,0
BDB,20180312,2.8932,2.8932,2.8932,2.8932,0
BDG,20180312,16.4679,16.4679,16.4679,16.4679,0
BDT,20180312,8.2887,8.2887,8.2887,8.2887,0
BDW,20180312,15.0987,15.0987,15.0987,15.0987,0
BED,20180312,23.1861,23.1861,23.1861,23.1862,600
BEL,20180312,6.1826,6.1826,6.1826,6.1826,0
BFC,20180312,26.8232,26.8232,26.1809,26.1810,71420
BGW,20180312,9.3080,9.3080,9.3080,9.3080,0
BHA,20180312,11.8671,11.8671,11.8671,11.8671,0
BHC,20180312,3.6000,3.6000,3.6000,3.6000,0
BHN,20180312,123.9004,129.0441,122.8175,126.3368,5300
BHP,20180312,8.4433,8.4433,8.4433,8.4433,10
BHT,20180312,4.0000,4.0000,4.0000,4.0000,0
BIC,20180312,33.5358,33.5358,33.5358,33.5358,300
BID,20180312,37.4244,37.7145,36.7475,37.3277,2014660
BII,20180312,1.1000,1.1000,1.1000,1.1000,0
BKC,20180312,9.1000,9.1000,9.1000,9.1000,0
BLF,20180312,3.5000,3.5000,3.5000,3.5000,0
BLI,20180312,5.1839,5.1839,5.1839,5.1839,108
BLN,20180312,6.8212,6.8212,6.8212,6.8212,0
BLT,20180312,12.1655,12.1655,12.1655,12.1655,0
BMC,20180312,12.3043,12.3043,11.8858,12.2206,21530
BMD,20180312,5.1497,5.1497,5.1497,5.1497,0
BMI,20180312,28.5855,28.5855,27.5330,28.3329,47870
BMJ,20180312,3.7916,3.7916,3.7916,3.7916,200
BMN,20180312,5.5751,5.5751,5.5751,5.5751,0
BMP,20180312,59.1758,59.8175,55.7536,55.9675,1073940
BMV,20180312,9.9522,9.9522,9.9522,9.9522,0
BPC,20180312,13.2351,13.2351,13.2351,13.2351,0
BPW,20180312,9.9890,9.9890,9.9890,9.9890,0
BQB,20180312,14.0000,14.0000,14.0000,14.0000,0
BRC,20180312,7.0225,7.0225,7.0225,7.0225,10
BRL-X,20180312,3.2561,3.2561,3.2561,3.2561,0
BRR,20180312,12.1822,12.1822,12.1822,12.1822,0
BRS,20180312,4.8505,4.8505,4.8505,4.8505,0
BSC,20180312,13.9255,13.9255,13.9255,13.9255,8
BSD,20180312,31.0628,31.0628,31.0628,31.0628,0
BSG,20180312,10.6646,10.6646,9.7759,9.7758,2700
BSI,20180312,10.6110,10.9899,10.3078,10.4594,14220
BSL,20180312,11.8444,11.8444,11.8444,11.8444,6000
BSP,20180312,15.2599,15.3240,15.2599,15.3240,3100
BSQ,20180312,18.0479,18.4581,18.0479,18.2940,36500
BSR,20180312,29.5000,29.7000,28.0000,28.6000,1896730
BST,20180312,9.0556,9.0556,9.0556,9.0556,0
BT1,20180312,11.6392,11.6392,11.6392,11.6392,0
BT6,20180312,4.7000,4.7000,4.7000,4.7000,0
BTB,20180312,8.8000,8.8000,8.8000,8.8000,0
BTCUSD,20180312,0.0000,0.0000,0.0000,9024.0000,30115
BTCUSD-X,20180312,9205.1201,9205.1201,9205.1201,9205.1201,0
BTD,20180312,12.1409,12.2846,12.1409,12.2127,18400
BTG,20180312,6.3586,6.3586,6.3586,6.3586,0
BTH,20180312,5.2000,5.2000,5.2000,5.2000,0
BTN,20180312,7.8526,7.8526,7.8526,7.8526,0
BTP,20180312,8.0692,8.3920,8.0692,8.2485,3160
BTR,20180312,4.4256,4.4256,4.4256,4.4256,0
BTS,20180312,4.8544,4.8544,4.8544,4.8544,0
BTT,20180312,32.9669,33.1037,32.7389,32.7389,1450
BTU,20180312,4.2485,4.2485,4.2485,4.2485,0
BTV,20180312,19.5202,19.5202,19.5202,19.5202,0
BTW,20180312,13.3368,13.3368,13.3368,13.3368,0
BVG,20180312,2.2000,2.4000,2.2000,2.3000,12400
BVH,20180312,80.5203,82.3438,80.5203,81.1921,257030
BVN,20180312,15.0860,15.0860,15.0860,15.0860,0
BVS,20180312,15.4435,16.0938,14.9558,15.1997,71814
BWA,20180312,6.9712,6.9712,6.9712,6.9712,0
BWE,20180312,24.9707,25.2382,24.6140,25.1491,595470
BWS,20180312,18.1641,18.1641,18.1641,18.1641,200
BXH,20180312,11.7084,11.7084,11.7084,11.7084,0
C12,20180312,10.0000,10.0000,10.0000,10.0000,0
C21,20180312,16.0542,16.7994,15.9188,15.9865,20033
C32,20180312,24.5110,24.9048,24.3470,24.3470,40350
C36,20180312,11.1154,11.1154,11.1154,11.1154,0
C47,20180312,9.1549,9.4397,9.0735,9.4397,33670
C69,20180312,3.2830,3.2830,3.1433,3.1433,43400
C71,20180312,8.0421,8.0421,8.0421,8.0421,0
C92,20180312,10.0000,10.0000,10.0000,10.0000,0
CAD,20180312,0.8000,0.8000,0.8000,0.8000,0
CAD-X,20180312,1.2812,1.2812,1.2812,1.2812,0
CAG,20180312,36.7141,36.7141,36.7141,36.7141,0
CAN,20180312,23.8105,23.8105,23.8105,23.8105,0
CAP,20180312,20.1329,20.3143,20.1329,20.3143,5100
CAV,20180312,39.7997,40.1853,38.9512,40.1853,158430
CBI,20180312,5.9000,5.9000,5.9000,5.9000,0
CBS,20180312,15.0000,15.0000,15.0000,15.0000,0
CC1,20180312,14.8282,14.8282,14.8282,14.8282,0
CC4,20180312,12.7000,12.7000,12.7000,12.7000,0
CCH,20180312,6.9352,6.9352,6.9352,6.9352,0
CCI,20180312,10.6767,10.9692,10.6036,10.9692,4150
CCL,20180312,3.9764,4.0414,3.9032,3.9438,477950
CCM,20180312,17.4319,20.6632,17.0068,20.6632,13862
CCP,20180312,19.6193,19.6193,19.6193,19.6193,0
CCR,20180312,15.4597,15.4597,15.4597,15.4597,0
CCT,20180312,10.0000,10.0000,10.0000,10.0000,0
CCV,20180312,25.9699,25.9699,25.9699,25.9699,5204
CDC,20180312,9.5425,9.5974,9.5425,9.5974,4200
CDG,20180312,9.1214,9.1214,9.1214,9.1214,0
CDH,20180312,3.3431,3.3431,3.3431,3.3431,0
CDN,20180312,14.8644,14.8644,14.8644,14.8644,200
CDO,20180312,1.4500,1.5000,1.4100,1.4300,119420
CDR,20180312,8.9151,8.9151,8.9151,8.9151,0
CE1,20180312,6.1632,6.1632,6.1632,6.1632,0
CEC,20180312,7.8000,7.8000,7.8000,7.8000,0
CEE,20180312,19.7000,20.1000,19.5000,19.5000,5350
CEG,20180312,9.2541,9.2541,9.2541,9.2541,0
CEO,20180312,8.8678,8.9523,8.7833,8.8678,381310
CET,20180312,4.0000,4.0000,4.0000,4.0000,8097
CFC,20180312,5.4930,5.4930,5.4930,5.4930,1000
CGV,20180312,2.3000,2.3000,2.3000,2.3000,0
CH5,20180312,19.1878,19.1878,19.1878,19.1878,0
CHC,20180312,1.3817,1.3817,1.3817,1.3817,0
CHP,20180312,18.7519,18.7519,18.5673,18.6781,8510
CHS,20180312,8.3227,8.3227,8.3227,8.3227,100
CI5,20180312,8.7753,8.7753,8.7753,8.7753,0
CIA,20180312,34.5111,34.5111,33.6998,33.6999,58330
CID,20180312,2.2000,2.2000,2.2000,2.2000,0
CIG,20180312,2.2600,2.4000,2.2600,2.3900,2200
CII,20180312,32.6365,32.7311,32.1635,32.3527,875390
CIP,20180312,10.0000,10.0000,10.0000,10.0000,0
CJC,20180312,22.3363,22.3363,22.3363,22.3363,0
CKD,20180312,8.3786,8.3786,8.3786,8.3786,0
CKH,20180312,2.3317,2.3317,2.3317,2.3317,0
CKV,20180312,15.3198,16.9760,15.3198,16.9760,200
CL-F,20180312,62.1000,62.3300,60.6700,61.3600,659722
CLC,20180312,26.2882,26.2882,25.5719,26.2165,120
CLG,20180312,4.3500,4.3500,4.1000,4.1300,8880
CLH,20180312,7.7234,7.7234,7.7234,7.7234,1000
CLL,20180312,22.1821,22.6660,22.1014,22.6660,17760
CLM,20180312,13.1224,13.1224,13.1224,13.1224,0
CLW,20180312,15.6253,16.0476,15.6253,16.0476,5550
