<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20190904,2927.7500,2957.4099,2925.8799,2957.4099,225500
A32,20190904,21.4061,21.4061,21.4061,21.4062,200
AAA,20190904,14.5853,14.6310,14.4024,14.5395,1490410
AAM,20190904,11.2026,11.4899,11.2026,11.3941,9560
AAV,20190904,10.6000,10.8000,10.4000,10.6000,199499
ABC,20190904,8.8664,8.8664,8.7759,8.7759,9600
ABI,20190904,28.2663,28.2663,26.8762,27.4323,7000
ABR,20190904,20.9000,20.9000,20.9000,20.9000,100
ABT,20190904,34.0247,34.0247,33.8466,33.8466,320
AC4,20190904,3.0000,3.0000,3.0000,3.0000,0
ACB,20190904,13.6000,13.6000,13.4154,13.5385,365320
ACC,20190904,12.6455,12.8451,12.6455,12.8452,1050
ACE,20190904,21.3098,21.3098,21.3098,21.3098,40
ACL,20190904,14.5255,15.2561,14.4610,15.2561,75460
ACM,20190904,0.5000,0.5000,0.4000,0.5000,497730
ACS,20190904,12.8523,12.8523,12.8523,12.8523,0
ACV,20190904,80.2609,80.2609,76.7025,79.0748,382117
ADC,20190904,12.7996,12.7996,12.7996,12.7996,3200
ADP,20190904,9.7638,9.7638,9.7638,9.7638,0
ADS,20190904,9.9924,9.9924,9.4251,9.5124,10320
AFX,20190904,5.4000,5.5000,5.3000,5.4000,28500
AG1,20190904,4.2096,4.2096,4.2096,4.2096,0
AGF,20190904,3.2000,3.2000,3.1100,3.1100,840
AGM,20190904,9.7223,9.7223,9.4058,9.4058,530
AGP,20190904,23.8792,23.8792,23.8792,23.8792,0
AGR,20190904,4.7500,4.9400,4.6400,4.9300,371740
AGX,20190904,28.3689,28.3689,28.3689,28.3689,0
ALT,20190904,11.8056,11.8056,11.8056,11.8056,0
ALV,20190904,2.5000,2.5000,2.5000,2.5000,0
AMC,20190904,16.9829,16.9829,16.9829,16.9829,0
AMD,20190904,1.5700,1.5700,1.5400,1.5500,288700
AME,20190904,7.2000,7.2000,7.2000,7.2000,0
AMP,20190904,14.0000,14.0000,14.0000,14.0000,0
AMS,20190904,7.4545,7.4545,7.4545,7.4545,200
AMV,20190904,12.5663,12.6342,12.3625,12.4304,52015
ANT,20190904,6.8000,6.8000,6.8000,6.8000,0
ANV,20190904,22.0738,22.1639,21.8936,22.1639,250150
APC,20190904,23.3000,23.7000,22.9000,23.6500,69640
APF,20190904,14.6305,14.6305,14.6305,14.6305,800
APG,20190904,7.4185,7.6329,7.4013,7.6244,202180
API,20190904,14.0368,14.0368,14.0368,14.0368,100
APL,20190904,12.7994,12.7994,12.7994,12.7994,0
APP,20190904,7.1569,7.1569,7.1569,7.1569,0
APS,20190904,2.3000,2.4000,2.3000,2.4000,12000
APT,20190904,2.5000,2.5000,2.5000,2.5000,0
AQN,20190904,12.4138,12.4138,12.4138,12.4138,0
ARM,20190904,38.4615,38.4615,38.4615,38.4615,0
ART,20190904,2.0000,2.0000,1.8000,1.9000,820820
ASA,20190904,2.5000,2.5000,2.5000,2.5000,0
