<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20200804,3376.4399,3391.0701,3352.5000,3371.6899,442300
A32,20200804,25.3724,25.3724,25.3724,25.3724,0
AAA,20200804,10.2417,10.4703,10.3331,10.4246,1060060
AAM,20200804,10.3500,10.3500,10.3500,10.3500,10
AAS,20200804,23.0000,25.0000,23.0000,24.9000,77700
AAV,20200804,4.8000,5.0000,4.7000,4.9000,246110
ABC,20200804,10.2000,10.4000,9.8000,10.1000,19500
ABI,20200804,29.9277,34.1889,25.2701,30.7204,28440
ABR,20200804,23.0000,23.0000,23.0000,23.0000,0
ABS,20200804,8.5385,8.6923,8.3077,8.6154,203470
ABT,20200804,31.0956,31.0956,31.0956,31.0956,540
AC4,20200804,3.0000,3.0000,3.0000,3.0000,0
ACB,20200804,14.3384,14.7077,14.3384,14.5846,2907562
ACC,20200804,10.6488,10.8152,10.6488,10.8152,5410
ACE,20200804,26.2588,26.2588,26.2588,26.2588,0
ACL,20200804,13.1818,13.6363,13.1818,13.2500,227730
ACM,20200804,0.7000,0.7000,0.6000,0.7000,736320
ACS,20200804,11.6000,11.6000,11.6000,11.6000,100
ACV,20200804,52.8000,53.2000,52.5000,53.1000,169646
ADC,20200804,12.3211,12.3211,12.3211,12.3211,10000
ADG,20200804,49.6000,50.4000,49.5000,49.8000,18100
ADP,20200804,10.6153,10.6153,10.6153,10.6153,0
ADS,20200804,8.1423,8.1423,7.8543,8.1161,20740
AFX,20200804,5.8000,6.3000,5.7000,6.2000,155540
AG1,20200804,8.5000,8.5000,8.5000,8.5000,0
AGF,20200804,2.8000,2.8000,2.8000,2.8000,0
AGG,20200804,24.1386,24.2749,24.0022,24.0931,372260
AGM,20200804,11.6000,11.6000,11.0000,11.1500,37970
AGP,20200804,16.8948,16.8948,12.7419,16.8948,100
AGR,20200804,3.2500,3.2500,3.1700,3.1700,153020
AGX,20200804,26.2000,26.2000,26.2000,26.2000,0
ALT,20200804,11.8782,11.8782,11.8782,11.8782,0
ALV,20200804,2.8000,2.8000,2.8000,2.8000,0
AMC,20200804,15.8468,15.8468,15.8468,15.8468,400
AMD,20200804,2.5300,2.5600,2.5000,2.5600,4097260
AME,20200804,6.3000,6.3000,6.3000,6.3000,0
AMP,20200804,10.2000,10.2000,10.2000,10.2000,0
AMS,20200804,6.4546,7.5455,6.4546,7.5455,1600
AMV,20200804,10.1209,10.5964,10.0530,10.3926,413436
ANT,20200804,10.7000,10.7000,10.7000,10.7000,0
ANV,20200804,14.5780,15.0082,14.5780,14.9603,97050
APC,20200804,18.2000,18.8000,18.0000,18.2000,16400
APF,20200804,23.9516,23.9516,23.9516,23.9515,1000
APG,20200804,10.1630,10.2916,10.0343,10.2058,859860
APH,20200804,42.7803,46.1119,42.4017,46.1119,434910
API,20200804,7.8412,7.8412,7.8412,7.8412,100
APL,20200804,11.5000,11.5000,11.5000,11.5000,100
