<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20170628,3183.6299,3193.4399,3170.7900,3173.2000,146500
AAA,20170628,22.1567,22.2855,21.8990,22.1567,2040920
AAM,20170628,7.0393,7.0393,7.0393,7.0393,20
ABC,20170628,26.2564,26.2564,23.2088,25.6000,149320
ABI,20170628,30.9712,30.9712,28.1175,30.2158,2400
ABT,20170628,28.6024,29.1639,28.4526,28.9767,14290
AC4,20170628,7.9239,7.9239,7.9239,7.9239,0
ACB,20170628,9.6546,9.7294,9.5797,9.6546,861040
ACC,20170628,14.3749,14.3749,14.1673,14.1673,9920
ACE,20170628,17.0426,17.0426,16.7327,16.7327,2000
ACL,20170628,3.4068,3.4475,3.4068,3.4474,900
ACM,20170628,1.9000,2.0000,1.9000,2.0000,434465
ACV,20170628,50.3389,50.4359,50.0479,50.3389,80530
ADC,20170628,11.7793,11.7793,11.7793,11.7793,0
ADP,20170628,15.6505,15.6505,15.4319,15.4319,1600
ADS,20170628,12.8790,13.0441,12.8790,12.9780,135610
AFX,20170628,4.3369,4.4237,4.1634,4.4237,6700
AGF,20170628,10.0000,10.0000,10.0000,10.0000,0
AGM,20170628,7.7012,7.7012,7.5390,7.6606,290
AGP,20170628,17.3921,17.3921,17.3921,17.3921,0
AGR,20170628,3.7600,3.8000,3.6700,3.8000,437370
AGX,20170628,21.5173,21.5173,21.5173,21.5173,0
ALT,20170628,10.5507,10.5507,10.5507,10.5507,0
ALV,20170628,10.7558,10.8518,9.9875,10.0835,900
AMC,20170628,17.7632,17.7632,17.7632,17.7632,200
AMD,20170628,12.3500,12.7500,12.3500,12.7500,1834650
AME,20170628,2.9190,2.9190,2.9190,2.9190,0
AMP,20170628,22.9995,22.9995,22.9995,22.9995,0
AMS,20170628,4.6413,5.0280,4.5639,4.5639,7900
AMV,20170628,7.6179,7.6179,7.2122,7.3474,5700
ANT,20170628,12.3000,12.3000,12.3000,12.3000,10
ANV,20170628,4.7419,4.8266,4.7419,4.8266,22040
APC,20170628,27.2000,27.2000,27.0000,27.1000,11800
APF,20170628,26.2360,26.2360,26.0156,26.0156,6393
APG,20170628,3.9238,3.9238,3.7426,3.9238,114210
API,20170628,31.3650,31.4618,30.0097,30.7841,16900
APL,20170628,13.1658,13.1658,13.1658,13.1658,0
APP,20170628,7.8726,7.8726,7.8726,7.8726,0
APS,20170628,3.6000,3.8000,3.6000,3.8000,95600
ARM,20170628,21.3391,21.3391,21.3391,21.3391,0
ASA,20170628,2.4000,2.4000,2.2000,2.2000,36800
ASD,20170628,0.5000,0.5000,0.5000,0.5000,0
ASM,20170628,11.1030,11.1428,11.1030,11.1428,1633290
ASP,20170628,3.5835,3.5835,3.5835,3.5835,12400
ATA,20170628,0.6000,0.6000,0.6000,0.6000,0
ATG,20170628,2.8600,3.1300,2.8600,3.0300,562780
ATS,20170628,15.4000,15.5000,15.4000,15.5000,39619
AUD-X,20170628,1.3181,1.3181,1.3181,1.3181,0
AUM,20170628,10.5184,10.5184,10.5184,10.5184,0
AVF,20170628,0.3000,0.3000,0.3000,0.3000,0
B82,20170628,2.7000,2.7000,2.7000,2.7000,0
BAX,20170628,14.5740,14.5740,14.5740,14.5740,0
BBC,20170628,106.7591,107.2534,106.7591,106.7591,150
BBS,20170628,13.0260,13.8154,11.6050,12.6313,2800
BCC,20170628,12.3675,12.4473,12.2079,12.2080,125600
BCE,20170628,3.7923,3.9231,3.7923,3.9230,88340
BCG,20170628,5.9379,6.0437,5.8926,5.9832,608460
BCP,20170628,4.9607,4.9607,4.9607,4.9607,0
BDB,20170628,6.1997,6.1997,6.1997,6.1997,0
BDG,20170628,16.6329,17.2064,16.6329,17.2064,3600
BDW,20170628,6.2171,6.2171,6.2171,6.2171,0
BED,20170628,26.9369,26.9369,26.9369,26.9369,0
BEL,20170628,6.1826,6.1826,6.1826,6.1826,0
BFC,20170628,29.3826,30.1690,29.3111,29.8115,96360
BHC,20170628,3.2000,3.2000,3.2000,3.2000,0
BHN,20170628,69.7225,69.7225,68.6594,69.7225,50
BHP,20170628,9.0285,9.0285,9.0285,9.0285,2000
BHT,20170628,5.3000,5.3000,5.3000,5.3000,0
BIC,20170628,34.8554,35.7655,34.8554,35.7655,14190
BID,20170628,18.6004,18.9284,18.4599,18.6942,3584220
BII,20170628,3.5000,3.5000,3.4000,3.4000,261110
BKC,20170628,6.0000,6.0000,6.0000,6.0000,0
BLF,20170628,4.1000,4.1000,4.1000,4.1000,1000
BLI,20170628,5.1839,5.1839,5.1839,5.1839,6070
BLN,20170628,9.0638,9.0638,9.0638,9.0638,0
BMC,20170628,17.0335,17.0335,16.4058,16.9080,5820
BMD,20170628,7.3177,7.3177,7.3177,7.3177,0
BMI,20170628,22.3881,22.3881,22.1426,22.3881,9100
BMJ,20170628,4.7807,4.7807,4.7807,4.7807,0
BMN,20170628,5.5751,5.5751,5.5751,5.5751,0
BMP,20170628,69.4033,70.8054,69.4033,69.8239,38390
BMV,20170628,9.9522,9.9522,9.9522,9.9522,0
BPC,20170628,12.4001,12.4001,12.4001,12.4001,2600
BRC,20170628,8.0042,8.0042,7.9287,7.9287,680
BRL-X,20170628,3.3120,3.3120,3.3120,3.3120,0
BRR,20170628,13.9226,13.9226,10.5290,13.6615,2800
BRS,20170628,4.8505,4.8505,4.8505,4.8505,3100
BSC,20170628,14.8925,14.8925,14.8925,14.8925,10
