<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20190819,2835.5200,2883.1001,2829.8501,2883.1001,214500
A32,20190819,24.8703,24.8703,24.8703,24.8702,800
AAA,20190819,15.5911,15.8197,15.4997,15.4997,977320
AAM,20190819,10.7238,11.3462,10.7238,11.3462,910
AAV,20190819,11.0000,11.0000,10.7000,10.7000,163215
ABC,20190819,9.3187,9.7711,9.2282,9.4092,19600
ABI,20190819,28.0810,28.0810,27.8030,27.8030,300
ABR,20190819,23.2000,23.2000,23.2000,23.2000,1000
ABT,20190819,32.9558,32.9558,32.9558,32.9559,30
AC4,20190819,3.0000,3.0000,3.0000,3.0000,0
ACB,20190819,13.5384,13.7231,13.4769,13.5385,1209980
ACC,20190819,12.7786,12.7786,12.7786,12.7786,50
ACE,20190819,20.5801,20.5801,20.5801,20.5801,0
ACL,20190819,14.9553,14.9553,14.5685,14.9553,10310
ACM,20190819,0.5000,0.5000,0.4000,0.5000,159910
ACS,20190819,12.8523,12.8523,12.8523,12.8523,0
ACV,20190819,81.1505,82.9297,80.6563,82.5343,68920
ADC,20190819,12.5402,12.5402,12.5402,12.5402,0
ADP,20190819,8.5039,8.5039,8.5039,8.5039,0
ADS,20190819,10.0360,10.2106,9.9488,10.2106,5940
AFX,20190819,4.2000,4.2000,4.2000,4.2000,8100
AG1,20190819,4.2096,4.2096,4.2096,4.2096,0
AGF,20190819,3.1500,3.3000,3.1300,3.2900,1640
AGM,20190819,7.9588,8.5014,7.9588,8.3657,380
AGP,20190819,23.8792,23.8792,23.8792,23.8792,0
AGR,20190819,4.4000,4.7000,4.3700,4.7000,898980
AGX,20190819,22.6951,22.6951,22.6951,22.6951,700
ALT,20190819,15.4248,15.4248,15.4248,15.4248,0
ALV,20190819,2.3000,2.3000,2.3000,2.3000,0
AMC,20190819,16.9829,16.9829,16.9829,16.9829,0
AMD,20190819,1.6000,1.6300,1.6000,1.6000,436650
AME,20190819,7.1000,7.1000,7.1000,7.1000,0
AMP,20190819,14.0000,14.0000,14.0000,14.0000,0
AMS,20190819,6.9091,6.9091,6.9091,6.9091,200
AMV,20190819,12.2266,12.2266,11.7511,11.9549,63239
