<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAA,20171002,22.4080,22.6370,22.0809,22.1463,619360
AAM,20171002,6.3288,6.7405,6.3288,6.7405,2270
ABC,20171002,14.8181,14.9004,14.4065,14.4066,13700
ABI,20171002,25.0959,25.5155,25.0959,25.5155,4500
ABT,20171002,26.7086,26.7086,25.7095,26.6318,40
AC4,20171002,6.8646,6.8646,6.8646,6.8646,0
ACB,20171002,11.4882,11.4882,11.3385,11.3759,755459
ACC,20171002,13.4452,13.4452,13.0563,13.4452,480
ACE,20171002,17.0327,17.2998,17.0327,17.2998,800
ACL,20171002,3.4149,3.4149,3.4149,3.4149,70
ACM,20171002,2.0000,2.0000,1.8000,1.9000,1184236
ACS,20171002,7.1380,7.1380,7.1380,7.1380,0
ACV,20171002,67.5065,67.5065,65.8576,65.8576,56619
ADC,20171002,11.9974,11.9974,11.9974,11.9974,0
ADP,20171002,11.6037,11.6037,11.6037,11.6037,100
ADS,20171002,13.3413,13.4734,12.9120,13.3413,72750
AFX,20171002,3.5563,3.5563,3.3828,3.3828,5000
AGF,20171002,8.7600,8.8900,8.7500,8.8900,190
AGM,20171002,7.5795,7.5795,7.5795,7.5795,20
AGP,20171002,13.9019,13.9019,13.9019,13.9019,0
AGR,20171002,5.6900,5.8300,5.6700,5.6800,252340
AGX,20171002,30.1086,30.1086,30.1086,30.1086,0
ALT,20171002,11.4754,12.2951,11.4754,12.2951,10100
ALV,20171002,10.7000,11.4000,10.7000,11.0000,53800
AMC,20171002,16.7183,16.7183,16.6530,16.6530,200
AMD,20171002,10.6500,10.8000,10.3000,10.3000,703620
AME,20171002,2.9190,2.9190,2.9190,2.9190,0
AMP,20171002,16.8000,16.8000,16.8000,16.8000,0
AMS,20171002,7.2941,7.2941,7.2941,7.2941,600
AMV,20171002,6.3107,6.4459,6.3107,6.3107,10600
ANT,20171002,9.4000,9.4000,9.4000,9.4000,4000
ANV,20171002,7.3122,7.3203,7.2479,7.2962,131330
APC,20171002,45.0000,45.5000,44.4000,45.1000,10910
APF,20171002,23.3699,23.3699,23.3699,23.3699,0
APG,20171002,3.9159,4.1286,3.9159,4.1050,189020
API,20171002,28.8480,31.3650,28.8480,31.2682,600
APL,20171002,13.1658,13.1658,13.1658,13.1658,0
APP,20171002,9.2483,9.2483,9.2483,9.2483,0
APS,20171002,3.7000,3.7000,3.5000,3.6000,205400
ARM,20171002,16.7728,16.7728,16.7728,16.7728,47
ART,20171002,12.4098,12.4098,11.5279,11.5279,518200
ASA,20171002,2.9000,2.9000,2.7000,2.8000,56900
ASD,20171002,0.5000,0.5000,0.5000,0.5000,0
ASM,20171002,9.5430,9.5868,9.3679,9.4117,1743650
ASP,20171002,5.1541,5.1541,4.9559,5.1007,16290
ATA,20171002,1.0000,1.0000,1.0000,1.0000,0
ATB,20171002,2.8000,2.9000,2.5000,2.5000,64300
ATG,20171002,3.8900,3.8900,3.7200,3.7200,135920
ATS,20171002,25.0000,25.1000,24.9000,24.9000,33100
AUD-X,20171002,1.2746,1.2746,1.2746,1.2746,0
AUM,20171002,10.4867,10.4867,10.4867,10.4867,0
AVF,20171002,0.4000,0.4000,0.4000,0.4000,0
B82,20171002,2.5000,2.5000,2.5000,2.5000,1800
BAX,20171002,13.0236,13.0236,13.0236,13.0235,100
