<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20170321,3250.2500,3262.2200,3246.7000,3261.6101,162700
AAA,20170321,15.9412,15.9412,15.5548,15.6192,1218970
AAM,20170321,6.5080,6.8401,6.4416,6.8401,13270
ABC,20170321,15.9414,15.9414,15.9414,15.9414,200
ABI,20170321,20.8153,22.5779,20.5635,20.6474,6600
ABT,20170321,30.0249,30.6988,29.9501,30.6988,1580
AC4,20170321,5.1005,5.1005,5.1005,5.1005,0
ACB,20170321,9.0184,9.3927,8.9810,9.3552,10618307
ACC,20170321,15.4128,15.4128,15.4128,15.4128,110
ACE,20170321,17.6623,17.7862,17.4144,17.4144,11300
ACL,20170321,3.4230,3.5612,3.4230,3.5613,100
ACM,20170321,1.8000,1.9000,1.7000,1.8000,540600
ACV,20170321,49.4659,50.1449,49.4659,49.6600,35800
ADC,20170321,11.7066,11.7066,11.7066,11.7066,0
ADP,20170321,16.6109,16.6109,16.1850,16.1849,1349
ADS,20170321,13.7408,13.7708,13.4702,13.4702,210740
AFX,20170321,3.2961,3.2961,3.2961,3.2961,500
AGF,20170321,9.4000,9.5000,9.2300,9.5000,4070
AGM,20170321,8.2686,8.2686,8.2686,8.2686,20
AGP,20170321,17.5696,17.5696,17.5696,17.5696,0
AGR,20170321,3.6000,3.6000,3.5300,3.5500,540690
AGX,20170321,10.2260,10.2260,10.2260,10.2260,0
ALT,20170321,9.8474,9.8474,9.8474,9.8473,100
ALV,20170321,2.9770,2.9770,2.9770,2.9770,1400
AMC,20170321,17.9730,17.9730,17.9730,17.9730,0
AMD,20170321,13.6000,13.6500,13.5000,13.6000,307710
AME,20170321,2.7054,2.7054,2.7054,2.7054,1000
AMP,20170321,12.0747,12.0747,12.0747,12.0747,300
AMS,20170321,5.4148,5.4922,5.1054,5.1054,13000
AMV,20170321,6.4008,6.5360,6.3106,6.5361,16030
ANT,20170321,12.3305,12.3305,12.3305,12.3305,20500
ANV,20170321,3.0522,3.1238,3.0145,3.0898,44570
APC,20170321,25.8849,25.8849,24.5123,24.7083,103660
APG,20170321,3.7425,3.8213,3.5849,3.8213,89020
API,20170321,21.1036,21.2972,20.2324,20.9100,17200
APL,20170321,13.1662,13.1662,13.1662,13.1662,0
APP,20170321,7.2612,7.2612,7.2612,7.2612,0
APS,20170321,2.5000,2.5000,2.5000,2.5000,37200
ARM,20170321,23.2047,23.2047,23.2047,23.2047,1100
ASA,20170321,2.2000,2.2000,2.2000,2.2000,21900
ASD,20170321,0.5000,0.5000,0.5000,0.5000,0
ASM,20170321,12.4958,12.7346,12.4560,12.6550,2119800
ASP,20170321,2.9812,2.9812,2.9736,2.9735,3800
ATA,20170321,0.9000,0.9000,0.9000,0.9000,0
ATG,20170321,2.5000,2.5200,2.4700,2.4900,156850
ATS,20170321,12.4000,12.5000,11.3000,12.5000,30200
AUD-X,20170321,1.2936,1.2936,1.2936,1.2936,0
AUM,20170321,10.5184,10.5184,10.5184,10.5184,0
AVF,20170321,0.4000,0.4000,0.4000,0.4000,0
B82,20170321,3.5000,3.5000,3.5000,3.5000,100
BBC,20170321,116.0408,116.0408,116.0408,116.0408,70
BBS,20170321,10.7366,10.7366,10.2629,10.5787,700
BCC,20170321,13.9634,14.0432,13.7240,13.7240,380316
BCE,20170321,3.6315,3.6661,3.6199,3.6662,59850
BCG,20170321,3.6337,3.7395,3.6261,3.7395,475190
BCP,20170321,8.0151,8.0151,8.0151,8.0151,0
BDB,20170321,7.0952,7.0952,7.0952,7.0952,0
BDG,20170321,19.7536,19.8071,18.7364,19.2717,900
BDW,20170321,6.2169,6.2169,6.2169,6.2169,0
BED,20170321,22.9486,22.9486,22.9486,22.9486,200
BEL,20170321,6.1826,6.1826,6.1826,6.1826,5000
BFC,20170321,26.0981,26.2377,25.4701,25.6096,350840
BHC,20170321,3.3000,3.3000,3.3000,3.3000,0
BHN,20170321,82.3913,82.3913,81.5054,81.5053,3050
BHP,20170321,9.1120,9.1120,9.1120,9.1121,2400
BHT,20170321,4.3445,4.3445,4.3445,4.3445,610
BIC,20170321,33.0802,35.6730,33.0802,35.6730,9040
BID,20170321,15.7425,16.3047,15.7425,16.3047,10006770
BII,20170321,2.9000,2.9000,2.8000,2.9000,942030
BKC,20170321,5.7000,5.8000,5.6000,5.7000,1400
BLF,20170321,4.3000,4.3000,4.2000,4.2000,4100
BLI,20170321,5.5124,5.5124,5.5124,5.5125,100
BLN,20170321,9.0172,9.0172,9.0172,9.0172,0
BMC,20170321,14.6918,15.7064,14.6918,15.4224,88070
BMI,20170321,21.5520,21.5520,21.2362,21.4730,12240
