<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20200907,3349.9199,3368.2500,3285.6299,3292.5901,260600
A32,20200907,28.8323,28.8323,28.8323,28.8323,100
AAA,20200907,11.4762,11.7505,11.4762,11.5219,3282230
AAM,20200907,11.2000,11.5000,11.2000,11.2000,6150
AAS,20200907,8.9000,9.4000,8.5000,9.0000,275111
AAV,20200907,6.3000,6.8000,6.2000,6.8000,829825
ABC,20200907,13.3000,13.8000,13.3000,13.7000,19210
ABI,20200907,32.9997,33.6934,32.2069,32.7024,11300
ABR,20200907,26.6000,26.6000,26.6000,26.6000,0
ABS,20200907,11.2000,11.6000,10.9500,11.2000,417470
ABT,20200907,31.9674,31.9674,31.1924,31.1925,210
AC4,20200907,3.0000,3.0000,3.0000,3.0000,0
ACB,20200907,16.8800,16.9600,16.6400,16.6400,6067374
ACC,20200907,13.6439,13.6439,12.9783,13.1779,14260
ACE,20200907,26.7494,26.7494,25.7802,25.7802,500
ACL,20200907,15.2000,16.0000,15.2000,15.5000,175460
ACM,20200907,0.8000,0.8000,0.7000,0.7000,285480
ACS,20200907,11.4000,11.4000,11.4000,11.4000,0
ACV,20200907,58.0000,58.0000,56.5000,57.0000,341997
ADC,20200907,15.0697,15.0697,15.0697,15.0697,800
ADG,20200907,50.7000,51.3000,50.6000,50.6000,19640
ADP,20200907,12.1318,12.1318,12.1318,12.1318,0
ADS,20200907,8.6685,8.6685,8.6013,8.6013,15870
AFX,20200907,9.5000,10.9000,9.3000,10.8000,922760
AG1,20200907,7.6000,7.6000,7.6000,7.6000,0
AGF,20200907,3.3000,3.3000,3.3000,3.3000,0
AGG,20200907,28.2500,28.5000,28.2000,28.4000,643420
AGM,20200907,13.1000,13.8500,13.0500,13.8500,183390
AGP,20200907,17.5000,17.5000,17.5000,17.5000,100
AGR,20200907,4.0400,4.2000,4.0400,4.1000,869570
AGX,20200907,26.2000,26.2000,26.2000,26.2000,0
ALT,20200907,11.5999,11.5999,11.5999,11.5999,100
ALV,20200907,2.7000,2.7000,2.7000,2.7000,0
AMC,20200907,15.9384,15.9384,15.9384,15.9384,0
AMD,20200907,2.5900,2.6200,2.5400,2.5500,2432250
AME,20200907,7.4000,7.4000,7.4000,7.4000,0
AMP,20200907,10.2000,10.2000,10.2000,10.2000,0
AMS,20200907,6.7272,7.5454,6.5454,6.6364,2600
AMV,20200907,11.4794,11.6153,11.3436,11.3436,519571
ANT,20200907,7.8000,7.8000,7.8000,7.8000,500
ANV,20200907,16.1074,17.2067,16.1074,17.2068,799730
APC,20200907,19.7000,20.2000,19.7000,19.8000,52200
APF,20200907,24.3631,24.3631,24.3631,24.3631,164
APG,20200907,9.6055,9.7770,9.3482,9.3911,731980
APH,20200907,55.5766,55.9552,55.5009,55.7280,242810
API,20200907,10.3582,10.3582,10.3582,10.3582,200
APL,20200907,15.1000,15.1000,15.1000,15.1000,0
APP,20200907,3.1000,3.2000,3.1000,3.2000,900
APS,20200907,2.4000,2.5000,2.4000,2.4000,8900
APT,20200907,3.1000,3.1000,3.1000,3.1000,0
AQN,20200907,7.5000,7.5000,7.5000,7.5000,0
ARM,20200907,14.0000,14.0000,14.0000,14.0000,0
ART,20200907,2.3000,2.4000,2.3000,2.3000,899020
ASA,20200907,1.2000,1.2000,1.2000,1.2000,0
ASD,20200907,3.1000,3.1000,3.1000,3.1000,0
ASM,20200907,6.1900,6.5000,6.1600,6.3000,4076730
ASP,20200907,5.4273,5.4733,5.4089,5.4273,44050
AST,20200907,49.0000,49.8000,49.0000,49.1000,226500
ATA,20200907,0.3000,0.3000,0.3000,0.3000,0
ATB,20200907,0.7000,0.7000,0.6000,0.6000,43210
ATD,20200907,9.6000,9.6000,9.6000,9.6000,0
