<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20190422,3278.4900,3279.4900,3206.8799,3215.0400,353200
A32,20190422,22.0499,22.0499,22.0499,22.0499,0
AAA,20190422,16.0313,16.0313,15.4540,15.4540,3626050
AAM,20190422,12.9739,13.5005,12.8303,13.4048,9220
AAV,20190422,9.0901,9.0901,8.9101,9.0901,131200
ABC,20190422,7.8207,7.8207,7.8207,7.8207,10000
ABI,20190422,21.3156,21.3156,21.3156,21.3156,100
ABR,20190422,5.0000,5.0000,5.0000,5.0000,5400
ABT,20190422,33.8466,33.8466,33.8466,33.8466,0
AC4,20190422,3.0001,3.0001,3.0001,3.0001,0
ACB,20190422,14.0591,14.0591,13.7751,13.8698,1362678
ACC,20190422,11.6678,11.8501,11.5463,11.8198,4980
ACE,20190422,18.5782,18.5782,18.5782,18.5782,80
ACL,20190422,18.0924,18.3502,17.6197,17.6412,52170
ACM,20190422,0.6000,0.6000,0.6000,0.6000,0
ACS,20190422,12.8519,12.8519,12.8519,12.8519,0
ACV,20190422,81.0517,81.0517,80.8540,81.0517,3410
ADC,20190422,12.9726,12.9726,12.9726,12.9726,0
ADP,20190422,21.8033,21.8033,21.8033,21.8033,20
ADS,20190422,10.3722,10.3722,10.3343,10.3722,12820
AFX,20190422,2.7502,2.7502,2.6553,2.6553,9100
AG1,20190422,9.4940,9.4940,9.4940,9.4940,0
AGF,20190422,6.2500,6.7000,6.2400,6.3200,9150
AGM,20190422,8.9961,8.9961,8.9961,8.9961,0
AGP,20190422,17.8417,17.8417,17.8417,17.8417,100
AGR,20190422,4.0800,4.0800,3.9800,3.9800,79630
AGX,20190422,24.1839,24.1839,24.1839,24.1839,0
ALT,20190422,10.3407,10.3407,10.3407,10.3407,0
ALV,20190422,3.1000,3.1000,3.1000,3.1000,0
AMC,20190422,16.1062,16.8553,14.9825,14.9825,11100
AMD,20190422,2.1300,2.1500,2.0600,2.0600,2005740
AME,20190422,9.9000,9.9000,9.9000,9.9000,100
AMP,20190422,16.2000,16.2000,16.2000,16.2000,0
AMS,20190422,7.3231,7.4083,6.3013,7.4083,1100
AMV,20190422,14.3343,14.4245,13.6582,13.9286,70900
ANT,20190422,5.9000,5.9000,5.9000,5.9000,0
ANV,20190422,23.7379,23.9606,23.5153,23.5152,294390
APC,20190422,29.0500,29.5000,28.3000,28.3000,55000
APF,20190422,20.3167,20.3167,20.3167,20.3167,0
APG,20190422,6.6467,6.6810,6.4323,6.6724,311290
API,20190422,22.6525,22.7493,22.4589,22.7493,800
APL,20190422,13.1651,13.1651,13.1651,13.1651,0
APP,20190422,4.6078,4.6078,4.6078,4.6078,600
APS,20190422,3.1000,3.1000,3.1000,3.1000,0
ARM,20190422,52.3636,52.3636,52.3636,52.3636,0
ART,20190422,3.0000,3.0000,2.8000,2.8000,668830
ASA,20190422,0.7000,0.7000,0.7000,0.7000,0
ASD,20190422,6.2000,6.2000,6.2000,6.2000,0
ASM,20190422,6.7676,6.8027,6.5663,6.5663,949370
ASP,20190422,5.5722,5.5722,5.4520,5.4520,110
AST,20190422,56.7809,57.5410,56.6289,57.2370,141740
ATA,20190422,0.3000,0.3000,0.3000,0.3000,0
ATB,20190422,0.8000,0.8000,0.8000,0.8000,95000
ATG,20190422,1.3800,1.4400,1.3800,1.4000,229120
ATS,20190422,28.0000,28.0000,28.0000,28.0000,500
AUD-X,20190422,1.3984,1.3984,1.3984,1.3984,0
AUDUSD,20190422,0.0000,0.0000,0.0000,0.7100,37399
AUM,20190422,10.5000,10.5000,10.5000,10.5000,0
AVC,20190422,28.4375,28.4375,28.4375,28.4375,0
AVF,20190422,0.3000,0.3000,0.3000,0.3000,0
B82,20190422,1.1000,1.1000,1.1000,1.1000,0
BAB,20190422,18.8991,18.8991,18.8991,18.8991,6200
BAL,20190422,8.7720,8.7720,8.7720,8.7719,1600
BAX,20190422,30.4840,30.4840,29.4798,29.4798,4500
BBC,20190422,67.1000,67.1000,66.8000,67.1000,190
BBM,20190422,10.6456,10.6456,10.6456,10.6456,0
BBS,20190422,8.3948,8.3948,8.3948,8.3948,397
BBT,20190422,17.6000,17.6000,17.6000,17.6000,2000
BCB,20190422,6.5629,6.5629,6.5629,6.5629,0
BCC,20190422,7.7678,7.7678,7.5000,7.5893,249375
BCE,20190422,5.1810,5.2561,5.1810,5.2486,85570
BCG,20190422,4.7594,4.7670,4.5932,4.6838,691720
BCM,20190422,22.3067,23.5621,21.5342,23.5621,12006
BCP,20190422,15.0000,15.0000,14.5000,14.9000,2400
BDB,20190422,8.6795,8.6795,8.6795,8.6795,0
BDG,20190422,28.9370,28.9370,28.9370,28.9370,0
BDT,20190422,9.0354,9.0354,9.0354,9.0354,0
BDW,20190422,11.6105,11.6105,11.6105,11.6105,0
BED,20190422,41.5545,45.5451,41.5545,41.6428,1000
BEL,20190422,8.2725,8.2725,8.2725,8.2725,500
BFC,20190422,19.8503,19.8503,19.4653,19.7648,163030
BGW,20190422,9.4719,9.4719,9.4719,9.4719,0
BHA,20190422,17.3062,17.3062,17.3062,17.3062,0
BHC,20190422,2.6000,2.6000,2.6000,2.6000,0
BHG,20190422,11.9284,11.9284,11.9284,11.9284,0
BHK,20190422,12.1219,12.1219,12.1219,12.1219,0
BHN,20190422,73.7265,73.9972,72.2827,72.2827,5310
BHP,20190422,11.1576,11.1576,11.1576,11.1576,0
BHT,20190422,2.7000,2.7000,2.7000,2.7000,0
BIC,20190422,21.5014,21.8279,21.2682,21.7346,10710
BID,20190422,33.7013,33.7013,32.8310,33.0727,687460
BII,20190422,1.0000,1.0000,0.9000,1.0000,1276600
BIO,20190422,9.4507,9.4507,9.4507,9.4507,0
BKC,20190422,6.2000,6.2000,6.0000,6.2000,410
BLF,20190422,3.2000,3.2000,3.2000,3.2000,0
BLI,20190422,4.4082,4.6402,4.4082,4.6402,1264
BLN,20190422,6.8500,6.8500,6.8500,6.8500,0
BLT,20190422,15.8674,15.8674,15.8674,15.8674,0
BLU,20190422,10.0000,10.0000,10.0000,10.0000,0
BLW,20190422,11.1146,11.1146,11.1146,11.1146,0
BMC,20190422,12.4005,12.4005,12.3126,12.4005,7410
BMD,20190422,4.0727,4.0727,4.0727,4.0727,0
BMF,20190422,47.3000,47.3000,47.3000,47.3000,0
BMG,20190422,21.0703,21.0703,21.0703,21.0703,0
BMI,20190422,23.4915,23.4915,23.0705,23.1126,78180
BMJ,20190422,4.5487,4.5487,4.5487,4.5487,3200
BMN,20190422,5.5676,5.5676,5.5676,5.5676,0
BMP,20190422,36.0472,36.5084,35.5861,35.8551,78850
BMS,20190422,7.9000,8.0000,6.5000,6.5000,2900
BMV,20190422,9.9522,9.9522,9.9522,9.9522,0
BNW,20190422,8.4709,8.4709,8.4709,8.4709,0
BOT,20190422,50.6000,53.1000,50.6000,53.1000,1000
BPC,20190422,12.3878,12.3878,12.3878,12.3878,0
