<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20170105,3157.9099,3168.5000,3154.2800,3165.4099,174700
AAA,20170105,15.4338,15.7437,14.7830,15.7437,1057020
AAM,20170105,6.7771,6.9354,6.3337,6.3337,130
ABC,20170105,19.5985,19.5985,19.5985,19.5985,0
ABI,20170105,15.7564,18.3158,15.7564,18.3158,1200
ABT,20170105,30.0503,32.1967,30.0503,32.1967,2550
ACB,20170105,7.1848,7.2222,7.0726,7.1474,471881
ACC,20170105,15.8279,15.8279,15.8279,15.8279,0
ACE,20170105,15.5381,15.5978,15.5381,15.5978,800
ACL,20170105,3.2238,3.2238,3.2238,3.2238,20
ACM,20170105,1.9000,1.9000,1.8000,1.9000,108600
ACV,20170105,47.2351,47.9140,46.3622,46.6532,160960
ADC,20170105,10.2345,10.2345,10.2345,10.2345,0
ADP,20170105,14.7231,14.7231,14.7231,14.7231,1000
ADS,20170105,12.4479,12.4780,12.2374,12.4780,177170
AFX,20170105,3.0359,3.0359,3.0359,3.0359,0
AGF,20170105,7.1000,7.3200,7.1000,7.3200,1020
AGM,20170105,8.0983,8.1064,8.0983,8.0983,2580
AGP,20170105,15.2856,15.2856,15.2856,15.2856,0
AGR,20170105,2.4200,2.4700,2.4100,2.4600,61050
AGX,20170105,17.0434,17.0434,17.0434,17.0434,0
ALT,20170105,9.6910,9.6910,9.6910,9.6910,0
ALV,20170105,2.5929,2.5929,2.5929,2.5929,2100
AMC,20170105,17.9730,17.9730,17.9730,17.9730,0
AMD,20170105,16.2405,16.7835,16.2405,16.3392,728820
AME,20170105,2.7766,2.7766,2.7766,2.7766,0
AMV,20170105,4.5076,4.5076,3.6962,3.6963,7000
ANT,20170105,14.2274,14.2274,14.2274,14.2274,0
ANV,20170105,2.2044,2.2044,2.0725,2.1290,290
APC,20170105,18.3351,18.3351,18.3351,18.3351,1700
APG,20170105,4.1365,4.1365,3.6244,3.6244,9200
API,20170105,9.6805,9.6805,9.5837,9.6805,35020
APL,20170105,13.1662,13.1662,13.1662,13.1662,0
APP,20170105,7.8423,7.8423,7.8423,7.8423,100
APS,20170105,2.4000,2.4000,2.3000,2.4000,71300
ARM,20170105,20.8842,20.8842,20.8842,20.8842,0
ASA,20170105,1.8000,1.8000,1.7000,1.8000,10000
ASD,20170105,0.5000,0.5000,0.5000,0.5000,0
ASM,20170105,11.8989,12.2571,11.8591,11.9785,1407810
ASP,20170105,2.9659,2.9659,2.9659,2.9659,20
ATA,20170105,0.8000,0.8200,0.7700,0.8000,79280
ATG,20170105,4.2600,4.2600,4.2600,4.2600,520
ATS,20170105,10.3000,10.3000,10.2000,10.2000,12300
AUD-X,20170105,1.3723,1.3723,1.3723,1.3723,0
AUM,20170105,10.5184,10.5184,10.5184,10.5184,0
AVF,20170105,0.3000,0.3000,0.3000,0.3000,0
B82,20170105,4.1000,4.1000,4.1000,4.1000,0
BBC,20170105,92.4393,92.4393,92.4393,92.4393,230
BBS,20170105,11.2102,11.2102,11.2102,11.2102,0
BCC,20170105,11.7292,11.9686,11.6494,11.8888,145328
BCE,20170105,3.5158,3.5563,3.5158,3.5505,39570
BCG,20170105,3.8377,3.8906,3.7773,3.8906,1218530
BCP,20170105,7.0132,7.0132,7.0132,7.0132,0
BDB,20170105,6.5273,6.5273,6.5273,6.5273,0
BDG,20170105,16.9163,16.9163,16.9163,16.9163,0
BDW,20170105,7.2388,7.2388,7.2388,7.2388,0
BED,20170105,21.3360,21.3360,21.3360,21.3360,0
BEL,20170105,5.2248,5.2248,5.2248,5.2248,0
BFC,20170105,20.8645,21.2832,20.6551,21.2134,100930
BHC,20170105,2.8000,2.8000,2.8000,2.8000,0
BHN,20170105,108.5261,122.2580,103.1220,111.7155,78810
BHP,20170105,13.2245,13.2245,11.8537,11.8537,2500
BHT,20170105,5.7612,5.7612,5.6668,5.6668,1300
BIC,20170105,34.7789,34.8683,32.4543,34.8683,8780
BID,20170105,14.3838,14.7118,14.2432,14.4306,1988580
BII,20170105,2.1000,2.2000,2.0000,2.1000,111100
BKC,20170105,7.1000,7.1000,7.1000,7.1000,0
BLF,20170105,6.3000,6.3000,6.3000,6.3000,100
BLI,20170105,5.3674,5.3674,5.0773,5.1498,7300
BLN,20170105,9.5637,9.5637,9.5637,9.5637,0
BMC,20170105,11.9695,11.9695,11.8902,11.9695,1520
BMI,20170105,19.6177,19.6572,19.2625,19.6572,23610
BMJ,20170105,3.9958,3.9958,3.9958,3.9959,1000
BMN,20170105,5.5955,5.5955,5.5955,5.5955,0
BMP,20170105,73.4250,73.4250,72.0382,73.3865,26310
BPC,20170105,13.4036,14.4071,13.4036,14.4070,2310
BRC,20170105,7.1637,7.1637,7.1637,7.1637,0
BRL-X,20170105,3.2141,3.2141,3.2141,3.2141,0
BSC,20170105,29.1081,29.1081,29.1081,29.1081,0
BSG,20170105,10.7633,10.7633,10.7633,10.7633,800
BSI,20170105,7.2835,7.5636,7.2135,7.2835,4690
BSP,20170105,16.2136,16.3825,15.8758,16.3261,6709
BST,20170105,9.8585,9.8585,9.8585,9.8585,0
BT1,20170105,11.3466,11.3466,11.3466,11.3465,100
BTCUSD-X,20170105,1156.7300,910.4170,1191.1000,1013.3799,51019900800
BTG,20170105,3.2430,3.2430,3.2430,3.2430,0
BTP,20170105,8.8461,9.2119,8.8461,9.2119,42120
BTR,20170105,4.7964,4.7964,4.7964,4.7964,0
BTS,20170105,8.7379,9.3204,8.7379,9.3204,200
BTT,20170105,23.3589,26.7273,23.3589,26.7272,3010
BTU,20170105,7.5862,7.5862,7.5862,7.5862,0
BTW,20170105,11.8603,11.8603,11.8603,11.8602,100
BVG,20170105,1.0000,1.0000,1.0000,1.0000,0
BVH,20170105,56.6038,58.3019,56.4151,57.6415,420990
BVN,20170105,7.5316,7.5316,7.5316,7.5316,0
BVS,20170105,13.3303,13.3303,12.8426,13.2490,17880
BWA,20170105,4.3228,4.3228,4.3228,4.3228,0
BXH,20170105,19.4274,19.4274,19.4274,19.4274,0
C12,20170105,18.6047,18.6047,18.6047,18.6047,0
C21,20170105,10.6829,10.6829,10.6829,10.6829,0
C32,20170105,24.4215,25.7123,24.3957,25.2992,461750
C47,20170105,6.8693,7.0332,6.8693,7.0254,59720
C71,20170105,9.0303,9.0303,9.0303,9.0303,0
C92,20170105,35.0000,35.0000,35.0000,35.0000,0
CAD,20170105,0.6000,0.6000,0.6000,0.6000,0
CAD-X,20170105,1.3299,1.3299,1.3299,1.3299,0
CAN,20170105,21.5016,21.5016,21.5016,21.5016,4800
CAP,20170105,21.5126,21.5672,21.5126,21.5672,1400
CAV,20170105,42.0698,42.2801,40.8778,41.0180,32990
CCI,20170105,8.2351,8.2351,8.2351,8.2351,0
CCL,20170105,2.3012,2.3175,2.2849,2.2850,500
CCM,20170105,10.6015,10.6015,10.6015,10.6015,0
CCR,20170105,12.8063,12.8063,12.8063,12.8063,0
CDC,20170105,6.7899,6.7899,6.4789,6.5048,100
CDH,20170105,6.4469,6.4469,6.4469,6.4469,0
CDN,20170105,16.4723,16.6684,16.4723,16.6684,500
CDO,20170105,7.2900,7.2900,7.2900,7.2900,16210
CEC,20170105,18.1481,18.1481,18.1481,18.1481,0
CEO,20170105,9.1584,9.3061,9.0107,9.2323,1696800
CFC,20170105,8.1548,8.1548,8.1548,8.1548,0
CHP,20170105,13.7128,13.7128,13.7128,13.7128,960
CI5,20170105,11.3614,11.3614,11.3614,11.3614,0
CID,20170105,4.1000,4.1000,4.1000,4.1000,0
CIG,20170105,2.7900,2.9900,2.7900,2.7900,5420
CII,20170105,28.1216,28.3079,27.4698,28.0285,1353640
CJC,20170105,25.3551,25.3551,25.3551,25.3551,0
CKD,20170105,6.2689,6.2689,6.2689,6.2688,100
CKV,20170105,9.6766,9.6766,9.6766,9.6766,1100
CL-F,20170105,53.3900,54.1200,52.7900,53.7600,512641
CLC,20170105,25.7289,25.8675,24.4817,25.8675,1650
CLG,20170105,4.4000,4.4000,4.1000,4.1100,26170
CLH,20170105,5.7964,5.7964,5.7964,5.7964,1000
CLL,20170105,19.7343,19.7343,19.7343,19.7343,1000
CLM,20170105,11.3140,11.3140,11.3140,11.3140,0
CLW,20170105,13.0266,13.1080,13.0266,13.1080,1000
CMC,20170105,5.0000,5.0000,5.0000,5.0000,0
CMF,20170105,85.7483,85.7483,85.7483,85.7483,200
CMG,20170105,11.7493,11.7493,11.1618,11.7101,3430
CMI,20170105,7.5000,7.6000,7.4000,7.6000,15300
CMK,20170105,7.4995,7.4995,7.4995,7.4995,0
CMP,20170105,8.2581,8.2581,8.2581,8.2581,0
CMS,20170105,4.6800,4.8600,4.5000,4.8600,20400
CMT,20170105,11.4301,11.4301,10.3051,10.9801,160
CMV,20170105,12.4220,12.4220,12.4220,12.4220,0
CMX,20170105,3.1010,3.1010,2.9533,3.1010,30690
CNC,20170105,24.5844,24.5844,24.5844,24.5845,100
CNG,20170105,28.3035,28.3035,28.3035,28.3035,190
CNN,20170105,12.5351,12.5351,9.3052,12.5351,1100
CNT,20170105,2.9000,2.9000,2.9000,2.9000,0
CNY-X,20170105,6.9251,6.9251,6.9251,6.9251,0
COM,20170105,37.5282,37.5282,37.5282,37.5282,0
CPC,20170105,20.9014,20.9014,20.9014,20.9014,32
CQT,20170105,7.1000,7.1000,7.1000,7.1000,0
CSC,20170105,9.1186,9.1569,9.0803,9.1570,7400
CSM,20170105,17.1180,17.1607,16.9899,17.0753,217830
CSV,20170105,18.7924,19.0307,18.5881,18.8265,45370
CT3,20170105,5.3144,5.3144,5.3144,5.3144,300
CT6,20170105,3.9195,3.9195,3.9195,3.9195,0
CTA,20170105,1.6000,1.6000,1.6000,1.6000,100
CTB,20170105,12.1945,12.1945,12.1945,12.1945,10
CTC,20170105,6.4000,6.4000,6.4000,6.4000,0
CTD,20170105,160.8372,160.8372,158.8962,160.1313,63640
