<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AUD-X,20210417,1.2920,1.2920,1.2920,1.2920,0
BRL-X,20210417,5.5868,5.5868,5.5868,5.5868,0
BTCUSD-X,20210417,61529.9219,62572.1797,60361.3516,60683.8203,66138759198
CAD-X,20210417,1.2506,1.2506,1.2506,1.2506,0
CNY-X,20210417,6.5203,6.5203,6.5203,6.5203,0
DOGE-USD,20210417,0.3661,0.3745,0.2365,0.2842,31413404067
ETHUSD-X,20210417,2429.9800,2497.3899,2333.6799,2344.8999,32349808977
GBP-X,20210417,0.7225,0.7225,0.7225,0.7225,0
HKD-X,20210417,7.7711,7.7711,7.7711,7.7711,0
INR-X,20210417,74.4790,74.4790,74.4790,74.4790,0
JPY-X,20210417,108.7830,108.7830,108.7830,108.7830,0
KRW-X,20210417,1116.4900,1116.4900,1116.4900,1116.4900,0
LINK-USD,20210417,42.0800,44.0700,40.3100,40.3700,2183873341
RUB-X,20210417,75.7650,75.7650,75.7650,75.7650,0
SAR-X,20210417,3.7502,3.7502,3.7502,3.7502,0
SGD-X,20210417,1.3340,1.3340,1.3340,1.3340,0
VND-X,20210417,23065.0000,23065.0000,23065.0000,23065.0000,0
XRP-USD,20210417,1.5530,1.7405,1.5415,1.5601,14507135285
ZAR-X,20210417,14.3010,14.3010,14.3010,14.3010,0
