<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20160704,2924.2900,2992.5000,2922.5200,2988.6001,222000
AAA,20160704,18.1149,19.1312,17.9355,19.0116,591493
AAM,20160704,6.5237,6.9037,6.4603,6.9037,3270
ABI,20160704,15.3564,15.3564,15.1965,15.2765,3510
ABT,20160704,33.5404,33.5404,32.8614,32.8614,1030
ACB,20160704,6.3615,6.3615,6.2595,6.2935,289840
ACC,20160704,14.4268,14.6344,14.2711,14.4787,6080
ACE,20160704,17.5112,18.2749,17.4566,18.1113,25400
ACL,20160704,3.7402,3.7402,3.6995,3.6995,3240
ACM,20160704,3.6000,3.7000,3.6000,3.7000,420300
ADC,20160704,10.7028,10.7028,10.7028,10.7027,100
ADP,20160704,11.0525,11.2071,11.0525,11.2070,5100
ADS,20160704,9.3352,9.3352,8.3616,8.3616,14350
AGF,20160704,9.2000,10.0000,9.2000,10.0000,480
AGM,20160704,9.1603,9.2414,8.9982,9.2413,4690
AGP,20160704,12.3771,12.3771,12.3771,12.3771,0
AGR,20160704,2.8000,2.9000,2.7000,2.8000,115610
AGX,20160704,17.8145,17.8145,17.8145,17.8145,0
ALT,20160704,9.7692,9.7692,9.7692,9.7692,0
ALV,20160704,4.0334,4.0334,4.0334,4.0334,5300
AMC,20160704,19.5964,19.5964,19.5964,19.5964,0
AMD,20160704,11.9459,12.3408,11.6497,12.0446,1119680
AME,20160704,2.7766,2.7766,2.7766,2.7766,0
AMV,20160704,1.5777,1.5777,1.5777,1.5777,900
ANV,20160704,2.5623,2.6377,2.5623,2.6377,560
APC,20160704,18.6293,19.1195,18.3352,18.5312,58450
APG,20160704,6.3820,6.4608,6.3032,6.4608,115500
API,20160704,6.5828,6.6796,6.4860,6.6796,7600
APP,20160704,8.2890,8.2890,8.2890,8.2890,0
APS,20160704,2.8000,2.8000,2.8000,2.8000,182700
ARM,20160704,23.0371,23.0371,22.7154,22.7153,200
ASA,20160704,3.1000,3.2000,3.0000,3.1000,128000
ASD,20160704,0.5000,0.5000,0.5000,0.5000,0
ASM,20160704,12.3366,12.4162,12.1774,12.3366,587030
ASP,20160704,3.2023,3.2785,3.2023,3.2785,20830
ATA,20160704,3.5000,3.6000,3.4000,3.4000,789790
ATS,20160704,10.9000,11.0000,10.9000,10.9000,47300
AUD-X,20160704,1.3398,1.3398,1.3398,1.3398,0
AVF,20160704,0.5000,0.5000,0.5000,0.5000,0
B82,20160704,5.6000,5.6000,5.6000,5.6000,1900
BBC,20160704,69.2945,69.2945,69.2945,69.2945,530
BBS,20160704,12.1282,13.0266,11.4544,12.9517,5400
BCC,20160704,10.7544,10.9626,10.7544,10.8932,449846
BCE,20160704,3.5852,3.7587,3.5274,3.7587,232030
BCG,20160704,4.2306,4.2306,4.1551,4.2306,276260
BCP,20160704,5.3434,5.3434,5.3434,5.3434,100
BDB,20160704,3.9290,3.9290,3.9290,3.9290,0
BDG,20160704,13.9502,13.9502,13.9502,13.9502,0
BDW,20160704,9.7310,9.7310,9.7310,9.7310,0
BED,20160704,25.0574,25.0574,25.0574,25.0574,0
BFC,20160704,17.5831,17.5831,17.1436,17.4183,49120
BHC,20160704,2.2000,2.2000,2.2000,2.2000,0
BHP,20160704,4.2738,4.2738,4.2738,4.2738,0
BHT,20160704,4.0612,4.0612,4.0612,4.0612,0
BIC,20160704,23.0668,23.0668,21.6363,22.1727,46160
BID,20160704,15.4826,15.5716,15.2157,15.5716,1555770
BII,20160704,17.1000,17.3000,17.0000,17.3000,287800
BKC,20160704,9.9000,9.9000,9.9000,9.9000,0
BLF,20160704,4.0000,4.0000,4.0000,4.0000,100
BLI,20160704,4.7458,4.7458,4.7458,4.7458,2000
BMC,20160704,12.6829,12.6829,12.2073,12.5243,12120
BMI,20160704,19.4491,19.5926,19.0903,19.3773,207260
BMJ,20160704,3.8156,3.8156,3.8156,3.8156,13000
BMN,20160704,5.5955,5.5955,5.5955,5.5955,0
BMP,20160704,57.1842,60.6153,57.1842,60.6153,235360
BPC,20160704,16.1273,17.7042,15.4822,17.1308,15000
BRC,20160704,6.6769,6.6769,6.6769,6.6769,410
BRL-X,20160704,3.2306,3.2306,3.2306,3.2306,0
BSC,20160704,10.7342,10.7342,10.7342,10.7342,0
BSI,20160704,5.9089,6.1775,5.9089,6.1775,74300
BST,20160704,9.7512,9.7512,9.7512,9.7512,0
BT6,20160704,5.5000,5.5000,5.5000,5.5000,0
BTCUSD-X,20160704,658.8040,650.5080,683.6620,683.6620,9200840000
BTG,20160704,3.2430,3.2430,3.2430,3.2430,0
BTH,20160704,9.3000,9.3000,9.3000,9.3000,0
BTP,20160704,10.1763,10.4424,10.1098,10.3758,175390
BTS,20160704,8.7379,9.1262,8.3495,9.1262,5190
BTT,20160704,25.9218,25.9218,25.9218,25.9218,0
BTU,20160704,5.7745,5.7745,5.7745,5.7745,0
BTW,20160704,12.4212,12.4212,12.4212,12.4212,0
BVG,20160704,1.1000,1.1000,1.1000,1.1000,0
BVH,20160704,57.0755,57.5472,56.6038,57.0755,254200
BVN,20160704,7.3545,7.3545,7.3545,7.3544,1100
BVS,20160704,10.4041,10.9731,10.4041,10.9731,335634
BWA,20160704,2.7508,2.7508,2.7508,2.7508,0
BXH,20160704,11.6264,11.6264,11.6264,11.6264,0
C21,20160704,9.7926,9.7926,9.7926,9.7926,0
C32,20160704,29.4165,30.6844,29.4165,30.1772,236730
C47,20160704,8.7050,9.0298,8.5101,9.0298,145830
C71,20160704,16.9048,16.9048,16.9048,16.9048,100
C92,20160704,30.0000,30.0000,30.0000,30.0000,0
CAD,20160704,1.4000,1.4000,1.3000,1.4000,1900
CAD-X,20160704,1.2911,1.2911,1.2911,1.2911,0
CAN,20160704,25.8019,25.8019,25.8019,25.8019,100
CAP,20160704,32.1970,33.0155,31.1055,32.7604,67068
CAV,20160704,43.3665,43.3665,42.2930,42.9371,51450
CCI,20160704,6.6922,6.6922,6.6922,6.6922,10
CCL,20160704,3.1713,3.1713,3.0087,3.0900,69030
CCM,20160704,10.7447,10.7447,10.7447,10.7447,0
CCR,20160704,9.3913,9.3913,9.3913,9.3913,0
CDC,20160704,4.8049,4.9010,4.8049,4.9010,10010
CDH,20160704,6.4469,6.4469,6.4469,6.4469,0
CDN,20160704,14.4332,14.7539,14.1125,14.7539,3700
CDO,20160704,22.1417,22.2100,22.0734,22.1417,1177730
CEC,20160704,11.7883,11.7883,11.7883,11.7883,0
CEO,20160704,7.3858,7.3858,7.3119,7.3119,264120
CFC,20160704,9.0609,9.0609,9.0609,9.0609,900
CHP,20160704,13.1829,13.1829,13.0504,13.0503,10000
CI5,20160704,11.1612,11.1612,11.1612,11.1612,300
CID,20160704,3.5000,3.5000,3.5000,3.5000,0
CIG,20160704,3.1000,3.1000,3.1000,3.1000,15840
CII,20160704,23.3509,23.7060,23.2621,23.4397,748070
CJC,20160704,25.3551,25.3551,25.3551,25.3551,0
CKD,20160704,6.0325,6.0325,6.0325,6.0325,0
CKV,20160704,12.5088,12.5088,12.5088,12.5088,0
CLC,20160704,30.3983,30.6235,29.7228,30.1732,36560
CLG,20160704,4.0000,4.0000,4.0000,4.0000,2540
CLH,20160704,7.1377,7.1377,7.1377,7.1377,0
CLL,20160704,19.1318,20.1863,19.1318,20.1862,85460
CLM,20160704,13.4354,13.4354,13.4354,13.4354,0
CLW,20160704,13.5965,13.5965,13.5965,13.5965,0
CMC,20160704,5.3000,5.3000,5.3000,5.3000,0
CMG,20160704,10.0649,10.6569,10.0649,10.5830,3470
CMI,20160704,8.4000,8.4000,8.4000,8.4000,21700
CMK,20160704,7.4995,7.4995,7.4995,7.4995,0
CMP,20160704,8.2581,8.2581,8.2581,8.2581,0
CMS,20160704,5.7603,5.8382,5.6825,5.6825,62390
CMT,20160704,12.1501,12.1501,12.1501,12.1501,0
CMV,20160704,10.3566,10.3566,10.3566,10.3566,0
CMX,20160704,3.5439,3.5439,3.3963,3.5440,70
CNC,20160704,21.5741,23.5168,21.5741,23.5168,2900
CNG,20160704,29.4356,29.4356,28.6573,29.1526,139370
CNN,20160704,12.9196,12.9196,12.9196,12.9196,0
CNT,20160704,1.6000,1.6000,1.5000,1.6000,7900
CNY-X,20160704,6.6457,6.6457,6.6457,6.6457,0
COM,20160704,31.3769,31.6558,29.2851,30.6797,4570
CPC,20160704,14.9154,14.9154,14.9154,14.9154,0
CSC,20160704,6.5516,6.6282,6.4367,6.5516,64800
CSM,20160704,21.3583,21.6019,21.1147,21.1147,1125340
CSV,20160704,18.0591,18.1914,17.7945,18.1252,501530
CT3,20160704,8.6049,8.6049,8.6049,8.6049,0
CT6,20160704,7.6648,7.6648,7.6648,7.6648,0
CTA,20160704,3.4000,3.4000,3.4000,3.4000,0
CTB,20160704,11.6373,11.6806,11.1614,11.2047,5500
CTC,20160704,7.7903,8.6453,7.7903,8.6453,253324
CTD,20160704,130.3581,130.3581,129.0347,129.0347,62090
CTG,20160704,15.5946,15.6858,15.4122,15.5946,470750
CTI,20160704,22.5215,22.5215,21.8893,21.8893,1478000
CTN,20160704,1.0000,1.0000,1.0000,1.0000,0
CTS,20160704,4.7811,5.0623,4.7811,5.0623,349150
CTT,20160704,5.5075,5.5075,5.5075,5.5075,0
CTX,20160704,6.0784,6.4458,5.8446,5.8446,1000
CVN,20160704,1.4033,1.4033,1.2757,1.4033,7100
CVT,20160704,13.8610,13.9022,13.1618,13.6146,955090
CX8,20160704,6.7246,6.7246,6.7246,6.7246,600
CXH,20160704,9.5652,9.5652,9.5652,9.5652,0
CYC,20160704,3.3000,3.5000,3.3000,3.5000,1350
D11,20160704,7.3815,8.1197,7.3815,8.1196,2900
D2D,20160704,9.5343,9.8884,9.5343,9.8885,37920
DAC,20160704,9.1000,9.1000,9.1000,9.1000,0
DAD,20160704,11.1633,11.4200,10.9067,11.3558,600
DAE,20160704,9.9563,9.9563,9.9563,9.9563,500
DAG,20160704,8.1854,8.1854,8.0544,8.0544,617290
DAP,20160704,15.5552,15.5552,15.5552,15.5552,0
DAS,20160704,3.2717,3.2717,3.2717,3.2717,0
DAT,20160704,19.1304,19.1304,19.0476,19.0476,120
DBC,20160704,22.7106,23.8903,22.7106,23.8904,533834
DBH,20160704,8.7587,8.7587,8.7587,8.7587,0
DBM,20160704,17.0322,17.0322,17.0322,17.0322,200
DBT,20160704,11.5962,12.2632,11.5449,12.2120,57379
DC2,20160704,3.1012,3.1012,3.1012,3.1012,0
DC4,20160704,5.4662,5.4662,5.4662,5.4662,0
DCL,20160704,17.6256,18.1785,17.3491,18.1786,1404760
DCM,20160704,9.2249,9.2249,9.0796,9.1523,51260
DCS,20160704,4.1000,4.3000,4.0000,4.2000,2242960
DCT,20160704,2.4000,2.5000,2.1000,2.3000,3100
DDH,20160704,9.3251,9.3251,9.3251,9.3251,0
DDM,20160704,0.7000,0.7000,0.7000,0.7000,0
DDN,20160704,13.0616,13.0616,13.0616,13.0616,100
DDV,20160704,7.9091,7.9091,7.4439,7.4439,100620
DGC,20160704,24.0364,24.5077,23.3295,23.8950,69820
DGT,20160704,4.3577,4.3577,4.3577,4.3577,0
DGW,20160704,14.9233,15.2640,14.7189,15.2640,1350
DHA,20160704,26.4595,27.3647,25.8328,26.1113,371040
DHC,20160704,19.1639,19.1639,18.1480,18.3327,76020
DHG,20160704,57.0604,58.7553,57.0604,57.0604,234140
DHM,20160704,11.9626,12.2430,11.8691,12.1495,472210
DHP,20160704,7.3026,7.3026,7.1756,7.1756,11810
DHT,20160704,11.9000,12.7342,11.9000,12.2435,1700
DIC,20160704,6.5232,6.6138,6.5232,6.5232,164450
DID,20160704,4.5000,4.5000,4.5000,4.5000,3600
DIG,20160704,5.2800,5.2800,5.0914,5.2172,1512820
DIH,20160704,6.8341,6.9068,6.8341,6.9068,300
DL1,20160704,4.8301,4.8301,4.7837,4.8301,42700
DLD,20160704,6.9000,6.9000,6.9000,6.9000,0
DLG,20160704,6.3492,6.5306,6.3492,6.5306,2783170
DLR,20160704,8.8000,9.6000,8.0000,9.6000,1300
DLT,20160704,8.1558,8.1558,8.1558,8.1558,0
DMC,20160704,66.0397,70.0556,65.1473,69.6094,122190
DNC,20160704,13.0724,15.8453,13.0724,15.8453,2300
DNL,20160704,9.1154,9.1154,9.1154,9.1154,0
DNM,20160704,27.3464,27.3464,27.3464,27.3464,6500
DNP,20160704,13.0510,13.6548,13.0046,13.6548,69610
DNR,20160704,6.0773,6.0773,6.0773,6.0773,0
DNS,20160704,5.7855,5.7855,5.7855,5.7855,0
DNW,20160704,11.5935,11.5935,11.5935,11.5935,600
DNY,20160704,6.2271,6.2271,6.2271,6.2272,4100
DOGE-USD,20160704,0.0003,0.0003,0.0003,0.0003,181751
DOP,20160704,9.7178,9.7178,9.7178,9.7178,0
DP3,20160704,23.2998,23.3645,22.9115,23.1057,126100
DPC,20160704,25.5450,25.5450,25.5450,25.5450,2000
DPM,20160704,18.7442,18.9465,18.7442,18.8791,706780
DPP,20160704,7.0910,7.0910,7.0910,7.0910,0
DPR,20160704,18.3195,18.7961,18.2666,18.7431,26530
DPS,20160704,6.6275,6.8169,6.6275,6.8169,296900
DQC,20160704,54.5387,54.5387,52.7328,54.1775,37130
DRC,20160704,29.2891,29.3618,29.1438,29.2164,287730
DRH,20160704,52.0313,53.2801,52.0313,52.4476,394900
DRL,20160704,19.7944,19.7944,19.7944,19.7944,0
DSN,20160704,45.7965,46.7709,45.7965,46.7709,42530
DST,20160704,16.7472,17.0693,16.4251,16.7472,680200
DTA,20160704,3.8096,3.9048,3.8096,3.9048,810
DTC,20160704,6.7000,6.7000,6.7000,6.7000,0
DTL,20160704,14.1000,15.1000,14.1000,15.1000,2010
DTT,20160704,6.5822,6.8092,6.2039,6.8091,2620
DTV,20160704,1.1761,1.1761,1.1761,1.1761,100
DVC,20160704,5.9783,5.9783,5.9783,5.9783,0
DVP,20160704,51.3994,51.3994,50.7141,51.3994,770
DXG,20160704,6.9076,7.0404,6.9076,6.9961,498140
