<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20170824,3287.9600,3297.9900,3266.3601,3271.5100,163500
AAA,20170824,21.0014,21.2958,20.9360,21.0341,605070
AAM,20170824,6.8401,7.1721,6.4284,6.4284,1440
ABC,20170824,14.0773,14.8182,13.9950,14.6535,65500
ABI,20170824,29.2086,29.3765,28.5371,28.5371,1400
ABT,20170824,28.0537,28.3996,26.5549,28.0152,170
AC4,20170824,4.5340,4.5340,4.5340,4.5340,0
ACB,20170824,9.8791,10.3282,9.8791,10.2533,7254759
ACC,20170824,13.6674,13.8896,12.9451,13.8896,1130
ACE,20170824,17.7242,17.7242,17.1665,17.1665,2200
ACL,20170824,3.4555,3.4555,3.3742,3.4556,1540
ACM,20170824,2.1000,2.1000,2.0000,2.0000,190800
ACS,20170824,15.0274,15.0274,15.0274,15.0274,0
ACV,20170824,53.7336,54.8005,53.2486,54.8005,117666
ADC,20170824,10.9068,10.9068,10.9068,10.9068,400
ADP,20170824,13.5521,13.5521,13.5521,13.5521,71
ADS,20170824,12.7799,12.8790,12.6478,12.7799,147910
AFX,20170824,3.2961,3.2961,3.2961,3.2961,100
AGF,20170824,9.2600,9.2600,9.2000,9.2000,1440
AGM,20170824,6.8094,7.2958,6.8094,7.0607,1320
AGP,20170824,13.0145,13.0145,13.0145,13.0145,100
AGR,20170824,5.4500,5.6500,5.4500,5.5700,770670
AGX,20170824,30.1086,30.1086,30.1086,30.1086,0
ALT,20170824,10.0000,10.0000,10.0000,10.0000,27
ALV,20170824,11.7161,11.7161,10.7558,11.0439,60300
AMC,20170824,17.6979,17.6979,17.6979,17.6979,0
AMD,20170824,11.3000,12.0500,11.2000,12.0500,1985580
AME,20170824,3.2038,3.2038,3.2038,3.2038,0
AMP,20170824,19.6000,19.6000,19.6000,19.6000,0
AMS,20170824,6.6524,6.8071,6.5751,6.8071,5500
AMV,20170824,6.4459,6.4459,5.9501,6.3107,4400
ANT,20170824,10.0000,10.0000,10.0000,10.0000,0
ANV,20170824,6.3550,6.3550,5.9126,5.9528,68840
APC,20170824,37.4500,38.0000,36.5000,37.0000,32940
APF,20170824,25.3541,25.3541,25.3541,25.3542,6227
APG,20170824,4.6486,4.7668,4.5698,4.7589,481540
API,20170824,26.7183,28.7512,26.5247,28.7512,8400
APL,20170824,13.1658,13.1658,13.1658,13.1658,0
APP,20170824,8.3235,8.3235,8.3235,8.3235,24
APS,20170824,4.1000,4.2000,4.0000,4.1000,768000
ARM,20170824,16.6278,16.6278,16.6278,16.6278,0
ART,20170824,19.9691,20.0320,19.5281,20.0321,910610
ASA,20170824,2.8000,2.8000,2.8000,2.8000,109700
ASD,20170824,0.5000,0.5000,0.5000,0.5000,0
ASM,20170824,9.8295,9.9489,9.7101,9.8693,4336810
ASP,20170824,4.8720,4.8720,4.6814,4.8644,37450
ATA,20170824,0.8000,0.8000,0.8000,0.8000,0
ATG,20170824,4.0000,4.1900,3.8300,3.8300,921540
ATS,20170824,12.1000,12.1000,12.1000,12.1000,10000
AUD-X,20170824,1.2641,1.2641,1.2641,1.2641,0
AUM,20170824,10.4867,10.4867,10.4867,10.4867,0
AVF,20170824,0.4000,0.4000,0.4000,0.4000,0
B82,20170824,2.6000,2.6000,2.6000,2.6000,1700
BAX,20170824,12.4034,12.4034,12.4034,12.4034,0
BBC,20170824,109.7246,109.7246,109.7246,109.7246,0
BBS,20170824,10.6577,10.6577,10.5787,10.6576,300800
BCC,20170824,7.8993,7.8993,7.7397,7.7397,256810
BCE,20170824,3.8250,3.8250,3.7727,3.7726,63030
BCG,20170824,5.4393,5.4695,5.3864,5.4317,552460
BCP,20170824,6.0236,6.0236,6.0236,6.0237,100
BDB,20170824,6.8196,6.8196,6.8196,6.8196,0
BDG,20170824,17.2064,17.2064,17.2064,17.2064,0
BDW,20170824,4.2632,4.2632,4.2632,4.2632,0
BED,20170824,25.9139,25.9139,25.9139,25.9139,0
BEL,20170824,6.1826,6.1826,6.1826,6.1826,0
BFC,20170824,28.6676,29.1323,28.5962,28.9179,28910
BHA,20170824,10.8782,10.8782,10.8782,10.8782,0
BHC,20170824,3.2000,3.2000,3.2000,3.2000,0
BHN,20170824,75.3038,75.3038,73.7092,74.4179,24310
BHP,20170824,8.7777,8.7777,8.7777,8.7777,200
BHT,20170824,4.8000,4.8000,4.8000,4.8000,0
BIC,20170824,32.6713,33.1263,32.6713,33.1263,3720
BID,20170824,18.8089,19.2440,18.7605,19.1474,2016560
BII,20170824,3.4000,3.5000,3.3000,3.4000,179600
BKC,20170824,6.2000,6.2000,6.2000,6.2000,0
BLF,20170824,5.2000,5.2000,5.2000,5.2000,0
BLI,20170824,5.2580,5.2580,5.2580,5.2579,100
BLN,20170824,9.0638,9.0638,9.0638,9.0638,0
BLT,20170824,25.2790,25.2790,25.2790,25.2790,0
BMC,20170824,13.9365,14.1458,13.8946,14.1458,4470
BMD,20170824,5.2969,5.2969,5.2969,5.2969,0
BMI,20170824,24.0662,24.0662,23.4932,23.9843,10740
BMJ,20170824,4.9786,4.9786,4.9786,4.9785,100
BMN,20170824,5.5751,5.5751,5.5751,5.5751,0
BMP,20170824,56.2237,56.9949,54.6113,55.3824,307850
BMV,20170824,9.9522,9.9522,9.9522,9.9522,0
BPC,20170824,13.3134,13.3134,13.3134,13.3134,14900
BRC,20170824,8.2307,8.7593,7.9287,8.7593,38000
BRL-X,20170824,3.1393,3.1393,3.1393,3.1393,0
BRR,20170824,10.8770,10.8770,10.8770,10.8770,100
BRS,20170824,4.7831,4.7831,4.7831,4.7831,0
BSC,20170824,15.4727,15.4727,15.4727,15.4727,0
BSD,20170824,31.0641,31.0641,31.0641,31.0641,0
BSG,20170824,8.5909,8.5909,8.5909,8.5909,0
BSI,20170824,11.4772,11.4772,11.1163,11.1885,18220
BSL,20170824,11.3888,11.3888,11.0851,11.3129,6400
BSP,20170824,14.6970,14.6970,14.6970,14.6970,0
BSQ,20170824,18.8163,18.8163,18.8163,18.8163,2000
BST,20170824,11.0539,11.0539,11.0539,11.0539,0
BT1,20170824,11.6392,11.6392,11.6392,11.6392,0
BT6,20170824,5.2000,5.2000,5.2000,5.2000,1600
BTB,20170824,10.1000,10.1000,10.1000,10.1000,1100
BTCUSD-X,20170824,4137.6001,4130.2603,4376.3906,4334.6807,203775001600
BTD,20170824,11.8535,11.8535,10.7759,11.1351,25100
BTG,20170824,3.4518,3.4518,3.4518,3.4518,0
BTP,20170824,8.4637,8.4637,8.4637,8.4637,100
BTR,20170824,4.9403,4.9403,4.9403,4.9403,0
BTS,20170824,6.8932,6.8932,6.8932,6.8932,100
BTT,20170824,29.7751,29.7751,29.7751,29.7751,10
BTU,20170824,4.7634,4.7634,4.7634,4.7634,100
BTV,20170824,22.4909,22.4909,22.4909,22.4909,0
BTW,20170824,13.0013,13.0013,13.0013,13.0013,0
BVG,20170824,1.5000,1.6000,1.5000,1.6000,29800
BVH,20170824,51.7288,52.2087,51.3449,51.3449,157990
BVN,20170824,9.4287,9.4287,9.4287,9.4287,0
BVS,20170824,16.5002,16.5002,16.2564,16.4190,29628
BWA,20170824,4.0187,4.0187,4.0187,4.0187,0
BWE,20170824,22.0395,22.0395,21.7771,21.8646,22810
BXH,20170824,13.2016,13.2016,13.2016,13.2016,0
C12,20170824,16.0000,16.0000,16.0000,16.0000,0
C21,20170824,16.0169,16.0802,15.2572,15.4471,49918
C32,20170824,22.7354,22.8306,22.1964,22.3232,120920
C36,20170824,11.1154,11.1154,11.1154,11.1154,0
C47,20170824,17.8366,17.8366,17.8366,17.8366,15040
C69,20170824,4.6982,4.6982,4.5659,4.5658,58300
C71,20170824,8.0421,8.0421,8.0421,8.0421,0
C92,20170824,10.6000,10.6000,9.6000,9.6000,837
