<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20191128,2902.3601,2909.8401,2883.4299,2889.6899,119500
A32,20191128,24.8702,24.8702,24.8702,24.8702,0
AAA,20191128,12.9850,13.0764,12.8478,12.8936,1383400
AAM,20191128,11.4899,11.5856,11.4899,11.5856,140
AAV,20191128,8.8000,8.8000,8.7000,8.7000,44800
ABC,20191128,8.5950,9.0473,8.5950,9.0473,9905
ABI,20191128,28.7298,28.7298,28.7298,28.7297,2600
ABR,20191128,15.0000,15.0000,15.0000,15.0000,100
ABT,20191128,34.7882,34.7882,34.7882,34.7882,0
AC4,20191128,3.0000,3.0000,3.0000,3.0000,0
ACB,20191128,14.3384,14.3384,14.0307,14.0923,1688171
ACC,20191128,11.7802,12.5123,11.7802,12.5124,20
ACE,20191128,22.9898,22.9898,22.9898,22.9898,0
ACL,20191128,10.3409,10.4091,10.0909,10.3636,22770
ACM,20191128,0.4000,0.4000,0.3000,0.4000,201200
ACS,20191128,4.9000,4.9000,4.9000,4.9000,100
ACV,20191128,74.5000,74.8000,74.3000,74.7000,22452
ADC,20191128,13.6645,13.6645,13.6645,13.6645,0
ADP,20191128,8.2323,8.2323,8.2323,8.2323,0
ADS,20191128,9.9052,9.9488,9.7743,9.9488,12410
AFX,20191128,3.8000,3.9000,3.6000,3.6000,24400
AG1,20191128,3.5826,3.5826,3.5826,3.5826,0
AGF,20191128,3.7000,3.7200,3.7000,3.7200,120
AGM,20191128,8.8632,8.8632,8.8632,8.8632,40
AGP,20191128,16.9891,16.9891,16.9891,16.9891,1000
AGR,20191128,3.8400,3.8400,3.7400,3.7800,236830
AGX,20191128,26.2009,26.2009,26.2009,26.2009,0
ALT,20191128,11.0431,11.0431,11.0431,11.0431,0
ALV,20191128,2.1000,2.1000,2.1000,2.1000,0
AMC,20191128,14.4272,14.4272,14.4272,14.4272,0
AMD,20191128,1.8000,1.8100,1.7500,1.7600,1305590
AME,20191128,6.4000,6.4000,6.4000,6.4000,0
AMP,20191128,14.0000,14.0000,14.0000,14.0000,0
AMS,20191128,6.9091,6.9091,6.9091,6.9091,100
AMV,20191128,15.2832,15.5549,14.7398,15.4191,148901
ANT,20191128,7.5000,7.5000,7.5000,7.5000,0
ANV,20191128,22.3442,22.4342,22.1640,22.2540,168960
