<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20180226,3307.2900,3335.9900,3281.6101,3329.5701,188600
AAA,20180226,19.6002,19.9765,19.5660,19.6002,1379140
AAM,20180226,7.5150,7.5150,7.3063,7.5150,16010
ABC,20180226,13.6656,13.7479,13.1717,13.1717,31200
ABI,20180226,21.4868,21.8225,19.3885,20.9832,6900
ABT,20180226,27.3252,27.4836,26.1372,26.8104,2730
AC4,20180226,5.7629,5.7629,5.7629,5.7629,0
ACB,20180226,16.7645,17.2884,16.7645,16.9516,10048941
ACC,20180226,11.1673,11.9451,11.1117,11.1673,860
ACE,20180226,17.3666,18.6357,17.3666,18.6357,5200
ACL,20180226,3.2564,3.3296,3.2523,3.3295,7250
ACM,20180226,1.2000,1.3000,1.1000,1.1000,223310
ACS,20180226,10.5943,10.5943,10.5943,10.5943,0
ACV,20180226,90.9423,92.8980,88.9866,90.9423,121595
ADC,20180226,12.3610,12.3610,12.3610,12.3610,0
ADP,20180226,11.5360,11.6706,11.2217,11.6706,800
ADS,20180226,12.6243,12.6243,11.9637,12.2940,18520
AFX,20180226,3.8165,3.8165,3.8165,3.8165,500
AG1,20180226,8.6709,8.6709,8.6709,8.6709,0
AGF,20180226,7.2000,7.7200,7.2000,7.7200,910
AGM,20180226,6.5662,6.5662,6.5662,6.5662,10
AGP,20180226,14.4934,14.4934,14.4934,14.4934,0
AGR,20180226,5.6000,5.7500,5.6000,5.6000,532650
AGX,20180226,20.6347,20.6347,20.6347,20.6347,0
ALT,20180226,10.6557,10.6557,10.6557,10.6557,1000
ALV,20180226,8.8000,8.8000,8.5000,8.7000,77620
AMC,20180226,15.6734,15.6734,15.6734,15.6734,100
AMD,20180226,5.5300,5.5900,5.2000,5.2200,2283360
AME,20180226,11.5335,11.5335,11.5335,11.5335,100
AMP,20180226,16.2000,16.2000,16.2000,16.2000,0
AMS,20180226,7.0483,7.0483,7.0483,7.0483,0
AMV,20180226,6.9868,7.2122,6.9868,6.9868,3100
ANT,20180226,9.5000,9.5000,9.5000,9.5000,5000
ANV,20180226,13.5144,13.8362,13.2731,13.7557,1439270
APC,20180226,72.5000,72.5000,70.7000,70.7000,54580
APF,20180226,21.6099,21.6099,20.2005,21.1401,14000
APG,20180226,4.7668,4.8220,4.7274,4.8062,253450
API,20180226,28.1704,28.5576,28.1704,28.3640,900
APL,20180226,13.1658,13.1658,13.1658,13.1658,0
APP,20180226,8.3235,8.3235,8.3235,8.3235,0
APS,20180226,2.9000,3.0000,2.9000,3.0000,57900
ARM,20180226,28.2679,28.2679,28.2679,28.2679,200
ART,20180226,8.5470,9.1453,8.1197,8.6325,1574466
ASA,20180226,3.0000,3.1000,3.0000,3.1000,122200
ASD,20180226,0.9000,0.9000,0.9000,0.9000,0
ASM,20180226,8.7988,8.8864,8.7113,8.7550,2115270
ASP,20180226,6.2917,6.2917,6.1344,6.1737,3240
AST,20180226,51.9707,53.1256,51.2489,51.9707,145310
ATA,20180226,1.2000,1.2000,1.2000,1.2000,0
ATB,20180226,2.1000,2.2000,2.0000,2.2000,645300
ATG,20180226,2.4500,2.5000,2.4300,2.4500,112390
ATS,20180226,42.2000,43.0000,42.1000,43.0000,15400
AUD-X,20180226,1.2758,1.2758,1.2758,1.2758,0
AUDUSD,20180226,0.0000,0.0000,0.0000,0.7900,115590
AUM,20180226,10.4867,10.4867,10.4867,10.4867,0
AVC,20180226,19.5473,23.6459,19.5473,23.6459,1100
AVF,20180226,0.3000,0.3000,0.3000,0.3000,0
B82,20180226,3.4000,3.4000,2.8000,3.3000,3365
BAB,20180226,21.1927,21.2844,21.1927,21.2844,52800
BAL,20180226,20.3939,20.3939,20.3939,20.3939,0
BAX,20180226,14.2639,14.2639,14.2639,14.2639,0
BBC,20180226,82.2860,91.7614,82.2860,90.7640,530
BBM,20180226,9.3588,9.3588,9.3588,9.3588,0
BBS,20180226,7.6515,7.6515,7.6515,7.6515,0
BCC,20180226,6.1607,6.2500,5.9821,6.1607,96050
