<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AUD-X,20200129,1.4784,1.4784,1.4784,1.4784,0
AUDUSD,20200129,0.0000,0.0000,0.0000,0.6700,35995
BRL-X,20200129,4.1934,4.1934,4.1934,4.1934,0
BTCUSD,20200129,0.0000,0.0000,0.0000,9339.2402,196532
BTCUSD-X,20200129,9316.6260,9316.6260,9316.6260,9316.6260,0
CAD-X,20200129,1.3164,1.3164,1.3164,1.3164,0
CL-F,20200129,53.9700,54.3700,52.8100,53.3300,633963
CNY-X,20200129,6.9357,6.9357,6.9357,6.9357,0
DOGE-USD,20200129,0.0025,0.0025,0.0024,0.0024,80676219
ETHUSD-X,20200129,175.0503,175.0503,175.0503,175.0503,0
EUR-X,20200129,0.9072,0.9072,0.9072,0.9072,0
EURUSD,20200129,0.0000,0.0000,0.0000,1.1000,24105
GBP-X,20200129,0.7678,0.7678,0.7678,0.7678,0
GBPJPY,20200129,0.0000,0.0000,0.0000,141.7600,146288
GBPUSD,20200129,0.0000,0.0000,0.0000,1.3000,51228
GC-F,20200129,1569.8000,1569.8000,1569.8000,1569.8000,3
HKD-X,20200129,7.7754,7.7754,7.7754,7.7754,0
INR-X,20200129,71.2304,71.2304,71.2304,71.2304,0
JPY-X,20200129,109.1320,109.1320,109.1320,109.1320,0
KRW-X,20200129,1174.2800,1174.2800,1174.2800,1174.2800,0
LINK-USD,20200129,2.6556,2.8147,2.6463,2.7853,166469456
RUB-X,20200129,62.2133,62.2133,62.2133,62.2133,0
SAR-X,20200129,3.7470,3.7470,3.7470,3.7470,0
SGD-X,20200129,1.3571,1.3571,1.3571,1.3571,0
SI-F,20200129,17.4500,17.4500,17.3700,17.4310,10
USDCAD,20200129,0.0000,0.0000,0.0000,1.3200,21891
USDCHF,20200129,0.0000,0.0000,0.0000,0.9700,19875
USDJPY,20200129,0.0000,0.0000,0.0000,109.0200,34098
USOIL,20200129,0.0000,0.0000,0.0000,53.0600,66122
VND-X,20200129,23171.0000,23171.0000,23171.0000,23171.0000,0
XAGUSD,20200129,0.0000,0.0000,0.0000,17.5500,24551
XAUUSD,20200129,0.0000,0.0000,0.0000,1576.7800,231095
XRP-USD,20200129,0.2387,0.2413,0.2353,0.2357,1883265673
ZAR-X,20200129,14.5428,14.5428,14.5428,14.5428,0
^AEX,20200129,602.9900,606.2000,602.2600,605.2200,101018900
^AORD,20200129,7098.3999,7150.8999,7098.3999,7135.8999,735732900
^ATX,20200129,3119.7900,3142.3899,3116.9800,3133.5300,3804600
^BFX,20200129,3957.2500,3981.7700,3954.5500,3965.0100,18297200
^BSESN,20200129,41131.5703,41334.8594,41108.1914,41198.6602,7800
^CCSI,20200129,526.7300,534.0000,526.7300,534.0000,55724400
^DJI,20200129,28820.5293,28944.2402,28728.1895,28734.4492,302290000
^FCHI,20200129,5921.9702,5969.7300,5916.2300,5954.8901,74107000
^FTSE,20200129,7480.7002,7514.7002,7462.2002,7483.6001,525036700
^GDAXI,20200129,13316.4199,13371.2998,13296.0303,13345.0000,67876800
^GSPC,20200129,3289.4600,3293.4700,3271.8899,3273.3999,3584500000
^HSI,20200129,27101.5391,27333.3008,27101.5391,27160.6309,2203836100
^IXIC,20200129,9318.2598,9329.1201,9249.0400,9275.1602,2223480000
^JKSE,20200129,6123.1001,6152.5898,6102.7998,6113.0400,34605300
^KLSE,20200129,1551.6300,1554.4200,1547.9399,1550.4700,173163500
^KS11,20200129,2188.1799,2195.4500,2172.3301,2185.2800,692300
^N225,20200129,23309.3203,23392.6094,23214.2793,23379.4004,54900
^NYA,20200129,13912.7900,13922.4404,13843.7900,13843.8096,3584500000
^NZ50,20200129,11676.5098,11696.4102,11656.6904,11687.1396,259399200
^OMXSPI,20200129,692.7500,694.9700,690.5100,693.5700,211049900
^OSEAX,20200129,1027.4200,1034.5699,1024.4200,1026.3900,147000
^SSMI,20200129,10795.4600,10880.4404,10772.6299,10859.8799,54346500
^STI,20200129,3181.1899,3193.8401,3172.6599,3182.5701,207466100
