<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20180830,2769.3301,2780.5300,2736.3501,2737.7400,106100
AAA,20180830,15.4096,16.1646,15.4540,16.0757,3814460
AAM,20180830,7.3062,7.6541,7.3062,7.6542,1050
AAV,20180830,15.2610,15.2610,14.0088,14.0088,167600
ABC,20180830,7.7384,8.0677,7.7384,8.0677,40319
ABI,20180830,25.6212,25.6212,23.7723,23.7723,230
ABR,20180830,5.5000,5.5000,5.5000,5.5000,100
ABT,20180830,29.3637,29.3637,29.3637,29.3637,0
AC4,20180830,3.0001,3.0001,3.0001,3.0001,0
ACB,20180830,16.2182,16.3417,16.1358,16.3417,4212097
ACC,20180830,10.9386,10.9386,10.9386,10.9386,10
ACE,20180830,18.2799,18.2799,18.2799,18.2799,1514
ACL,20180830,4.9597,4.9597,4.9597,4.9597,10
ACM,20180830,0.8000,0.9000,0.8000,0.8000,170200
ACS,20180830,10.8434,10.8434,10.8434,10.8434,0
ACV,20180830,81.6525,82.1414,81.2614,81.3591,77351
ADC,20180830,14.6583,14.6583,14.6583,14.6583,0
ADP,20180830,8.8003,8.8003,8.8003,8.8003,0
ADS,20180830,11.0157,11.2428,10.8264,11.2428,13130
AFX,20180830,2.9398,2.9398,2.8450,2.9398,17100
AG1,20180830,7.8323,7.8323,7.8323,7.8323,0
AGF,20180830,4.0000,4.0000,4.0000,4.0000,10
AGM,20180830,7.7966,7.7966,7.7109,7.7966,12810
AGP,20180830,22.5328,22.5328,22.5328,22.5328,0
AGR,20180830,3.6900,3.7400,3.6900,3.7300,59350
AGX,20180830,21.0277,21.0277,21.0277,21.0277,0
ALT,20180830,10.8197,10.8197,10.8197,10.8197,0
ALV,20180830,3.3000,3.4000,3.2000,3.3000,12200
AMC,20180830,14.6079,14.6079,14.6079,14.6079,0
AMD,20180830,3.6500,3.6700,3.6300,3.6600,195920
AME,20180830,9.6113,9.6113,9.6113,9.6113,0
AMP,20180830,18.5000,18.5000,18.5000,18.5000,0
AMS,20180830,6.5565,6.5565,6.5565,6.5565,263
AMV,20180830,9.5562,9.6013,9.3308,9.5562,347100
ANT,20180830,8.0000,8.0000,8.0000,8.0000,200
ANV,20180830,15.5969,15.6821,15.0855,15.2134,299490
APC,20180830,28.8000,29.1500,28.7000,28.9000,24060
APF,20180830,20.5964,20.6536,20.5964,20.5963,4500
APG,20180830,4.2024,4.3911,4.0309,4.3911,632730
