<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20210506,3446.0701,3471.2400,3426.8501,3441.2800,310400
A32,20210506,33.9000,33.9000,33.9000,33.9000,0
AAA,20210506,16.3000,16.4000,15.8500,15.8500,4071900
AAM,20210506,10.3000,10.3000,10.3000,10.3000,300
AAS,20210506,8.8000,9.1000,8.6000,8.7000,779866
AAT,20210506,18.4500,18.8000,17.5000,18.6000,945200
AAV,20210506,15.0000,15.5000,14.8000,14.9000,299810
ABB,20210506,17.2000,18.2000,17.0000,18.0000,9123091
ABC,20210506,15.1000,15.4000,15.0000,15.2000,19500
ABI,20210506,43.1000,43.9000,40.0000,43.8000,6302
ABR,20210506,23.8000,23.8000,23.8000,23.8000,0
ABS,20210506,52.4000,52.4000,52.4000,52.4000,5000
ABT,20210506,31.5000,31.5000,31.5000,31.5000,0
AC4,20210506,4.2000,4.2000,4.2000,4.2000,0
ACB,20210506,28.2400,28.2800,27.7200,27.8400,7783800
ACC,20210506,15.5000,15.7000,15.3000,15.4500,50200
ACE,20210506,30.5000,30.5000,30.5000,30.5000,0
ACL,20210506,12.8500,12.8500,12.5500,12.6000,22800
ACM,20210506,3.7000,3.7000,3.4000,3.5000,2250557
ACS,20210506,15.2000,15.2000,15.2000,15.2000,0
ACV,20210506,72.4000,72.4000,72.0000,72.0000,113585
ADC,20210506,25.1161,25.1161,25.1161,25.1161,0
ADG,20210506,59.0000,59.1000,58.5000,58.5000,73500
ADP,20210506,21.5559,21.5559,21.4906,21.4906,6000
ADS,20210506,13.2956,13.5356,13.1516,13.2956,113800
AFX,20210506,13.3000,14.0000,13.3000,13.5000,153000
AG1,20210506,8.0000,8.4000,8.0000,8.2000,57400
AGF,20210506,4.2000,4.2000,4.2000,4.2000,0
AGG,20210506,45.4500,46.0000,45.4500,45.6500,2318200
AGM,20210506,17.2500,17.2500,17.2500,17.2500,144800
AGP,20210506,17.0000,18.0000,17.0000,18.0000,10700
AGR,20210506,11.5000,11.5000,11.0000,11.0000,722700
AGX,20210506,32.0000,33.0000,32.0000,33.0000,5029
AIC,20210506,13.4000,13.5000,13.1000,13.1000,7300
ALT,20210506,12.2000,12.2000,12.2000,12.2000,0
ALV,20210506,3.7000,3.7000,3.7000,3.7000,0
AMC,20210506,20.4269,20.4269,20.4269,20.4269,100
AMD,20210506,7.6000,8.0100,7.0000,7.0100,17647200
AME,20210506,9.0000,9.4000,9.0000,9.4000,11510
AMP,20210506,10.2000,10.2000,10.2000,10.2000,0
AMS,20210506,10.5000,10.5000,10.2000,10.2000,27419
AMV,20210506,10.7000,10.7000,10.4000,10.5000,821116
ANT,20210506,10.0000,10.0000,8.5000,10.0000,400
ANV,20210506,22.3000,22.3000,21.8000,22.2000,115200
APC,20210506,22.5000,23.0000,22.4000,22.5500,36400
APF,20210506,50.5574,51.3287,49.7862,50.3003,29108
APG,20210506,7.9331,8.0103,7.7101,7.7959,2031900
APH,20210506,53.7000,54.5000,53.2000,53.6000,1022700
API,20210506,26.2000,26.2000,24.8000,25.1000,163400
APL,20210506,15.0000,15.0000,15.0000,15.0000,500
APP,20210506,6.5000,7.0000,6.5000,7.0000,12400
APS,20210506,10.7000,10.8000,10.3000,10.3000,773502
APT,20210506,3.6000,3.6000,3.6000,3.6000,0
AQN,20210506,9.5000,9.5000,9.5000,9.5000,0
ARM,20210506,40.0000,40.0000,40.0000,40.0000,0
ART,20210506,10.0000,10.8000,9.1000,9.2000,5809072
ASA,20210506,2.9000,2.9000,2.9000,2.9000,0
ASD,20210506,8.0000,8.0000,8.0000,8.0000,0
ASG,20210506,35.3000,35.3000,35.3000,35.3000,0
ASM,20210506,14.0000,14.0000,13.5500,13.5500,1504700
ASP,20210506,6.9600,6.9600,6.8800,6.8900,33000
AST,20210506,53.8000,54.0000,53.5000,53.5000,25700
ATA,20210506,0.8000,0.8000,0.8000,0.8000,0
ATB,20210506,3.0000,3.0000,3.0000,3.0000,0
ATD,20210506,9.6000,9.6000,9.6000,9.6000,0
ATG,20210506,0.6100,0.6100,0.6100,0.6100,0
ATS,20210506,30.6000,30.6000,30.6000,30.6000,0
AUD-X,20210506,1.2901,1.2901,1.2901,1.2901,0
AUM,20210506,10.5000,10.5000,10.5000,10.5000,0
AVC,20210506,25.2549,25.2549,25.2549,25.2549,0
AVF,20210506,0.7000,0.7000,0.7000,0.7000,0
B82,20210506,1.3000,1.3000,1.3000,1.3000,0
BAB,20210506,25.4000,25.6000,25.2000,25.2000,32811
BAL,20210506,12.2000,12.2000,12.2000,12.2000,0
BAX,20210506,73.8000,77.6000,73.8000,76.6000,12900
BBC,20210506,64.0000,64.0000,64.0000,64.0000,3
BBH,20210506,16.0000,16.0000,16.0000,16.0000,0
BBM,20210506,12.7119,12.7119,12.7119,12.7119,0
BBS,20210506,11.0000,12.0000,11.0000,12.0000,700
BBT,20210506,21.0000,21.0000,21.0000,21.0000,30
BCB,20210506,6.6000,6.6000,6.6000,6.6000,0
BCC,20210506,10.8000,11.2000,10.6000,10.7000,814686
BCE,20210506,11.6000,12.0000,11.6000,11.7000,61500
BCF,20210506,42.0000,43.4000,42.0000,43.0000,600
BCG,20210506,12.3023,12.5798,12.0710,12.1635,1648900
BCM,20210506,55.5000,56.2000,53.9000,56.2000,117800
BCP,20210506,12.2000,12.2000,12.2000,12.2000,0
BCV,20210506,21.5000,21.5000,21.5000,21.5000,0
BDB,20210506,10.8000,10.8000,10.8000,10.8000,0
BDG,20210506,43.2000,43.2000,43.2000,43.2000,0
BDT,20210506,25.0000,26.0000,24.5000,26.0000,15400
BDW,20210506,16.0000,16.0000,16.0000,16.0000,0
BED,20210506,24.1075,24.1075,24.1075,24.1075,0
BEL,20210506,10.0229,10.0229,10.0229,10.0229,100
BFC,20210506,21.7000,21.8000,21.3000,21.3000,172800
BGW,20210506,19.5752,19.5752,19.5752,19.5752,0
BHA,20210506,10.6000,10.6000,10.5000,10.5000,1100
BHC,20210506,2.6000,2.6000,2.6000,2.6000,0
BHG,20210506,10.2386,10.2386,10.2386,10.2386,0
BHK,20210506,11.4000,11.4000,11.4000,11.4000,0
BHN,20210506,67.8000,67.8000,67.8000,67.8000,300
BHP,20210506,6.9000,6.9000,6.9000,6.9000,100
BHT,20210506,7.2000,7.2000,7.2000,7.2000,0
BIC,20210506,20.5500,20.8000,20.5500,20.6000,23200
BID,20210506,41.9000,41.9000,41.2000,41.2500,2246100
BII,20210506,9.0000,9.0000,8.6000,8.6000,915505
BIO,20210506,20.8913,20.8913,15.5193,20.8914,1900
BKC,20210506,6.0000,6.0000,6.0000,6.0000,0
BKG,20210506,10.0500,10.0500,9.9700,10.0500,118000
BKH,20210506,30.0000,30.0000,30.0000,30.0000,0
BLF,20210506,3.8000,3.8000,3.8000,3.8000,0
BLI,20210506,12.8444,12.8444,12.8444,12.8444,20
BLN,20210506,1.6000,1.6000,1.6000,1.6000,0
BLT,20210506,23.0000,23.0000,23.0000,23.0000,0
BLU,20210506,10.0000,10.0000,10.0000,10.0000,0
BLW,20210506,17.1000,17.1000,17.1000,17.1000,0
BMC,20210506,15.5000,15.5000,15.1000,15.3000,63500
BMD,20210506,7.5000,7.5000,7.5000,7.5000,0
BMF,20210506,21.6000,21.6000,21.6000,21.6000,0
BMG,20210506,26.5001,26.5001,26.5001,26.5001,0
BMI,20210506,26.9071,27.4736,26.6239,26.6239,1247700
BMJ,20210506,13.2000,13.2000,13.2000,13.2000,101
BMN,20210506,5.0000,5.0000,5.0000,5.0000,0
BMP,20210506,58.1010,58.9784,57.8085,57.9060,82800
BMS,20210506,8.3000,8.3000,8.0000,8.0000,10300
BMV,20210506,10.0000,10.0000,10.0000,10.0000,0
BNA,20210506,40.0000,40.8000,39.7000,39.7000,65400
BNW,20210506,9.2181,9.2181,9.2181,9.2181,50000
BOT,20210506,57.0000,57.0000,56.7000,56.7000,3600
BPC,20210506,10.0000,10.9000,10.0000,10.9000,200
BPW,20210506,22.5000,22.5000,22.5000,22.5000,0
BQB,20210506,5.9000,7.5000,5.9000,7.5000,600
BRC,20210506,12.5000,12.5000,12.5000,12.5000,13400
BRL-X,20210506,5.3527,5.3527,5.3527,5.3527,0
BRR,20210506,13.0000,13.0000,13.0000,13.0000,515
BRS,20210506,13.1175,13.1175,13.1175,13.1175,0
BSA,20210506,13.9000,13.9000,13.8000,13.8000,4600
BSC,20210506,13.5000,13.5000,13.5000,13.5000,0
BSD,20210506,34.9990,34.9990,34.9990,34.9990,0
BSG,20210506,6.4000,6.4000,6.4000,6.4000,0
BSH,20210506,22.0000,22.0000,22.0000,22.0000,0
BSI,20210506,14.8000,15.1000,14.0000,14.2000,993417
BSL,20210506,10.1049,10.1049,10.1049,10.1049,0
BSP,20210506,16.8385,16.8385,16.8385,16.8385,0
BSQ,20210506,23.0000,23.0000,23.0000,23.0000,11000
BSR,20210506,15.7000,16.2000,15.3000,15.4000,10341147
BST,20210506,16.1000,16.1000,16.1000,16.1000,0
BT1,20210506,15.3062,15.3062,15.3062,15.3061,200
BT6,20210506,2.3000,2.3000,2.3000,2.3000,0
BTB,20210506,5.7000,5.7000,5.7000,5.7000,0
BTCUSD-X,20210506,57441.3086,58363.3203,55382.5117,56396.5195,69523285105
BTD,20210506,32.0000,32.0000,32.0000,32.0000,8400
BTG,20210506,5.8000,5.8000,5.8000,5.8000,0
BTH,20210506,11.6000,11.6000,11.6000,11.6000,2124
BTN,20210506,3.7000,3.8000,3.7000,3.7000,25824
BTP,20210506,17.1500,17.3500,16.4000,16.5000,39000
BTR,20210506,2.5417,2.5417,2.5417,2.5417,0
BTS,20210506,6.3000,6.3000,6.1000,6.1000,17900
BTT,20210506,52.0000,52.0000,52.0000,52.0000,0
BTU,20210506,12.2538,12.2538,12.2538,12.2538,0
BTV,20210506,28.5000,28.5000,28.5000,28.5000,0
BTW,20210506,31.4991,31.4991,31.4991,31.4991,0
BUD,20210506,18.1180,18.1180,18.1180,18.1180,0
BVB,20210506,13.9000,14.9000,11.8000,14.6000,4244990
BVG,20210506,5.9000,5.9000,5.5000,5.8000,155100
BVH,20210506,56.3000,57.5000,55.6000,56.0000,719300
BVN,20210506,14.5000,19.4000,14.5000,19.4000,400
BVS,20210506,21.2000,21.5000,21.0000,21.1000,659160
BWA,20210506,8.5000,8.5000,8.5000,8.5000,100
BWE,20210506,29.9000,29.9000,29.3000,29.4000,294400
BWS,20210506,35.1000,35.1000,33.0000,35.0000,5100
BXH,20210506,12.0000,12.0000,12.0000,12.0000,0
BXT,20210506,10.6000,10.6000,10.6000,10.6000,0
C12,20210506,5.6000,5.6000,5.6000,5.6000,0
C21,20210506,13.8000,13.8000,13.7000,13.7000,400
C22,20210506,12.5210,12.5210,12.5210,12.5210,1100
C32,20210506,25.0191,25.1146,24.7326,24.9236,82700
C36,20210506,9.1000,9.1000,9.1000,9.1000,0
C47,20210506,12.6000,12.6500,12.2000,12.6000,207900
C4G,20210506,10.2000,10.3000,10.0000,10.1000,859116
C69,20210506,10.9000,11.0000,10.8000,10.8000,174802
C71,20210506,7.0000,7.0000,7.0000,7.0000,340
C92,20210506,5.7000,6.0000,5.7000,6.0000,1310
CAB,20210506,140.9000,140.9000,140.9000,140.9000,0
CAD,20210506,1.0000,1.0000,1.0000,1.0000,0
CAD-X,20210506,1.2267,1.2267,1.2267,1.2267,0
CAG,20210506,15.3664,15.4649,15.3664,15.3664,7100
CAM,20210506,15.7000,15.7000,15.7000,15.7000,0
CAN,20210506,33.5000,35.2000,33.5000,33.6000,500
CAP,20210506,56.1000,56.9000,56.1000,56.8000,2600
CAT,20210506,21.4000,21.4000,21.3000,21.4000,1400
CAV,20210506,61.6000,61.6000,61.5000,61.5000,700
CBC,20210506,9.7000,9.7000,9.7000,9.7000,0
CBI,20210506,13.0000,15.9000,13.0000,14.5000,13779
CBS,20210506,10.2000,10.2000,10.2000,10.2000,0
CC1,20210506,17.5000,17.5000,17.2000,17.2000,7900
CC4,20210506,13.5000,13.5000,13.5000,13.5000,700
CCA,20210506,7.8000,7.8000,7.8000,7.8000,0
CCH,20210506,3.9000,3.9000,3.9000,3.9000,0
CCI,20210506,16.8000,16.8000,16.5000,16.5000,200
CCL,20210506,13.1000,13.3500,13.0000,13.0500,255800
CCM,20210506,47.4642,47.4642,47.4642,47.4641,100
CCP,20210506,8.2000,8.2000,8.2000,8.2000,0
CCR,20210506,11.8058,12.1836,11.8058,11.8058,1700
CCT,20210506,10.0000,10.0000,10.0000,10.0000,0
CCV,20210506,20.9000,20.9000,20.9000,20.9000,0
CDC,20210506,15.3000,15.5000,15.3000,15.5000,600
CDG,20210506,3.2000,3.2000,3.2000,3.2000,0
CDH,20210506,3.1000,3.1000,3.1000,3.1000,0
CDN,20210506,27.9000,27.9000,27.9000,27.9000,600
CDO,20210506,3.1000,3.2000,2.9000,2.9000,261450
CDP,20210506,10.1000,10.1000,10.1000,10.1000,1300
CDR,20210506,9.0000,9.0000,9.0000,9.0000,0
CE1,20210506,9.1000,9.1000,9.1000,9.1000,0
CEC,20210506,15.0000,15.0000,15.0000,15.0000,0
CEE,20210506,15.7000,15.7000,15.0000,15.0000,800
CEG,20210506,10.0000,10.0000,10.0000,10.0000,0
CEN,20210506,10.5000,10.5000,10.1000,10.1000,8619
CEO,20210506,10.1000,10.2000,9.7000,9.8000,2479456
CET,20210506,6.8000,6.9000,6.3000,6.5000,1800
CFC,20210506,9.0000,9.2000,7.9000,9.0000,4100
CFM,20210506,8.5000,9.7000,8.5000,9.0000,8500
CFPT2012,20210506,6.0500,6.0500,6.0500,6.0500,0
CFPT2016,20210506,7.9500,8.1000,7.5000,7.8500,180600
CFPT2017,20210506,6.7000,6.7000,6.7000,6.7000,0
CFPT2101,20210506,5.3900,5.5100,5.0000,5.4400,219900
CFV,20210506,21.3000,21.3000,21.3000,21.3000,0
CGL,20210506,34.0000,34.0000,34.0000,34.0000,0
CGV,20210506,3.9000,3.9000,3.8000,3.8000,1500
