<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20201106,3326.4700,3326.4700,3292.1499,3312.1599,234900
A32,20201106,26.9102,26.9102,26.9102,26.9101,700
AAA,20201106,11.0000,11.1000,10.9500,11.0000,432840
AAM,20201106,11.4000,11.4000,11.4000,11.4000,0
AAS,20201106,6.0000,6.1000,6.0000,6.1000,99700
AAV,20201106,7.1000,7.4000,7.0000,7.3000,269000
ABC,20201106,12.7000,12.7000,12.6000,12.6000,2200
ABI,20201106,33.9907,34.4862,30.5223,34.0898,16700
ABR,20201106,27.3000,27.3000,27.3000,27.3000,0
ABS,20201106,10.5500,11.0000,10.5500,10.7000,257950
ABT,20201106,30.9019,30.9019,30.9019,30.9019,0
AC4,20201106,3.0000,3.0000,3.0000,3.0000,0
ACB,20201106,19.9200,20.0800,19.8400,20.0800,3672492
ACC,20201106,13.0448,13.2778,12.7786,12.9783,16940
ACE,20201106,27.3309,27.5247,27.3309,27.5247,1600
ACL,20201106,13.0000,13.0000,12.6500,12.7500,21740
ACM,20201106,0.9000,0.9000,0.7000,0.8000,317741
ACS,20201106,15.8000,15.8000,15.8000,15.8000,0
ACV,20201106,63.0000,63.1000,62.8000,63.0000,54751
ADC,20201106,14.1219,14.1219,14.1219,14.1219,100
ADG,20201106,58.3000,58.9000,58.1000,58.6000,86460
ADP,20201106,13.6599,13.6599,13.6599,13.6599,0
ADS,20201106,8.9373,9.0429,8.9373,9.0429,14800
AFX,20201106,9.0000,9.0000,8.6000,8.8000,153711
AG1,20201106,7.9000,7.9000,7.9000,7.9000,100
AGF,20201106,4.7000,4.9000,4.4000,4.4000,14776
AGG,20201106,29.2500,29.4500,28.7500,29.2000,626810
AGM,20201106,12.6000,12.6000,12.3000,12.5000,7180
AGP,20201106,14.4000,14.4000,14.4000,14.4000,1764
AGR,20201106,4.6600,4.6700,4.5500,4.5900,187120
AGX,20201106,29.0000,29.0000,29.0000,29.0000,0
ALT,20201106,12.5000,12.5000,12.5000,12.5000,0
ALV,20201106,1.8000,1.9000,1.8000,1.9000,1000
AMC,20201106,15.1140,15.1140,15.1140,15.1140,0
AMD,20201106,2.7300,2.7900,2.7300,2.7800,1344360
AME,20201106,6.9000,6.9000,6.9000,6.9000,3409
AMP,20201106,10.2000,10.2000,10.2000,10.2000,0
AMS,20201106,7.5455,7.5455,7.5455,7.5455,200
AMV,20201106,11.3436,11.3436,10.8681,11.0039,138100
ANT,20201106,7.7000,7.7000,7.7000,7.7000,400
ANV,20201106,20.7438,20.7438,19.9790,20.3613,173440
APC,20201106,19.6000,19.7500,19.5500,19.7500,2530
APF,20201106,28.8077,29.6307,28.8077,29.6308,600
APG,20201106,8.8336,8.9194,8.7478,8.7479,508200
APH,20201106,56.0309,56.7881,55.7280,56.1823,389310
API,20201106,9.4869,9.4869,9.4869,9.4869,100
APL,20201106,11.0000,11.0000,11.0000,11.0000,0
APP,20201106,3.3000,3.3000,3.3000,3.3000,10
APS,20201106,2.7000,2.8000,2.7000,2.8000,5400
APT,20201106,3.2000,3.2000,3.2000,3.2000,0
AQN,20201106,7.5000,7.5000,7.5000,7.5000,0
ARM,20201106,15.4000,15.4000,15.4000,15.4000,0
ART,20201106,2.4000,2.5000,2.4000,2.5000,881410
ASA,20201106,1.2000,1.2000,1.1000,1.2000,23100
ASD,20201106,3.1000,3.1000,3.1000,3.1000,0
ASG,20201106,37.0000,37.0000,36.9500,37.0000,1780
ASM,20201106,9.1800,9.2100,9.0000,9.0600,1903050
ASP,20201106,5.4400,5.4400,5.4400,5.4400,720
AST,20201106,47.5000,47.7000,47.5000,47.5000,19750
ATA,20201106,0.3000,0.3000,0.2000,0.3000,579600
ATB,20201106,0.7000,0.7000,0.7000,0.7000,300500
ATD,20201106,9.6000,9.6000,9.6000,9.6000,0
ATG,20201106,0.6100,0.6100,0.6100,0.6100,0
ATS,20201106,26.4000,26.4000,26.4000,26.4000,0
AUD-X,20201106,1.3769,1.3769,1.3769,1.3769,0
AUM,20201106,10.5000,10.5000,10.5000,10.5000,0
AVC,20201106,23.1477,23.1477,23.1477,23.1477,2800
AVF,20201106,0.4000,0.5000,0.4000,0.5000,6100
B82,20201106,0.4000,0.4000,0.4000,0.4000,0
BAB,20201106,17.7000,17.7000,17.7000,17.7000,2700
BAL,20201106,7.1000,7.1000,7.1000,7.1000,0
BAX,20201106,46.9723,46.9723,46.1073,46.1073,18600
BBC,20201106,48.0000,48.0000,48.0000,48.0000,10
BBH,20201106,15.6000,15.6000,15.6000,15.6000,0
BBM,20201106,12.5235,12.5235,12.5235,12.5235,0
BBS,20201106,11.5244,11.5244,11.5244,11.5244,0
BBT,20201106,20.0000,20.0000,20.0000,20.0000,253
BCB,20201106,6.6000,6.6000,6.6000,6.6000,0
BCC,20201106,6.9000,7.0000,6.8000,6.9000,8285
BCE,20201106,7.7800,7.7800,7.7000,7.7600,32420
BCF,20201106,33.9196,33.9196,33.9196,33.9196,0
BCG,20201106,6.7791,6.7791,6.4482,6.6179,239780
BCM,20201106,39.1807,39.1807,38.8839,38.9829,4610
BCP,20201106,9.8000,9.8000,9.8000,9.8000,0
BDB,20201106,10.1247,10.1247,10.1247,10.1247,0
BDG,20201106,33.2814,33.3731,33.1897,33.1897,6800
BDT,20201106,16.0023,16.0023,16.0023,16.0023,800
BDW,20201106,13.0000,13.0000,13.0000,13.0000,0
BED,20201106,30.3644,30.3644,30.3644,30.3644,0
BEL,20201106,10.9775,10.9775,10.9775,10.9775,1400
BFC,20201106,15.3436,15.3436,15.0532,15.1500,144910
BGW,20201106,26.4265,26.4265,26.4265,26.4265,0
BHA,20201106,10.0000,10.0000,10.0000,10.0000,0
BHC,20201106,2.9000,2.9000,2.9000,2.9000,0
BHG,20201106,12.0278,12.0278,12.0278,12.0278,0
BHK,20201106,12.0000,12.7000,12.0000,12.7000,1200
BHN,20201106,68.1194,70.6714,68.1194,70.6714,1670
BHP,20201106,4.5000,4.5000,4.5000,4.5000,0
BHT,20201106,7.2000,7.2000,7.2000,7.2000,0
BIC,20201106,19.0000,19.4500,18.8500,19.2000,36310
BID,20201106,38.7944,38.7944,38.2043,38.4010,646660
BII,20201106,1.1000,1.1000,1.0000,1.0000,61300
BIO,20201106,9.4509,9.4509,9.4509,9.4509,0
BKC,20201106,5.9000,5.9000,5.9000,5.9000,0
BKH,20201106,41.9053,41.9053,41.9053,41.9053,0
BLF,20201106,3.1000,3.5000,3.1000,3.5000,1200
BLI,20201106,6.5152,6.5152,6.5152,6.5153,110
BLN,20201106,1.6000,1.6000,1.6000,1.6000,0
BLT,20201106,18.9000,18.9000,18.9000,18.9000,0
BLU,20201106,10.0000,10.0000,10.0000,10.0000,0
BLW,20201106,17.0493,17.0493,17.0493,17.0493,0
BMC,20201106,10.1500,10.2500,10.1000,10.2500,9110
BMD,20201106,8.0000,8.0000,8.0000,8.0000,0
BMF,20201106,24.7000,24.7000,24.7000,24.7000,100
BMG,20201106,26.5001,26.5001,26.5001,26.5001,0
BMI,20201106,25.1133,25.6797,24.6884,25.2549,94350
BMJ,20201106,13.8101,13.8101,13.8101,13.8101,0
BMN,20201106,5.0000,5.0000,5.0000,5.0000,0
BMP,20201106,50.5680,50.5680,50.2850,50.4736,185650
BMS,20201106,7.6000,7.6000,7.6000,7.6000,0
BMV,20201106,9.9522,9.9522,9.9522,9.9522,0
BNA,20201106,26.0047,27.4822,26.0047,27.2853,270631
BNW,20201106,8.9416,8.9416,8.9416,8.9416,0
BOT,20201106,51.6000,51.6000,51.5000,51.5000,13700
BPC,20201106,10.0000,10.0000,10.0000,10.0000,0
BPW,20201106,26.4000,26.4000,26.4000,26.4000,0
BQB,20201106,4.0000,4.0000,4.0000,4.0000,0
BRC,20201106,10.3000,10.3000,10.3000,10.3000,0
BRL-X,20201106,5.5234,5.5234,5.5234,5.5234,0
BRR,20201106,11.3792,11.3792,11.3792,11.3792,2300
BRS,20201106,13.1175,13.1175,13.1175,13.1175,0
BSA,20201106,12.3552,12.5482,12.3552,12.3552,100
BSC,20201106,11.7000,11.7000,11.7000,11.7000,0
BSD,20201106,26.2493,26.2493,26.2493,26.2493,0
BSG,20201106,10.2000,10.2000,10.2000,10.2000,0
BSH,20201106,15.9997,15.9997,15.9997,15.9997,0
BSI,20201106,9.3800,9.5000,9.0100,9.3600,27300
BSL,20201106,10.3908,10.3908,10.3908,10.3908,100
BSP,20201106,15.7818,15.7818,15.7818,15.7818,0
BSQ,20201106,18.5000,18.5000,18.5000,18.5000,2000
BSR,20201106,6.8000,6.8000,6.7000,6.8000,343543
BST,20201106,13.8396,13.8396,13.4655,13.4655,400
BT1,20201106,10.7507,10.7507,10.7507,10.7507,0
BT6,20201106,0.9000,0.9000,0.9000,0.9000,53500
BTB,20201106,5.8000,5.8000,5.8000,5.8000,0
BTCUSD-X,20201106,15565.8750,15565.8750,15565.8750,15565.8750,0
BTD,20201106,24.4719,24.6436,24.4719,24.6437,31300
BTG,20201106,5.5000,5.5000,5.5000,5.5000,0
BTH,20201106,9.1000,9.1000,9.1000,9.1000,202
BTN,20201106,3.0000,3.0000,3.0000,3.0000,0
BTP,20201106,13.8500,13.9000,13.8000,13.8500,14660
