<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20210412,3445.9700,3456.1599,3403.8999,3412.9500,309600
A32,20210412,32.3000,32.3000,32.3000,32.3000,0
AAA,20210412,17.5000,17.9000,17.3500,17.5000,3123700
AAM,20210412,11.2000,11.2000,11.1000,11.1500,14000
AAS,20210412,10.4000,10.8000,10.2000,10.8000,2607354
AAT,20210412,14.3500,15.0500,14.3500,15.0500,942700
AAV,20210412,16.5000,16.6000,16.1000,16.2000,304901
ABB,20210412,17.8000,18.5000,17.8000,18.4000,6079610
ABC,20210412,16.5000,17.0000,16.5000,17.0000,43937
ABI,20210412,44.9000,45.0000,44.2000,45.0000,23400
ABR,20210412,26.0000,26.1000,22.0000,24.0000,3100
ABS,20210412,54.5000,55.5000,53.6000,55.5000,180000
ABT,20210412,30.2000,30.2000,30.2000,30.2000,10000
AC4,20210412,4.2000,4.2000,4.2000,4.2000,0
ACB,20210412,27.6800,28.1600,27.5600,28.1200,12513500
ACC,20210412,16.9500,16.9500,16.8500,16.9000,48000
ACE,20210412,31.8000,31.8000,31.8000,31.8000,100
ACL,20210412,13.3000,13.4000,13.2500,13.3500,88600
ACM,20210412,3.8000,3.9000,3.7000,3.9000,1710155
ACS,20210412,15.2000,15.2000,15.2000,15.2000,0
ACV,20210412,73.0000,73.4000,72.7000,73.0000,248729
ADC,20210412,25.1161,25.1161,25.1161,25.1161,500
ADG,20210412,57.5000,58.5000,57.5000,58.5000,148400
ADP,20210412,22.2092,22.2092,22.2092,22.2092,100
ADS,20210412,15.8395,15.8395,15.5515,15.6475,159000
AFX,20210412,13.5000,13.6000,13.1000,13.5000,99700
AG1,20210412,8.5000,8.5000,8.2000,8.5000,17800
AGF,20210412,4.7000,4.7000,4.7000,4.7000,0
AGG,20210412,41.8000,41.8000,41.0000,41.8000,1758500
AGM,20210412,15.2000,15.2500,14.5000,15.0000,35500
AGP,20210412,17.5000,17.5000,17.5000,17.5000,4450
AGR,20210412,12.4500,12.8000,12.2000,12.6000,3018200
AGX,20210412,36.5000,36.5000,36.5000,36.5000,0
AIC,20210412,16.0000,16.0000,15.8000,15.9000,2500
ALT,20210412,14.8000,14.8000,14.8000,14.8000,100
ALV,20210412,4.1000,4.1000,4.1000,4.1000,0
AMC,20210412,21.7093,21.7093,21.7093,21.7093,600
AMD,20210412,5.2000,5.2400,5.1800,5.2400,5369400
AME,20210412,11.1000,11.1000,11.1000,11.1000,9106
AMP,20210412,10.2000,10.2000,10.2000,10.2000,0
AMS,20210412,13.9000,14.2000,13.7000,14.0000,141180
AMV,20210412,12.6000,12.8000,12.5000,12.7000,1667540
ANT,20210412,10.0000,10.0000,10.0000,10.0000,500
ANV,20210412,23.4000,23.6000,23.2500,23.2500,260100
APC,20210412,24.5000,25.3500,24.5000,25.3000,104900
APF,20210412,54.7563,55.2704,54.6706,54.8419,28192
APG,20210412,8.4048,8.8336,8.3876,8.8336,2523800
APH,20210412,50.7000,50.7000,49.2000,50.0000,746300
API,20210412,27.6000,27.8000,27.0000,27.8000,80810
APL,20210412,11.0000,11.0000,11.0000,11.0000,0
APP,20210412,8.5000,8.5000,8.1000,8.5000,44872
APS,20210412,10.6000,11.7000,10.6000,11.7000,4267487
APT,20210412,3.6000,3.6000,3.6000,3.6000,0
AQN,20210412,7.5000,7.5000,7.5000,7.5000,0
ARM,20210412,39.9000,39.9000,39.9000,39.9000,100
ART,20210412,10.2000,10.9000,10.0000,10.9000,18474859
ASA,20210412,2.3000,2.3000,2.3000,2.3000,0
ASD,20210412,8.0000,8.0000,8.0000,8.0000,0
ASG,20210412,36.0000,36.0000,35.7000,35.9000,11500
ASM,20210412,16.5000,16.6000,16.0500,16.3000,3014400
ASP,20210412,7.4700,7.7000,7.4700,7.7000,396100
AST,20210412,61.5000,61.5000,60.3000,60.4000,42100
ATA,20210412,0.6000,0.6000,0.6000,0.6000,0
