<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20210205,3509.4900,3536.5400,3492.9600,3496.3301,290100
A32,20210205,33.0000,33.0000,32.0000,32.0000,600
AAA,20210205,13.3000,13.3500,13.1000,13.2500,1734500
AAM,20210205,11.4000,11.4000,11.3500,11.3500,500
AAS,20210205,7.6000,7.7000,7.5000,7.6000,749353
AAV,20210205,11.5000,12.3000,11.3000,12.3000,509610
ABB,20210205,12.4000,12.8000,12.3000,12.8000,1295769
ABC,20210205,16.3000,16.3000,15.5000,16.0000,49410
ABI,20210205,39.5402,39.6393,38.6483,39.5402,20900
ABR,20210205,21.8000,21.8000,21.8000,21.8000,100
ABS,20210205,29.5000,30.4000,28.9500,29.7000,105900
ABT,20210205,30.5000,30.5000,30.5000,30.5000,0
AC4,20210205,3.0000,3.0000,3.0000,3.0000,0
ACB,20210205,22.5600,22.9200,22.5200,22.8000,5610600
ACC,20210205,14.3000,14.4000,14.0000,14.0000,31200
ACE,20210205,30.7230,30.7230,27.1370,29.0754,1600
ACL,20210205,12.4500,12.4500,12.3000,12.4000,43100
ACM,20210205,1.8000,1.8000,1.6000,1.6000,1108200
ACS,20210205,13.4000,13.4000,13.4000,13.4000,500
ACV,20210205,74.0000,75.0000,73.5000,74.9000,88607
ADC,20210205,23.5996,23.5996,20.6615,20.6615,9400
ADG,20210205,58.0000,58.0000,58.0000,58.0000,0
ADP,20210205,21.4739,21.4739,21.4739,21.4739,100
ADS,20210205,11.9996,12.2396,11.9996,12.0476,25700
AFX,20210205,12.7000,12.9000,12.7000,12.9000,77500
AG1,20210205,10.2000,10.2000,9.0000,9.0000,15200
AGF,20210205,4.5000,5.0000,3.9000,5.0000,2828
AGG,20210205,35.9000,35.9000,34.9000,35.3000,1742200
AGM,20210205,12.9000,12.9000,12.3500,12.5000,25500
AGP,20210205,15.2000,15.5000,15.2000,15.3000,3200
AGR,20210205,10.7000,11.0000,10.3000,11.0000,1652800
AGX,20210205,36.9000,36.9000,36.9000,36.9000,0
ALT,20210205,12.2000,12.2000,12.2000,12.2000,0
ALV,20210205,1.7000,2.1000,1.7000,2.1000,74100
AMC,20210205,16.3048,16.3048,16.3048,16.3048,0
AMD,20210205,2.9300,3.0300,2.9100,2.9900,2534900
AME,20210205,7.9000,8.5000,7.8000,8.5000,5739
AMP,20210205,10.2000,10.2000,10.2000,10.2000,0
