<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20210630,3572.6201,3594.1201,3569.5000,3591.2000,268200
A32,20210630,31.2989,31.2989,31.2989,31.2989,0
AAA,20210630,20.1000,20.2000,19.5000,19.5000,13771700
AAM,20210630,10.7000,10.7000,10.7000,10.7000,2500
AAS,20210630,16.3000,16.5000,16.0000,16.4000,838608
AAT,20210630,19.9500,19.9500,19.6000,19.7500,245000
AAV,20210630,13.7391,13.7391,13.5652,13.7391,184300
ABB,20210630,23.4000,23.6000,23.0000,23.2000,2413082
ABC,20210630,12.6000,12.6000,12.0000,12.2000,116447
ABI,20210630,60.9000,61.5000,59.0000,59.6000,36807
ABR,20210630,23.4000,23.4000,23.4000,23.4000,0
ABS,20210630,31.4000,31.4000,30.0000,30.3000,147800
ABT,20210630,28.1000,28.4000,28.1000,28.4000,1704
AC4,20210630,4.2000,4.2000,4.2000,4.2000,0
ACB,20210630,36.4000,36.5000,35.6000,35.7000,9628000
ACC,20210630,15.4000,15.4500,15.3000,15.4500,12700
ACE,20210630,36.3000,36.5000,36.3000,36.5000,2100
ACL,20210630,13.1500,13.2000,13.0000,13.0000,36600
ACM,20210630,3.3000,3.4000,3.2000,3.2000,1134100
ACS,20210630,13.1000,13.1000,13.1000,13.1000,300
ACV,20210630,75.3000,76.0000,64.1000,75.3000,289444
ADC,20210630,21.5385,21.5385,21.5385,21.5385,0
ADG,20210630,47.9000,48.2000,47.6000,48.2000,94500
ADP,20210630,28.0000,28.5000,28.0000,28.4000,2700
ADS,20210630,25.1000,25.9500,25.1000,25.9000,379600
AFX,20210630,13.5000,13.7000,13.4000,13.5000,146212
AG1,20210630,7.2000,7.3000,7.2000,7.2000,1600
AGF,20210630,3.5000,3.5000,3.5000,3.5000,0
AGG,20210630,51.1000,51.7000,51.0000,51.2000,1955000
AGM,20210630,30.0000,30.0000,29.5000,29.6000,3200
AGP,20210630,18.6000,18.6000,18.5000,18.5000,4300
AGR,20210630,14.0000,14.1000,13.7000,13.8000,1590200
AGX,20210630,32.5000,32.5000,32.5000,32.5000,900
AIC,20210630,13.7000,14.0000,13.5000,13.5000,3930
ALT,20210630,11.5000,11.5000,11.5000,11.5000,0
ALV,20210630,3.1000,3.1000,3.1000,3.1000,0
AMC,20210630,19.2000,19.2000,19.2000,19.2000,2500
AMD,20210630,5.3000,5.4000,5.2900,5.3200,2017100
AME,20210630,8.8000,9.0000,8.8000,9.0000,1916
AMP,20210630,14.5000,14.5000,14.5000,14.5000,100
AMS,20210630,12.0000,12.0000,10.7000,11.0000,25400
AMV,20210630,9.9000,10.0000,9.8000,9.9000,432826
ANT,20210630,10.7000,10.7000,9.9000,9.9000,3900
ANV,20210630,34.5500,34.8000,32.1000,34.2000,859900
APC,20210630,23.2500,23.2500,22.0000,22.0000,23100
APF,20210630,53.4000,53.4000,53.1000,53.1000,6600
APG,20210630,10.7000,11.0000,10.7000,10.7500,1052300
APH,20210630,59.7000,59.8000,57.0000,58.6000,420500
API,20210630,20.4000,20.7000,20.0000,20.7000,57800
APL,20210630,17.6000,17.6000,17.6000,17.6000,0
APP,20210630,7.6000,7.8000,7.6000,7.7000,4412
APS,20210630,14.5238,14.6169,14.0583,14.1514,1453191
APT,20210630,3.6000,3.6000,3.6000,3.6000,0
AQN,20210630,9.5000,9.5000,9.5000,9.5000,0
ARM,20210630,48.0000,48.0000,48.0000,48.0000,0
ART,20210630,10.2000,10.4000,10.1000,10.2000,2405176
ASA,20210630,4.0000,4.0000,4.0000,4.0000,0
ASD,20210630,8.0000,8.0000,8.0000,8.0000,0
ASG,20210630,38.0000,38.6000,38.0000,38.6000,31936
ASM,20210630,14.2000,14.2500,13.9000,13.9000,1398300
ASP,20210630,7.9100,8.1400,7.9100,7.9300,184100
AST,20210630,50.2000,51.8000,50.2000,51.0000,39500
ATA,20210630,1.8000,1.8000,1.8000,1.8000,0
ATB,20210630,1.7000,1.7000,1.7000,1.7000,0
ATD,20210630,9.6000,9.6000,9.6000,9.6000,0
ATG,20210630,1.4000,1.4000,1.4000,1.4000,0
ATS,20210630,33.6000,33.6000,33.6000,33.6000,0
AUD-X,20210630,1.3309,1.3309,1.3309,1.3309,0
AUM,20210630,10.5000,10.5000,10.5000,10.5000,0
AVC,20210630,27.0000,27.0000,27.0000,27.0000,0
AVF,20210630,0.6000,0.6000,0.6000,0.6000,0
B82,20210630,1.2000,1.2000,1.2000,1.2000,0
BAB,20210630,26.9000,26.9000,26.3000,26.3000,79800
BAL,20210630,9.3000,9.3000,9.3000,9.3000,0
BAX,20210630,67.3000,68.5000,67.3000,68.0000,8200
BBC,20210630,66.5000,66.5000,66.5000,66.5000,700
BBH,20210630,14.9995,14.9995,14.9995,14.9995,0
BBM,20210630,11.0000,11.0000,11.0000,11.0000,0
BBS,20210630,11.0000,11.0000,11.0000,11.0000,0
BBT,20210630,23.0000,23.0000,22.0000,22.0000,300
BCB,20210630,3.6000,3.6000,3.6000,3.6000,0
BCC,20210630,11.1000,11.1000,10.7000,10.9000,469600
BCE,20210630,11.1696,11.4465,11.0773,11.3542,348700
BCF,20210630,36.1667,36.2500,36.1667,36.2500,5200
BCG,20210630,13.1000,13.1000,12.6500,12.6500,885500
BCM,20210630,52.9546,53.8454,52.7566,53.8454,30400
BCP,20210630,9.5000,9.5000,9.5000,9.5000,129
BCV,20210630,21.5000,21.5000,21.5000,21.5000,0
BDB,20210630,11.0000,11.0000,11.0000,11.0000,0
BDG,20210630,44.0000,44.0000,44.0000,44.0000,0
BDT,20210630,29.9000,29.9000,26.6000,26.6000,1004
BDW,20210630,16.4000,16.4000,16.4000,16.4000,0
BED,20210630,26.1000,26.1000,26.1000,26.1000,0
BEL,20210630,11.1000,11.1000,11.1000,11.1000,0
BFC,20210630,28.2000,29.8000,28.0500,28.7000,367100
BGW,20210630,19.6000,19.6000,19.6000,19.6000,0
BHA,20210630,10.4000,10.5000,10.4000,10.4000,5000
BHC,20210630,2.5000,2.5000,2.5000,2.5000,0
BHG,20210630,10.2000,10.2000,10.2000,10.2000,0
BHK,20210630,12.6000,12.6000,12.6000,12.6000,0
BHN,20210630,65.6000,65.6000,65.6000,65.6000,1200
BHP,20210630,7.0000,7.0000,7.0000,7.0000,435
BHT,20210630,9.0000,9.0000,9.0000,9.0000,0
BIC,20210630,23.6000,23.8000,23.0000,23.1000,113900
BID,20210630,46.9000,47.4500,46.8500,47.2500,4001800
BII,20210630,7.1000,7.1000,6.8000,6.8000,1571650
BIO,20210630,57.0000,57.6000,56.0000,57.6000,15420
BKC,20210630,5.4000,5.4000,5.1000,5.4000,12110
BKG,20210630,11.1000,11.1000,10.9000,10.9500,140900
BKH,20210630,27.0000,27.0000,27.0000,27.0000,0
BLF,20210630,3.4000,3.4000,3.4000,3.4000,0
BLI,20210630,13.1000,13.1000,13.0000,13.1000,5300
BLN,20210630,5.0000,5.0000,5.0000,5.0000,100
BLT,20210630,21.3068,21.3068,21.3068,21.3068,0
BLU,20210630,10.0000,10.0000,10.0000,10.0000,0
BLW,20210630,17.1000,17.1000,17.1000,17.1000,0
BMC,20210630,16.1000,16.4000,16.0000,16.1500,103000
BMD,20210630,7.5000,7.5000,7.5000,7.5000,0
BMF,20210630,23.9000,23.9000,23.9000,23.9000,0
BMG,20210630,26.5000,26.5000,26.5000,26.5000,0
BMI,20210630,37.0000,37.2500,36.6500,36.8500,278800
BMJ,20210630,13.2000,13.2000,13.2000,13.2000,0
BMN,20210630,15.8000,15.8000,15.8000,15.8000,0
BMP,20210630,59.3000,60.0000,59.3000,59.3000,41800
BMS,20210630,12.2807,13.0702,12.2807,12.6316,234023
BMV,20210630,6.0000,6.0000,6.0000,6.0000,0
BNA,20210630,58.9000,59.0000,58.0000,58.8000,111700
BNW,20210630,9.2000,9.2000,9.2000,9.2000,0
BOT,20210630,49.7000,51.5000,49.1000,51.5000,2900
BPC,20210630,10.0000,10.0000,10.0000,10.0000,200
BPW,20210630,22.5000,22.5000,22.5000,22.5000,0
BQB,20210630,5.7000,5.7000,5.7000,5.7000,200
BRC,20210630,12.4362,12.5290,12.4362,12.4362,1400
BRL-X,20210630,4.9551,4.9551,4.9551,4.9551,0
BRR,20210630,14.0915,14.7813,13.4017,14.0914,16400
BRS,20210630,23.0000,23.0000,22.7000,22.7000,1500
BSA,20210630,15.6000,15.6000,14.0000,14.0000,1700
BSC,20210630,14.2000,14.2000,14.2000,14.2000,0
BSD,20210630,35.0000,35.0000,35.0000,35.0000,0
BSG,20210630,10.2000,10.2000,10.2000,10.2000,0
BSH,20210630,19.5000,19.5000,19.5000,19.5000,0
BSI,20210630,22.6000,22.9000,22.5000,22.5000,1311123
BSL,20210630,9.9000,9.9000,9.9000,9.9000,200
BSP,20210630,17.5000,17.5000,17.5000,17.5000,0
BSQ,20210630,24.0000,24.0000,24.0000,24.0000,2000
BSR,20210630,21.2000,21.6000,18.1000,21.0000,13852403
BST,20210630,17.2000,17.2000,17.2000,17.2000,100
BT1,20210630,17.4000,17.4000,17.4000,17.4000,200
BT6,20210630,2.2000,2.2000,2.2000,2.2000,0
BTB,20210630,6.5000,6.5000,6.5000,6.5000,0
BTCUSD-X,20210630,35908.3906,36074.7617,34086.1484,35040.8398,34059036099
BTD,20210630,35.0000,35.5000,35.0000,35.5000,6300
BTG,20210630,5.8000,5.8000,5.8000,5.8000,0
BTH,20210630,12.1000,12.1000,12.1000,12.1000,200
BTN,20210630,4.4000,4.4000,4.2000,4.3000,121837
BTP,20210630,17.1000,17.1000,16.8000,16.8000,2600
BTR,20210630,9.8000,9.8000,9.8000,9.8000,0
BTS,20210630,6.9000,7.2000,6.9000,7.2000,1458851
BTT,20210630,50.4000,50.4000,50.4000,50.4000,100
BTU,20210630,13.2000,13.2000,13.2000,13.2000,0
BTV,20210630,26.0000,26.0000,26.0000,26.0000,0
BTW,20210630,38.0000,38.0000,38.0000,38.0000,0
BUD,20210630,15.8000,15.8000,15.8000,15.8000,4000
BVB,20210630,23.8000,23.8000,23.1000,23.2000,1789523
BVG,20210630,4.8000,4.9000,4.7000,4.8000,59010
BVH,20210630,59.1000,59.4000,58.4000,58.4000,804400
BVL,20210630,20.1000,27.1000,20.1000,27.1000,15800
BVN,20210630,8.4000,8.4000,8.4000,8.4000,100
BVS,20210630,30.7000,30.7000,30.0000,30.1000,988041
BWA,20210630,9.8000,9.8000,9.8000,9.8000,0
BWE,20210630,35.5000,35.5500,35.1000,35.3500,48800
BWS,20210630,34.5940,34.5940,34.5940,34.5940,100
BXH,20210630,12.0000,12.0000,12.0000,12.0000,0
BXT,20210630,10.6000,10.6000,10.6000,10.6000,0
C12,20210630,5.3000,5.3000,5.3000,5.3000,0
C21,20210630,13.7000,13.8000,13.7000,13.8000,8500
C22,20210630,17.2865,17.2865,17.2865,17.2865,100
C32,20210630,24.5500,24.6000,24.5000,24.5500,35100
C36,20210630,8.8000,8.8000,8.8000,8.8000,0
C47,20210630,11.2500,11.6000,11.2000,11.4000,51500
C4G,20210630,10.2000,10.2000,9.9000,10.2000,613449
C69,20210630,11.0000,11.3000,10.6000,10.6000,85900
C71,20210630,7.0000,7.0000,7.0000,7.0000,500
C92,20210630,4.6000,4.7000,4.5000,4.6000,1800
CAB,20210630,140.9000,140.9000,140.9000,140.9000,0
CAD,20210630,1.4000,1.4000,1.4000,1.4000,0
CAD-X,20210630,1.2396,1.2396,1.2396,1.2396,0
CAG,20210630,16.6000,16.8000,16.6000,16.8000,4110
CAM,20210630,15.7000,15.7000,15.7000,15.7000,0
CAN,20210630,32.9347,33.2195,32.9347,33.2194,200
CAP,20210630,56.5000,58.4000,56.5000,58.3000,601
CAT,20210630,23.0000,23.4000,23.0000,23.1000,1300
CAV,20210630,57.5978,58.4824,57.5978,57.9910,3250
CBC,20210630,9.7000,9.7000,9.7000,9.7000,0
CBI,20210630,21.0000,23.0000,21.0000,23.0000,21500
CBS,20210630,11.5000,11.5000,11.5000,11.5000,0
CC1,20210630,21.5000,22.2000,21.5000,22.0000,24500
CC4,20210630,15.1000,15.1000,15.1000,15.1000,0
CCA,20210630,11.0000,11.0000,11.0000,11.0000,0
CCH,20210630,3.9000,3.9000,3.9000,3.9000,0
CCI,20210630,17.2000,17.2000,16.6000,16.6000,2600
CCL,20210630,13.5000,13.5000,13.1500,13.2000,311900
CCM,20210630,40.0000,42.0000,40.0000,42.0000,3900
CCP,20210630,10.5000,10.5000,10.5000,10.5000,2001
CCR,20210630,43.0000,44.1000,32.8000,32.8000,13620
CCT,20210630,10.0000,10.0000,10.0000,10.0000,0
CCV,20210630,22.0000,22.0000,22.0000,22.0000,0
CDC,20210630,14.1500,14.1500,13.9000,14.0000,10600
CDG,20210630,3.2000,3.2000,3.2000,3.2000,0
CDH,20210630,3.1000,3.1000,3.1000,3.1000,0
CDN,20210630,27.9000,27.9000,26.7000,27.8000,11800
