<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20160120,2993.0100,3016.2800,2951.9199,2976.6899,216500
AAA,20160120,8.3181,8.6623,8.2034,8.4328,821924
AAM,20160120,6.3337,6.3337,6.3337,6.3337,0
ABI,20160120,9.4869,9.4869,9.4869,9.4869,900
ABT,20160120,31.7068,31.7068,31.7068,31.7068,660
ACB,20160120,6.4296,6.4296,6.3616,6.4296,195341
ACC,20160120,10.9342,10.9342,10.9342,10.9342,10
ACE,20160120,8.8525,8.8525,8.8525,8.8525,0
ACL,20160120,3.6182,3.6182,3.6182,3.6182,140
ACM,20160120,3.4899,3.6785,3.4899,3.5842,521740
ADC,20160120,13.3708,13.3708,13.3708,13.3708,0
ADP,20160120,5.7378,5.7378,5.7378,5.7378,2000
AGF,20160120,12.9000,12.9000,12.8000,12.8000,150
AGM,20160120,6.7933,6.7933,6.7933,6.7933,10
AGP,20160120,11.8851,11.8851,11.8851,11.8851,0
AGR,20160120,2.7000,2.7000,2.6000,2.6000,235100
AGX,20160120,22.3228,22.3228,22.3228,22.3228,0
ALT,20160120,10.2677,10.2677,10.2677,10.2677,0
ALV,20160120,4.6096,4.6096,4.6096,4.6096,8900
AMC,20160120,15.2227,15.2227,15.2227,15.2227,0
AMD,20160120,9.3242,9.5070,9.1414,9.1413,520230
AME,20160120,2.8478,2.8478,2.8478,2.8478,0
AMV,20160120,1.6227,1.6227,1.5776,1.5777,5000
ANV,20160120,2.7130,2.7130,2.5246,2.5246,810
APC,20160120,16.1859,16.1859,16.0907,16.0907,2830
APG,20160120,3.7819,3.8607,3.7819,3.7819,159500
API,20160120,9.2933,9.2933,9.0029,9.1965,223300
APP,20160120,7.2736,7.2736,7.2736,7.2736,0
APS,20160120,2.6000,2.7000,2.6000,2.6000,138900
ARM,20160120,18.6278,18.6278,18.6278,18.6278,0
ASA,20160120,2.3186,2.3186,2.2220,2.2220,105800
ASD,20160120,0.4000,0.4000,0.4000,0.4000,0
ASM,20160120,13.1325,13.2917,13.0529,13.2121,1171610
ASP,20160120,2.5923,2.6685,2.5923,2.5923,3550
ATA,20160120,2.3000,2.3000,2.3000,2.3000,15930
AUD-X,20160120,1.4457,1.4457,1.4457,1.4457,0
AVF,20160120,0.6000,0.6000,0.5000,0.6000,83100
B82,20160120,6.6000,6.6000,6.6000,6.6000,100
BBC,20160120,54.6848,56.6035,54.6848,56.6035,60
BBS,20160120,10.9414,10.9414,10.9414,10.9414,0
BCC,20160120,9.5055,9.6442,9.4361,9.4361,168000
BCE,20160120,3.5550,3.6596,3.5550,3.6595,2000
BCG,20160120,13.7801,13.8500,13.6402,13.7101,388420
BCP,20160120,3.8073,3.8073,3.8073,3.8073,0
BDB,20160120,3.4221,3.4221,3.4221,3.4221,0
BDW,20160120,8.3888,8.3888,8.3888,8.3888,0
BED,20160120,20.9659,20.9659,20.9659,20.9659,8000
BFC,20160120,13.2701,13.2701,12.3618,12.3619,29190
BHC,20160120,1.1000,1.1000,1.1000,1.1000,0
BHP,20160120,9.8281,9.8281,9.8281,9.8281,100
BHT,20160120,4.8168,4.8168,4.3446,4.3445,3200
BIC,20160120,14.7865,14.7865,14.0037,14.0037,32720
BID,20160120,15.2156,15.2156,14.9487,15.0377,760120
BII,20160120,10.1000,10.4000,10.1000,10.2000,463000
BKC,20160120,11.3000,11.3000,11.3000,11.3000,0
BLF,20160120,2.4286,2.4286,2.4286,2.4286,0
BLI,20160120,4.1083,4.1083,4.1083,4.1083,0
BMC,20160120,9.7255,9.7255,9.4456,9.7255,12030
BMI,20160120,16.1748,16.5190,16.0372,16.2436,108170
BMJ,20160120,2.0544,2.0544,2.0544,2.0544,0
BMP,20160120,44.6983,44.6983,43.9595,44.3289,57990
BPC,20160120,8.1954,8.1954,8.1954,8.1954,0
BRC,20160120,5.7071,5.7071,5.7071,5.7071,100
BRL-X,20160120,4.0584,4.0584,4.0584,4.0584,0
BSC,20160120,17.3812,17.3812,17.3812,17.3812,0
BSI,20160120,5.5731,5.6403,5.5060,5.5060,20390
BST,20160120,9.4512,9.4512,9.4512,9.4512,0
BT6,20160120,5.5000,5.5000,5.5000,5.5000,0
BTCUSD-X,20160120,379.7400,376.5990,425.2670,420.2300,12172000000
BTG,20160120,3.2430,3.2430,3.2430,3.2430,0
BTH,20160120,9.3000,9.3000,9.3000,9.3000,0
BTP,20160120,6.5470,6.5470,6.4847,6.5470,20350
BTS,20160120,8.2524,8.2524,8.2524,8.2524,9000
BTT,20160120,26.5461,26.5461,26.5461,26.5461,0
BTW,20160120,11.3042,11.3042,11.3042,11.3042,100
BVG,20160120,1.3000,1.3000,1.3000,1.3000,0
BVH,20160120,44.2101,45.3270,43.7447,43.8378,402390
BVN,20160120,6.6069,6.6069,6.3560,6.3560,13000
BVS,20160120,9.0223,9.2662,8.9410,9.1849,170520
BWA,20160120,5.6984,5.6984,5.6984,5.6984,0
BXH,20160120,11.9380,11.9380,11.9380,11.9380,3000
C21,20160120,9.0875,9.0875,9.0875,9.0875,0
C32,20160120,14.7088,15.9469,14.7088,15.9469,137770
C47,20160120,8.3803,8.3803,8.3153,8.3802,3030
C71,20160120,8.6102,8.6102,8.6102,8.6102,0
C92,20160120,25.1000,25.1000,25.1000,25.1000,0
CAD,20160120,1.9000,1.9000,1.9000,1.9000,0
CAD-X,20160120,1.4563,1.4563,1.4563,1.4563,0
CAN,20160120,31.1267,31.1267,31.1267,31.1267,0
CAP,20160120,13.5925,14.7311,13.5925,14.5888,16800
CAV,20160120,21.0557,21.2621,21.0557,21.2621,99500
CCI,20160120,6.1687,6.1687,5.9292,5.9292,50
CCL,20160120,2.1142,2.1955,2.1142,2.1142,55110
CCM,20160120,10.7447,10.7447,10.7447,10.7447,0
CCR,20160120,8.4655,8.4655,8.4655,8.4655,0
CDC,20160120,3.6997,3.6997,3.6037,3.6517,83520
CDO,20160120,18.0414,18.0414,17.9047,17.9731,1655020
CEC,20160120,2.8559,2.8559,2.8559,2.8559,0
CEO,20160120,8.3558,8.6653,8.3558,8.4177,164600
CFC,20160120,6.5584,6.5584,6.5584,6.5585,200
CHP,20160120,11.5846,11.7065,10.9749,11.6455,22601
CI5,20160120,10.6510,10.6510,10.6510,10.6510,0
CID,20160120,4.5000,4.5000,4.5000,4.5000,0
CIG,20160120,2.1000,2.1000,2.1000,2.1000,50
CII,20160120,19.5331,19.7995,19.3556,19.4443,623140
CJC,20160120,19.3528,19.3528,19.3528,19.3528,0
CKD,20160120,4.8154,4.8154,4.8154,4.8154,0
CKV,20160120,11.9166,11.9166,11.9166,11.9166,0
CL-F,20160120,28.3300,28.5800,26.1900,26.5500,188026
CLC,20160120,18.7499,18.7499,18.4446,18.7499,1700
CLG,20160120,4.4000,4.4000,4.4000,4.4000,10
CLL,20160120,17.5379,17.9605,17.3971,17.6084,6240
CLW,20160120,13.1491,13.1491,13.1491,13.1491,100
CMC,20160120,4.5000,4.5000,4.5000,4.5000,1200
CMG,20160120,9.8429,9.9169,9.6949,9.6949,39490
CMI,20160120,7.0000,7.0000,6.6000,7.0000,1400
CMK,20160120,7.4996,7.4996,7.4996,7.4996,0
CMS,20160120,6.4609,6.5387,6.2273,6.4609,47500
CMT,20160120,12.5101,13.2301,12.4201,13.2301,670
CMV,20160120,10.1040,10.1040,10.1040,10.1040,0
CMX,20160120,3.3225,3.3225,3.1010,3.1010,20100
CNC,20160120,12.9342,12.9342,12.9342,12.9342,0
CNG,20160120,20.9066,21.0415,20.2322,20.9066,1010
CNT,20160120,1.6000,1.6000,1.6000,1.6000,0
CNY-X,20160120,6.5686,6.5686,6.5686,6.5686,0
COM,20160120,36.6064,36.6064,36.6064,36.6064,60
CPC,20160120,11.5935,12.5427,11.5257,12.4749,54000
CSC,20160120,5.5027,5.5027,5.5027,5.5027,100
CSM,20160120,12.7730,12.8278,12.4441,12.4441,126160
CSV,20160120,12.8609,12.8609,12.8609,12.8609,30
CT3,20160120,10.8408,10.8408,10.8408,10.8408,0
CT6,20160120,7.2156,7.2156,7.2156,7.2156,0
CTA,20160120,3.7000,3.7000,3.7000,3.7000,2800
CTB,20160120,14.4377,14.4377,14.4377,14.4377,0
CTC,20160120,7.3152,7.3152,7.3152,7.3152,0
CTD,20160120,91.0148,91.0148,90.3739,91.0148,20550
CTG,20160120,15.7770,15.7770,15.4122,15.4122,608350
CTI,20160120,13.5569,13.5569,12.8902,13.2606,50520
CTN,20160120,1.8000,1.8000,1.8000,1.8000,1600
CTS,20160120,4.7108,4.7108,4.5702,4.5701,8700
CTT,20160120,4.2224,4.2224,4.2224,4.2224,0
CTX,20160120,8.1157,8.1157,7.6815,7.9821,107520
CVN,20160120,1.2120,1.2120,1.2120,1.2120,0
CVT,20160120,7.8081,8.1128,7.7319,7.9224,200130
CX8,20160120,5.3847,5.3847,5.3847,5.3847,0
CYC,20160120,3.4000,3.4000,3.4000,3.4000,0
D11,20160120,7.7231,7.7231,7.7231,7.7232,100
D2D,20160120,8.4567,8.4567,8.4567,8.4567,0
DAC,20160120,7.3000,7.3000,7.3000,7.3000,0
DAD,20160120,11.3558,11.3558,11.3558,11.3558,0
DAE,20160120,9.2543,9.2543,9.1266,9.2543,13100
DAG,20160120,6.7448,7.1377,6.6793,6.7448,274340
DAP,20160120,21.5269,21.5269,21.5269,21.5269,0
DAS,20160120,3.2717,3.2717,3.2717,3.2717,0
DAT,20160120,36.0248,36.0248,35.8592,35.9420,16310
DBC,20160120,12.8506,12.9476,12.7051,12.7536,93420
DBM,20160120,15.5869,15.5869,15.5869,15.5869,0
DBT,20160120,8.5574,8.5574,8.5574,8.5574,0
DC2,20160120,4.6099,4.6099,4.6099,4.6099,400
DC4,20160120,4.2808,4.2808,4.2808,4.2808,0
DCL,20160120,8.2944,8.2944,8.2252,8.2253,1050
