<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAA,20170403,15.7802,15.9090,15.5870,15.5870,531880
AAM,20170403,6.7073,6.7073,6.4417,6.7073,2460
ABC,20170403,15.9414,15.9414,15.9414,15.9414,1100
ABI,20170403,21.4867,21.4867,20.1438,21.4868,1900
ABT,20170403,30.6988,31.4475,30.5490,31.4476,770
AC4,20170403,5.1005,5.1005,5.1005,5.1005,0
ACB,20170403,9.1681,9.3552,9.0184,9.3552,4561999
ACC,20170403,15.2571,15.5425,15.0495,15.3349,140
ACE,20170403,18.0961,18.0961,17.9722,18.0342,18110
ACL,20170403,3.2523,3.3743,3.2116,3.3742,18030
ACM,20170403,1.8000,1.8000,1.7000,1.8000,381817
ACV,20170403,49.2720,49.3690,48.8840,49.2720,150430
ADC,20170403,11.6339,11.6339,11.6339,11.6339,4000
ADP,20170403,16.1849,16.1849,16.0145,16.0146,19300
ADS,20170403,13.3800,13.4101,12.7185,13.3199,204680
AFX,20170403,2.9491,2.9491,2.9491,2.9491,0
AGF,20170403,9.4000,9.4000,9.1000,9.2000,4120
AGM,20170403,8.1064,8.1064,8.1064,8.1064,10
AGP,20170403,17.5696,17.5696,17.5696,17.5696,0
AGR,20170403,3.7000,3.7900,3.5900,3.5900,575440
AGX,20170403,10.2260,10.2260,10.2260,10.2260,0
ALT,20170403,12.8953,12.8953,12.8953,12.8953,166
ALV,20170403,3.2651,3.2651,3.2651,3.2651,0
AMC,20170403,17.3933,17.3933,17.3933,17.3933,800
AMD,20170403,13.5500,13.6500,13.5000,13.5500,132660
AME,20170403,2.7766,2.7766,2.7766,2.7766,1000
AMP,20170403,13.6080,13.6080,13.6080,13.6080,0
AMS,20170403,4.6412,4.6412,4.3318,4.6412,25000
AMV,20170403,6.7614,7.2573,6.5811,6.8065,23400
ANT,20170403,13.2790,13.2790,13.2790,13.2790,0
ANV,20170403,3.0898,3.0898,3.0521,3.0522,10220
APC,20170403,23.6298,24.1200,23.5318,23.8259,52330
APG,20170403,4.7353,4.8850,4.7195,4.7983,270800
API,20170403,21.2972,21.2972,21.1036,21.2972,18730
APL,20170403,13.1662,13.1662,13.1662,13.1662,0
APP,20170403,6.8790,6.8790,6.8790,6.8790,0
APS,20170403,2.6000,2.6000,2.4000,2.5000,36700
ARM,20170403,20.9505,20.9505,20.9505,20.9505,100
ASA,20170403,2.2000,2.2000,2.1000,2.1000,134800
ASD,20170403,0.5000,0.5000,0.5000,0.5000,0
ASM,20170403,12.2570,12.4162,12.2570,12.3366,1666290
ASP,20170403,2.8973,3.0421,2.8973,3.0421,1900
ATA,20170403,0.7000,0.7000,0.7000,0.7000,0
ATG,20170403,2.3500,2.3600,2.3000,2.3200,62020
ATS,20170403,13.7000,13.7000,13.7000,13.7000,6000
AUD-X,20170403,1.3106,1.3106,1.3106,1.3106,0
AUM,20170403,10.5184,10.5184,10.5184,10.5184,0
AVF,20170403,0.3000,0.3000,0.3000,0.3000,0
B82,20170403,3.4000,3.4000,3.4000,3.4000,0
BAX,20170403,12.1008,12.1008,12.1008,12.1008,0
BBC,20170403,116.0408,123.9080,115.0574,116.0408,490
BBS,20170403,10.0261,10.0261,10.0261,10.0261,300
BCC,20170403,11.4100,12.7665,11.4100,12.5271,288505
BCE,20170403,3.6430,3.6488,3.6257,3.6430,9790
BCG,20170403,3.6262,3.6640,3.6111,3.6564,264390
BCP,20170403,6.7460,6.7460,6.7460,6.7460,89
BDB,20170403,6.8885,6.8885,6.8885,6.8885,1000
BDG,20170403,18.3617,18.3617,18.3617,18.3617,0
BDW,20170403,6.2169,6.2169,6.2169,6.2169,0
BED,20170403,22.9486,22.9486,22.9486,22.9486,0
BEL,20170403,6.1826,6.1826,6.1826,6.1826,0
BFC,20170403,24.0744,24.2837,23.9348,24.0744,124030
BHC,20170403,2.9000,2.9000,2.9000,2.9000,0
BHN,20170403,70.8742,71.7601,67.7734,68.2164,11650
BHP,20170403,9.8644,9.8644,9.8644,9.8644,0
BHT,20170403,2.8333,2.8333,2.8333,2.8334,300
BIC,20170403,36.6565,36.6565,36.6565,36.6564,150
BID,20170403,16.3516,16.4453,16.0705,16.0704,3046160
BII,20170403,2.7000,2.7000,2.6000,2.7000,116400
BKC,20170403,6.0000,6.0000,6.0000,6.0000,0
BLF,20170403,3.9000,3.9000,3.8000,3.8000,4000
BLI,20170403,4.7146,4.7146,4.7146,4.7146,0
BLN,20170403,9.0172,9.0172,9.0172,9.0172,0
BMC,20170403,19.3997,19.3997,18.0604,18.6692,91850
BMI,20170403,21.7887,22.3808,21.6309,22.3414,80940
BMJ,20170403,4.1461,4.1461,4.1461,4.1461,0
BMN,20170403,5.5955,5.5955,5.5955,5.5955,0
BMP,20170403,78.6256,80.0510,77.8552,77.8552,338680
BPC,20170403,14.0487,14.0487,14.0487,14.0487,300
BRC,20170403,7.7201,7.7201,7.7201,7.7201,390
BRL-X,20170403,3.1218,3.1218,3.1218,3.1218,0
BRS,20170403,6.9389,6.9389,6.9389,6.9389,0
BSC,20170403,12.1848,12.1848,12.1848,12.1848,0
BSG,20170403,8.4922,8.4922,8.4922,8.4921,100
BSI,20170403,9.0343,9.0343,8.4040,8.5441,10070
BSP,20170403,12.6105,13.1735,12.6105,13.0609,4100
BSQ,20170403,19.6731,19.6731,19.6731,19.6731,500
BST,20170403,11.0539,11.0539,11.0539,11.0539,0
BT1,20170403,10.5984,10.5984,10.5984,10.5984,1000
BT6,20170403,5.2000,5.2000,5.0000,5.0000,3400
BTB,20170403,9.8000,9.8000,9.8000,9.8000,0
BTCUSD-X,20170403,1102.9498,1102.9498,1151.7400,1143.8102,58044403200
BTD,20170403,13.2250,13.2250,13.2250,13.2250,0
BTG,20170403,5.7847,5.7847,5.7847,5.7847,0
BTP,20170403,9.0123,9.0123,8.9125,9.0123,8710
BTR,20170403,4.8444,4.8444,4.8444,4.8444,0
BTS,20170403,8.1553,8.1553,8.1553,8.1553,0
BTT,20170403,29.2901,29.2901,29.2901,29.2901,1100
BTU,20170403,7.5862,7.5862,7.5862,7.5862,0
BTV,20170403,19.9618,19.9618,19.9618,19.9618,0
BTW,20170403,12.3411,12.3411,12.3411,12.3411,0
BVG,20170403,0.9000,0.9000,0.9000,0.9000,0
BVH,20170403,55.8491,56.1321,55.0000,55.3774,514410
BVN,20170403,6.6456,6.6456,6.6456,6.6456,0
BVS,20170403,13.3303,13.3303,12.8426,13.2490,62100
BWA,20170403,6.6020,6.6020,6.6020,6.6020,0
BXH,20170403,14.9269,16.5771,14.9269,16.5771,5200
C12,20170403,14.5116,14.5116,14.5116,14.5116,0
C21,20170403,11.6486,11.7119,11.6486,11.6487,8300
C32,20170403,25.5057,25.9187,24.7829,24.8861,222330
C47,20170403,7.0254,7.6811,7.0254,7.6811,292640
C71,20170403,7.2243,7.2243,7.2243,7.2243,100
C92,20170403,10.5000,10.5000,10.5000,10.5000,100
CAD,20170403,0.5000,0.5000,0.5000,0.5000,0
CAD-X,20170403,1.3326,1.3326,1.3326,1.3326,0
CAN,20170403,19.1723,19.1723,19.1723,19.1723,0
CAP,20170403,17.6360,17.6360,17.0354,17.1446,29198
CAV,20170403,45.5054,45.5054,44.5939,45.0146,37390
CCI,20170403,8.8357,9.5397,8.4133,8.4132,20480
CCL,20170403,2.2281,2.2850,2.2281,2.2850,4510
CCM,20170403,9.5986,9.5986,9.5986,9.5986,0
CCP,20170403,11.7524,11.7524,11.7524,11.7524,0
CCR,20170403,17.9288,17.9288,17.9288,17.9288,0
CCV,20170403,5.6112,5.6112,5.6112,5.6112,0
CDC,20170403,6.9453,7.1267,6.9453,7.1008,9240
CDG,20170403,5.6553,5.6553,5.6553,5.6553,0
CDH,20170403,6.4469,6.4469,6.4469,6.4469,0
CDN,20170403,15.5572,15.5572,15.5572,15.5572,0
CDO,20170403,4.2700,4.2800,4.0500,4.0500,719790
CEC,20170403,15.7407,15.7407,15.7407,15.7407,0
CEO,20170403,8.7891,8.8630,8.7152,8.7891,1017100
CFC,20170403,6.5239,6.5239,6.5239,6.5239,100
CHC,20170403,1.7133,1.7133,1.7133,1.7133,0
CHP,20170403,15.1702,15.2364,15.1702,15.2033,26000
CHS,20170403,12.3049,12.3049,10.8942,10.8942,300
CI5,20170403,11.3614,11.3614,11.3614,11.3614,0
CID,20170403,5.1000,5.1000,5.1000,5.1000,0
CIG,20170403,2.3900,2.3900,2.2300,2.2300,160
CII,20170403,36.8934,36.8934,36.2312,36.3731,2583490
CJC,20170403,25.3551,25.3551,25.3551,25.3551,0
CKD,20170403,8.4570,8.4570,8.4570,8.4570,0
CKH,20170403,2.7259,2.7259,2.7259,2.7259,0
CKV,20170403,10.8567,10.8567,10.8567,10.8567,0
CL-F,20170403,50.6900,50.8300,50.1200,50.2400,527607
CLC,20170403,27.7152,27.9000,27.4842,27.7152,8760
CLG,20170403,4.2000,4.2000,3.9800,4.2000,240
CLH,20170403,6.8982,7.0419,6.8982,7.0419,2200
CLL,20170403,21.2948,21.2948,21.2948,21.2948,710
CLM,20170403,10.9602,10.9602,10.9602,10.9602,0
CLW,20170403,15.0620,15.0620,15.0620,15.0620,0
CLX,20170403,12.3465,12.3465,12.1580,12.1580,300
CMC,20170403,5.0000,5.0000,5.0000,5.0000,0
CMF,20170403,67.3736,67.3736,67.3736,67.3736,9
CMG,20170403,11.2010,11.7493,11.2010,11.6710,1460
CMI,20170403,5.4000,5.5000,5.2000,5.2000,83300
CMK,20170403,7.4995,7.4995,7.4995,7.4995,0
CMP,20170403,8.2581,8.2581,8.2581,8.2581,0
CMS,20170403,5.7601,5.7601,5.6701,5.6701,16200
CMT,20170403,11.3851,12.1501,11.3851,12.0601,160
CMV,20170403,13.9099,13.9099,13.9099,13.9099,0
CMX,20170403,2.6579,2.9016,2.6579,2.8795,930
CNC,20170403,21.9122,21.9122,21.9122,21.9122,200
CNG,20170403,24.5946,24.9789,24.5946,24.7483,5560
CNN,20170403,18.7642,18.7642,18.7642,18.7642,0
CNT,20170403,2.4000,2.4000,2.4000,2.4000,0
CNY-X,20170403,6.8802,6.8802,6.8802,6.8802,0
COM,20170403,52.8458,52.8458,52.8458,52.8458,0
CPC,20170403,19.2087,19.2087,19.1351,19.1351,900
CPH,20170403,1.8317,1.8317,1.8317,1.8317,0
CQT,20170403,7.0000,7.0000,7.0000,7.0000,0
CSC,20170403,12.2604,12.4520,12.0688,12.1071,21200
CSM,20170403,16.8192,16.8192,16.6057,16.6057,214730
CSV,20170403,19.4733,19.8818,19.4733,19.7456,116110
CT3,20170403,5.6181,5.6181,5.6181,5.6181,100
CT6,20170403,4.2679,4.2679,4.2679,4.2679,800
CTA,20170403,1.5000,1.5000,1.5000,1.5000,10280
CTB,20170403,14.7690,14.7690,14.7690,14.7689,200
CTC,20170403,5.7000,5.7000,5.7000,5.7000,0
CTD,20170403,183.5114,184.8348,181.0411,181.3057,123050
CTG,20170403,17.2506,17.2981,17.0130,17.1081,1573370
CTI,20170403,23.8264,24.1550,23.7853,23.9907,516920
CTN,20170403,0.6000,0.6000,0.6000,0.6000,0
CTP,20170403,13.3219,13.8093,13.3219,13.7281,189000
CTS,20170403,6.7576,6.8335,6.6817,6.7576,203608
CTT,20170403,5.4405,5.4405,5.4405,5.4405,0
CTW,20170403,4.0659,4.0659,4.0659,4.0659,0
CTX,20170403,6.0116,6.0116,6.0116,6.0116,0
CVN,20170403,1.6585,1.6585,1.6585,1.6585,1000
CVT,20170403,23.0748,23.1159,22.7457,22.7458,167240
CX8,20170403,6.9420,6.9420,6.9420,6.9420,100
CXH,20170403,9.5652,9.5652,9.5652,9.5652,0
CYC,20170403,4.0600,4.0600,4.0600,4.0600,0
D11,20170403,9.3468,9.3468,9.3468,9.3468,474
D2D,20170403,11.7414,11.7414,11.7135,11.7135,22580
DAC,20170403,17.7000,17.7000,17.7000,17.7000,0
DAD,20170403,11.6192,11.6192,11.6192,11.6192,0
DAE,20170403,11.4948,11.4948,11.4948,11.4948,0
DAG,20170403,9.4270,9.4270,9.3203,9.3559,109650
DAH,20170403,5.4142,5.4683,5.3755,5.4296,392390
DAP,20170403,28.5043,28.5043,28.5043,28.5043,0
DAS,20170403,3.2717,3.2717,3.2717,3.2717,0
DAT,20170403,17.9710,17.9710,17.9710,17.9710,0
DBC,20170403,20.9587,20.9587,20.7640,20.8289,49656
DBD,20170403,29.6887,30.0888,29.6087,29.6887,18700
DBH,20170403,8.7587,8.7587,8.7587,8.7587,0
DBM,20170403,12.7742,12.7742,12.7742,12.7742,800
DBT,20170403,11.9650,12.0354,11.9650,12.0354,5255
DBW,20170403,10.0000,10.0000,10.0000,10.0000,0
DC1,20170403,10.9604,11.9988,10.9604,11.6527,16900
DC2,20170403,5.6157,5.6157,5.6157,5.6157,0
DC4,20170403,5.2686,5.2686,5.2686,5.2686,0
DCF,20170403,5.8432,5.8432,5.2751,5.7621,20213
DCI,20170403,3.3083,3.3083,3.3083,3.3083,0
DCL,20170403,22.5469,22.7404,22.0631,22.2566,257190
DCM,20170403,7.8745,7.8745,7.6861,7.7238,1419120
DCS,20170403,2.4000,2.5000,2.3000,2.4000,555027
DCT,20170403,0.8000,0.8000,0.8000,0.8000,0
DDH,20170403,9.7914,9.7914,9.7914,9.7914,0
DDM,20170403,2.0000,2.0000,2.0000,2.0000,0
DDN,20170403,10.9433,11.2473,10.9433,11.2473,775
DDV,20170403,6.9000,7.0000,6.9000,7.0000,400
DFC,20170403,7.0451,7.0451,7.0451,7.0451,0
DGC,20170403,20.9957,21.2191,20.3815,20.4374,145343
DGT,20170403,5.3050,5.3050,5.3050,5.3050,0
DGW,20170403,14.6883,14.6883,14.2901,14.4228,194730
DHA,20170403,21.2795,21.3523,20.8422,20.9880,71080
DHC,20170403,17.2706,17.7134,17.2445,17.3487,25640
DHG,20170403,77.9637,78.1897,76.7208,77.0598,40950
DHM,20170403,5.0600,5.4000,5.0000,5.4000,1312940
DHP,20170403,6.2676,6.6010,6.2676,6.6009,30000
DHT,20170403,24.4685,24.4685,22.4294,22.5569,15039
DIC,20170403,6.5014,6.9113,6.5014,6.8160,17240
DID,20170403,5.5000,5.5000,5.5000,5.5000,0
DIG,20170403,5.4497,5.7514,5.4120,5.5377,745340
DIH,20170403,8.3740,8.8571,8.3740,8.8571,7407
DL1,20170403,5.8253,5.8769,5.8253,5.8769,1200
DLD,20170403,6.9000,6.9000,6.9000,6.9000,0
DLG,20170403,3.0190,3.0190,2.9714,2.9905,1098230
DLR,20170403,9.6000,9.6000,9.6000,9.6000,0
DLT,20170403,7.3995,7.3995,7.3995,7.3995,0
DMC,20170403,81.8357,81.8357,79.4261,80.5863,19360
DNC,20170403,12.5416,12.5416,12.5416,12.5416,0
DND,20170403,7.9124,7.9124,7.9124,7.9124,0
DNL,20170403,9.0543,9.0543,9.0543,9.0543,100
DNM,20170403,22.8835,22.8835,22.8835,22.8835,200
DNP,20170403,11.8435,11.8900,11.5184,11.8899,42400
DNR,20170403,6.0773,6.0773,6.0773,6.0773,0
DNS,20170403,6.7078,6.7078,6.7078,6.7078,0
DNW,20170403,10.3944,10.3944,10.3944,10.3944,0
DNY,20170403,6.1952,6.1952,6.1952,6.1952,0
DOC,20170403,8.1893,8.1893,8.1893,8.1893,100
DOGE-USD,20170403,0.0005,0.0006,0.0004,0.0004,8704480
DOP,20170403,9.7178,9.7178,9.7178,9.7178,0
DP3,20170403,21.3582,21.3582,21.0346,21.2288,14700
DPC,20170403,20.6647,20.6647,20.5885,20.5885,1500
DPG,20170403,18.2330,18.6814,17.6352,17.8595,46910
