
Mã	
Mua	Bán	
Khối lượng giao dịch ròng	
Giá trị giao dịch ròng	
Room còn lại	
Đang sở hữu	
Khối lượng	
Giá trị	
Khối lượng	
Giá trị	
PHC	31,400 	485,795,000 	0 	0 	31,400 	485,795,000 	12,495,379 	0.47% 
TGG	35,000 	181,397,000 	5,500 	28,543,000 	29,500 	152,854,000 	12,984,355 	1.44% 
HDC	28,100 	1,273,170,000 	1,400 	63,465,000 	26,700 	1,209,705,000 	29,059,017 	5.31% 
DGW	39,500 	5,484,350,000 	14,600 	1,971,490,000 	24,900 	3,512,860,000 	9,271,632 	27.51% 
DIG	203,500 	5,670,045,000 	179,100 	4,981,240,000 	24,400 	688,805,000 	163,432,269 	2.35% 
DRH	24,000 	240,073,000 	0 	0 	24,000 	240,073,000 	28,668,373 	2.00% 
TSC	69,600 	1,052,965,000 	46,400 	697,745,000 	23,200 	355,220,000 	68,770,412 	2.42% 
DHC	21,900 	2,297,820,000 	0 	0 	21,900 	2,297,820,000 	9,332,959 	31.94% 
CTI	21,800 	317,975,000 	0 	0 	21,800 	317,975,000 	30,264,105 	0.96% 
HNG	21,600 	229,855,000 	1,000 	10,500,000 	20,600 	219,355,000 	540,868,078 	0.21% 
TNI	25,600 	100,770,000 	6,000 	22,620,000 	19,600 	78,150,000 	25,214,430 	0.97% 
DPG	19,500 	701,665,000 	200 	7,260,000 	19,300 	694,405,000 	21,899,323 	0.33% 
KMR	18,600 	114,018,000 	0 	0 	18,600 	114,018,000 	21,074,080 	62.95% 
KDC	42,200 	2,149,800,000 	24,000 	1,224,710,000 	18,200 	925,090,000 	208,607,546 	25.43% 
APG	17,000 	152,740,000 	0 	0 	17,000 	152,740,000 	33,938,650 	0.27% 
BFC	25,300 	644,770,000 	8,700 	218,600,000 	16,600 	426,170,000 	25,940,636 	3.62% 
IMP	16,500 	1,196,250,000 	0 	0 	16,500 	1,196,250,000 	18 	49.00% 
VCI	59,000 	4,403,000,000 	42,600 	3,181,330,000 	16,400 	1,221,670,000 	129,445,815 	21.83% 
IDI	39,000 	243,328,000 	22,600 	137,486,000 	16,400 	105,842,000 	109,973,470 	0.69% 
MSH	24,200 	1,240,640,000 	8,100 	409,760,000 	16,100 	830,880,000 	21,382,466 	6.24% 
FIT	21,100 	245,320,000 	5,000 	57,750,000 	16,100 	187,570,000 	120,604,782 	1.65% 
VIB	20,300 	1,256,330,000 	4,700 	290,640,000 	15,600 	965,690,000 	13,533 	21.14% 
LHG	21,300 	854,800,000 	6,600 	272,060,000 	14,700 	582,740,000 	19,883,281 	9.24% 
DCM	25,200 	439,645,000 	11,100 	190,520,000 	14,100 	249,125,000 	241,964,643 	3.29% 
VDS	13,900 	225,125,000 	0 	0 	13,900 	225,125,000 	48,516,303 	0.53% 
DGC	14,200 	1,009,530,000 	700 	49,500,000 	13,500 	960,030,000 	67,673,519 	4.04% 
TYA	26,300 	431,900,000 	12,900 	212,195,000 	13,400 	219,705,000 	3,958,764 	35.47% 
DBC	22,500 	1,234,370,000 	9,300 	507,480,000 	13,200 	726,890,000 	48,794,279 	2.42% 
AST	54,100 	2,696,955,000 	41,000 	2,045,470,000 	13,100 	651,485,000 	2,512,178 	43.42% 
CTD	12,900 	699,800,000 	200 	10,910,000 	12,700 	688,890,000 	3,456,609 	44.64% 
DAG	19,200 	111,966,000 	7,300 	41,683,000 	11,900 	70,283,000 	20,762,061 	0.75% 
SAM	11,500 	116,165,000 	0 	0 	11,500 	116,165,000 	168,720,865 	0.79% 
ADS	17,800 	368,985,000 	6,800 	138,860,000 	11,000 	230,125,000 	13,704,123 	0.18% 
FIR	10,700 	342,920,000 	0 	0 	10,700 	342,920,000 	12,995,075 	0.94% 
CSV	11,900 	317,055,000 	1,300 	34,450,000 	10,600 	282,605,000 	15,649,436 	13.59% 
FMC	16,200 	530,505,000 	5,700 	187,920,000 	10,500 	342,585,000 	24,523,031 	7.33% 
NHH	10,100 	608,600,000 	0 	0 	10,100 	608,600,000 	36,360,495 	0.22% 
TTA	9,500 	135,810,000 	0 	0 	9,500 	135,810,000 	65,749,030 	0.30% 
LSS	9,700 	99,668,000 	300 	3,000,000 	9,400 	96,668,000 	32,876,403 	2.03% 
SMC	13,900 	529,535,000 	4,800 	183,050,000 	9,100 	346,485,000 	13,326,369 	27.15% 
PXS	9,000 	50,449,000 	0 	0 	9,000 	50,449,000 	22,670,112 	11.22% 
AGR	7,800 	90,500,000 	400 	4,545,000 	7,400 	85,955,000 	103,133,361 	0.35% 
GVR	8,900 	227,120,000 	1,900 	47,970,000 	7,000 	179,150,000 	499,603,440 	0.51% 
DAH	10,100 	91,380,000 	3,400 	30,323,000 	6,700 	61,057,000 	16,527,060 	0.68% 
VNE	7,400 	47,397,000 	800 	5,042,000 	6,600 	42,355,000 	38,619,492 	6.29% 
DCL	7,900 	276,615,000 	1,500 	54,045,000 	6,400 	222,570,000 	17,109,247 	2.47% 
SBV	5,700 	77,165,000 	0 	0 	5,700 	77,165,000 	9,271,034 	15.12% 
VSC	38,500 	2,009,490,000 	33,000 	1,712,540,000 	5,500 	296,950,000 	16,655,892 	18.78% 
SJS	6,000 	341,220,000 	600 	34,020,000 	5,400 	307,200,000 	54,836,171 	1.26% 
MSB	5,900 	146,615,000 	500 	12,500,000 	5,400 	134,115,000 	4,907 	29.94% 
TDM	6,100 	164,495,000 	1,000 	26,780,000 	5,100 	137,715,000 	44,182,950 	4.82% 
HID	6,600 	29,313,000 	2,000 	9,140,000 	4,600 	20,173,000 	28,329,489 	0.79% 
TDG	4,100 	16,725,000 	0 	0 	4,100 	16,725,000 	8,015,431 	1.20% 
TDH	10,000 	76,800,000 	6,100 	46,777,000 	3,900 	30,023,000 	46,514,286 	7.71% 
BKG	3,700 	39,700,000 	0 	0 	3,700 	39,700,000 	15,649,200 	0.10% 
TIP	3,000 	125,210,000 	0 	0 	3,000 	125,210,000 	8,213,093 	17.41% 
BCE	3,000 	33,835,000 	400 	4,420,000 	2,600 	29,415,000 	16,450,986 	2.00% 
VIX	2,500 	68,080,000 	0 	0 	2,500 	68,080,000 	61,489,139 	0.86% 
HUB	2,400 	59,350,000 	0 	0 	2,400 	59,350,000 	8,469,234 	5.70% 
VPG	5,800 	222,175,000 	3,400 	129,860,000 	2,400 	92,315,000 	18,458,450 	2.14% 
PGC	6,100 	100,650,000 	3,800 	63,095,000 	2,300 	37,555,000 	27,493,919 	3.44% 
SGR	2,200 	59,705,000 	0 	0 	2,200 	59,705,000 	29,386,025 	0.02% 
TCL	4,000 	124,000,000 	1,800 	55,675,000 	2,200 	68,325,000 	13,771,215 	3.34% 
SKG	4,000 	43,785,000 	1,800 	19,500,000 	2,200 	24,285,000 	3,167,119 	44.00% 
TLD	10,700 	65,092,000 	8,600 	50,208,000 	2,100 	14,884,000 	18,952,461 	1.65% 
SGN	2,100 	138,700,000 	0 	0 	2,100 	138,700,000 	9,357,417 	2.14% 
TNT	2,300 	16,603,000 	200 	1,478,000 	2,100 	15,125,000 	12,472,910 	0.09% 
DXV	2,000 	10,100,000 	0 	0 	2,000 	10,100,000 	4,802,150 	0.49% 
CMX	7,000 	101,200,000 	5,000 	72,600,000 	2,000 	28,600,000 	8,827,146 	22.97% 
VRC	5,600 	39,689,000 	3,700 	25,783,000 	1,900 	13,906,000 	23,481,684 	2.04% 
D2D	1,900 	96,710,000 	0 	0 	1,900 	96,710,000 	14,128,909 	2.38% 
NNC	2,600 	65,060,000 	800 	20,710,000 	1,800 	44,350,000 	8,337,990 	10.96% 
C47	3,500 	38,165,000 	1,900 	20,330,000 	1,600 	17,835,000 	9,082,649 	0.54% 
SVD	1,600 	12,489,000 	0 	0 	1,600 	12,489,000 	6,272,700 	0.37% 
RAL	1,400 	324,650,000 	200 	46,380,000 	1,200 	278,270,000 	5,666,384 	2.07% 
SCS	47,400 	6,146,540,000 	46,200 	5,986,970,000 	1,200 	159,570,000 	13,426,502 	30.02% 
HMC	3,400 	82,960,000 	2,300 	54,975,000 	1,100 	27,985,000 	10,079,420 	1.00% 
VIS	1,000 	19,200,000 	0 	0 	1,000 	19,200,000 	19,138,389 	74.08% 
HAS	1,000 	14,000,000 	0 	0 	1,000 	14,000,000 	2,541,436 	17.23% 
AAT	900 	18,875,000 	0 	0 	900 	18,875,000 	17,030,400 	 
FUESSV50	800 	16,320,000 	0 	0 	800 	16,320,000 	4,037,250 	66.64% 
LCM	600 	1,500,000 	0 	0 	600 	1,500,000 	9,472,660 	10.54% 
UIC	700 	35,115,000 	100 	5,040,000 	600 	30,075,000 	1,985,890 	24.18% 
BMP	700 	39,480,000 	200 	11,380,000 	500 	28,100,000 	14,769,945 	81.96% 
COM	500 	20,075,000 	0 	0 	500 	20,075,000 	6,861,988 	0.40% 
EIB	30,100 	787,775,000 	29,600 	771,220,000 	500 	16,555,000 	2,099,142 	29.83% 
GSP	500 	5,635,000 	0 	0 	500 	5,635,000 	14,928,040 	7.53% 
HVH	400 	3,976,000 	0 	0 	400 	3,976,000 	17,931,512 	0.79% 
