MaCK,SanCK,EPS,PE,ROA,ROE,Beta,KhoiLuongLuuHanh,KhoiLuongNiemYet,CoPhieuQuy,NuocNgoaiSoHuu,VonThiTruong,DoanhThu-ttm(Trieu),LNST-ttm,VonCSH,TongNo,TongTaiSan,,,,
LMC,HASTC,0.70,15.4,289%,546%,1.72,1500000,1500000,0,0,16200000,9569,0,19315,17182,36498,,,,
LMH,HASTC,-0.84,-9.5,-411%,-1368%,1.49,25629995,25629995,0,0,205039960,363814,-16797,157087,365281,522368,,,,
LMI,HASTC,0.88,6.3,151%,488%,0.48,5500000,5500000,0,0,30250000,0,0,98764,220045,318808,,,,
LNC,HASTC,0.10,100.0,33%,95%,-0.24,8230067,8230067,0,0,82300670,9014,0,84236,156659,240895,,,,
LO5,HASTC,-11.24,-0.1,-1588%,13192%,0.97,5149791,5149791,0,2523397,7209707,100555,0,-43867,408184,364317,,,,
LPB,HOSE,1872.00,0.0,1%,15%,1.52,1203595585,1074638915,0,0,25361478804,18525217,2253226,15108700,230099514,245208214,(84.28) 6266 8668,(84-24) 6266 9669,https://www.lienvietpostbank.com.vn,
LPT,HASTC,0.58,18.6,435%,542%,1.49,8000000,8000000,0,0,86400002,0,0,85400,21051,106451,,,,
LQN,HASTC,0.07,128.6,11%,94%,0.00,1893540,1893540,0,0,17041860,0,0,14396,110842,125238,,,,
LSS,HOSE,0.21,45.2,53%,96%,1.73,70000000,70000000,0,34300000,665000000,1478826,14622,1530517,1206436,2736953,,,,
LTC,HASTC,-0.53,-3.6,-108%,-456%,0.65,4586000,4586000,0,2247140,8713400,14437,0,51799,171639,223438,,,,
LTG,HASTC,7.30,5.1,695%,1950%,1.61,80593340,80593340,0,0,2990012791,9388505,588460,3018345,5444303,8462647,,,,
LUT,HASTC,0.01,360.0,2%,5%,2.48,14920000,14960000,40000,7350000,53855999,249989,0,183349,279793,463142,,,,
LWS,HASTC,0.89,18.9,515%,792%,0.25,17717665,17717665,0,0,297656758,141533,0,199354,107358,306713,,,,
LYF,HASTC,-0.27,-62.2,-134%,-226%,0.00,3000000,3000000,0,0,50399998,0,0,35445,24165,59610,,,,
M10,HASTC,3.89,4.7,733%,2842%,1.31,30240000,30240000,0,0,553391977,6188875,0,413975,1191887,1605862,,,,
MA1,HASTC,4.02,5.7,792%,1769%,1.27,5289715,5289715,0,0,121663445,0,0,120105,148090,268195,,,,
MAC,HASTC,-0.07,-77.1,-47%,-60%,1.31,15139745,15139745,0,7065451,81754624,107103,0,178650,52289,230940,,,,
MAS,HASTC,-1.47,-30.6,-1396%,-3437%,1.27,8881979,8881979,0,1474319,399689055,74050,0,38060,55675,93735,,,,
MBB,HOSE,2743.00,0.0,2%,20%,1.46,3778320942,2824372373,25616120,326236363,78376333351,33700188,10362432,53723765,457233731,510957496,,,,
MBG,HASTC,244.00,0.0,2%,2%,2.17,71499960,68095200,0,3920000,401761686,748855,0,735385,31376,766761,,,,
MBN,HASTC,1.05,8.0,298%,419%,-0.23,5750000,5750000,0,0,48299998,0,0,144457,58638,203095,,,,
MBS,HASTC,2.08,13.6,431%,1584%,2.29,164331084,164331084,0,59840897,4650569552,1292713,342261,2160324,5779624,7939947,,,,
MC3,HASTC,-8.45,-0.9,-1904%,-36431%,-0.18,3500000,3500000,0,0,28000000,0,0,8119,147236,155355,,,,
MCC,HASTC,0.47,24.0,264%,332%,0.72,4956124,4986124,30000,2457900,56343202,44177,0,69559,17884,87444,,,,
MCF,HASTC,0.96,8.6,326%,846%,1.35,10777838,10777838,0,3920000,89456057,549039,0,121937,194546,316483,,,,
MCG,HOSE,-0.02,-145.0,-9%,-33%,1.67,46590000,52050000,5460000,28179900,150945005,110641,-2397,260097,751700,1011797,,,,
MCH,HASTC,6.34,18.3,1764%,3044%,0.68,728165431,728165431,0,0,84467189996,24655046,4619654,15177836,11003741,26181577,,,,
MCI,HASTC,-0.45,-17.3,-406%,946%,-0.08,3500000,3500000,0,2940000,27300001,3795,0,-16792,55922,39130,,,,
MCM,HASTC,0.61,77.0,1157%,1284%,0.77,466800000,466800000,0,0,21939600000,2817654,0,2205734,241582,2447316,,,,
MCO,HASTC,0.04,75.0,12%,31%,2.00,4103929,4103929,0,2010925,12311787,64897,0,52387,82674,135061,,,,
MCP,HOSE,1.37,17.9,583%,942%,0.94,15034621,15052979,18358,7384955,368797986,350497,0,218402,134247,352649,,,,
MCT,HASTC,0.54,13.0,39%,323%,0.33,2500000,2500000,0,0,17500000,378736,0,41868,301343,343211,,,,
MDA,HASTC,1.58,5.7,382%,1197%,0.00,1200000,1200000,0,0,10800000,0,0,15799,33682,49481,,,,
MDC,HASTC,1.45,5.9,245%,1216%,1.52,21418346,21418346,0,7391136,182055941,2555634,0,254501,1008018,1262518,,,,
MDF,HASTC,851.00,0.0,4%,7%,1.08,55113595,55113595,0,27005661,639317723,1054644,0,705726,518477,1224203,,,,
MDG,HOSE,0.84,14.6,252%,577%,0.95,10290531,10589781,299250,5335625,129724817,242973,0,150821,193646,344467,,,,
MEC,HASTC,-3.82,-0.7,-417%,4932%,1.76,8353620,8353620,0,3790150,20884050,76093,-43691,23262,827707,850969,,,,
MED,HASTC,2.66,14.7,358%,1126%,0.75,7850119,7850119,0,0,307724671,473623,0,185631,397959,583590,,,,
MEF,HASTC,6.92,0.2,1416%,1998%,0.00,3940522,3940522,0,1579789,6304835,0,0,136505,56102,192607,,,,
MEG,HASTC,1.04,20.5,314%,562%,0.58,44000000,44000000,0,0,937199966,2387362,45598,811470,640903,1452373,,,,
MEL,HASTC,1.56,9.4,384%,1119%,0.69,15000000,15000000,0,0,219000006,901670,0,208521,399369,607890,,,,
MES,HASTC,-0.16,-62.5,-157%,-167%,0.00,18600000,18600000,0,0,186000000,16343,0,175917,11458,187374,,,,
MFS,HASTC,826.00,0.0,10%,16%,1.22,7062979,7062979,0,0,194231922,91478,0,187207,114144,301351,,,,
MGC,HASTC,0.49,8.8,155%,467%,0.45,10800000,10800000,0,5292000,46440002,162332,272,113712,229781,343493,,,,
MGG,HASTC,1.86,21.5,204%,764%,2.14,8999622,8999622,0,0,359984880,0,0,219584,602574,822158,,,,
MH3,HASTC,4.90,11.8,646%,2813%,1.26,12000000,12000000,0,0,696000000,108648,0,209111,701409,910520,,,,
MHC,HOSE,5.51,1.7,2197%,3668%,1.81,41406724,41406844,120,13948559,381357035,18264,179496,622401,416477,1038878,,,,
MHL,HASTC,1.20,2.7,277%,1068%,1.79,5146323,5288623,142300,2425583,16923594,400327,0,57831,165219,223050,,,,
MHP,HASTC,-0.78,-14.7,-683%,-1154%,0.00,3583140,3583140,0,0,41206110,0,0,25632,11122,36754,,,,
MHY,HASTC,3.77,5.0,5%,6%,0.00,31800,31800,0,0,597840,0,0,200727,46549,247277,,,,
MIC,HASTC,0.04,175.0,22%,38%,2.22,5484296,5514621,30325,2106152,38602347,122413,1270,53881,40775,94657,,,,
MIE,HASTC,0.03,336.7,19%,35%,0.00,141991500,141991500,0,0,1434114204,1362546,4902,1411907,1220437,2632344,,,,
MIG,HOSE,1.55,11.5,362%,1285%,1.19,130000000,130000000,0,0,2313999901,3104242,202092,1572476,4014532,5587008,,,,
MIM,HASTC,-1.06,-9.4,-342%,-1645%,0.86,3409860,3409860,0,1670831,34098600,83218,0,22054,84037,106091,,,,
MKP,HASTC,1.05,42.9,196%,230%,0.56,27909995,27909995,0,4956807,1255949775,1071016,0,1270990,223097,1494087,,,,
MKV,HASTC,1.59,20.8,755%,1288%,0.25,5000038,5000038,0,2450018,165001254,123070,0,61816,43675,105491,,,,
MLC,HASTC,2.13,2.7,479%,587%,-0.23,4171175,4171175,0,0,24192816,0,0,151150,34110,185260,,,,
MLS,HASTC,23.84,1.6,7295%,9978%,1.81,4000000,4000000,0,0,151600006,311912,3453,85695,54719,140414,,,,
MML,HASTC,1.33,54.5,237%,502%,1.09,324327447,324327447,0,0,23513739908,18381033,432179,8609239,9634127,18243366,,,,
MNB,HASTC,2.71,10.7,180%,1273%,0.93,18200000,18200000,0,0,527800000,3791814,12984,380324,2127603,2507927,,,,
MND,HASTC,0.65,15.4,334%,532%,-0.18,2194475,2194475,0,0,21944750,0,0,26650,15725,42375,,,,
MPC,HASTC,2.93,12.3,707%,1128%,1.21,200000000,200000000,0,34300000,7200000000,14341344,585413,5187932,2966777,8275977,,,,
MPT,HASTC,-0.10,-16.0,-80%,-91%,1.93,17107164,17107164,0,4704000,27371463,14186,0,187863,27862,215725,,,,
MPY,HASTC,1.14,7.0,731%,1014%,-0.23,6143000,6143000,0,0,49144000,0,0,69144,26815,95959,,,,
MQB,HASTC,0.90,10.6,266%,367%,-0.24,3675675,3675675,0,0,34918912,15812,1353,89866,33774,123640,,,,
MQN,HASTC,6.94,4.9,1239%,1541%,0.75,3060353,3060353,0,0,104664075,0,0,137909,33613,171522,,,,
MRF,HASTC,3.54,14.7,998%,1672%,2.34,3675404,3675404,0,0,191121008,0,0,77818,52548,130366,,,,
MSB,HOSE,,0.0,0%,0%,1.60,1175000000,1175000000,0,0,33076249552,0,0,,,,,,,
MSH,HOSE,5.20,12.2,956%,1694%,1.24,50009400,50009400,0,0,3165594982,3823945,92884,1534319,1185122,2719441,,,,
MSN,HOSE,1.28,93.0,129%,590%,1.23,1168946447,1168946447,0,363899221,139104627193,81185150,1499460,25405101,90861428,116266529,,,,
MSR,HASTC,0.05,388.0,13%,36%,1.48,989239878,989239878,0,453469,19191253256,9400205,49012,13717723,24823914,38541636,,,,
MST,HASTC,0.96,14.0,207%,660%,1.84,35519986,35519986,0,8820000,475967799,436688,34245,518720,1137263,1655984,,,,
MTA,HASTC,0.89,7.0,486%,732%,1.87,110113591,110113591,0,53955659,682704243,1295505,82835,1344224,680794,2025018,,,,
MTB,HASTC,0.27,36.7,218%,267%,0.23,6278259,6278259,0,0,62154762,0,0,64552,14583,79135,,,,
MTC,HASTC,-0.27,-35.2,-249%,-262%,0.00,5200000,5200000,0,2548000,49400000,0,0,54112,2893,57005,,,,
MTG,HASTC,-0.30,-12.3,-529%,-1002%,1.95,11999995,11999995,0,5768968,44399982,263430,1019,35403,31623,67027,,,,
MTH,HASTC,0.85,37.4,547%,617%,0.59,8618238,8618238,0,1951071,274059962,0,0,118547,15200,133748,,,,
MTL,HASTC,0.05,100.0,49%,50%,2.24,6000000,6000000,0,2940000,30000000,0,0,58570,1064,59634,,,,
MTM,HASTC,-5.27,-0.5,-553162%,51868%,0.00,31000000,31000000,0,15190000,80599997,0,-863,-31504,34458,2954,,,,
MTP,HASTC,1.19,9.1,169%,951%,1.00,6598367,6598367,0,0,71262365,267233,1292,82555,382783,465338,,,,
MTS,HASTC,1.15,10.9,167%,962%,0.28,15000000,15000000,0,0,187500000,3144530,0,178938,851174,1030112,,,,
MTV,HASTC,1.52,10.9,779%,862%,0.35,5400000,5400000,0,0,89640002,69269,4522,95114,10143,105257,,,,
MVB,HASTC,3.01,6.3,807%,1644%,1.71,105000000,105000000,0,0,1984499960,4909588,316102,1923045,1994620,3917665,,,,
MVC,HASTC,0.81,9.6,563%,708%,1.13,100000000,100000000,0,0,780000019,482247,0,1149758,297173,1446931,,,,
MVN,HASTC,-0.04,-417.5,-15%,-39%,0.71,1069300000,1069300000,0,0,17857310816,7967505,-56998,9658327,15127251,24785579,,,,
MVY,HASTC,0.83,28.0,181%,506%,0.59,5969946,5969946,0,0,138502752,0,0,98043,175893,273936,,,,
MWG,HOSE,5.98,27.0,827%,2433%,1.19,690208401,690600962,392561,71975597,111670173448,111283953,4124217,16953524,32931984,49885508,,,,
MXC,HASTC,,0.0,0%,0%,0.00,700938,700938,0,0,14229041,0,0,6021,21429,27450,,,,
MXX-X,HASTC,0.00,0.0,0%,0%,0.00,0,0,0,0,0,0,0,,,,,,,
NAB,HASTC,2.71,6.9,77%,1514%,1.86,389005328,389005328,0,0,7235499249,9697850,1054472,6966721,130585595,137552316,,,,
NAC,HASTC,2.63,1.1,529%,2007%,0.01,2835000,2835000,0,0,8221500,0,0,37118,103788,140906,,,,
NAF,HOSE,1.32,21.8,388%,771%,0.87,44439850,44439850,0,14700000,1279867646,1227526,58711,761225,752328,1513553,,,,
NAG,HASTC,0.72,9.6,129%,528%,1.01,15888636,15888636,0,7276293,109631590,1160340,11469,217177,671146,888323,,,,
NAP,HASTC,693.00,0.0,5%,6%,1.22,21517200,21517200,0,10543428,213020272,205102,0,240745,40155,280900,,,,
NAS,HASTC,-0.05,-600.0,-10%,-24%,0.47,8315764,8315764,0,0,249472920,662509,25208,190568,255226,445793,,,,
NAU,HASTC,0.00,0.0,0%,0%,0.24,3669999,3669999,0,0,35231992,15840,0,120224,49853,170077,,,,
NAV,HOSE,3.07,5.6,1385%,2160%,1.01,8000000,8000000,0,3920000,136800003,59339,0,113838,63737,177575,,,,
NAW,HASTC,0.02,470.0,9%,19%,0.87,37385983,37385983,0,0,351428226,264091,0,374975,430085,805061,,,,
NBB,HOSE,3.86,6.9,970%,2195%,1.13,100196856,100336256,139400,28577388,2658910784,3897932,387163,1763690,2229186,3992876,,,,
NBC,HASTC,1417.00,0.0,1%,11%,1.30,36999124,36999124,0,18129570,403290437,1951681,0,476027,3266744,3742770,,,,
NBE,HASTC,2.05,5.6,1130%,1411%,0.62,5000000,5000000,0,0,57500000,4414,0,72696,18092,90788,,,,
NBP,HASTC,2.61,5.1,874%,1257%,1.21,12865500,12865500,0,6304095,171111152,896803,0,267259,116935,384193,,,,
NBR,HASTC,2.20,4.1,402%,1640%,0.93,1806000,1806000,0,884940,16254000,0,0,24261,74700,98961,,,,
NBT,HASTC,1706.00,0.0,10%,13%,0.81,29400000,29400000,0,13720000,399840011,193707,0,387839,133564,521403,,,,
NBW,HASTC,1.62,11.7,625%,1025%,1.19,10900000,10900000,0,4924800,207100000,750395,0,172095,110093,282188,,,,
NCP,HASTC,-3.31,-2.0,-1179%,-26934%,0.86,196980622,196980622,0,0,1280374043,3941327,-464269,242143,5289045,5531188,,,,
NCS,HASTC,-4.04,-4.6,-1301%,-5427%,0.99,17949098,17949098,0,3786987,332058313,183451,0,133694,423915,557609,,,,
NCT,HOSE,7791.00,0.0,39%,44%,0.49,26166940,26166940,0,12821800,1850002578,676992,0,460460,62265,522725,,,,
ND2,HASTC,3.07,9.1,856%,2191%,0.76,49993960,49993960,0,20349328,1399830880,406080,0,700002,1092568,1792570,,,,
NDC,HASTC,12.61,6.5,2018%,2496%,2.53,5680000,5680000,0,2781300,466327991,0,0,286897,67919,354816,,,,
NDF,HASTC,1.12,1.2,888%,1013%,1.64,7853800,7853800,0,3848362,10209940,45936,0,87096,12253,99349,,,,
NDN,HASTC,5.94,4.0,1652%,3609%,1.60,62311556,62311556,0,20647127,1464321566,910131,321887,1025378,1214593,2239971,,,,
NDP,HASTC,1.82,14.3,756%,928%,0.44,11100000,11100000,0,2719500,289710004,290342,0,217953,49462,267415,,,,
NDT,HASTC,2.06,5.7,244%,1189%,1.89,13600000,13600000,0,0,160480003,1109112,28068,235992,912063,1148055,,,,
NDW,HASTC,0.83,10.6,592%,749%,-0.24,34311748,34311748,0,0,301943389,248938,0,382179,101352,483532,,,,
NDX,HASTC,0.90,8.4,270%,428%,1.23,6087557,6087557,0,2381298,46265433,76042,3415,127430,74549,201979,,,,
NED,HASTC,3.77,2.2,1710%,3216%,1.47,40500000,40500000,0,0,332099992,98005,152457,475098,418387,893485,,,,
NET,HASTC,5.97,10.6,1895%,3188%,0.72,22398374,22398374,0,7839457,1411097562,1514353,0,419655,286182,705838,,,,
NFC,HASTC,0.63,16.5,450%,536%,0.08,15731260,15731260,0,7708317,163605098,428389,0,183877,35020,218897,,,,
NGC,HASTC,-3.09,-2.1,-1486%,9088%,0.00,2299854,2299854,0,979972,14949051,17045,0,-7815,55614,47799,,,,
NHA,HOSE,1.32,18.2,919%,1111%,1.86,23744965,23744965,0,5684000,569879160,169414,0,282843,58962,341805,,,,
NHC,HASTC,3.04,12.0,1335%,1462%,0.81,3041542,3041542,0,1490355,111320433,58822,9239,63195,6027,69222,,,,
NHH,HOSE,3.26,15.3,631%,1934%,1.31,36440000,36440000,0,0,1818356056,1298734,11682,613924,1269384,1883308,,,,
NHP,HASTC,-0.95,-1.3,-942%,-1573%,1.54,27576490,27576490,0,8553146,33091789,0,0,167347,111952,279300,,,,
NHT,HASTC,3.73,9.0,638%,1704%,1.25,15387070,15387070,0,0,518544271,926191,57331,336526,561791,898317,,,,
NHV,HASTC,1.81,11.0,1078%,1169%,-0.07,3223600,3223600,0,0,64472000,24616,425,49839,4175,54014,,,,
NJC,HASTC,3.73,3.7,411%,2124%,1.02,3000000,3000000,0,0,41099999,0,0,52722,219616,272338,,,,
NKG,HOSE,3.15,10.0,567%,1636%,1.72,181999867,181999867,0,24516836,5732995810,14016108,0,3499808,6601099,10100906,,,,
NLG,HOSE,4.11,9.6,551%,1112%,0.86,265270660,275270660,10000000,69636109,10900717716,2079586,1089622,9800568,9961877,19762445,,,,
NLS,HASTC,1.28,4.1,442%,1092%,0.45,5009800,5009800,0,2454802,26050959,0,0,58906,86637,145544,,,,
NMK,HASTC,1.51,5.2,158%,922%,1.02,2700000,2700000,0,1220000,21330000,0,0,44119,212539,256658,,,,
NNB,HASTC,0.50,19.8,129%,494%,0.00,15080000,15080000,0,0,149291994,154094,0,152639,432924,585564,,,,
NNC,HOSE,5.26,4.5,3082%,3895%,0.87,21920000,21920000,0,8055698,518407992,361164,0,296271,78155,374426,,,,
NNG,HASTC,0.92,11.5,328%,599%,1.34,81570988,81570988,0,25531183,864652504,1692314,0,1256471,1035905,2292377,,,,
NNQ,HASTC,-0.18,-40.6,-183%,-208%,0.00,1281303,1281303,0,0,9353512,0,0,11130,1463,12593,,,,
NNT,HASTC,5.55,5.0,1343%,2697%,1.07,9490841,9490841,0,4258563,265743548,0,0,195457,196912,392369,,,,
NOS,HASTC,-10.90,-0.1,-2543%,521%,1.46,20056000,20056000,0,9827440,20056000,205939,0,-4195885,5055297,859412,,,,
NQB,HASTC,0.40,42.0,271%,382%,-0.03,17230204,17230204,0,6550504,289467414,95923,0,182637,74883,257520,,,,
NQN,HASTC,0.73,23.3,314%,623%,0.56,50831593,50831593,0,0,864137081,592465,0,593482,583693,1177175,,,,
NQT,HASTC,0.76,11.8,531%,679%,-0.23,18233269,18233269,0,0,164099421,119154,0,203917,56707,260623,,,,
NRC,HASTC,3.58,4.6,563%,726%,1.38,19312305,19312305,0,0,320584270,198085,69222,954053,276423,1230476,,,,
NS2,HASTC,0.23,36.5,102%,227%,1.28,56800000,56800000,0,0,477119978,444867,0,584229,723513,1307741,,,,
NS3,HASTC,0.98,19.8,229%,643%,2.01,7919999,7919999,0,0,153647978,79387,3575,120402,217583,337985,,,,
NSC,HASTC,11.80,6.7,1122%,1695%,0.75,17586988,17586988,0,7494550,1389372052,1814149,207555,1224210,625534,1849744,,,,
NSG,HASTC,-0.29,-34.1,-168%,-302%,0.50,8639208,8639208,0,4233211,85528156,0,0,83594,66727,150321,,,,
NSH,HASTC,0.37,16.8,84%,315%,2.71,20693437,20693437,0,0,128299305,930021,0,243112,673302,916414,,,,
NSL,HASTC,2.91,2.4,1255%,1651%,0.42,10000000,10000000,0,0,70000000,28124,0,109349,34497,143845,,,,
NSS,HASTC,0.00,0.0,47%,52%,-0.01,10263942,10263942,0,0,41055768,0,0,260817,30133,290951,,,,
NST,HASTC,0.55,12.7,226%,379%,1.77,11202003,11202003,0,4648116,78414021,532621,0,163771,110787,274558,,,,
NT2,HOSE,1.95,9.4,815%,1360%,0.86,287876029,287876029,0,139589254,5296918824,6008513,0,4124577,2762191,6886768,,,,
NTB,HASTC,-14.16,0.0,-3794%,3034%,2.28,39779577,39779577,0,19341062,27845703,-2816,0,-1855835,3340114,1484279,,,,
NTC,HASTC,12.84,14.7,688%,3872%,1.21,23999980,23999980,0,0,4533596076,290046,0,795759,3683753,4479512,,,,
NTF,HASTC,0.41,99.3,178%,297%,0.01,6000000,6000000,0,0,244200005,0,0,82834,55497,138331,,,,
NTH,HASTC,3.85,8.7,1547%,2566%,0.51,10802053,10802053,0,0,361868776,107393,0,162292,106841,269134,,,,
NTL,HOSE,5.10,5.2,1695%,2530%,1.29,58379900,60989950,2610050,31164000,1604035638,661294,0,1177585,580156,1757741,,,,
NTP,HASTC,4.26,12.1,1159%,1845%,1.06,117796183,117796183,0,36439980,6090062751,4750877,0,2718330,1609140,4327470,,,,
NTR,HASTC,2.45,1.5,361%,1871%,-0.24,1492000,1492000,0,0,5371200,934,0,19541,81712,101253,,,,
NTT,HASTC,-1.21,-4.2,-335%,-1993%,0.36,18500000,18500000,0,0,94349998,778741,0,112482,556418,668899,,,,
NTW,HASTC,1.21,16.1,629%,711%,1.98,10000000,10000000,0,55701,195000000,0,0,170598,22213,192812,,,,
NUE,HASTC,1.01,9.1,518%,864%,2.03,6000000,6000000,0,0,55199999,0,0,70033,46648,116681,,,,
NVB,HASTC,0.02,855.0,1%,25%,1.19,487654914,487654914,0,90306465,8338899215,6149745,10852,4284439,76900294,81184733,,,,
NVL,HOSE,4.24,24.3,268%,1089%,0.79,984729142,984729142,0,0,101427101626,8715990,4111161,37758921,115907334,153666254,,,,
NVP,HASTC,0.19,33.2,105%,159%,0.00,10963000,10963000,0,0,69066902,0,0,130062,66914,196975,,,,
NVT,HOSE,0.00,0.0,4%,5%,1.74,90500000,90500000,0,44345000,819025017,192148,218,398187,137604,535791,,,,
NWT,HASTC,0.15,14.7,75%,141%,0.60,8500000,8500000,0,4165000,18700000,0,0,89542,79515,169057,,,,
OCB,HOSE,3.34,8.5,228%,1983%,1.55,1095906343,1095906343,0,0,31014148671,10962663,3661378,18463379,141834030,160297409,,,,
OCH,HASTC,0.22,33.2,162%,252%,1.57,200000000,200000000,0,98000000,1460000038,845177,43223,1715222,951755,2666977,,,,
OGC,HOSE,0.22,23.5,179%,552%,1.81,300000000,300000000,0,147000000,1553999949,862179,66780,1209240,2518112,3727351,,,,
OIL,HASTC,0.40,30.3,184%,406%,1.91,1088425100,1088425100,0,0,13169944125,44095897,435623,10737410,12933431,23670841,,,,
ONE,HASTC,0.78,6.9,130%,632%,1.03,7960310,7960310,0,3546118,42985675,666159,0,98838,380799,479637,,,,
ONW,HASTC,-2.30,-3.3,-24263%,-450294%,0.47,2000000,2000000,0,0,15000000,0,0,273,1415,1688,,,,
OPC,HOSE,4.18,13.6,881%,1485%,0.66,26577280,26577280,0,12402731,1512247273,979258,111017,747347,512122,1259469,,,,
ORS,HASTC,3.79,5.8,595%,1434%,1.92,43960000,43960000,0,11760000,967120000,561816,151636,1057385,1491362,2548748,,,,
PAC,HOSE,3.41,10.9,633%,2054%,0.91,46479511,46475609,-3902,22771136,1719597533,3568351,0,770478,1728113,2498591,,,,
PAI,HASTC,0.80,11.4,372%,715%,-0.24,4235290,4235290,0,0,38541141,80042,808,47382,43690,91072,,,,
PAN,HASTC,0.97,26.4,163%,320%,1.53,201788920,209073750,7284830,49427523,5352288080,8950347,194757,6088491,5840520,11929011,,,,
PAS,HASTC,0.26,51.9,106%,229%,0.67,28049968,28049968,0,0,378674568,910245,0,322072,374480,696551,,,,
PBC,HASTC,0.51,33.5,87%,204%,1.94,40000000,40000000,0,0,684000015,757035,20265,992564,1338467,2331031,,,,
PBP,HASTC,1.15,7.7,531%,882%,1.26,4799516,4799516,0,1999812,42235742,292990,0,62491,41314,103805,,,,
PBT,HASTC,0.75,13.3,499%,683%,0.55,17522284,17522284,0,0,175222840,432500,0,193591,71586,265176,,,,
PC1,HOSE,2.58,9.7,392%,956%,1.25,191188715,191188715,0,0,4760598931,6834655,492684,5152089,7425038,12577127,,,,
PCC,HASTC,1.44,10.1,168%,675%,1.26,11500000,11500000,0,0,167900004,0,0,245619,738238,983856,,,,
PCE,HASTC,1786.00,0.0,5%,11%,1.02,10000000,10000000,0,4900000,128000002,2034811,0,168371,161885,330256,,,,
PCF,HASTC,0.10,63.0,85%,133%,0.48,3000000,3000000,0,0,18900001,367490,0,23809,31534,55343,,,,
PCG,HASTC,0.40,15.0,331%,452%,0.86,18870000,18870000,0,9246300,113220000,299859,0,165714,60164,225877,,,,
PCM,HASTC,0.03,376.7,16%,21%,1.12,4000000,4000000,0,0,45200001,119483,22,63769,17487,81256,,,,
PCN,HASTC,-0.75,-4.7,-1051%,-3544%,0.91,3924550,3924550,0,1923029,13735925,27169,0,8347,19803,28150,,,,
PCT,HASTC,0.63,10.0,400%,494%,1.10,23000000,23000000,0,11270000,144900004,443423,0,295332,69245,364577,,,,
PDB,HASTC,0.73,12.7,253%,466%,1.06,8909981,8909981,0,3969000,82862825,258752,6526,139900,118412,258312,,,,
PDC,HASTC,-0.13,-41.5,-67%,-141%,1.05,15000000,15000000,0,7350000,81000001,36903,0,139441,154586,294027,,,,
PDN,HOSE,8996.00,0.0,16%,25%,0.68,18521954,18521954,0,6050513,1642897263,841176,0,659243,384177,1043420,,,,
PDR,HOSE,3.32,26.7,756%,1912%,1.10,435786241,435786241,0,98886885,38610660288,3866494,1313355,6867629,10495782,17363411,,,,
PDT,HASTC,9.43,1.1,15%,84%,2.40,773526,773526,0,0,7735260,7552919,0,868685,3969251,4837937,,,,
PDV,HASTC,0.42,14.3,121%,303%,1.93,23500000,23500000,0,0,141000000,881052,0,325691,491786,817477,,,,
PEC,HASTC,-1.92,-3.1,-242%,-1022%,0.98,3115409,3115409,0,1327839,18692454,0,0,58686,188906,247592,,,,
PEG,HASTC,-0.45,-16.2,-726%,-1550%,1.29,231898919,231898919,0,0,1692862153,2352827,-88422,679562,770892,1450454,,,,
PEN,HASTC,1.41,5.2,207%,887%,0.54,5000000,5000000,0,2450000,36500001,287918,0,79740,261276,341016,,,,
PEQ,HASTC,2.93,13.8,919%,1727%,0.57,4965514,4965514,0,1188054,201103317,0,0,84285,74068,158353,,,,
PET,HOSE,1.69,11.7,226%,842%,1.94,86600124,86600124,0,42434060,1706022509,15551959,146104,1734328,4728517,6462844,,,,
PFL,HASTC,-1.20,-2.2,-1590%,-2703%,2.74,50000000,50000000,0,24427400,135000002,34838,0,222618,155782,378400,,,,
PGB,HASTC,0.58,32.2,47%,438%,1.57,300000000,300000000,0,0,5610000229,2389056,174954,3995295,32886796,36882091,,,,
PGC,HOSE,2.66,6.2,682%,1825%,0.94,55693751,55697104,3353,29567892,924571948,3901310,96048,810219,1357844,2168063,,,,
PGD,HOSE,2.18,13.3,676%,1432%,1.13,89999025,89999025,0,44099522,2609971725,7748662,0,1367906,1529593,2897499,,,,
PGI,HOSE,2.15,10.3,286%,1240%,0.71,88491993,88604883,112890,34777366,1971458647,3550309,190557,1536839,5132333,6669172,,,,
PGN,HASTC,2.63,5.7,526%,1077%,1.41,3300000,3300000,0,0,49500000,160985,0,80498,84294,164792,,,,
PGS,HASTC,1.88,9.5,380%,937%,1.37,50000000,50000000,0,24500000,889999962,5131516,0,1001538,1469640,2471178,,,,
PGT,HASTC,-0.27,-16.7,-440%,-639%,1.84,9241801,9241801,0,4528482,41588104,10627,-2473,38723,17550,56273,,,,
PGV,HASTC,2937.00,0.0,4%,20%,1.53,1069969577,1069969577,0,0,18938462329,38398659,3142727,15754243,57041199,72795442,,,,
PHC,HOSE,0.38,48.9,50%,242%,1.00,25734340,25734340,0,5389988,478658734,1435290,9747,403264,1565581,1968845,,,,
PHH,HASTC,1.36,9.6,315%,643%,0.17,16428000,18214000,1786000,5544950,236782000,447429,22345,347597,361208,708806,,,,
PHN,HASTC,5.25,6.6,2805%,3407%,0.87,7253911,7253911,0,0,250985310,360925,0,111813,23994,135807,,,,
PHP,HASTC,1.51,13.9,838%,1029%,1.24,326960000,326960000,0,160210400,6866160000,2102707,493929,4801667,1090668,5892335,,,,
