MaCK,SanCK,EPS,PE,ROA,ROE,Beta,KhoiLuongLuuHanh,KhoiLuongNiemYet,CoPhieuQuy,NuocNgoaiSoHuu,VonThiTruong,DoanhThu-ttm(Trieu),LNST-ttm,VonCSH,TongNo,TongTaiSan,,,,
APH,HOSE,0.68,66.8,84%,211%,1.19,139362459,139362459,0,0,6327055851,9329270,94154,4468034,6720733,11188767,,,,
API,HASTC,1.80,9.3,243%,1183%,1.70,36400000,36400000,0,17836000,611519972,602736,65536,554103,2146062,2700165,,,,
APL,HASTC,2.03,8.7,193%,1473%,0.65,1200000,1200000,0,0,21120000,0,0,16547,109456,126003,,,,
APP,HASTC,0.41,18.0,190%,391%,1.85,4724632,4724632,0,1942340,34962277,192083,0,49577,52119,101696,,,,
APS,HASTC,2396.00,0.0,21%,22%,2.30,39000000,39000000,0,39000000,432900015,181352,93435,433917,9386,443303,,,,
APT,HASTC,-23.41,-0.2,-12339%,2427%,0.00,8800000,8800000,0,0,31679999,248664,-47476,-849055,1016047,166992,,,,
AQN,HASTC,-0.05,-190.0,-12%,-45%,-0.13,1511097,1511097,0,0,14355422,0,0,18264,47569,65833,,http://www.agtex28qng.com/,,
ARM,HASTC,0.32,150.0,60%,266%,0.65,3111283,3111283,0,1270442,149341584,216197,0,36814,127321,164135,,,,
ART,HASTC,0.27,30.7,234%,235%,2.55,96922509,96922509,0,0,804456843,69085,26151,1110621,7911,1118533,,,,
ASA,HASTC,0.01,410.0,9%,10%,0.88,10000000,10000000,0,4900000,40999999,109781,0,104261,5946,110207,,,,
ASD,HASTC,0.92,8.7,111%,738%,0.25,4000000,4000000,0,1960000,32000000,39334,31,49862,281264,331125,,,,
ASG,HASTC,1.50,18.1,483%,716%,0.89,63044964,63044964,0,0,1708518548,657783,94626,1321586,636044,1957630,,,,
ASM,HOSE,1.81,7.4,260%,666%,1.91,258867849,258867849,0,107770534,3468829078,12264333,467355,7022257,10938135,17960392,,,,
ASP,HOSE,1.33,5.3,265%,965%,1.23,37339929,37339929,0,18296565,264740102,2670929,44355,513849,1360361,1874210,,,,
AST,HOSE,-2.07,-23.4,-1584%,-1831%,0.97,45000000,45000000,0,0,2182500000,221433,-93151,508625,79593,588218,,,,
ATA,HASTC,-0.42,-3.8,-1933%,106%,2.76,11999998,11999998,0,5879999,19199997,53286,0,-480109,506389,26280,,,,
