MaCK,SanCK,EPS,PE,ROA,ROE,Beta,KhoiLuongLuuHanh,KhoiLuongNiemYet,CoPhieuQuy,NuocNgoaiSoHuu,VonThiTruong,DoanhThu-ttm(Trieu),LNST-ttm,VonCSH,TongNo,TongTaiSan,,,,
APH,HOSE,0.68,67.3,84%,211%,1.15,139362459,139362459,0,0,6375832499,9329270,94154,4468034,6720733,11188767,,,,
API,HASTC,1.80,9.5,243%,1183%,1.66,36400000,36400000,0,17836000,622440014,602736,65536,554103,2146062,2700165,,,,
APL,HASTC,2.03,8.7,193%,1473%,0.65,1200000,1200000,0,0,21120000,0,0,16547,109456,126003,,,,
APP,HASTC,0.41,17.6,190%,391%,1.87,4724632,4724632,0,1942340,34017349,192083,0,49577,52119,101696,,,,
APS,HASTC,2396.00,0.0,21%,22%,2.31,39000000,39000000,0,39000000,444599985,181352,93435,433917,9386,443303,,,,
APT,HASTC,-23.41,-0.2,-12339%,2427%,0.00,8800000,8800000,0,0,31679999,248664,-47476,-849055,1016047,166992,,,,
AQN,HASTC,-0.05,-190.0,-12%,-45%,-0.13,1511097,1511097,0,0,14355422,0,0,18264,47569,65833,,http://www.agtex28qng.com/,,
ARM,HASTC,0.32,150.0,60%,266%,0.65,3111283,3111283,0,1270442,149341584,216197,0,36814,127321,164135,,,,
ART,HASTC,0.27,31.9,234%,235%,2.55,96922509,96922509,0,0,833533614,69085,26151,1110621,7911,1118533,,,,
ASA,HASTC,0.01,410.0,9%,10%,0.90,10000000,10000000,0,4900000,40999999,109781,0,104261,5946,110207,,,,
ASD,HASTC,0.92,8.7,111%,738%,0.25,4000000,4000000,0,1960000,32000000,39334,31,49862,281264,331125,,,,
ASG,HASTC,1.50,18.1,483%,716%,0.87,63044964,63044964,0,0,1714823069,657783,94626,1321586,636044,1957630,,,,
ASM,HOSE,1.81,7.0,260%,666%,1.91,258867849,258867849,0,107770534,3287621633,12264333,467355,7022257,10938135,17960392,,,,
ASP,HOSE,1.33,5.3,265%,965%,1.23,37339929,37339929,0,18296565,262126301,2670929,44355,513849,1360361,1874210,,,,
AST,HOSE,-2.07,-23.2,-1584%,-1831%,0.96,45000000,45000000,0,0,2160000000,221433,-93151,508625,79593,588218,,,,
ATA,HASTC,-0.42,-3.6,-1933%,106%,2.77,11999998,11999998,0,5879999,17999997,53286,0,-480109,506389,26280,,,,
ATB,HASTC,-4.96,-0.3,-5099%,-12671%,3.37,13884000,13884000,0,0,19437600,102,0,54318,80668,134986,,,,
ATD,HASTC,0.25,38.4,56%,445%,0.00,1544300,1544300,0,0,14825281,0,0,8625,59728,68353,,,,
ATG,HASTC,-0.15,-9.3,-121%,-183%,0.70,15220000,15220000,0,7457800,21308000,0,0,121775,61451,183226,,,,
ATS,HASTC,-0.16,-210.0,-101%,-131%,-0.10,3500000,3500000,0,1715000,117599995,36614,0,41752,12181,53933,,,,
AUD-X,HASTC,0.00,0.0,0%,0%,0.00,0,0,0,0,0,0,0,,,,,,,
AUM,HASTC,-0.24,-43.8,-183%,-242%,0.00,1000000,1000000,0,0,10500000,16798,578,10089,3220,13309,,,,
AVC,HASTC,4.27,6.4,2179%,2386%,0.21,75052052,75052052,0,0,2048920962,683172,0,1343039,128052,1471091,,,,
AVF,HASTC,-2.39,-0.3,-19197%,528%,2.08,43338000,43338000,0,21171609,26002801,45086,0,-1960621,2014522,53901,,,,
B82,HASTC,0.13,6.9,14%,124%,0.00,5000000,5000000,0,2450000,4500000,105938,0,50628,411681,462309,,,,
BAB,HASTC,0.90,25.8,58%,743%,1.05,708500000,708500000,0,0,16437200541,9597746,635172,8547396,100261776,108809172,,,,
BAL,HASTC,-0.24,-37.9,-160%,-180%,0.98,2000000,2000000,0,0,18200001,99345,5017,27037,3481,30518,,,,
BAX,HASTC,17.88,3.7,1611%,5248%,1.14,8200000,8200000,0,0,541200000,318184,0,279372,630460,909833,,,,
BBC,HASTC,6.57,9.6,687%,913%,1.16,15321602,15371192,49590,7556183,968385096,1385461,0,1103191,361773,1464965,,,,
BBH,HASTC,0.00,0.0,6%,7%,0.59,2047932,2047932,0,0,16178663,0,0,80109,15728,95837,,,,
BBM,HASTC,1.40,7.9,724%,1066%,0.62,2000000,2000000,0,0,22000000,48980,-2331,26359,12459,38818,,,,
BBS,HASTC,1.18,9.0,182%,651%,0.68,6000000,6000000,0,2058000,63600002,505021,0,108636,280557,389193,,,,
BBT,HASTC,3.74,5.6,1532%,2066%,1.60,6840000,6840000,0,184460,143640000,64608,-13500,123867,43170,167037,,,,
BCB,HASTC,4.23,0.9,627%,2869%,0.40,5000000,5000000,0,0,18000000,82534,0,73666,263387,337053,,,,
BCC,HASTC,1.14,9.5,332%,665%,1.61,123209812,123209812,0,46874084,1330665993,4308896,140742,2117019,2122363,4239382,,,,
BCE,HOSE,1420.00,0.0,4%,10%,1.27,30000000,30000000,0,14700000,316500006,444687,0,417748,547148,964896,,,,
BCF,HASTC,3693.00,0.0,25%,33%,0.72,25300470,21083725,0,0,883408110,590071,20977,296207,92241,388448,,,,
BCG,HOSE,3.16,3.9,113%,694%,1.61,108005760,108005760,0,51452822,1328470869,2151700,331487,4777428,24444070,29221497,,,,
BCM,HOSE,1970.00,0.0,5%,13%,0.99,1035000000,1035000000,0,0,43262999210,6835471,2038712,17032817,29332355,46365172,,,,
BCP,HASTC,-0.30,-38.3,-1663%,-2502%,0.55,38320000,38320000,0,1962100,440680000,48820,1375,53622,14968,68590,,,,
BCV,HASTC,-1.04,-20.7,-863%,-1314%,0.00,1800000,1800000,0,0,38700000,3755433,21559,2353028,5781510,8134539,,,,
BDB,HASTC,1.22,8.7,742%,1092%,-0.01,1126474,1126474,0,551972,11940625,62608,0,12537,5904,18441,,,,
BDG,HASTC,7.18,6.0,1438%,2912%,1.14,12000000,12000000,0,5880000,516000000,1184954,86115,295766,303138,598904,,,,
BDT,HASTC,2.63,9.6,877%,1785%,1.25,38600000,38600000,0,0,972720029,606348,0,568079,588420,1156499,,,,
BDW,HASTC,2.01,7.6,641%,1407%,0.71,12410800,12410800,0,6075475,189885242,218086,0,177302,212153,389456,,,,
BED,HASTC,2.22,16.3,1165%,1582%,0.08,3000000,3000000,0,1470000,108600002,77884,0,42076,15064,57140,,,,
BEL,HASTC,0.88,13.0,698%,805%,0.38,6000000,6000000,0,2940000,68399998,27738,0,65441,10022,75463,,,,
BFC,HOSE,3.82,7.4,589%,1457%,1.43,47639993,47639993,0,23343600,1341065785,6421920,182120,1250263,1842658,3092921,,,,
BGW,HASTC,0.53,34.0,452%,505%,-0.06,18149446,18149446,0,0,326690028,148889,0,191687,22595,214282,,,,
BHA,HASTC,1.28,7.8,467%,1270%,0.76,66000000,66000000,0,0,660000000,314705,0,664066,1140329,1804395,,,,
BHC,HASTC,0.24,9.2,215%,-139%,0.75,4500000,4500000,0,2193600,9900000,192529,0,-78768,129699,50931,,,,
BHG,HASTC,0.16,63.8,42%,68%,0.29,3856665,3856665,0,0,39337982,26971,0,93011,58848,151858,,,,
BHK,HASTC,1.47,7.1,723%,1114%,0.94,3986000,3986000,0,0,41853000,0,0,48724,59590,108314,,,,
BHN,HOSE,3.68,14.8,1302%,1668%,1.04,231800000,231800000,0,0,12633100000,8135631,853708,5118495,1439336,6557831,,,,
BHP,HASTC,0.29,24.1,122%,172%,3.00,9179290,9179290,0,4497852,64255030,301508,11950,155653,63090,218743,,,,
BHT,HASTC,-1.46,-9.1,-417%,3078%,0.68,4600000,4565000,0,2254000,60714501,218,0,-21821,182745,160924,,,,
BIC,HOSE,2.56,9.0,504%,1204%,1.10,117276895,117276895,0,57465678,2703232340,2734237,302936,2493119,3457204,5950324,,,,
BID,HOSE,2.03,20.2,54%,1028%,1.34,4160245514,4160245514,0,1025614600,170986084277,98446003,8662994,82263294,1476624113,1558887407,,,,
BII,HASTC,1.57,5.4,863%,1589%,3.02,57680000,57680000,0,28263200,490280000,97133,90537,569811,479086,1048897,,,,
BIO,HASTC,0.60,115.0,490%,548%,1.72,8562000,8562000,0,0,590778000,0,0,92923,11043,103966,,,,
BKC,HASTC,-3.18,-1.4,-967%,-3052%,1.03,11345328,11541528,196200,5751486,53091028,206047,0,118178,254775,372953,,,,
BKG,HOSE,0.62,16.4,442%,527%,0.74,32000000,32000000,0,0,324799988,300808,26348,383402,66896,450298,,,,
BKH,HASTC,2.66,8.0,605%,950%,1.44,1750000,1750000,0,0,37274999,0,0,48916,27887,76803,,,,
BLF,HASTC,-0.48,-6.5,-106%,-356%,0.15,11500000,11500000,0,5145000,35649999,474251,0,155983,367757,523740,,,,
BLI,HASTC,0.99,13.1,311%,912%,1.51,68800000,68800000,0,24489645,894400000,1367729,68118,747277,1440542,2187819,,,,
BLN,HASTC,0.06,151.7,13%,52%,0.72,5000000,5000000,0,0,45500002,0,0,54308,165471,219779,,,,
BLT,HASTC,0.00,0.0,8%,10%,0.35,4000000,4000000,0,0,99599998,0,0,166575,27358,193933,,,,
BLU,HASTC,,0.0,0%,0%,0.00,1337600,1337600,0,0,13376000,0,0,,,,,,,
BLW,HASTC,0.79,21.6,678%,725%,-0.24,11168800,11168800,0,0,190986484,57849,8749,121655,8438,130092,,,,
BMC,HOSE,1.09,13.5,496%,663%,1.47,12392630,12392630,0,6072388,182171659,205729,0,203567,68808,272375,,,,
BMD,HASTC,2.68,1.9,760%,1996%,0.58,2753280,2753280,0,0,13766400,34495,1096,32705,53248,85953,,,,
BMF,HASTC,4.14,5.6,954%,1308%,1.61,4159600,4159600,0,0,95670800,1042493,6734,118799,51284,170083,,,,
BMG,HASTC,2.51,10.6,793%,1409%,-0.17,5292000,5292000,0,0,140238000,220725,0,94371,73402,167773,,,,
BMI,HOSE,2.38,16.9,325%,922%,1.38,91354037,91354037,0,40694445,3672432357,4535674,217728,2360777,4340622,6701399,,,,
BMJ,HASTC,3.60,3.6,1341%,2176%,0.99,6000000,6000000,0,2933900,77399998,68313,1527,99338,61876,161215,,,,
BMN,HASTC,1.60,9.9,507%,1467%,0.26,2750000,2750000,0,1347500,43450001,47578,-127,29798,44559,74357,,,,
BMP,HOSE,6.18,9.1,1741%,2101%,0.92,81259014,81860938,0,22284455,4600584778,4835367,153141,2391761,494636,2886397,,,,
BMS,HASTC,1766.00,0.0,15%,16%,2.38,57000000,50000000,0,0,580000019,486394,100660,648865,19605,668469,,,,
BMV,HASTC,0.14,42.9,92%,139%,0.73,24200000,24200000,0,0,145200000,638019,0,246293,126875,373168,,,,
BNA,HASTC,6.30,8.7,1240%,3043%,0.41,8000000,8000000,0,0,437600006,938004,40098,165651,240654,406305,,,,
BNW,HASTC,0.92,10.0,553%,820%,-0.18,37549391,37549391,0,0,345454390,197995,0,420721,203558,624279,,,,
BOT,HASTC,-1.92,-25.5,-630%,-2458%,0.46,48500000,48500000,0,0,2371650074,26559,0,378321,1096734,1475055,,,,
BPC,HASTC,1.02,9.7,199%,398%,0.93,3800000,3800000,0,1862000,37619999,253376,0,97434,98050,195484,,,,
BPW,HASTC,0.96,23.4,304%,922%,0.21,13203858,13203858,0,0,297086805,91185,0,136788,277956,414744,,,,
BQB,HASTC,-1.65,-3.2,-1720%,-1962%,1.25,5800000,5800000,0,0,30159999,27374,0,48769,6851,55619,,,,
BRC,HOSE,1791.00,0.0,7%,10%,0.69,12374997,12374997,0,6063748,158399964,299007,0,212175,85089,297264,,,,
BRL-X,HASTC,0.00,0.0,0%,0%,0.00,0,0,0,0,0,0,0,,,,,,,
BRR,HASTC,1005.00,0.0,7%,9%,1.62,112500000,112500000,0,0,1743750000,400445,0,1312306,220482,1532787,,,,
BRS,HASTC,3.26,6.7,1480%,2336%,0.17,4541950,4541950,0,0,99922900,64496,5407,63461,36688,100149,,,,
BSA,HASTC,1.36,10.1,522%,1079%,0.46,60018942,60018942,0,0,828261411,342455,0,759023,808968,1567991,,,,
BSC,HASTC,0.24,65.8,183%,197%,0.08,3150747,3150747,0,1543866,49781803,11069,910,37698,2844,40543,,,,
BSD,HASTC,4.11,8.5,619%,2002%,-0.17,3000000,3000000,0,0,105000000,0,0,61656,137605,199261,,,,
BSG,HASTC,-0.13,-75.4,-120%,-226%,1.25,60000000,60000000,0,0,588000011,444859,0,346976,307268,654244,,,,
BSH,HASTC,1.83,10.7,866%,1241%,0.39,18000000,18000000,0,0,351000000,592013,0,265649,114994,380643,,,,
BSI,HASTC,2.04,10.7,632%,1614%,1.85,122070078,122070078,0,42385000,2661127607,967645,249386,1545337,2400847,3946184,,,,
BSL,HASTC,0.80,12.3,566%,732%,0.74,45000000,45000000,0,0,441000009,705221,0,489920,144137,634057,,,,
BSP,HASTC,1.24,14.5,575%,689%,0.82,12500000,12500000,0,6125000,225000000,376414,0,225434,44709,270143,,,,
BSQ,HASTC,3.12,7.9,1045%,1961%,0.78,45000000,45000000,0,0,1102500000,1210690,0,716213,627975,1344188,,,,
BSR,HASTC,0.45,42.4,236%,422%,2.09,3100499616,3100499616,0,0,59219543848,61018040,1389630,32910836,26026165,58937000,,,,
BST,HASTC,1.60,8.4,1005%,1325%,0.71,1100000,1100000,0,539000,14850000,64245,0,13263,4228,17491,,,,
BT1,HASTC,2.11,7.7,582%,1062%,0.58,5250000,5250000,0,0,85574996,0,0,104127,86009,190136,,,,
BT6,HASTC,-2.49,-1.0,-921%,36137%,1.07,32993550,32993550,0,16166840,79184523,53562,0,17187,892025,909212,,,,
BTB,HASTC,0.10,65.0,30%,71%,1.02,7691226,7691226,0,0,49992969,139093,-1126,109780,193228,303009,,,,
BTCUSD-X,HASTC,0.00,0.0,0%,0%,0.00,0,0,0,0,0,0,0,,,,,,,
BTD,HASTC,6.16,5.5,510%,1453%,0.74,6414100,6414100,0,0,216155175,913018,39107,272130,503669,775800,,,,
BTG,HASTC,0.12,48.3,70%,72%,-0.22,1190000,1190000,0,583100,6902000,48674,-344,19378,627,20006,,,,
BTH,HASTC,0.30,40.3,517%,529%,0.95,46500000,46500000,0,1806,562650018,2666,0,260546,5940,266486,,,,
BTN,HASTC,-1.20,-2.5,-669%,-1175%,1.77,4465570,4465570,0,0,13396710,0,0,45676,34545,80222,,,,
BTP,HOSE,1.58,9.8,495%,737%,0.59,58085600,59285600,1200000,29637944,918926800,559177,0,1241488,606458,1847946,,,,
BTR,HASTC,2.18,4.5,385%,1715%,0.37,1850000,1850000,0,906500,18130000,25996,0,23557,81514,105071,,,,
BTS,HASTC,0.14,42.1,53%,126%,1.70,123559858,123559858,0,53437534,729003174,3057590,0,1409024,1968473,3377497,,,,
BTT,HOSE,0.75,70.7,206%,276%,0.47,13500000,13500000,0,5194000,715500000,134927,10089,366031,124587,490618,,,,
BTU,HASTC,2.25,5.6,1072%,1535%,0.77,3600000,3600000,0,1764000,45000000,38465,2002,52704,22769,75473,,,,
BTV,HASTC,-1.46,-17.8,-1151%,-1887%,0.57,25000000,25000000,0,0,650000000,356144,0,193130,123413,316543,,,,
BTW,HASTC,2.93,13.7,937%,1231%,0.66,9360000,9360000,0,2739600,374400000,433287,0,222650,70044,292694,,,,
BUD,HASTC,1.97,8.0,626%,1486%,2.15,10000000,10000000,0,0,158000002,0,0,132373,181712,314086,,,,
BVB,HASTC,0.77,25.1,40%,607%,2.16,317100000,317100000,0,0,6120029758,4291622,244105,4024644,57068762,61093406,,,,
BVG,HASTC,-0.61,-5.6,-360%,-838%,2.95,9750948,9750948,0,4768964,33153224,189164,-13505,70913,94194,165107,,,,
BVH,HOSE,2.55,20.0,129%,891%,1.43,742322764,742322764,0,333431002,37932692108,38791500,1954893,21267189,125336259,146603447,,,,
BVL,HASTC,,0.0,0%,0%,2.88,22000000,22000000,0,0,541200008,109207,944,268797,117284,386081,,,,
BVN,HASTC,-0.80,-10.4,-300%,-789%,1.00,5000000,5000000,0,2396800,41500001,0,0,50407,82151,132557,,,,
BVS,HASTC,3.03,9.4,608%,1127%,2.17,72213737,72223837,10100,35394629,2051156943,697804,219039,1942804,1658227,3601031,,,,
BWA,HASTC,0.88,11.4,606%,672%,1.43,2700000,2700000,0,1319400,27000000,0,0,35404,3849,39253,,,,
BWE,HOSE,3.86,9.5,676%,1661%,1.06,150000000,150000000,0,0,5512500000,2967697,579591,3488397,5079275,8567672,,,,
BWS,HASTC,2575.00,0.0,22%,24%,0.51,90000000,90000000,0,0,3195000000,672161,0,968030,74823,1042853,,,,
BXH,HASTC,0.73,16.4,268%,618%,0.35,4919665,4919665,0,1475899,59035980,212711,0,58120,75674,133794,,,,
BXT,HASTC,,0.0,0%,0%,0.00,63400,63400,0,0,672040,0,0,,,,,,,
C12,HASTC,0.71,6.5,38%,434%,0.56,4850000,4850000,0,0,22310000,455356,2926,79069,816632,895701,,,,
C21,HASTC,0.38,36.3,85%,106%,1.41,18619917,19619917,1000000,9474822,270754858,151564,7051,663249,169750,832999,,,,
C22,HASTC,2.62,5.0,496%,1289%,0.58,3550000,3550000,0,0,46150000,0,0,72126,115255,187382,,,,
C32,HOSE,4.55,5.0,738%,1225%,1.05,15030145,15030145,0,5488000,339681283,556663,68352,557797,368987,926784,,,,
C36,HASTC,0.89,9.9,79%,605%,0.27,1123500,1123500,0,0,9886800,0,0,16570,110461,127032,,,,
C47,HOSE,1.36,7.7,170%,825%,1.32,18722143,18722143,0,5880000,196582502,1327159,25507,309333,1186882,1496215,,,,
C4G,HASTC,0.63,14.6,85%,534%,1.72,100000000,100000000,0,0,919999981,2280833,62975,1179687,6236519,7416206,,,,
C69,HASTC,1.10,9.2,324%,460%,1.92,15000000,15000000,0,0,151500006,319104,0,358969,150745,509714,,,,
C71,HASTC,0.23,26.1,19%,203%,1.66,5000000,5000000,0,2450000,30000000,772443,2547,57222,552115,609337,,,,
C92,HASTC,0.33,13.3,50%,286%,1.68,5312920,5312920,0,2603330,23376849,185377,0,60793,285338,346132,,,,
CAB,HASTC,1.39,101.4,337%,1054%,0.00,45745876,45745876,0,0,6445593649,2278133,63660,603877,1283254,1887131,,,,
CAD,HASTC,-0.38,-3.2,-38%,315%,1.74,8799927,8799927,0,3628788,10559913,17191,0,-114858,1038350,923492,,,,
CAD-X,HASTC,0.00,0.0,0%,0%,0.00,0,0,0,0,0,0,0,,,,,,,
CAG,HASTC,0.27,60.4,241%,249%,1.22,13800000,13800000,0,0,224939989,52378,0,147469,4547,152017,,,,
CAM,HASTC,2.76,5.7,525%,2686%,0.00,1310700,1310700,0,0,20577990,44907,806,13490,55561,69051,,,,
