<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
000001.SS,20210505,3446.0701,3471.2400,3426.8501,3441.2800,310400,3446.0701,3471.2400,3426.8501,3441.2800,0,0,0
000001.SS,20210430,3468.3000,3469.0901,3426.8999,3446.8601,312700,3468.3000,3469.0901,3426.8999,3446.8601,0,0,0
000001.SS,20210429,3458.0801,3478.2300,3447.5901,3474.8999,276600,3458.0801,3478.2300,3447.5901,3474.8999,0,0,0
000001.SS,20210428,3432.1599,3457.0701,3423.3301,3457.0701,247400,3432.1599,3457.0701,3423.3301,3457.0701,0,0,0
000001.SS,20210427,3440.0901,3443.8501,3417.2600,3442.6101,253000,3440.0901,3443.8501,3417.2600,3442.6101,0,0,0
000001.SS,20210426,3484.1101,3497.1201,3438.5701,3441.1699,277000,3484.1101,3497.1201,3438.5701,3441.1699,0,0,0
000001.SS,20210425,3484.1101,3497.1201,3438.5701,3441.1699,277000,3484.1101,3497.1201,3438.5701,3441.1699,0,0,0
000001.SS,20210423,3462.0901,3482.3601,3456.3301,3474.1699,249400,3462.0901,3482.3601,3456.3301,3474.1699,0,0,0
000001.SS,20210422,3482.8301,3485.3601,3456.3201,3465.1101,251100,3482.8301,3485.3601,3456.3201,3465.1101,0,0,0
000001.SS,20210421,3456.3000,3481.2500,3450.1101,3472.9299,253800,3456.3000,3481.2500,3450.1101,3472.9299,0,0,0
000001.SS,20210420,3467.1499,3494.3000,3463.4600,3472.9399,285300,3467.1499,3494.3000,3463.4600,3472.9399,0,0,0
000001.SS,20210419,3427.5500,3479.0100,3414.3601,3477.5500,302700,3427.5500,3479.0100,3414.3601,3477.5500,0,0,0
000001.SS,20210418,3427.5500,3479.0100,3414.3601,3477.5500,302700,3427.5500,3479.0100,3414.3601,3477.5500,0,0,0
000001.SS,20210416,3407.1899,3432.6299,3394.1299,3426.6201,258600,3407.1899,3432.6299,3394.1299,3426.6201,0,0,0
000001.SS,20210415,3409.6101,3409.6101,3373.0901,3398.9900,234000,3409.6101,3409.6101,3373.0901,3398.9900,0,0,0
000001.SS,20210414,3397.0200,3420.0300,3392.9800,3416.7200,233200,3397.0200,3420.0300,3392.9800,3416.7200,0,0,0
000001.SS,20210413,3411.2900,3425.3899,3387.8999,3396.4700,270600,3411.2900,3425.3899,3387.8999,3396.4700,0,0,0
000001.SS,20210412,3445.9700,3456.1599,3403.8999,3412.9500,309600,3445.9700,3456.1599,3403.8999,3412.9500,0,0,0
000001.SS,20210411,3445.9700,3456.1599,3403.8999,3412.9500,309600,3445.9700,3456.1599,3403.8999,3412.9500,0,0,0
000001.SS,20210409,3475.4399,3475.4500,3442.1399,3450.6799,280100,3475.4399,3475.4500,3442.1399,3450.6799,0,0,0
000001.SS,20210408,3467.4900,3495.9099,3459.3201,3482.5500,331800,3467.4900,3495.9099,3459.3201,3482.5500,0,0,0
000001.SS,20210407,3483.4199,3483.4199,3453.1899,3479.6299,295800,3483.4199,3483.4199,3453.1899,3479.6299,0,0,0
000001.SS,20210406,3491.6299,3493.2800,3471.7600,3482.9700,234700,3491.6299,3493.2800,3471.7600,3482.9700,0,0,0
000001.SS,20210405,3491.6299,3493.2800,3471.7600,3482.9700,234700,3491.6299,3493.2800,3471.7600,3482.9700,0,0,0
000001.SS,20210402,3472.6299,3487.5901,3462.8301,3484.3899,262700,3472.6299,3487.5901,3462.8301,3484.3899,0,0,0
000001.SS,20210401,3444.8101,3470.0300,3438.8301,3466.3301,275200,3444.8101,3470.0300,3438.8301,3466.3301,0,0,0
000001.SS,20210331,3452.2100,3452.2100,3420.8301,3441.9099,283000,3452.2100,3452.2100,3420.8301,3441.9099,0,0,0
000001.SS,20210330,3432.5300,3457.6299,3423.3201,3456.6799,285400,3432.5300,3457.6299,3423.3201,3456.6799,0,0,0
000001.SS,20210329,3429.6299,3449.8301,3409.8899,3435.3000,284800,3429.6299,3449.8301,3409.8899,3435.3000,0,0,0
000001.SS,20210328,3429.6299,3449.8301,3409.8899,3435.3000,284800,3429.6299,3449.8301,3409.8899,3435.3000,0,0,0
000001.SS,20210326,3373.3201,3423.2200,3373.3201,3418.3301,274600,3373.3201,3423.2200,3373.3201,3418.3301,0,0,0
000001.SS,20210325,3355.0701,3382.2300,3344.9700,3363.5901,270700,3355.0701,3382.2300,3344.9700,3363.5901,0,0,0
000001.SS,20210324,3394.1299,3415.2900,3362.1799,3367.0601,317400,3394.1299,3415.2900,3362.1799,3367.0601,0,0,0
000001.SS,20210323,3445.3401,3445.4199,3390.0500,3411.5100,326400,3445.3401,3445.4199,3390.0500,3411.5100,0,0,0
000001.SS,20210322,3406.1201,3443.6599,3404.2300,3443.4399,312600,3406.1201,3443.6599,3404.2300,3443.4399,0,0,0
000001.SS,20210321,3406.1201,3443.6599,3404.2300,3443.4399,312600,3406.1201,3443.6599,3404.2300,3443.4399,0,0,0
000001.SS,20210319,3423.8701,3439.5200,3389.2900,3404.6599,309200,3423.8701,3439.5200,3389.2900,3404.6599,0,0,0
000001.SS,20210318,3449.6399,3478.1499,3449.3799,3463.0701,284400,3449.6399,3478.1499,3449.3799,3463.0701,0,0,0
000001.SS,20210317,3435.7300,3454.0601,3410.2800,3445.5500,280100,3435.7300,3454.0601,3410.2800,3445.5500,0,0,0
000001.SS,20210316,3424.6499,3448.8799,3406.1799,3446.7300,316700,3424.6499,3448.8799,3406.1799,3446.7300,0,0,0
000001.SS,20210315,3441.8799,3457.4900,3392.5100,3419.9500,367800,3441.8799,3457.4900,3392.5100,3419.9500,0,0,0
000001.SS,20210314,3441.8799,3457.4900,3392.5100,3419.9500,367800,3441.8799,3457.4900,3392.5100,3419.9500,0,0,0
000001.SS,20210312,3447.2000,3454.5100,3417.2400,3453.0801,358000,3447.2000,3454.5100,3417.2400,3453.0801,0,0,0
000001.SS,20210311,3369.8999,3436.8301,3369.8999,3436.8301,322100,3369.8999,3436.8301,3369.8999,3436.8301,0,0,0
000001.SS,20210310,3389.8401,3397.0300,3354.8201,3357.7400,299700,3389.8401,3397.0300,3354.8201,3357.7400,0,0,0
000001.SS,20210309,3415.3401,3429.1499,3328.3101,3359.2900,407700,3415.3401,3429.1499,3328.3101,3359.2900,0,0,0
