"jurisdiction","week_of_allocations","_1st_dose_allocations","_2nd_dose_allocations"
"Texas","2021-04-19T00:00:00.000","394290","394290"
"Iowa","2021-04-19T00:00:00.000","46800","46800"
"Kansas","2021-04-19T00:00:00.000","42120","42120"
"Missouri","2021-04-19T00:00:00.000","90090","90090"
"Nebraska","2021-04-19T00:00:00.000","28080","28080"
"Colorado","2021-04-19T00:00:00.000","81900","81900"
"Montana","2021-04-19T00:00:00.000","16380","16380"
"North Dakota","2021-04-19T00:00:00.000","11700","11700"
"South Dakota","2021-04-19T00:00:00.000","12870","12870"
"Utah","2021-04-19T00:00:00.000","40950","40950"
"Wyoming","2021-04-19T00:00:00.000","9360","9360"
"Arizona","2021-04-19T00:00:00.000","102960","102960"
"California","2021-04-19T00:00:00.000","575640","575640"
"Hawaii","2021-04-19T00:00:00.000","22230","22230"
"Nevada","2021-04-19T00:00:00.000","43290","43290"
"American Samoa","2021-04-19T00:00:00.000","0","0"
"Guam","2021-04-19T00:00:00.000","0","0"
"Marshall Islands","2021-04-19T00:00:00.000","0","0"
"Micronesia","2021-04-19T00:00:00.000","0","0"
"Mariana Islands","2021-04-19T00:00:00.000","0","0"
"Palau","2021-04-19T00:00:00.000","0","0"
"Alaska","2021-04-19T00:00:00.000","0","0"
"Idaho","2021-04-19T00:00:00.000","24570","24570"
"Oregon","2021-04-19T00:00:00.000","62010","62010"
"Washington","2021-04-19T00:00:00.000","109980","109980"
"Federal Entities","2021-04-19T00:00:00.000","203580","203580"
"Connecticut","2021-04-12T00:00:00.000","51480","51480"
"Maine","2021-04-12T00:00:00.000","19890","19890"
"Massachusetts","2021-04-12T00:00:00.000","97110","97110"
"New Hampshire","2021-04-12T00:00:00.000","19890","19890"
"Rhode Island","2021-04-12T00:00:00.000","15210","15210"
"Vermont","2021-04-12T00:00:00.000","9360","9360"
"New Jersey","2021-04-12T00:00:00.000","124020","124020"
"New York","2021-04-12T00:00:00.000","156780","156780"
"New York City","2021-04-12T00:00:00.000","119340","119340"
"Puerto Rico","2021-04-12T00:00:00.000","49140","49140"
"U.S. Virgin Islands","2021-04-12T00:00:00.000","2340","2340"
"Delaware","2021-04-12T00:00:00.000","14040","14040"
"District of Columbia","2021-04-12T00:00:00.000","10530","10530"
"Maryland","2021-04-12T00:00:00.000","83070","83070"
"Pennsylvania","2021-04-12T00:00:00.000","159120","159120"
"Philadelphia","2021-04-12T00:00:00.000","22230","22230"
"Virginia","2021-04-12T00:00:00.000","117000","117000"
"West Virginia","2021-04-12T00:00:00.000","26910","26910"
"Alabama","2021-04-12T00:00:00.000","67860","67860"
"Florida","2021-04-12T00:00:00.000","293670","293670"
"Georgia","2021-04-12T00:00:00.000","139230","139230"
"Kentucky","2021-04-12T00:00:00.000","62010","62010"
"Mississippi","2021-04-12T00:00:00.000","40950","40950"
"North Carolina","2021-04-12T00:00:00.000","140400","140400"
"South Carolina","2021-04-12T00:00:00.000","69030","69030"
"Tennessee","2021-04-12T00:00:00.000","92430","92430"
"Chicago","2021-04-12T00:00:00.000","37440","37440"
"Illinois","2021-04-12T00:00:00.000","139230","139230"
"Indiana","2021-04-12T00:00:00.000","91260","91260"
"Michigan","2021-04-12T00:00:00.000","139230","139230"
"Minnesota","2021-04-12T00:00:00.000","76050","76050"
"Ohio","2021-04-12T00:00:00.000","161460","161460"
"Wisconsin","2021-04-12T00:00:00.000","80730","80730"
"Arkansas","2021-04-12T00:00:00.000","40950","40950"
"Louisiana","2021-04-12T00:00:00.000","64350","64350"
"New Mexico","2021-04-12T00:00:00.000","29250","29250"
"Oklahoma","2021-04-12T00:00:00.000","53820","53820"
"Texas","2021-04-12T00:00:00.000","367380","367380"
"Iowa","2021-04-12T00:00:00.000","43290","43290"
"Kansas","2021-04-12T00:00:00.000","39780","39780"
"Missouri","2021-04-12T00:00:00.000","84240","84240"
"Nebraska","2021-04-12T00:00:00.000","26910","26910"
"Colorado","2021-04-12T00:00:00.000","76050","76050"
"Montana","2021-04-12T00:00:00.000","15210","15210"
"North Dakota","2021-04-12T00:00:00.000","10530","10530"
"South Dakota","2021-04-12T00:00:00.000","11700","11700"
"Utah","2021-04-12T00:00:00.000","38610","38610"
"Wyoming","2021-04-12T00:00:00.000","8190","8190"
"Arizona","2021-04-12T00:00:00.000","95940","95940"
"California","2021-04-12T00:00:00.000","535860","535860"
"Hawaii","2021-04-12T00:00:00.000","19890","19890"
"Nevada","2021-04-12T00:00:00.000","40950","40950"
"American Samoa","2021-04-12T00:00:00.000","0","0"
"Guam","2021-04-12T00:00:00.000","0","0"
"Marshall Islands","2021-04-12T00:00:00.000","0","0"
"Micronesia","2021-04-12T00:00:00.000","0","0"
"Mariana Islands","2021-04-12T00:00:00.000","0","0"
"Palau","2021-04-12T00:00:00.000","0","0"
"Alaska","2021-04-12T00:00:00.000","0","0"
"Idaho","2021-04-12T00:00:00.000","23400","23400"
"Oregon","2021-04-12T00:00:00.000","58500","58500"
"Washington","2021-04-12T00:00:00.000","102960","102960"
"Federal Entities","2021-04-12T00:00:00.000","201240","201240"
"Connecticut","2021-04-05T00:00:00.000","50310","50310"
"Maine","2021-04-05T00:00:00.000","19890","19890"
"Massachusetts","2021-04-05T00:00:00.000","95940","95940"
"New Hampshire","2021-04-05T00:00:00.000","19890","19890"
"Rhode Island","2021-04-05T00:00:00.000","15210","15210"
"Vermont","2021-04-05T00:00:00.000","9360","9360"
"New Jersey","2021-04-05T00:00:00.000","120510","120510"
"New York","2021-04-05T00:00:00.000","153270","153270"
"New York City","2021-04-05T00:00:00.000","117000","117000"
"Puerto Rico","2021-04-05T00:00:00.000","47970","47970"
"U.S. Virgin Islands","2021-04-05T00:00:00.000","2340","2340"
"Delaware","2021-04-05T00:00:00.000","14040","14040"
"District of Columbia","2021-04-05T00:00:00.000","10530","10530"
"Maryland","2021-04-05T00:00:00.000","81900","81900"
"Pennsylvania","2021-04-05T00:00:00.000","155610","155610"
"Philadelphia","2021-04-05T00:00:00.000","22230","22230"
"Virginia","2021-04-05T00:00:00.000","114660","114660"
"West Virginia","2021-04-05T00:00:00.000","25740","25740"
"Alabama","2021-04-05T00:00:00.000","66690","66690"
"Florida","2021-04-05T00:00:00.000","286650","286650"
"Georgia","2021-04-05T00:00:00.000","136890","136890"
"Kentucky","2021-04-05T00:00:00.000","60840","60840"
"Mississippi","2021-04-05T00:00:00.000","39780","39780"
"North Carolina","2021-04-05T00:00:00.000","138060","138060"
"South Carolina","2021-04-05T00:00:00.000","67860","67860"
"Tennessee","2021-04-05T00:00:00.000","90090","90090"
"Chicago","2021-04-05T00:00:00.000","37440","37440"
"Illinois","2021-04-05T00:00:00.000","136890","136890"
