"jurisdiction","week_of_allocations","_1st_dose_allocations","_2nd_dose_allocations"
"Nebraska","2021-04-05T00:00:00.000","25740","25740"
"Colorado","2021-04-05T00:00:00.000","74880","74880"
"Montana","2021-04-05T00:00:00.000","15210","15210"
"North Dakota","2021-04-05T00:00:00.000","10530","10530"
"South Dakota","2021-04-05T00:00:00.000","11700","11700"
"Utah","2021-04-05T00:00:00.000","37440","37440"
"Wyoming","2021-04-05T00:00:00.000","8190","8190"
"Arizona","2021-04-05T00:00:00.000","93600","93600"
"California","2021-04-05T00:00:00.000","524160","524160"
"Hawaii","2021-04-05T00:00:00.000","19890","19890"
"Nevada","2021-04-05T00:00:00.000","39780","39780"
"American Samoa","2021-04-05T00:00:00.000","0","0"
"Guam","2021-04-05T00:00:00.000","0","0"
"Marshall Islands","2021-04-05T00:00:00.000","0","0"
"Micronesia","2021-04-05T00:00:00.000","0","0"
"Mariana Islands","2021-04-05T00:00:00.000","0","0"
"Palau","2021-04-05T00:00:00.000","0","0"
"Alaska","2021-04-05T00:00:00.000","0","0"
"Idaho","2021-04-05T00:00:00.000","22230","22230"
"Oregon","2021-04-05T00:00:00.000","57330","57330"
"Washington","2021-04-05T00:00:00.000","100620","100620"
"Federal Entities","2021-04-05T00:00:00.000","243360","243360"
"Connecticut","2021-03-29T00:00:00.000","60840","60840"
"Maine","2021-03-29T00:00:00.000","23400","23400"
"Massachusetts","2021-03-29T00:00:00.000","117000","117000"
"New Hampshire","2021-03-29T00:00:00.000","23400","23400"
"Rhode Island","2021-03-29T00:00:00.000","18720","18720"
"Vermont","2021-03-29T00:00:00.000","11700","11700"
"New Jersey","2021-03-29T00:00:00.000","148590","148590"
"New York","2021-03-29T00:00:00.000","188370","188370"
"New York City","2021-03-29T00:00:00.000","143910","143910"
"Puerto Rico","2021-03-29T00:00:00.000","58500","58500"
"U.S. Virgin Islands","2021-03-29T00:00:00.000","2340","2340"
"Delaware","2021-03-29T00:00:00.000","16380","16380"
"District of Columbia","2021-03-29T00:00:00.000","12870","12870"
"Maryland","2021-03-29T00:00:00.000","100620","100620"
"Pennsylvania","2021-03-29T00:00:00.000","190710","190710"
"Philadelphia","2021-03-29T00:00:00.000","26910","26910"
"Virginia","2021-03-29T00:00:00.000","140400","140400"
"West Virginia","2021-03-29T00:00:00.000","31590","31590"
"Alabama","2021-03-29T00:00:00.000","80730","80730"
"Florida","2021-03-29T00:00:00.000","352170","352170"
"Georgia","2021-03-29T00:00:00.000","167310","167310"
"Kentucky","2021-03-29T00:00:00.000","73710","73710"
"Mississippi","2021-03-29T00:00:00.000","49140","49140"
"North Carolina","2021-03-29T00:00:00.000","168480","168480"
"South Carolina","2021-03-29T00:00:00.000","83070","83070"
"Tennessee","2021-03-29T00:00:00.000","111150","111150"
"Chicago","2021-03-29T00:00:00.000","45630","45630"
"Illinois","2021-03-29T00:00:00.000","167310","167310"
"Indiana","2021-03-29T00:00:00.000","108810","108810"
"Michigan","2021-03-29T00:00:00.000","166140","166140"
"Minnesota","2021-03-29T00:00:00.000","91260","91260"
"Ohio","2021-03-29T00:00:00.000","194220","194220"
"Wisconsin","2021-03-29T00:00:00.000","97110","97110"
"Arkansas","2021-03-29T00:00:00.000","49140","49140"
"Louisiana","2021-03-29T00:00:00.000","77220","77220"
"New Mexico","2021-03-29T00:00:00.000","35100","35100"
"Oklahoma","2021-03-29T00:00:00.000","64350","64350"
"Texas","2021-03-29T00:00:00.000","441090","441090"
"Iowa","2021-03-29T00:00:00.000","51480","51480"
"Kansas","2021-03-29T00:00:00.000","47970","47970"
"Missouri","2021-03-29T00:00:00.000","101790","101790"
"Nebraska","2021-03-29T00:00:00.000","31590","31590"
"Colorado","2021-03-29T00:00:00.000","92430","92430"
"Montana","2021-03-29T00:00:00.000","17550","17550"
"North Dakota","2021-03-29T00:00:00.000","12870","12870"
"South Dakota","2021-03-29T00:00:00.000","14040","14040"
"Utah","2021-03-29T00:00:00.000","46800","46800"
"Wyoming","2021-03-29T00:00:00.000","10530","10530"
"Arizona","2021-03-29T00:00:00.000","114660","114660"
"California","2021-03-29T00:00:00.000","644670","644670"
"Hawaii","2021-03-29T00:00:00.000","24570","24570"
"Nevada","2021-03-29T00:00:00.000","49140","49140"
"American Samoa","2021-03-29T00:00:00.000","11700","0"
"Guam","2021-03-29T00:00:00.000","25740","0"
"Marshall Islands","2021-03-29T00:00:00.000","0","0"
"Micronesia","2021-03-29T00:00:00.000","0","0"
"Mariana Islands","2021-03-29T00:00:00.000","11700","0"
"Palau","2021-03-29T00:00:00.000","0","0"
"Alaska","2021-03-29T00:00:00.000","91260","79560"
"Idaho","2021-03-29T00:00:00.000","26910","26910"
"Oregon","2021-03-29T00:00:00.000","70200","70200"
"Washington","2021-03-29T00:00:00.000","122850","122850"
"Federal Entities","2021-03-29T00:00:00.000","201240","201240"
"Connecticut","2021-03-22T00:00:00.000","50310","50310"
"Maine","2021-03-22T00:00:00.000","19890","19890"
"Massachusetts","2021-03-22T00:00:00.000","95940","95940"
"New Hampshire","2021-03-22T00:00:00.000","19890","19890"
"Rhode Island","2021-03-22T00:00:00.000","15210","15210"
"Vermont","2021-03-22T00:00:00.000","9360","9360"
"New Jersey","2021-03-22T00:00:00.000","120510","120510"
"New York","2021-03-22T00:00:00.000","153270","153270"
"New York City","2021-03-22T00:00:00.000","117000","117000"
"Puerto Rico","2021-03-22T00:00:00.000","47970","47970"
"U.S. Virgin Islands","2021-03-22T00:00:00.000","2340","2340"
"Delaware","2021-03-22T00:00:00.000","14040","14040"
"District of Columbia","2021-03-22T00:00:00.000","10530","10530"
"Maryland","2021-03-22T00:00:00.000","81900","81900"
"Pennsylvania","2021-03-22T00:00:00.000","155610","155610"
"Philadelphia","2021-03-22T00:00:00.000","22230","22230"
"Virginia","2021-03-22T00:00:00.000","114660","114660"
"West Virginia","2021-03-22T00:00:00.000","25740","25740"
"Alabama","2021-03-22T00:00:00.000","66690","66690"
"Florida","2021-03-22T00:00:00.000","286650","286650"
"Georgia","2021-03-22T00:00:00.000","136890","136890"
"Kentucky","2021-03-22T00:00:00.000","60840","60840"
"Mississippi","2021-03-22T00:00:00.000","39780","39780"
"North Carolina","2021-03-22T00:00:00.000","138060","138060"
"South Carolina","2021-03-22T00:00:00.000","67860","67860"
"Tennessee","2021-03-22T00:00:00.000","90090","90090"
"Chicago","2021-03-22T00:00:00.000","37440","37440"
"Illinois","2021-03-22T00:00:00.000","136890","136890"
"Indiana","2021-03-22T00:00:00.000","88920","88920"
"Michigan","2021-03-22T00:00:00.000","135720","135720"
"Minnesota","2021-03-22T00:00:00.000","74880","74880"
"Ohio","2021-03-22T00:00:00.000","157950","157950"
"Wisconsin","2021-03-22T00:00:00.000","79560","79560"
"Arkansas","2021-03-22T00:00:00.000","39780","39780"
"Louisiana","2021-03-22T00:00:00.000","62010","62010"
"New Mexico","2021-03-22T00:00:00.000","29250","29250"
"Oklahoma","2021-03-22T00:00:00.000","52650","52650"
"Texas","2021-03-22T00:00:00.000","359190","359190"
"Iowa","2021-03-22T00:00:00.000","42120","42120"
"Kansas","2021-03-22T00:00:00.000","38610","38610"
"Missouri","2021-03-22T00:00:00.000","83070","83070"
"Nebraska","2021-03-22T00:00:00.000","25740","25740"
"Colorado","2021-03-22T00:00:00.000","74880","74880"
"Montana","2021-03-22T00:00:00.000","15210","15210"
"North Dakota","2021-03-22T00:00:00.000","10530","10530"
"South Dakota","2021-03-22T00:00:00.000","11700","11700"
"Utah","2021-03-22T00:00:00.000","37440","37440"
"Wyoming","2021-03-22T00:00:00.000","8190","8190"
"Arizona","2021-03-22T00:00:00.000","93600","93600"
"California","2021-03-22T00:00:00.000","524160","524160"
"Hawaii","2021-03-22T00:00:00.000","19890","19890"
"Nevada","2021-03-22T00:00:00.000","39780","39780"
"American Samoa","2021-03-22T00:00:00.000","0","0"
"Guam","2021-03-22T00:00:00.000","0","0"
"Marshall Islands","2021-03-22T00:00:00.000","0","0"
"Micronesia","2021-03-22T00:00:00.000","0","0"
"Mariana Islands","2021-03-22T00:00:00.000","0","0"
"Palau","2021-03-22T00:00:00.000","0","0"
"Alaska","2021-03-22T00:00:00.000","0","0"
"Idaho","2021-03-22T00:00:00.000","22230","22230"
"Oregon","2021-03-22T00:00:00.000","57330","57330"
"Washington","2021-03-22T00:00:00.000","100620","100620"
"Federal Entities","2021-03-22T00:00:00.000","195390","195390"
"Connecticut","2021-03-15T00:00:00.000","49140","49140"
"Maine","2021-03-15T00:00:00.000","18720","18720"
"Massachusetts","2021-03-15T00:00:00.000","93600","93600"
"New Hampshire","2021-03-15T00:00:00.000","18720","18720"
"Rhode Island","2021-03-15T00:00:00.000","15210","15210"
"Vermont","2021-03-15T00:00:00.000","9360","9360"
"New Jersey","2021-03-15T00:00:00.000","119340","119340"
"New York","2021-03-15T00:00:00.000","150930","150930"
"New York City","2021-03-15T00:00:00.000","114660","114660"
"Puerto Rico","2021-03-15T00:00:00.000","46800","46800"
"U.S. Virgin Islands","2021-03-15T00:00:00.000","2340","2340"
"Delaware","2021-03-15T00:00:00.000","12870","12870"
"District of Columbia","2021-03-15T00:00:00.000","10530","10530"
"Maryland","2021-03-15T00:00:00.000","80730","80730"
"Pennsylvania","2021-03-15T00:00:00.000","153270","153270"
"Philadelphia","2021-03-15T00:00:00.000","22230","22230"
"Virginia","2021-03-15T00:00:00.000","112320","112320"
"West Virginia","2021-03-15T00:00:00.000","25740","25740"
"Alabama","2021-03-15T00:00:00.000","65520","65520"
"Florida","2021-03-15T00:00:00.000","281970","281970"
"Georgia","2021-03-15T00:00:00.000","134550","134550"
"Kentucky","2021-03-15T00:00:00.000","59670","59670"
"Mississippi","2021-03-15T00:00:00.000","39780","39780"
"North Carolina","2021-03-15T00:00:00.000","135720","135720"
"South Carolina","2021-03-15T00:00:00.000","66690","66690"
"Tennessee","2021-03-15T00:00:00.000","88920","88920"
"Chicago","2021-03-15T00:00:00.000","36270","36270"
"Illinois","2021-03-15T00:00:00.000","134550","134550"
"Indiana","2021-03-15T00:00:00.000","87750","87750"
"Michigan","2021-03-15T00:00:00.000","133380","133380"
"Minnesota","2021-03-15T00:00:00.000","73710","73710"
"Ohio","2021-03-15T00:00:00.000","155610","155610"
"Wisconsin","2021-03-15T00:00:00.000","78390","78390"
"Arkansas","2021-03-15T00:00:00.000","39780","39780"
"Louisiana","2021-03-15T00:00:00.000","62010","62010"
"New Mexico","2021-03-15T00:00:00.000","28080","28080"
"Oklahoma","2021-03-15T00:00:00.000","51480","51480"
"Texas","2021-03-15T00:00:00.000","353340","353340"
"Iowa","2021-03-15T00:00:00.000","42120","42120"
"Kansas","2021-03-15T00:00:00.000","38610","38610"
"Missouri","2021-03-15T00:00:00.000","80730","80730"
"Nebraska","2021-03-15T00:00:00.000","25740","25740"
"Colorado","2021-03-15T00:00:00.000","73710","73710"
"Montana","2021-03-15T00:00:00.000","14040","14040"
"North Dakota","2021-03-15T00:00:00.000","10530","10530"
"South Dakota","2021-03-15T00:00:00.000","11700","11700"
"Utah","2021-03-15T00:00:00.000","37440","37440"
"Wyoming","2021-03-15T00:00:00.000","8190","8190"
"Arizona","2021-03-15T00:00:00.000","92430","92430"
"California","2021-03-15T00:00:00.000","515970","515970"
"Hawaii","2021-03-15T00:00:00.000","19890","19890"
"Nevada","2021-03-15T00:00:00.000","38610","38610"
"American Samoa","2021-03-15T00:00:00.000","0","0"
"Guam","2021-03-15T00:00:00.000","0","0"
"Marshall Islands","2021-03-15T00:00:00.000","0","0"
"Micronesia","2021-03-15T00:00:00.000","0","0"
"Mariana Islands","2021-03-15T00:00:00.000","0","0"
"Palau","2021-03-15T00:00:00.000","0","0"
"Alaska","2021-03-15T00:00:00.000","0","0"
"Idaho","2021-03-15T00:00:00.000","22230","22230"
"Oregon","2021-03-15T00:00:00.000","56160","56160"
"Washington","2021-03-15T00:00:00.000","98280","98280"
"Federal Entities","2021-03-15T00:00:00.000","182520","182520"
"Connecticut","2021-03-08T00:00:00.000","45630","45630"
"Maine","2021-03-08T00:00:00.000","17550","17550"
"Massachusetts","2021-03-08T00:00:00.000","87750","87750"
"New Hampshire","2021-03-08T00:00:00.000","17550","17550"
"Rhode Island","2021-03-08T00:00:00.000","14040","14040"
"Vermont","2021-03-08T00:00:00.000","8190","8190"
"New Jersey","2021-03-08T00:00:00.000","111150","111150"
"New York","2021-03-08T00:00:00.000","140400","140400"
"New York City","2021-03-08T00:00:00.000","106470","106470"
"Puerto Rico","2021-03-08T00:00:00.000","43290","43290"
"U.S. Virgin Islands","2021-03-08T00:00:00.000","2340","2340"
"Delaware","2021-03-08T00:00:00.000","12870","12870"
"District of Columbia","2021-03-08T00:00:00.000","9360","9360"
"Maryland","2021-03-08T00:00:00.000","74880","74880"
"Pennsylvania","2021-03-08T00:00:00.000","141570","141570"
"Philadelphia","2021-03-08T00:00:00.000","19890","19890"
"Virginia","2021-03-08T00:00:00.000","105300","105300"
"West Virginia","2021-03-08T00:00:00.000","23400","23400"
"Alabama","2021-03-08T00:00:00.000","60840","60840"
"Florida","2021-03-08T00:00:00.000","262080","262080"
"Georgia","2021-03-08T00:00:00.000","125190","125190"
"Kentucky","2021-03-08T00:00:00.000","54990","54990"
"Mississippi","2021-03-08T00:00:00.000","36270","36270"
"North Carolina","2021-03-08T00:00:00.000","126360","126360"
"South Carolina","2021-03-08T00:00:00.000","62010","62010"
"Tennessee","2021-03-08T00:00:00.000","83070","83070"
"Chicago","2021-03-08T00:00:00.000","33930","33930"
"Illinois","2021-03-08T00:00:00.000","125190","125190"
"Indiana","2021-03-08T00:00:00.000","80730","80730"
"Michigan","2021-03-08T00:00:00.000","124020","124020"
"Minnesota","2021-03-08T00:00:00.000","67860","67860"
"Ohio","2021-03-08T00:00:00.000","143910","143910"
"Wisconsin","2021-03-08T00:00:00.000","72540","72540"
"Arkansas","2021-03-08T00:00:00.000","37440","37440"
"Louisiana","2021-03-08T00:00:00.000","57330","57330"
"New Mexico","2021-03-08T00:00:00.000","25740","25740"
"Oklahoma","2021-03-08T00:00:00.000","47970","47970"
"Texas","2021-03-08T00:00:00.000","328770","328770"
"Iowa","2021-03-08T00:00:00.000","38610","38610"
"Kansas","2021-03-08T00:00:00.000","35100","35100"
"Missouri","2021-03-08T00:00:00.000","76050","76050"
"Nebraska","2021-03-08T00:00:00.000","23400","23400"
"Colorado","2021-03-08T00:00:00.000","69030","69030"
"Montana","2021-03-08T00:00:00.000","14040","14040"
"North Dakota","2021-03-08T00:00:00.000","10530","10530"
"South Dakota","2021-03-08T00:00:00.000","10530","10530"
"Utah","2021-03-08T00:00:00.000","35100","35100"
"Wyoming","2021-03-08T00:00:00.000","8190","8190"
"Arizona","2021-03-08T00:00:00.000","85410","85410"
"California","2021-03-08T00:00:00.000","479700","479700"
"Hawaii","2021-03-08T00:00:00.000","18720","18720"
"Nevada","2021-03-08T00:00:00.000","36270","36270"
"American Samoa","2021-03-08T00:00:00.000","0","0"
"Guam","2021-03-08T00:00:00.000","0","0"
"Marshall Islands","2021-03-08T00:00:00.000","0","0"
"Micronesia","2021-03-08T00:00:00.000","0","0"
"Mariana Islands","2021-03-08T00:00:00.000","0","0"
"Palau","2021-03-08T00:00:00.000","0","0"
"Alaska","2021-03-08T00:00:00.000","0","0"
"Idaho","2021-03-08T00:00:00.000","19890","19890"
"Oregon","2021-03-08T00:00:00.000","51480","51480"
"Washington","2021-03-08T00:00:00.000","91260","91260"
"Federal Entities","2021-03-08T00:00:00.000","230490","221130"
"Alabama","2021-03-01T00:00:00.000","54990","54990"
"Alaska","2021-03-01T00:00:00.000","53820","53820"
"American Samoa","2021-03-01T00:00:00.000","9360","0"
"Arizona","2021-03-01T00:00:00.000","78390","78390"
"Arkansas","2021-03-01T00:00:00.000","33930","33930"
"California","2021-03-01T00:00:00.000","438750","438750"
"Chicago","2021-03-01T00:00:00.000","31590","31590"
"Colorado","2021-03-01T00:00:00.000","63180","63180"
"Connecticut","2021-03-01T00:00:00.000","42120","42120"
"Delaware","2021-03-01T00:00:00.000","11700","11700"
"District of Columbia","2021-03-01T00:00:00.000","9360","9360"
"Federal Entities","2021-03-01T00:00:00.000","209430","190710"
"Florida","2021-03-01T00:00:00.000","239850","239850"
"Georgia","2021-03-01T00:00:00.000","114660","114660"
"Guam","2021-03-01T00:00:00.000","21060","0"
"Hawaii","2021-03-01T00:00:00.000","16380","16380"
"Idaho","2021-03-01T00:00:00.000","18720","18720"
"Illinois","2021-03-01T00:00:00.000","114660","114660"
"Indiana","2021-03-01T00:00:00.000","74880","74880"
"Iowa","2021-03-01T00:00:00.000","35100","35100"
"Kansas","2021-03-01T00:00:00.000","32760","32760"
"Kentucky","2021-03-01T00:00:00.000","50310","50310"
"Louisiana","2021-03-01T00:00:00.000","52650","52650"
"Maine","2021-03-01T00:00:00.000","16380","16380"
"Mariana Islands","2021-03-01T00:00:00.000","9360","0"
"Marshall Islands","2021-03-01T00:00:00.000","0","0"
"Maryland","2021-03-01T00:00:00.000","69030","69030"
"Massachusetts","2021-03-01T00:00:00.000","79560","79560"
"Michigan","2021-03-01T00:00:00.000","113490","113490"
"Micronesia","2021-03-01T00:00:00.000","0","0"
"Minnesota","2021-03-01T00:00:00.000","62010","62010"
"Mississippi","2021-03-01T00:00:00.000","33930","33930"
"Missouri","2021-03-01T00:00:00.000","69030","69030"
"Montana","2021-03-01T00:00:00.000","12870","12870"
"Nebraska","2021-03-01T00:00:00.000","22230","22230"
"Nevada","2021-03-01T00:00:00.000","33930","33930"
"New Hampshire","2021-03-01T00:00:00.000","16380","16380"
"New Jersey","2021-03-01T00:00:00.000","101790","101790"
"New Mexico","2021-03-01T00:00:00.000","24570","24570"
"New York","2021-03-01T00:00:00.000","128700","128700"
"New York City","2021-03-01T00:00:00.000","98280","98280"
"North Carolina","2021-03-01T00:00:00.000","115830","115830"
"North Dakota","2021-03-01T00:00:00.000","9360","9360"
"Ohio","2021-03-01T00:00:00.000","132210","132210"
"Oklahoma","2021-03-01T00:00:00.000","43290","43290"
"Oregon","2021-03-01T00:00:00.000","47970","47970"
"Palau","2021-03-01T00:00:00.000","0","0"
"Pennsylvania","2021-03-01T00:00:00.000","129870","129870"
"Philadelphia","2021-03-01T00:00:00.000","18720","18720"
"Puerto Rico","2021-03-01T00:00:00.000","39780","39780"
"Rhode Island","2021-03-01T00:00:00.000","12870","12870"
"South Carolina","2021-03-01T00:00:00.000","57330","57330"
"South Dakota","2021-03-01T00:00:00.000","10530","10530"
"Tennessee","2021-03-01T00:00:00.000","76050","76050"
"Texas","2021-03-01T00:00:00.000","300690","300690"
"U.S. Virgin Islands","2021-03-01T00:00:00.000","2340","2340"
"Utah","2021-03-01T00:00:00.000","31590","31590"
"Vermont","2021-03-01T00:00:00.000","8190","8190"
"Virginia","2021-03-01T00:00:00.000","95940","95940"
"Washington","2021-03-01T00:00:00.000","84240","84240"
"West Virginia","2021-03-01T00:00:00.000","22230","22230"
"Wisconsin","2021-03-01T00:00:00.000","66690","66690"
"Wyoming","2021-03-01T00:00:00.000","7020","7020"
"Alabama","2021-02-22T00:00:00.000","47970","47970"
"Alaska","2021-02-22T00:00:00.000","0","0"
"American Samoa","2021-02-22T00:00:00.000","0","0"
"Arizona","2021-02-22T00:00:00.000","69030","69030"
"Arkansas","2021-02-22T00:00:00.000","29250","29250"
"California","2021-02-22T00:00:00.000","382590","382590"
"Chicago","2021-02-22T00:00:00.000","26910","26910"
"Colorado","2021-02-22T00:00:00.000","54990","54990"
"Connecticut","2021-02-22T00:00:00.000","36270","36270"
"Delaware","2021-02-22T00:00:00.000","10530","10530"
"District of Columbia","2021-02-22T00:00:00.000","8190","8190"
"Federal Entities","2021-02-22T00:00:00.000","166140","166140"
"Florida","2021-02-22T00:00:00.000","209430","209430"
"Georgia","2021-02-22T00:00:00.000","99450","99450"
"Guam","2021-02-22T00:00:00.000","0","0"
"Hawaii","2021-02-22T00:00:00.000","15210","15210"
"Idaho","2021-02-22T00:00:00.000","16380","16380"
"Illinois","2021-02-22T00:00:00.000","99450","99450"
"Indiana","2021-02-22T00:00:00.000","64350","64350"
"Iowa","2021-02-22T00:00:00.000","31590","31590"
"Kansas","2021-02-22T00:00:00.000","28080","28080"
"Kentucky","2021-02-22T00:00:00.000","44460","44460"
"Louisiana","2021-02-22T00:00:00.000","45630","45630"
"Maine","2021-02-22T00:00:00.000","14040","14040"
"Mariana Islands","2021-02-22T00:00:00.000","0","0"
"Marshall Islands","2021-02-22T00:00:00.000","0","0"
"Maryland","2021-02-22T00:00:00.000","59670","59670"
"Massachusetts","2021-02-22T00:00:00.000","70200","70200"
"Michigan","2021-02-22T00:00:00.000","99450","99450"
"Micronesia","2021-02-22T00:00:00.000","0","0"
"Minnesota","2021-02-22T00:00:00.000","54990","54990"
"Mississippi","2021-02-22T00:00:00.000","29250","29250"
"Missouri","2021-02-22T00:00:00.000","60840","60840"
"Montana","2021-02-22T00:00:00.000","10530","10530"
"Nebraska","2021-02-22T00:00:00.000","18720","18720"
"Nevada","2021-02-22T00:00:00.000","29250","29250"
"New Hampshire","2021-02-22T00:00:00.000","14040","14040"
"New Jersey","2021-02-22T00:00:00.000","88920","88920"
"New Mexico","2021-02-22T00:00:00.000","21060","21060"
"New York","2021-02-22T00:00:00.000","112320","112320"
"New York City","2021-02-22T00:00:00.000","85410","85410"
"North Carolina","2021-02-22T00:00:00.000","100620","100620"
"North Dakota","2021-02-22T00:00:00.000","8190","8190"
"Ohio","2021-02-22T00:00:00.000","115830","115830"
"Oklahoma","2021-02-22T00:00:00.000","38610","38610"
"Oregon","2021-02-22T00:00:00.000","42120","42120"
"Palau","2021-02-22T00:00:00.000","0","0"
"Pennsylvania","2021-02-22T00:00:00.000","113490","113490"
"Philadelphia","2021-02-22T00:00:00.000","16380","16380"
"Puerto Rico","2021-02-22T00:00:00.000","35100","35100"
"Rhode Island","2021-02-22T00:00:00.000","11700","11700"
"South Carolina","2021-02-22T00:00:00.000","49140","49140"
"South Dakota","2021-02-22T00:00:00.000","9360","9360"
"Tennessee","2021-02-22T00:00:00.000","65520","65520"
"Texas","2021-02-22T00:00:00.000","262080","262080"
"U.S. Virgin Islands","2021-02-22T00:00:00.000","1170","1170"
"Utah","2021-02-22T00:00:00.000","28080","28080"
"Vermont","2021-02-22T00:00:00.000","7020","7020"
"Virginia","2021-02-22T00:00:00.000","84240","84240"
"Washington","2021-02-22T00:00:00.000","73710","73710"
"West Virginia","2021-02-22T00:00:00.000","18720","18720"
"Wisconsin","2021-02-22T00:00:00.000","58500","58500"
"Wyoming","2021-02-22T00:00:00.000","5850","5850"
"Alabama","2021-02-15T00:00:00.000","30225","30225"
"Alaska","2021-02-15T00:00:00.000","0","0"
"American Samoa","2021-02-15T00:00:00.000","0","0"
"Arizona","2021-02-15T00:00:00.000","42900","42900"
"Arkansas","2021-02-15T00:00:00.000","18525","18525"
"California","2021-02-15T00:00:00.000","241800","241800"
"Chicago","2021-02-15T00:00:00.000","17550","17550"
"Colorado","2021-02-15T00:00:00.000","35100","35100"
"Connecticut","2021-02-15T00:00:00.000","23400","23400"
"Delaware","2021-02-15T00:00:00.000","6825","6825"
"District of Columbia","2021-02-15T00:00:00.000","4875","4875"
"Federal Entities","2021-02-15T00:00:00.000","105300","105300"
"Florida","2021-02-15T00:00:00.000","132600","132600"
"Georgia","2021-02-15T00:00:00.000","63375","63375"
"Guam","2021-02-15T00:00:00.000","0","0"
"Hawaii","2021-02-15T00:00:00.000","9750","9750"
"Idaho","2021-02-15T00:00:00.000","10725","10725"
"Illinois","2021-02-15T00:00:00.000","63375","63375"
"Indiana","2021-02-15T00:00:00.000","40950","40950"
"Iowa","2021-02-15T00:00:00.000","19500","19500"
"Kansas","2021-02-15T00:00:00.000","18525","18525"
"Kentucky","2021-02-15T00:00:00.000","28275","28275"
"Louisiana","2021-02-15T00:00:00.000","29250","29250"
"Maine","2021-02-15T00:00:00.000","8775","8775"
"Mariana Islands","2021-02-15T00:00:00.000","0","0"
"Marshall Islands","2021-02-15T00:00:00.000","0","0"
"Maryland","2021-02-15T00:00:00.000","38025","38025"
"Massachusetts","2021-02-15T00:00:00.000","43875","43875"
"Michigan","2021-02-15T00:00:00.000","62400","62400"
"Micronesia","2021-02-15T00:00:00.000","0","0"
"Minnesota","2021-02-15T00:00:00.000","34125","34125"
"Mississippi","2021-02-15T00:00:00.000","18525","18525"
"Missouri","2021-02-15T00:00:00.000","38025","38025"
"Montana","2021-02-15T00:00:00.000","6825","6825"
"Nebraska","2021-02-15T00:00:00.000","11700","11700"
"Nevada","2021-02-15T00:00:00.000","18525","18525"
"New Hampshire","2021-02-15T00:00:00.000","8775","8775"
"New Jersey","2021-02-15T00:00:00.000","55575","55575"
"New Mexico","2021-02-15T00:00:00.000","13650","13650"
"New York","2021-02-15T00:00:00.000","71175","71175"
"New York City","2021-02-15T00:00:00.000","53625","53625"
"North Carolina","2021-02-15T00:00:00.000","63375","63375"
"North Dakota","2021-02-15T00:00:00.000","4875","4875"
"Ohio","2021-02-15T00:00:00.000","73125","73125"
"Oklahoma","2021-02-15T00:00:00.000","24375","24375"
"Oregon","2021-02-15T00:00:00.000","26325","26325"
"Palau","2021-02-15T00:00:00.000","0","0"
"Pennsylvania","2021-02-15T00:00:00.000","71175","71175"
"Philadelphia","2021-02-15T00:00:00.000","10725","10725"
"Puerto Rico","2021-02-15T00:00:00.000","22425","22425"
"Rhode Island","2021-02-15T00:00:00.000","6825","6825"
"South Carolina","2021-02-15T00:00:00.000","31200","31200"
"South Dakota","2021-02-15T00:00:00.000","5850","5850"
"Tennessee","2021-02-15T00:00:00.000","41925","41925"
"Texas","2021-02-15T00:00:00.000","165750","165750"
"U.S. Virgin Islands","2021-02-15T00:00:00.000","975","975"
"Utah","2021-02-15T00:00:00.000","17550","17550"
"Vermont","2021-02-15T00:00:00.000","4875","4875"
"Virginia","2021-02-15T00:00:00.000","52650","52650"
"Washington","2021-02-15T00:00:00.000","46800","46800"
"West Virginia","2021-02-15T00:00:00.000","11700","11700"
"Wisconsin","2021-02-15T00:00:00.000","37050","37050"
"Wyoming","2021-02-15T00:00:00.000","3900","3900"
"Alabama","2021-02-08T00:00:00.000","30225","30225"
"Alaska","2021-02-08T00:00:00.000","0","0"
"American Samoa","2021-02-08T00:00:00.000","0","0"
"Arizona","2021-02-08T00:00:00.000","42900","42900"
"Arkansas","2021-02-08T00:00:00.000","18525","18525"
"California","2021-02-08T00:00:00.000","241800","241800"
"Chicago","2021-02-08T00:00:00.000","17550","17550"
"Colorado","2021-02-08T00:00:00.000","35100","35100"
"Connecticut","2021-02-08T00:00:00.000","23400","23400"
"Delaware","2021-02-08T00:00:00.000","6825","6825"
"District of Columbia","2021-02-08T00:00:00.000","4875","4875"
"Federal Entities","2021-02-08T00:00:00.000","105300","105300"
"Florida","2021-02-08T00:00:00.000","132600","132600"
"Georgia","2021-02-08T00:00:00.000","63375","63375"
"Guam","2021-02-08T00:00:00.000","0","0"
"Hawaii","2021-02-08T00:00:00.000","9750","9750"
"Idaho","2021-02-08T00:00:00.000","10725","10725"
"Illinois","2021-02-08T00:00:00.000","63375","63375"
"Indiana","2021-02-08T00:00:00.000","40950","40950"
"Iowa","2021-02-08T00:00:00.000","19500","19500"
"Kansas","2021-02-08T00:00:00.000","18525","18525"
"Kentucky","2021-02-08T00:00:00.000","28275","28275"
"Louisiana","2021-02-08T00:00:00.000","29250","29250"
"Maine","2021-02-08T00:00:00.000","8775","8775"
"Mariana Islands","2021-02-08T00:00:00.000","0","0"
"Marshall Islands","2021-02-08T00:00:00.000","0","0"
"Maryland","2021-02-08T00:00:00.000","38025","38025"
"Massachusetts","2021-02-08T00:00:00.000","43875","43875"
