
Mã

Dư mua
Dư bán
Giá
Thay đổi
Số lệnh đặt mua
Khối lượng đặt mua
KLTB
1 lệnh mua
Số lệnh đặt bán
Khối lượng đặt bán
KLTB
1 lệnh bán
Chênh lệch KL đặt mua - đặt bán
NBB	10,900 	22,200 	26.50 	-0.65 (-2.4 %)     	20 	22,600 	1,130	15 	33,900 	2,260	-11,300
NCT	36,700 	7,500 	70.00 	0.30 (0.4 %)     	67 	47,000 	701	29 	17,800 	614	29,200
NHA	156,000 	116,100 	27.95 	-2.65 (-8.7 %)     	326 	234,800 	720	135 	194,900 	1,444	39,900
NHH	88,100 	19,800 	61.50 	1.90 (3.2 %)     	201 	529,600 	2,635	98 	461,300 	4,707	68,300
NKG	5,943,000 	2,628,900 	30.50 	-0.40 (-1.3 %)     	3,356 	9,464,900 	2,820	2,606 	6,150,800 	2,360	3,314,100
NLG	2,292,600 	1,334,800 	37.05 	0.15 (0.4 %)     	2,403 	5,096,400 	2,121	1,048 	4,138,600 	3,949	957,800
NNC	62,100 	116,000 	25.10 	-0.90 (-3.5 %)     	160 	116,200 	726	107 	170,100 	1,590	-53,900
NT2	816,400 	310,600 	18.75 	-0.15 (-0.8 %)     	866 	1,452,100 	1,677	274 	946,300 	3,454	505,800
NTL	721,200 	765,300 	24.60 	0.35 (1.4 %)     	808 	1,235,000 	1,528	656 	1,279,100 	1,950	-44,100
NVL	769,800 	1,418,500 	137.30 	-3.70 (-2.6 %)     	967 	1,861,900 	1,925	875 	2,510,600 	2,869	-648,700
NVT	19,200 	48,900 	8.61 	-0.59 (-6.4 %)     	28 	68,200 	2,436	55 	97,900 	1,780	-29,700
OCB	6,971,000 	11,521,800 	26.25 	0.35 (1.4 %)     	7,740 	15,366,800 	1,985	6,263 	19,917,600 	3,180	-4,550,800
OGC	667,400 	455,400 	6.03 	0.20 (3.4 %)     	463 	1,193,500 	2,578	417 	981,500 	2,354	212,000
OPC	6,000 	49,100 	65.20 	0.00 (0.0 %)     	8 	6,000 	750	7 	49,100 	7,014	-43,100
PAC	29,900 	27,600 	34.65 	0.00 (0.0 %)     	28 	44,100 	1,575	33 	41,800 	1,267	2,300
PC1	915,100 	522,700 	25.20 	0.75 (3.1 %)     	543 	1,659,300 	3,056	558 	1,266,900 	2,270	392,400
PDN	800 	3,600 	78.10 	0.00 (0.0 %)     	7 	800 	114	6 	3,600 	600	-2,800
PDR	2,395,200 	1,079,500 	76.00 	3.00 (4.1 %)     	1,801 	8,204,900 	4,556	1,956 	6,889,200 	3,522	1,315,700
PET	1,679,800 	1,264,300 	20.15 	0.35 (1.8 %)     	1,229 	3,014,500 	2,453	1,087 	2,599,000 	2,391	415,500
